start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[Bell]
00:00:02,00:00:23,"Hello, and welcome to another episode of ""No Such Thing as a Fish"" a weekly podcast coming to you from the QI offices in Coburn, Garden."
00:00:23,00:00:29,"My name is Dan Schreiber. I am sitting here with Andrew Hunter Murray, James Harkin, and Anna Jizinski."
00:00:29,00:00:38,"And once again, we have gathered around the microphones with our four favorite facts from the last seven days, and in no particular order, here we go."
00:00:38,00:00:40,"Starting with you, Andy."
00:00:40,00:00:49,"My fact is that in Britain alone, unnecessary emails create nearly 24,000 tons of carbon every year."
00:00:49,00:00:51,Wow. Yeah.
00:00:51,00:00:54,"See, and you guys always give me crap for not replying to my emails."
00:00:54,00:00:57,I'm the most environmentally conscious of us.
00:00:57,00:01:06,"To be fair, Dan, the number of emails that you send, which are completely pointless, outweighs the fact that you don't send many."
00:01:06,00:01:12,"Yeah, you're actually, we often don't get emails in reply to the important stuff from you, and then we'll be like, ""Dan must be away from his computer."""
00:01:12,00:01:17,"And then suddenly you'll be like, ""Hey, guys, did you see this ridiculous meme? No one gives a shit about this."""
00:01:17,00:01:19,"Okay, I can't listen. I didn't like this."
00:01:19,00:01:20,How has you not?
00:01:20,00:01:29,"I've just gone against what I was hoping I would be. So what this is, this is a calculation done by an energy company called OVO."
00:01:29,00:01:32,"And they looked at the carbon footprint of an email, basically."
00:01:32,00:01:38,"So the figures vary, but it varies between one gram and three or four grams. It's not very much."
00:01:38,00:01:41,But they did also look at how many unnecessary emails are sent each day.
00:01:41,00:01:47,"For example, people writing back to just say, ""Thanks."" And sending that email through the system."
00:01:47,00:01:48,Is that unnecessary?
00:01:48,00:02:02,"Well, it depends how good your manners are, I guess. But if we're agreeing that that's a sort of superfluous thing, then what they want us to do is to add a little signature to our door emails, saying something like, ""This is a thanks in advance."""
00:02:02,00:02:05,Now that sounds really passive to me.
00:02:05,00:02:11,"It's like, ""Hey, Andy, can you please do your QI scripts by the end of the week, thanks in advance."""
00:02:11,00:02:13,"Sounds like I've said, ""You better bloody hell do it."""
00:02:13,00:02:14,Yeah.
00:02:14,00:02:15,That's a really good point.
00:02:15,00:02:18,"It'll be better than what you normally so, which is you better bloody hell don't you."
00:02:18,00:02:24,But the really cool thing about this research is that the men who advise them on this is a man called Mike Berners-Lee.
00:02:24,00:02:29,"And you might know that surname. He's the brother of Tim Berners-Lee, who invented the World Wide Web."
00:02:29,00:02:30,Yeah.
00:02:30,00:02:32,Can we just quickly go through how it does it?
00:02:32,00:02:36,So is it carbon or carbon dioxide? Is it from big servers processing the information?
00:02:36,00:02:41,"It's from all these things. So it's from, for example, using electricity in the first place."
00:02:41,00:02:46,"The cost of running a computer network, the cost of keeping all the data on servers and travelling across the planet."
00:02:46,00:02:51,"So the whole thing, you know, using your computer while it's on to send us email."
00:02:51,00:02:54,"It's very hard to quantify, obviously, but there's a rough figure."
00:02:54,00:02:59,"And the calculations, they depend on how important that email is a little bit."
00:02:59,00:03:04,"Because let's say I send an email back to Andy just saying, ""Thanks, on low."""
00:03:04,00:03:06,Now you don't spend much time reading it.
00:03:06,00:03:09,And so it means that it doesn't use up as much electricity.
00:03:09,00:03:12,And it's so it means that the carbon footprint is lower.
00:03:12,00:03:15,"So for instance, over 70% of emails are sent to spam."
