start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,"- Hey everybody, welcome to this week's episode of Fish."
00:00:02,00:00:04,We have a very exciting guest on this week.
00:00:04,00:00:05,"- Yes, is it Andy?"
00:00:05,00:00:06,- It's not Andy.
00:00:06,00:00:08,"Yeah, no, Andy is still a guest."
00:00:08,00:00:11,We consider him a guest of the show.
00:00:11,00:00:12,"But no, he was busy this week, so."
00:00:12,00:00:14,- I thought what I was saying is Andy isn't here.
00:00:14,00:00:16,"- Yeah, that's effectively."
00:00:16,00:00:18,"But I still, I feel the guest thing."
00:00:18,00:00:23,"No, very excitingly, we have the founder of QI, John Lloyd himself."
00:00:23,00:00:25,He's been on a few times.
00:00:25,00:00:27,This is the guy who gave us not the nine o'clock news.
00:00:27,00:00:29,"Black Adder, spitting image."
00:00:29,00:00:32,"He helped create Mr. Bean, co-wrote to the original radio episodes"
00:00:32,00:00:34,of Hitchhiker's Guide to the Galaxy.
00:00:34,00:00:37,"- Yes, he exact produced a short-lived television show."
00:00:37,00:00:38,Those things are the news.
00:00:38,00:00:40,- Which he says is the highlight of his career.
00:00:40,00:00:41,I don't know if he means the ending of it
00:00:41,00:00:45,"or the experience itself, but he's now turned himself"
00:00:45,00:00:47,into a music manager.
00:00:47,00:00:49,The band that he looks after is called Waiting for Smith.
00:00:49,00:00:52,"And if you hang out, listener, to the end of this episode,"
00:00:52,00:00:54,we're actually gonna play a track
00:00:54,00:00:56,"from Waiting for Smith, their latest singer."
00:00:56,00:00:57,- You don't have to listen to it all.
00:00:57,00:00:59,You can fast forward the whole episode.
00:00:59,00:01:01,- It just gets straight to the song.
00:01:01,00:01:04,"- No, no, experience the show without our guest Andy"
00:01:04,00:01:09,and see how it feels and give us feedback of what you think.
00:01:09,00:01:10,"Anyway, he was a fantastic guest."
00:01:10,00:01:12,It's always amazing to get loydy on the show
00:01:12,00:01:14,and have a listen at the end.
00:01:14,00:01:15,"And yeah, enjoy the show."
00:01:15,00:01:18,(upbeat music)
00:01:19,00:01:22,(upbeat music)
00:01:22,00:01:32,- Hello and welcome to another episode
00:01:32,00:01:35,"of No Such Thing as a Fish, a weekly podcast"
00:01:35,00:01:38,coming to you from the QI offices in Covert Garden.
00:01:38,00:01:39,My name is Dan Schreiber.
00:01:39,00:01:43,"I am sitting here with James Harkin, Anna Chazinski"
00:01:43,00:01:45,and Chief Nome John Lloyd.
00:01:45,00:01:47,"And once again, we have gathered around the microphones"
00:01:47,00:01:50,with our four favorite facts from the last seven days
