start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,"Hey everyone, before we begin this week's episode of Fish, we just want to let you know something hugely exciting."
00:00:05,00:00:09,One of us has our first debut novel out this week.
00:00:09,00:00:12,That is correct. Which one could it be?
00:00:12,00:00:14,Andrew Hunter Murray. It's Andrew Hunter Murray.
00:00:14,00:00:15,"Oh, it's that guy."
00:00:15,00:00:19,It's that guy. He has written a debut thriller novel. It's called The Last Day.
00:00:19,00:00:22,I've read it. It's unbelievably good.
00:00:22,00:00:29,It's really great. So it's kind of this sci-fi dystopian future where the world has gradually stopped.
00:00:29,00:00:33,"Spinning. Half of it's plunged into darkness, half of it's bathed in light."
00:00:33,00:00:37,It's impossible to live in any of those areas. But what about the middle sliver?
00:00:37,00:00:39,"It's sort of half light, half dark."
00:00:39,00:00:41,That's where the novel takes place.
00:00:41,00:00:44,"It's wonderful, boldly imagined and beautifully written."
00:00:44,00:00:46,The best future shock thriller for years.
00:00:46,00:00:49,Those aren't my words. There's a Lee Child's words.
00:00:49,00:00:52,"Lee Child. And look, I know a lot of people respect Lee Child's view,"
00:00:52,00:00:55,but my view may be even more important to some.
00:00:55,00:00:59,"And genuinely, couldn't believe it, Andy, can actually write incredibly well."
00:00:59,00:01:00,Absolutely. It's a stunning original thriller.
00:01:00,00:01:04,It's set in a world of tomorrow that make you think about what's happening today.
00:01:04,00:01:06,Not my words. Harlan Coben.
00:01:06,00:01:08,Harlan Coben said that about Andy.
00:01:08,00:01:11,You may be beginning to think that Dan has no words of his own.
00:01:11,00:01:14,And even more exciting news is that you can actually buy this book.
00:01:14,00:01:20,"It's available to buy in what we call bookshops, all of them, or on the internet."
00:01:20,00:01:23,"And if you want to listen to it, there's an audiobook available."
00:01:23,00:01:26,And it's narrated by Gemma Wheelan of Game of Thrones.
00:01:26,00:01:28,"If that's not a mark of quality, I don't know what it is."
00:01:28,00:01:31,"Go get it, buy it, read it, listen to it, do it now."
00:01:31,00:01:35,"That's right. The last day by Andrew Hunter Murray, a fabulous achievement."
00:01:35,00:01:37,Not my words. Steven Fry.
00:01:37,00:01:38,"Oh, Jesus Christ."
00:01:38,00:01:39,Okay.
00:01:39,00:01:39,On with the show.
00:01:54,00:01:59,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast"
00:01:59,00:02:02,coming to you from the QI offices in Covent Garden.
00:02:02,00:02:03,My name is Dan Shriver.
00:02:03,00:02:08,"I am sitting here with James Hartkin, Anna Chazinski, and Andrew Hunter Murray."
00:02:08,00:02:12,"And once again, we have gathered around the microphones with our four favorite facts"
00:02:12,00:02:13,from the last seven days.
00:02:13,00:02:16,"And in a particular order, here, we go."
00:02:16,00:02:18,"Starting with you, Chazinski."
00:02:18,00:02:23,My fact this week is that after being stuck at an opera that went on
00:02:23,00:02:29,"twice as long as the scheduled running time, Emperor Joseph II of Austria banned on course."
00:02:29,00:02:33,"So yeah, this was 1786."
00:02:33,00:02:35,It was the marriage of Figaro.
00:02:35,00:02:36,Very good.
00:02:36,00:02:37,No disrespect to that.
00:02:37,00:02:41,"I'm sure he emphasized, but it did go on twice the length it was supposed to,"
00:02:41,00:02:44,because almost every single scene was on-cord.
00:02:44,00:02:45,That's so funny.
00:02:45,00:02:46,It's rough.
00:02:46,00:02:49,"If you've got kids to get home to, it's difficult."
00:02:49,00:02:49,Yep.
00:02:49,00:02:52,"So anyway, he went, the emperor went, and he thought that was fine,"
00:02:52,00:02:57,but he immediately afterwards set put up kind of bills in theaters saying that
00:02:57,00:03:00,no piece of music should be on-cord henceforth.
00:03:00,00:03:04,"And to be clear, he said no piece of music for more than a single voice."
00:03:04,00:03:08,"So if you are singing your solitary little solo, you can maybe get away with it,"
00:03:08,00:03:10,but basically you couldn't do anything else.
00:03:10,00:03:13,"It's an amazing thing, the idea of an on-cord mid-show,"
00:03:13,00:03:15,or even at the beginning of the show and just carrying on.
00:03:15,00:03:16,"Yeah, yeah, yeah."
00:03:16,00:03:17,I've never heard of that before.
00:03:17,00:03:19,They just used to interrupt shows.
00:03:19,00:03:23,"I mean, this was how on-cords worked until apparently up to the 1930s."
00:03:23,00:03:24,"In theatre, it was common."
00:03:24,00:03:26,"Like, if you were watching a scene and you liked it,"
00:03:26,00:03:29,"you'd just shout on-cord and continuity couldn't happen,"
00:03:29,00:03:31,because you'd have to do the scene again.
00:03:31,00:03:34,Sometimes there'd be like a song that audience really liked sort of in scene two.
00:03:34,00:03:38,"And then an hour later, they decide to on-cord that song from scene two,"
00:03:38,00:03:40,"and they'd be like, ""Hey, play, hit me baby again."""
00:03:40,00:03:42,And you'd have to go back.
00:03:42,00:03:44,What's hit me baby is that Britney Spears opera?
00:03:44,00:03:47,"Yeah, the Britney Spears opera, I think it was 1810."
00:03:47,00:03:49,One more time!
00:03:49,00:03:54,"But there was a thing where you would sing an on-cord,"
00:03:54,00:03:58,which wasn't even part of the opera you were seeing.
00:03:58,00:04:02,"So some singers in the 19th and even 20th century would sing an on-cord,"
00:04:02,00:04:06,"which is just a little musical bonus unrelated to the piece you'd just seen,"
00:04:06,00:04:07,or the opera you'd just seen.
00:04:07,00:04:10,And they would do on-cord after on-cord that was not in the opera.
00:04:10,00:04:14,"So there was a Polish tenor, whose name was Jan Kiepura,"
00:04:14,00:04:16,"and he made sure there was a piano in the wings,"
00:04:16,00:04:19,just in case he needed it for an on-cord.
00:04:19,00:04:22,"For an on-cord, but playing something else."
00:04:22,00:04:24,"Just for ""Pitching"" his other way."
00:04:24,00:04:29,It'd be like you suddenly reading a chapter of your novel mid show right now for us.
00:04:29,00:04:30,"I don't do that, Ali."
00:04:30,00:04:34,It was a dark and stormy night.
00:04:34,00:04:37,"Wow, okay."
00:04:37,00:04:40,The last time I heard you do that accent was Old John the Pooh smuggler.
00:04:40,00:04:43,He's a main character of the song.
00:04:44,00:04:47,"He's a Pooh smuggling ring, that's wide open."
00:04:47,00:04:49,"Oh, that's disgusting."
00:04:49,00:04:53,Anyway.
00:04:53,00:04:54,Any who onto opera?
00:04:54,00:04:55,"Yes, guys."
00:04:55,00:05:00,"Oh, Figaro was extremely popular, wasn't it?"
00:05:00,00:05:01,"Yeah, it was. It was a huge deal."
00:05:01,00:05:04,"Well, I think it was popular eventually."
00:05:04,00:05:07,"Apparently the first performance, they didn't love."
00:05:07,00:05:08,They didn't know what to make of it.
00:05:08,00:05:11,So this was in Vienna when it was first performed.
00:05:11,00:05:13,"And apparently it was ruined by Heklers,"
00:05:13,00:05:16,so someone who is there wrote that it was destroyed by
00:05:16,00:05:19,"obstreparous louts in the uppermost story,"
00:05:19,00:05:21,exerting their hired lungs with all their might
00:05:21,00:05:23,to deafen the singer's audience alike.
00:05:23,00:05:24,"Oh, wow."
00:05:24,00:05:26,"What sort of, is that from a rival composer?"
00:05:26,00:05:27,"I assume so, yeah."
00:05:27,00:05:28,What's it?
00:05:28,00:05:31,"And when it was played in Prague a bit later,"
00:05:31,00:05:32,it was really popular.
00:05:32,00:05:37,So Mozart said here they talk about nothing but Figaro.
00:05:37,00:05:40,"Nothing is played, sung or whistled, but Figaro."
00:05:40,00:05:43,No opera is drawing like Figaro.
00:05:43,00:05:44,"Nothing, but Figaro."
00:05:44,00:05:45,"All right, mate."
00:05:45,00:05:46,Oh.
00:05:46,00:05:47,Get over yourself.
00:05:47,00:05:52,"Yeah, I didn't even know it was a play before."
00:05:52,00:05:55,"Yeah. It was an opera, and it was written by a man"
00:05:55,00:05:58,"called Bommache, who is seriously interesting."
00:05:58,00:06:00,He's the best. He's incredible.
00:06:00,00:06:02,Because it was quite an incendiary play.
00:06:02,00:06:04,It had lots of stuff about the aristocracy being rubbish
00:06:04,00:06:06,and layabouts and useless.
00:06:06,00:06:09,"And it was all pretty, this was soon before the French Revolution."
00:06:09,00:06:13,"So Louis XVI banned performances of the play,"
00:06:13,00:06:14,which the opera was based on.
00:06:14,00:06:16,"Yeah, he said, actually, he said,"
00:06:16,00:06:18,"for this play not to be a danger,"
00:06:18,00:06:20,the Bastille would have to be torn down first.
00:06:20,00:06:21,Oh.
00:06:21,00:06:22,"And then everyone went, oh, that's an idea."
00:06:22,00:06:29,He actually referenced himself in a later play.
00:06:29,00:06:32,So I think it was in Don Giovanni in Act II.
00:06:32,00:06:34,"Mozart, which Mozart also wrote,"
00:06:34,00:06:36,"which also was an adaptation of the Bommache, Don Giovanni."
00:06:36,00:06:37,Really?
00:06:37,00:06:40,"He played some tuffle music, which is like table music,"
00:06:40,00:06:42,"and it's like background music,"
00:06:42,00:06:44,and I see my people are chatting away.
00:06:44,00:06:45,"And as part of the table music,"
00:06:45,00:06:48,he used a marriage of Figaro melody
00:06:48,00:06:50,that he got the wind plays to play.
00:06:50,00:06:53,So in his later opera was a cool back to his previous opera.
00:06:53,00:06:54,Wow.
00:06:54,00:06:57,"It was so far up his own ass, by that point."
00:06:57,00:07:01,"I love, there's another character who's a part of this story,"
00:07:01,00:07:06,"is Lorenzo Deponte, who was, he wrote the words to the opera."
00:07:06,00:07:10,So all the trilogy of those plays were done as a collaboration.
00:07:10,00:07:13,He was the Bernie Taupin to Mozart's Elton John.
00:07:13,00:07:15,"He was a big deal in his time, Lorenzo."
00:07:15,00:07:17,He was the court poet to Joseph II.
00:07:17,00:07:18,So that was great.
00:07:18,00:07:21,But then Joseph II died and Mozart died.
00:07:21,00:07:23,And he got banned from Austria.
00:07:23,00:07:25,And he had to flee where he moved to America
00:07:25,00:07:27,and opened a grocery store.
00:07:27,00:07:28,He lived in New York.
00:07:28,00:07:30,"He lived in Pennsylvania, New Jersey."
00:07:30,00:07:32,"In those times, he had a grocery store, a bookstore,"
00:07:32,00:07:35,"a traveling general store, a jinder stillery."
00:07:35,00:07:36,"So did he, he didn't bring the stores with him?"
00:07:36,00:07:38,"He did, he opened up a new store and every new place."
00:07:38,00:07:39,"Yeah, every new place, yeah."
00:07:39,00:07:42,"And then the general traveling store, I don't know about that,"
00:07:42,00:07:43,"because that was on wheels, I assume."
00:07:43,00:07:45,So he might have brought that everywhere.
00:07:45,00:07:46,"Traveling store, yeah."
00:07:46,00:07:48,"And he opened the first opera house in New York,"
00:07:48,00:07:49,but it closed after two seasons.
00:07:49,00:07:52,And it was the first opera house to play Italian opera.
00:07:52,00:07:54,"But unfortunately, yeah, it failed."
00:07:54,00:07:55,But amazing character.
00:07:55,00:07:56,"Yeah, and he was actually really important"
00:07:56,00:07:58,"with the marriage of Figaro, wasn't he?"
00:07:58,00:08:01,"Because Mozart wanted it to be close to the original story,"
00:08:01,00:08:05,"which, like Andy says, was really anti aristocracy."
00:08:05,00:08:07,"And it was about, was it about like someone"
00:08:07,00:08:09,who wants to share some guy's girlfriend?
00:08:09,00:08:10,And he's the Lord.
00:08:10,00:08:11,"And he's like, well, I'm the Lord."
00:08:11,00:08:12,So I'm allowed to share your girlfriend.
00:08:12,00:08:16,"And then the guy who's the girlfriend's boyfriend is like,"
00:08:16,00:08:19,"oh, you're only there because you're rich, you idiot."
00:08:19,00:08:20,And then all the people--
00:08:20,00:08:22,Are you talking about these tenders?
00:08:22,00:08:24,"Yeah, because then the other guy goes, you slag!"
00:08:24,00:08:27,You slag?
00:08:27,00:08:29,"He's not worth it, Figaro."
00:08:29,00:08:30,He's not worth it.
00:08:31,00:08:35,But there was loads of quotes about why the aristocracy
00:08:35,00:08:37,were bad in this original story.
00:08:37,00:08:41,"And it was Deponte who said, let's get rid of all those passages."
00:08:41,00:08:45,"Let's just stick with the comedy bit, with Barry and Janine."
00:08:45,00:08:48,Let's just stick with those ones and get rid of the Mitchell's.
00:08:48,00:08:49,"Yeah, wow."
00:08:49,00:08:51,"It's about-- I read the plot of it today,"
00:08:51,00:08:53,"because I've never heard the music except, obviously,"
00:08:53,00:08:56,I have when you press play on a Spotify list.
