start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,"Hi everyone, James here. Now, before we start this week's show, which is another"
00:00:03,00:00:09,"working from home episode, where we recorded in all of our different homes around the country."
00:00:09,00:00:13,I just want to say I hope everyone's all right. I hope that you're all staying indoors. I hope
00:00:13,00:00:18,you're all looking after your family and friends. But there's just one little bit of news that I
00:00:18,00:00:24,"wanted to say, which we mentioned last week, but that is that we have re-released the second year"
00:00:24,00:00:29,"of No Such Things A Fish for free on the internet. So, if you go to the place where you normally"
00:00:29,00:00:35,"get your podcasts, you will see episodes 53 to 104 and they were not there in the past. So,"
00:00:35,00:00:40,there's hours and hours of fun on there. I hope you enjoy them. But one more thing about that is
00:00:40,00:00:45,"if you would like something a little bit extra, then you can go to No Such Things A Fish.com"
00:00:45,00:00:51,"and you can find the details of our audio cassette. Now, this is not any normal audio cassette."
00:00:51,00:00:58,You can't put it in your cassette player if you still have one. It is a USB. That USB has all of
00:00:58,00:01:04,"those episodes, like I said, which are now up for free. But it also has an exclusive show that we filmed"
00:01:04,00:01:10,"live in the QI offices, so you can see exactly what our office is like. And, I mean, apart from that,"
00:01:10,00:01:14,"it's a really beautiful little cassette, which is really an awesome thing to have on your shelf and"
00:01:14,00:01:21,"your house. So, enjoy the show. Hope everything's good. Get the cassette, if you fancy it. We'll see you"
00:01:21,00:01:39,"all on the other side. Okay, on with the podcast."
00:01:39,00:01:46,Hello and welcome to another work from home episode of No Such Things A Fish A Weekly Podcast.
00:01:46,00:01:51,"My name is Dan Schreiber. I am sitting here with Anna Chazinski, Andrew Hunter Murray and James"
00:01:51,00:01:56,"Harkin. And once again, we have gathered around our microphones with our four favorite facts from"
00:01:56,00:02:02,"the last seven days. And in no particular order, here we go. Starting with fact number one,"
00:02:02,00:02:10,that's my fact. My fact is NASA fixed its Mars probe by getting it to whack itself with a shovel.
00:02:10,00:02:16,"Did NASA send a shovel with the probe, just in case it needed something to whack itself with,"
00:02:16,00:02:22,like in a cartoon? And did NASA once they had it hitting itself with a shovel? Did it go? Stop
00:02:22,00:02:30,"hitting yourself mate. Stop hitting yourself. So, whack is, as James pointed out to me in an email,"
00:02:30,00:02:36,"not the correct term. Technically, it was a little push. It was a little shove, but it's been reported"
00:02:36,00:02:41,as a whack by most of the media. I wouldn't call it a shove. It was a gentle caress.
00:02:41,00:02:47,Yes. NASA fixed its Mars probe by gently caressing it with a shovel. Stop caressing yourself.
00:02:47,00:02:56,"No, really, stop it. We can see the video. Oh, shit. Okay. Sorry. I'll put that away."
00:02:58,00:03:06,"So, yeah. So, this is the Mars probe that landed late 2018. It was in November, and it's the Mars"
00:03:06,00:03:11,"Insight mission. And the idea is that it's going deep into the interior of Mars, which has never"
00:03:11,00:03:15,"been done before. All previous missions have just looked at the landscape, taken bits of soil."
00:03:15,00:03:20,"This one's drilling down to tell us about the planet. As NASA actually puts it on its own website,"
00:03:20,00:03:25,it's the first mission to give Mars a thorough checkup since the planet formed 4.5 billion years
00:03:25,00:03:31,"ago. So, it's a beautiful little thing that they're trying to test out here. And as they were using"
00:03:31,00:03:36,"the machine that was drilling down, the drill itself, which is called the mole, suddenly got stuck,"
00:03:36,00:03:40,"and they couldn't work out why. And this happened in March of last year. And so, for whole year,"
00:03:40,00:03:45,"they've desperately been trying to work out how we can get this shovel to work again,"
00:03:45,00:03:50,because it's only gone something like 35 centimeters into the ground when it's meant to go
00:03:50,00:03:56,"a full three to five meters roughly. So, they have no idea what to do, and they've been thinking"
00:03:56,00:04:00,a whole year they've had labs set up where they've tested every scenario of what they could do.
00:04:00,00:04:07,"And the answer, finally, that came to them, is just give it a little caress. And it might work"
00:04:07,00:04:11,"and it has. So, it's working again. Yeah, initially, they tried to caress it on the side, didn't they?"
00:04:11,00:04:17,"Because they tried to move it to the side of the hole, which it was drilling. And that might give"
00:04:17,00:04:21,it a bit more purchase. But then they decided they're going to have to push down on it. And the problem
00:04:21,00:04:28,"is that there is a massive tether. So, the mole is attached to the main probe with a piece of wire."
00:04:28,00:04:32,And what they didn't want to do was push that and then damage the tether and then not be able to do
00:04:32,00:04:37,"anything with it. Because if you damage that, then there's no mulling, there's no nothing. And it's"
00:04:37,00:04:44,"also, it's not a drill. It's kind of a drill would spin round, right? Wait, James, did you just say"
00:04:44,00:04:52,"this is not a drill? This is not a drill. So, a drill would spin round. But there's nothing for"
00:04:52,00:04:57,"it to grab onto. So, you can't kind of spin round like a drill. It's kind of an up and down thing."
00:04:57,00:05:02,"So, it kind of pulls itself up and then slams itself down and hopefully makes it a little bit in."
00:05:02,00:05:06,And then it keeps doing that again and again and again and again and hopefully gets about three or
00:05:06,00:05:11,four metres in there. Do you guys know why it's called insights? Because they are citing the inside
00:05:11,00:05:18,"of Mars. I think, well, it's a clever double play on words. So, NASA is just full of these stupid"
00:05:18,00:05:22,"acronyms where it obviously gives stuff a name and then thinks, well, we better attribute,"
00:05:22,00:05:26,"you know, something to each of those initials. So, it's called insights. It stands for"
00:05:26,00:05:32,"interior exploration using seismic investigations, geodesy and heat transport. And it actually had to"
00:05:32,00:05:38,"have a name change. So, it used to be slightly more catchy than that. It was originally called the"
00:05:38,00:05:44,"Geophysical Monitoring Station, which was Gens, but NASA suddenly went, oh, go, we've already got one"
00:05:44,00:05:50,"of those in the working. So, they had to change its whole name so that it didn't coincide with another one."
00:05:50,00:05:57,"Do you know the insiders won an Emmy? That's it. No, before. It won an Emmy for Outstanding"
00:05:57,00:06:04,"Original Interactive Program. So, NASA did some coverage of this landing and of its drilling and"
00:06:04,00:06:10,shuffling and all that kind of stuff. And you could go online and you could interact with the show.
00:06:10,00:06:16,"And it won an Emmy for it. It was a bad year for TV that year, wasn't it? It wasn't that year, yeah."
00:06:16,00:06:22,"And one other thing about insight, and do you know that they have named a rock on Mars?"
00:06:22,00:06:30,"Oh, okay. So, when it landed, when the insight landed, it kind of knocked a little rock. It's only"
00:06:30,00:06:35,"about the size of a golf ball, and it rolled about three feet away. And do you know what they named this rock?"
00:06:35,00:06:44,Okay. They named it after a famous thing. A famous thing. Did they name it after a rock star?
00:06:44,00:06:52,"After some famous people. Oh, the Rolling Stones. Correct. Because it was a Rolling Stone."
00:06:52,00:06:58,"Wow. They've named this one tiny rock of Mars, which is about the size of a golf ball. They've named"
00:06:58,00:07:03,it after the Rolling Stones. It's almost more of an insult naming that after the Rolling Stones.
00:07:03,00:07:08,"It really is. It's not like naming a star or a, you know, a moon or something, is it? And it's named"
00:07:08,00:07:13,after all the Rolling Stones. They haven't picked one. That one rock is now just the full band.
00:07:13,00:07:18,It's called the Rolling Stones Rock. Right. Although they could have called it the Rolling Rock
00:07:18,00:07:22,"or the Rolling Stone, because that's effectively what it is. Yeah. But they've just decided"
00:07:22,00:07:26,Rolling Stones Rock. Did they observe whether the Rolling Stone has gathered any moss?
00:07:27,00:07:33,"Well, we might come to moss later in this show. Oh, it's boilers, boilers."
00:07:33,00:07:40,"Just this was a very, very low-tech solution that they use. The Wacker, Spade, Shovel,"
00:07:40,00:07:43,Moll thing. It's Wacker Molls. They just call it Wacker Moll. We've already got to pay
00:07:43,00:07:49,"caress a Moll, Anna. Sorry. That's a very different game."
00:07:49,00:07:56,"Anyway, this was a very low-tech solution. So there was another one I found during the Apollo 11"
00:07:56,00:08:03,mission. And this was when they'd all got back on the lunar module and they hadn't yet pressed the
00:08:03,00:08:09,button to say take us back to Earth. And Armstrong was wearing his backpack on the module. And it smashed
00:08:09,00:08:14,into the switch. There was one switch they needed to turn on the engine and begin the flight back to earth.
00:08:14,00:08:19,"And he was wearing his big, clunky space backpack. And it just broke the whole switch off."
00:08:19,00:08:25,"Like, it was fine because they just shoved a felt-tipped pen that Buzz Aldrin had been using. Don't"
00:08:25,00:08:32,know why he had a felt-tipped pen on the Apollo 11. But you do. If you watch the moon footage when
00:08:32,00:08:39,"Neil Armstrong turns round, it says dickhead on his back. That's what that was for. He still keeps"
00:08:39,00:08:44,"that pen on him to this day, Buzz Aldrin. He stops. Yeah, he takes it everywhere. He goes, yeah,"
00:08:44,00:08:49,"it's still working. Yeah, it's still got ink. It's still... In many ways, there's more impressive"
00:08:49,00:08:56,"than the Moon lab things. I don't suppose he still uses it. No, he carries it as his lucky charm."
00:08:56,00:09:01,"It was the thing that got them off the moon. Because when we met him, Dan, you did have the word dickhead"
00:09:01,00:09:07,"on your back, but that wasn't him who wrote it. No, I'm still trying to find who did that. It's got"
00:09:07,00:09:11,"similar handwriting to you, James, but I don't want to make any accusations. There's interesting,"
00:09:11,00:09:17,"there's a... I found a fun term for the idea of whacking something to make it work again, which is"
00:09:17,00:09:24,"percussive maintenance. It's a thing that actually is recommended by so many different people,"
00:09:24,00:09:29,people who work in the electronics industry. There was a whole thing about the fact that if a
00:09:29,00:09:34,"soldiered connection needed to reconnect, sometimes it would lose its connection. Just by whacking it,"
00:09:34,00:09:40,you could make it reconnect. There's been so many examples of percussive maintenance throughout
00:09:40,00:09:46,the years in NASA Territory Skylab when that went up. There was a bit of a problem on the outside
00:09:46,00:09:50,of it and the way that the astronauts fixed that was during a spacewalk was to hit it and that made
00:09:50,00:09:56,"it work again, so that was very useful. But then there was also this great airplane called the Blackbird,"
00:09:56,00:10:03,"the SR-71 Blackbird. Have you guys heard of this? This is a bird. Sorry, this is a plane. No, it's"
00:10:03,00:10:12,"Superman. So this is a plane that flew so high and fast that when it was up there, the body of"
00:10:12,00:10:22,the plane would stretch because of the materials would stretch. Absolutely. Can I just repeat what you
00:10:22,00:10:28,just said? You said so it went so fast that the body would stretch because the body would stretch.
00:10:28,00:10:34,I didn't expect for this to get picked up. I don't know where to go from here. That was not an
00:10:34,00:10:39,"acceptable explanation. Dan, is it the case that the pilots will be sitting at the controls and"
00:10:39,00:10:44,"then suddenly they go, ""Whoa!"" And then they'll be sitting at the third row. Is it the people who are on"
00:10:44,00:10:50,"the plane are going, ""I've got a lot more legroom than I used to."" Well, I thought that was a"
00:10:50,00:10:56,"thing with planes that when you go to a certain altitude, materials, construction, shrink, I thought"
00:10:56,00:11:01,that was a classic thing. You've got to collect more information on it in order to elucidate it for
00:11:01,00:11:07,"the rest of us who don't know about it. Well, let's imagine that let's just accept that this"
00:11:07,00:11:12,"grew a trunk. No, we're not accepting it. Okay. Well, I'm ready to accept it. Come on. Let's accept"
00:11:12,00:11:17,"that this thing is stretched, like, stretch Armstrong. So the idea was that they built a plane"
00:11:17,00:11:22,whereby the panels didn't necessarily meet on the ground. There was a gap between them so that when
00:11:22,00:11:26,"it got to that height and it stretched, they would lock into each other and then it could continue"
00:11:26,00:11:32,"flying in perfect harmony at that height. When it landed back on the ground, they would then"
00:11:32,00:11:37,"bash it back into shape of making those gaps again for the next flight. Hang on, I'm a bit"
00:11:37,00:11:43,"confused now about how if the panels didn't meet on the ground, and then it stretched apart. It's a good,"
00:11:43,00:11:49,"I know what you're going to say, yeah, it's a good question. Are you sure it didn't squash? It feels like,"
00:11:49,00:11:54,"because it would be so cold up there, because it's a lot colder in the sky, it feels like the materials"
00:11:54,00:12:02,"would shrink. Yeah, it's another good point. Well, it sounds like an amazing plane. It sounds like"
00:12:02,00:12:08,"a hell of a plane. I'm sorry, I didn't get to fly. You know how things get faster than the speed of"
00:12:08,00:12:14,light? Maybe it's that thing? Maybe it's the Einstein thing. I can only thank you all for trying to
00:12:14,00:12:21,help me out with it. I don't think we're going to get anywhere constructive. Did you know there's a
00:12:21,00:12:30,"guerrilla suit on the ISS? What for? For fun. Yeah, they just wear it sometimes on the ISS."
00:12:30,00:12:34,Isn't that the least practical thing you've ever heard of being sent up there? And so it's not
00:12:34,00:12:42,sort of back up space suit. They run out of space suit. Imagine the pictures coming from the next time
00:12:42,00:12:48,"that people go on the moon, and you got three of them in space suits. Some of them guys like"
00:12:48,00:12:53,"Arthur Faxx, I don't know how to do the guerrilla suit, I'm like, we're going to enjoy the short show."
00:12:55,00:13:02,"In 2013, there was a hole in the ISS, and it was probably caused by a tiny micro meter, right?"
00:13:02,00:13:09,"The hole was just a few millimeters to a few centimeters wide, and they plugged it using an"
00:13:09,00:13:15,astronaut's thumb. So did the astronaut have to stay next to the wall for the rest of the mission? He's
00:13:15,00:13:24,"still there. He's still there, yeah. No, they cut his thumb off, no, eventually use some sealant,"
00:13:24,00:13:29,"but just until they managed to get their correct tools there, he had to stand there with his thumb in the"
00:13:29,00:13:34,die. Wow. That's great. Very cool. What's the story about the Netherlands dying in the person
00:13:34,00:13:38,who shoved their thumb in it to stop the whole country flooding? That's what you just said is the
00:13:38,00:13:44,"whole story. That's it. That's the story. It was well told, I thought. Can I just talk about one more"
00:13:44,00:13:50,low fine NASA fix? It's one of the best. It's in 2012 when the ISS was repaired with the toothbrush.
00:13:51,00:13:56,"So yeah, this was that they they have four units on the outside that power the ISS and they're"
00:13:56,00:14:02,"covered in solar panels, and one of them broke. And so the space space people, the what do you call them?"
00:14:02,00:14:09,"Astronauts. The astronauts had to climb outside to fix it, but the bolt was stuck because it gathered"
00:14:09,00:14:13,"so much space dust that they couldn't quite get a handle on the bolt properly, and they didn't"
00:14:13,00:14:17,"have to get rid of the space dust. They were like, well, we need some sort of little kind of brush,"
00:14:17,00:14:21,"sort of hard stiff, and they use a toothbrush, and I don't know how they decided which astronaut"
00:14:21,00:14:26,"sacrifice their toothbrush, the sake of this bolt, but they brushed all the dust off. And then after"
00:14:26,00:14:30,"that, you're sort of brushing your teeth with space dust, which is probably, it's probably worth"
00:14:30,00:14:35,the sacrifice. It feels like it would be more abrasive than a normal toothbrush. Yeah.
00:14:35,00:14:40,Might help you brushing your teeth with space dust. It could be the new thing. Coldgate might be about
00:14:40,00:14:45,"to release the next space dust and toothpaste. Here's another tip. If you have a gap in your teeth,"
00:14:45,00:14:55,"just go up to very high altitude. Okay, it is time for fact number two, and that is James."
00:14:55,00:15:01,"Okay, my fact this week is that we don't know what the Greek philosopher Plato's real name was."
00:15:01,00:15:11,"Plato was his wrestling nickname. So this is from historian Diogenes Laertius, who wrote a lot about"
00:15:11,00:15:17,"Plato, and he said that his name came from broad shoulder, which is what Plato means, and that it was"
00:15:17,00:15:22,"due to his physique, because he had big muscles. He was known as being a wrestler. He apparently"
00:15:22,00:15:29,competed at the Ismian Games. And we don't really know what his actual first name is. According to
00:15:29,00:15:34,"Diogenes Laertius, it might have been Aristocles, which means best reputation, but we don't really"
00:15:34,00:15:40,"have much historical evidence for that. So most people think that probably isn't true, but we do"
