start_hhmmss,end_hhmmss,text
00:00:00,00:00:13,[ in Japanese ]
00:00:13,00:00:19,"Hello and welcome to another working-from-home episode of No Such Thing as a Fish,"
00:00:19,00:00:24,a weekly podcast coming to you from four undisclosed locations in the UK.
00:00:24,00:00:28,"My name is Dan Schreiber, I am sitting here with Anna Chazinski, Andrew Hunter Murray,"
00:00:28,00:00:32,"and James Harkin. And once again, we have gathered around the microphones with our"
00:00:32,00:00:37,"four favourite facts from the last seven days and in a particular order, here we go."
00:00:37,00:00:42,"Starting with you, James. Okay, my fact this week is that if you were to take a corn on the"
00:00:42,00:00:48,"cob and remove each kernel in a row while saying she loves me and then she loves me not,"
00:00:48,00:00:56,"then she will always love you not. Right? No. How many, that's quite a long version of that game,"
00:00:56,00:01:01,"I'm guessing. Well, it's row by row, right? Row by row, yes, so it's not that long. It's long"
00:01:01,00:01:07,"and disappointing for any lovers doing it. There's no jeopardy, it's just guaranteed lose. There's"
00:01:07,00:01:13,an argument that it's not quite as romantic as sitting wistfully in a field taking petals off
00:01:13,00:01:19,"a flower, just going to your fridge and grabbing an old corn on the cob. But this is basically,"
00:01:19,00:01:24,"I mean, the fact is that there are even number of kernels on every row of a corn on the cob."
00:01:24,00:01:29,"The best way to check it yourself is to get a corn on the cob from your fridge or your supermarket,"
00:01:29,00:01:34,cut it in half width ways and then look at the sliced parts and you'll get a circular cross-section
00:01:34,00:01:38,"with the inside of the cob surrounded by corn kernels. And then if you count those kernels,"
00:01:38,00:01:42,they'll always be an even number. Sometimes it's kind of difficult to see because you might have a
00:01:42,00:01:48,"little runty kernel where the bigger ones have kind of squished it out of the way, you know,"
00:01:48,00:01:53,like if you lose a tooth and everything kind of squishes back in that direction. But it always
00:01:53,00:01:57,"be true, always an even number and it's due to the way that corn on the cob's grow."
00:01:57,00:02:01,"And by the time you finish this process, not only did she love you not, but she's had enough time"
00:02:01,00:02:08,to escape as far away from you as possible. That's true. It's even possible to peel off a row.
00:02:08,00:02:13,"I really wanted to try this, but I, so I hate sweet corn and I've never touched corn on the cob,"
00:02:13,00:02:18,"so I don't know if a row can come off all in one row. No, but like I say, if what you do is cut your"
00:02:18,00:02:22,"corn on the cob in half, then you'll be able to see the cross-section and you'll see the row itself"
00:02:22,00:02:27,and then you can just pluck off the individual kernels if you want. So you just have to say she loves
00:02:27,00:02:31,"me not, and she loves me really slowly, as you're blocking each individual kernels. Yeah."
00:02:31,00:02:37,"I mean, if you start with she loves you not, then she loves me, then she loves me not, then you're fine."
00:02:37,00:02:40,"But it's just basically there's an even number. I mean, what a bargain I say."
00:02:40,00:02:45,"And it's because of the way that they grow. If you were to look at it, you'll find most of them"
00:02:45,00:02:50,"have like 14, 16, 18, something like that. Yeah. And apparently this is just a big old,"
00:02:50,00:02:56,"well-known thing that people who were into corn or growing corn, you know, know about. And it used to"
00:02:56,00:03:01,get hit the news. I think sometimes it still does. It hits the news if someone finds an odd numbered
00:03:01,00:03:08,"kernel. Like I found a newspaper report from 1949. It was sort of local rather than national news,"
00:03:08,00:03:17,"but it was all capital letters. Freak ear reported in an Iowa newspaper. Wow. So did you know,"
00:03:17,00:03:23,"so I read a piece, I was trying to find out other, you know, secrets of corn. And I read a"
00:03:23,00:03:28,"Huffington Post piece, which has had lined five myths about corn. You should stop believing."
00:03:28,00:03:34,"Oh, okay. Well, lower those expectations. They're much less juicy than I would have thought,"
00:03:34,00:03:40,"because one of them is that corn is unhealthy, which I didn't think it was. I was firmly"
00:03:40,00:03:44,"at the opinion it was mostly most of my days vegetables. Better than the magnetum. Yeah,"
00:03:44,00:03:50,"better than a magnetum, exactly, although kind of a similar shape. But one of the myths is that we"
00:03:50,00:03:57,"can't digest sweet corn. Oh, I believe that. So you can't digest it. I've seen it. I've seen it, Andy."
00:03:57,00:04:04,"Well, okay, here we go. Well, it does have large amounts of insoluble fiber, but you can't"
