start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"Oh no, they're not gonna wake me up."
00:00:06,00:00:10,"Oh no, they're not gonna wake me up."
00:00:10,00:00:19,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:00:19,00:00:23,to you from four undisclosed locations in the UK.
00:00:23,00:00:24,My name is Dan Schreiber.
00:00:24,00:00:29,"I am sitting here with Andrew Hunter Murray, James Harkin, and Anna Tajinsky, and once"
00:00:29,00:00:33,"again, we have gathered around the microphones with our four favorite facts from the last"
00:00:33,00:00:37,"seven days, and in a particular order, here we go."
00:00:37,00:00:39,"Starting with you, Andy."
00:00:39,00:00:44,My fact is that Paris's first public transport system failed because wealthy passengers bought
00:00:44,00:00:48,all the seats for themselves and then persuaded the government to ban poor people.
00:00:48,00:00:49,Wow.
00:00:49,00:00:50,Incredible.
00:00:50,00:00:56,"But if they were selling all the tickets, surely that's not a failure."
00:00:56,00:01:00,"Well, then the rich apparently does lost interest and then stopped using it, and then no one"
00:01:00,00:01:01,was using it.
00:01:01,00:01:03,So it was a complete disaster.
00:01:03,00:01:07,"This is from an article on Lapham's Quarterly, which is an amazing website."
00:01:07,00:01:08,It's really brilliant.
00:01:08,00:01:12,"It's got so many fascinating things on it, and it's partly based on this brilliant sounding"
00:01:12,00:01:17,"book about buses, which is called ""Engine of Modernity"" by Masha Belenky."
00:01:17,00:01:21,"Andy, have you already moved on from Fennicular Railways then?"
00:01:21,00:01:25,I'm afraid so.
00:01:25,00:01:34,"So this was called The Carrots, and it was set up by Blaise Pascal."
00:01:34,00:01:37,So we briefly actually mentioned before that Blaise Pascal set up the first public transport
00:01:37,00:01:40,"system in Paris, but I didn't know what happened to it."
00:01:40,00:01:44,"And it was basically a carriage with eight passengers and two staff, and they were rude."
00:01:44,00:01:45,"I'm sorry, when was it?"
00:01:45,00:01:46,Did you say?
00:01:46,00:01:47,"Oh, I'm sorry."
00:01:47,00:01:48,It was in 1662.
00:01:48,00:01:50,And who was Blaise Pascal again?
00:01:50,00:01:57,"He was a thinker, mathematician, probability dude, and what's Paris again?"
00:01:57,00:02:01,"I'm sorry, who were you?"
00:02:01,00:02:06,"Anyway, the point is, wealthy riders didn't like sharing with poor people."
00:02:06,00:02:11,"I think they weren't even, I think, really poor people were not even allowed on in the first"
00:02:11,00:02:12,place.
00:02:12,00:02:15,So I think wealthy people didn't like even sharing with the middle classes.
00:02:15,00:02:18,And so they would buy up all the seats in the carriage for themselves.
00:02:18,00:02:21,"And it lasted, I think, a few weeks."
00:02:21,00:02:26,"It was this really weird attempt to set up public transport, which didn't work because social"
00:02:26,00:02:27,hierarchy just got in line.
00:02:27,00:02:31,"Oh, I think it lasted a bit longer than that, because they had quite a few different routes"
00:02:31,00:02:32,by the end.
00:02:32,00:02:33,So they started off.
00:02:33,00:02:34,It was Blaise Pascal.
00:02:34,00:02:40,"He put the money in, along with a few other people, including the Duke of Roane."
00:02:40,00:02:48,"And the first route went from Pascal's house to the Duke of Roane's house, just by coincidence."
00:02:48,00:02:51,"And it went through the centre of Paris, but it did pick people up on the way."
00:02:51,00:02:55,"And then they, I think they had three or four other lines, and then they even had a circle"
00:02:55,00:02:57,line that connected all of them.
00:02:57,00:03:04,"And it was carried on going even after Pascal died, but once he died, it kind of went off."
00:03:04,00:03:11,"And they banned, the government banned soldiers and pages and other kind of livery to people"
00:03:11,00:03:12,in uniform kind of people.
00:03:12,00:03:16,"And when they banned those, everyone rioted against it, and that's kind of when it all"
00:03:16,00:03:18,fell out of favour.
00:03:18,00:03:23,"So this is what I did, because I read that, and I didn't quite understand why people wanted"
00:03:23,00:03:24,men in uniform banned.
00:03:24,00:03:27,"Well, they were the middle class, basically."
00:03:27,00:03:32,"A men in uniform would be not the working class, but not the, not the post shows."
00:03:32,00:03:36,"They'd be the in between people that you didn't really want to, want to mix with."
00:03:36,00:03:37,Right.
00:03:37,00:03:39,"So they had, they had a fashion ban on the bus, then, right?"
00:03:39,00:03:46,"Did they have people, was it the doctor's job, or the bus driver's job to go, ""I'm sorry,"
00:03:46,00:03:48,"you don't look good enough for my bus."""
00:03:48,00:03:51,"Or did you have to provide more concrete evidence, because you can be quite a good looking"
00:03:51,00:03:52,tailor.
00:03:52,00:03:56,"Surely you had to provide your CV, or maybe some really references from the former boys"
00:03:56,00:03:58,"or something, and it was to get on the bus."
00:03:58,00:04:01,"I don't really know how they managed to police it, to be honest."
00:04:01,00:04:02,I suppose.
00:04:02,00:04:08,"I suppose that the other, the other posh people on the bus would go, ""That man is a livery"
00:04:08,00:04:09,"man."""
00:04:09,00:04:12,"Yeah, livery is pretty easy to spot."
00:04:12,00:04:13,Yeah.
00:04:13,00:04:16,"You could, you know what livery is when you say, ""There was actually, I do know one thing"
00:04:16,00:04:20,"about how it was police, which is that you could be whipped if you interfered with the operations"
00:04:20,00:04:21,"of the bus."""
00:04:21,00:04:22,Wow.
00:04:22,00:04:23,Oh.
00:04:23,00:04:24,Yeah.
00:04:24,00:04:25,"Quite right, too."
00:04:25,00:04:26,"I mean, you could still be arrested."
00:04:26,00:04:29,"I think if you try to interfere with the operations of a public bus today, if you climb onto"
00:04:29,00:04:32,"the driver's lap and take control of the wheel, you are in trouble."
00:04:32,00:04:33,That's true.
00:04:33,00:04:37,And there probably is still some sort of fashion laws with modern-day London buses.
00:04:37,00:04:43,"Like, if I went on nude, that might be seen as worthy of not allowing me on."
00:04:43,00:04:44,True.
00:04:44,00:04:45,Yeah.
00:04:45,00:04:48,I just don't know it.
00:04:48,00:04:52,"And this really did sort of fall by the wayside, the idea of public transport for a long time,"
00:04:52,00:04:53,didn't it?
00:04:53,00:04:56,"So obviously you could get coaches and you could, you could hire lots if you could hire a"
00:04:56,00:05:01,"private coach or get on a post-chase or whatever, but the idea that a bus would have a specific"
00:05:01,00:05:05,route and you knew when it was going to be wet and you could wait there and pick it up.
00:05:05,00:05:10,"Then didn't come back until 1828, I think, in Europe and in Nantes."
00:05:10,00:05:13,"That's a long gap between buses, isn't it?"
00:05:13,00:05:14,Yeah.
00:05:14,00:05:21,"If you just missed the last one in the 1690s and you're like, OK, I'll wait for the next one."
00:05:21,00:05:22,It's there on the schedule.
00:05:22,00:05:23,What?
00:05:23,00:05:24,Wait?
00:05:24,00:05:25,"Oh, it's fine."
00:05:25,00:05:26,1828.
