start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,We're going to go to the U.K.
00:00:06,00:00:19,Hello and welcome to another working from home episode of no such thing as a fish
00:00:19,00:00:24,a weekly podcast coming to you from four undisclosed locations in the U.K.
00:00:24,00:00:29,"My name is Dan Schreiber, I am sitting here with James Harkin with Andrew Hunter Murray"
00:00:29,00:00:33,and Anna Tajinsky and once again we have gathered around the microphones with our four favorite
00:00:33,00:00:38,facts from the last seven days and in no particular order here we go.
00:00:38,00:00:41,Starting with fact number one and that's my fact this week.
00:00:41,00:00:47,My fact is two days after receiving his latest book the author of annals of gullibility
00:00:47,00:00:53,why we get juped and how to avoid it lost hundreds of thousands of dollars in a Ponzi scheme.
00:00:53,00:00:59,He did admit that it was embarrassing he kind of thinks it's funny now you know with the
00:00:59,00:01:05,distance of time to look back at it but this is a guy called Stephen Greenspan and he'd written
00:01:05,00:01:11,this book and and it was meant to sort of help you to understand how not to be jubed by exactly
00:01:11,00:01:16,the thing that caught him off guard so he got caught off guard by the greatest Ponzi scheme
00:01:16,00:01:24,of them all which was the Bernie Madoff which set so many people around the world losing thousands
00:01:24,00:01:29,and millions in some cases it's the biggest of its kind and yeah it was recommendation via his sister
00:01:29,00:01:33,"and two days after receiving his latest book he lost 400,000."
00:01:33,00:01:40,Wow in his advice as to how to avoid it did it include things like you know don't take advice
00:01:40,00:01:45,from ill-informed siblings and don't invest with people who have surnames that sounds especially
00:01:45,00:01:52,like the phrase made off. I think a revised edition was hastily issued with all this in there.
00:01:52,00:01:59,Don't come at his check is the Ponzi scheme basically a pyramid scheme where it's what it is
00:01:59,00:02:04,is you get in early investors and you get their money and when you bring in new investors you give
00:02:04,00:02:08,the money of the new investors a bit of it to the early investors so it seems as if they're
00:02:08,00:02:12,getting returned on their money and then you kind of thought that was a pyramid scheme basically.
00:02:12,00:02:18,A pyramid scheme is where you bring in new investors and they have to bring in new investors
00:02:18,00:02:22,and that money comes up to the people higher up in the pyramid it's slightly different.
00:02:22,00:02:29,Oh yeah see. So the Ponzi scheme is more flat it's more like a large plane on the deserts of Egypt
00:02:29,00:02:35,compared to the pyramid. A Ponzi scheme is the thing that we used to do as kids which I found
00:02:35,00:02:40,so thrilling do you remember where you'd get a letter that had a chocolate bar in it and you said
00:02:40,00:02:48,and it said send this on with no wait how would it work. I tell you no you're right you're doing
00:02:48,00:02:52,all right someone sends you a letter saying send me a chocolate bar but then you send the letter
00:02:52,00:02:57,to six people and then ask you ask each of them to send you a chocolate bar and then you get six
00:02:57,00:03:01,chocolate bars. It was amazing. That's a pyramid scheme. That's a pyramid scheme not a Ponzi
00:03:01,00:03:08,scheme but Anna if you've been investing. No a Ponzi scheme. It's pretty similar. It's similar
00:03:08,00:03:14,but it is there's quite a distinctive difference. So in a Ponzi scheme you would get a load of
00:03:14,00:03:19,Mars bars from loads of different people and then you would cut some of the Mars bars up and they give
00:03:19,00:03:24,the Mars bar back with another half of a Mars bar to someone who said you want Mars bar as they think
00:03:24,00:03:28,they're getting one and a half back but actually what you're doing is you're using other people's
00:03:28,00:03:33,Mars bars to do it and eventually you're going to run out of Mars bars. Do you have to re-wrap the
00:03:33,00:03:37,Mars bars once you cut them out? I feel like it's more different with Mars bars than it is with
00:03:37,00:03:45,money. It is when you get a monkey half a Mars bar through the bus. Is it different? They get in a nice
00:03:45,00:03:50,crisp 50 pound note. We're rich. We're rich. You know it's weird just in order to get ready for this
00:03:50,00:03:54,fact. I looked up what a Ponzi scheme was so I knew what it was. I now have no idea what it is off
00:03:54,00:04:01,the back of all these models. It's literally all it is is a pyramid scheme has one person at the
00:04:01,00:04:05,"top ten people next, a hundred people next, a thousand people next whereas a Ponzi scheme has one"
00:04:05,00:04:09,person at the top and then everyone else is flat. You actually did explain it completely correctly
00:04:09,00:04:16,Dan. We just started throwing Mars bars around. The first Ponzi scheme was basically invented by
00:04:16,00:04:21,"accident, wasn't it by Charles Ponzi? He didn't quite mean to do it. He sort of meant it to be legit"
00:04:21,00:04:27,so it was in the 1920s and he had the scheme where he was buying stamps or actually these things
00:04:27,00:04:33,called reply coupons and that was when if you wrote to a friend internationally you included a reply
00:04:33,00:04:37,coupon which I think essentially meant it was like doing a reverse charge call but on a letter and
00:04:37,00:04:42,it meant that they could write back to you for free. Anyway he bought them overseas for much cheaper
00:04:42,00:04:46,because they were cheaper overseas and then sold them for more in the US and he said to people I've
00:04:46,00:04:51,got this amazing scheme. Well I can make a massive profit on these reply coupons and he got people
00:04:51,00:04:56,to invest and they did and he hadn't factored in the fact that he'd have to pay for all the
00:04:56,00:05:00,ridiculous international travel to these places to go and buy these stamps in the first place so he
00:05:00,00:05:05,realized the scheme couldn't make any money at all but these people were investing loads of money
