start_hhmmss,end_hhmmss,text
00:00:00,00:00:14,[music]
00:00:14,00:00:19,"Hello and welcome to another Working from Home episode of No Such Thing as a Fish,"
00:00:19,00:00:23,a weekly podcast coming to you from four undisclosed locations in the UK.
00:00:23,00:00:27,"My name is Dan Schreiber, I am sitting here with James Harkin,"
00:00:27,00:00:32,"Andrew Hunter Murray, Anna Tijinski, and once again we have gathered around the microphones"
00:00:32,00:00:37,with our four favourite facts from the last seven days and in no particular order here we go.
00:00:37,00:00:40,"Starting with you, Andy."
00:00:40,00:00:45,My fact is that spies can tell what people are saying by looking at the lights in the room they're in.
00:00:45,00:00:52,"So this is a new spying technique which has been discovered or, I don't know what you do with spying"
00:00:52,00:00:59,"techniques, but it's been found out by researchers from the Ben Gurion University of the Negev"
00:00:59,00:01:03,and the Weissmann Institute of Science. And what they've found is that there are lots of different
00:01:03,00:01:09,"ways of eavesdropping on people, and this one is called LAMPHONE. And what it means is,"
00:01:09,00:01:14,"if we're all talking in our rooms, if there's a light bulb and it has to be a hanging light bulb,"
00:01:14,00:01:20,"so you know, a classic bulb, your conversation will make tiny, tiny vibrations on the surface"
00:01:20,00:01:25,"and that will slightly affect the light inside the bulb. And you can get very cheap equipment,"
00:01:25,00:01:29,"like cost a couple of hundred dollars, and you just observe the light bulb from outside the room,"
00:01:29,00:01:34,and you can pick up what people are talking about. You can decode speeches.
00:01:34,00:01:39,"Yeah, so you can, it's not like Morse, it's not translating into Morse, you can pick up the actual"
00:01:39,00:01:45,"sound? Well, I think it has to be translated from light bulb language into sound."
00:01:47,00:01:52,"So it is light bulb language? Yeah, but they can even, you can shazam the song that someone is playing"
00:01:52,00:01:59,"in a room. That's how, yeah. It's amazing, isn't it? And they reckon that they took a snippet of a"
00:01:59,00:02:03,"speech by Donald Trump, and they could understand what he was saying, which is quite impressive,"
00:02:03,00:02:06,because most people can't understand what he's saying most of the time anyway.
00:02:06,00:02:12,Can we do a light bulb episode of Fish that we just release in light bulb language and
00:02:12,00:02:16,"people can decode down the line? Yeah, good idea. Yeah, that won't present any technical problems."
00:02:16,00:02:23,"It's hard enough to get on Zoom, Dan. Is this, do they use lasers for this to reflect, because you"
00:02:23,00:02:27,can't just pin your ear to the window and listen to the vibrations coming off the light bulb or
00:02:27,00:02:32,"anything, presumably. Is it lasers they bounce off it? Yeah, it's invisible lasers. So you won't"
00:02:32,00:02:36,"notice a kind of sniper dot on your light bulb, so you won't be able to tell you being spider."
00:02:36,00:02:41,"What it is actually, I believe not a laser, I think. I think it's just a telescope,"
00:02:41,00:02:46,"so you get the light and an electro optical sensor. Now that might have a laser in it,"
00:02:46,00:02:52,"for all I know, but I think what it is, it takes the light in and it can sense the very,"
00:02:52,00:02:56,very slight changes in light. Can I just say why I flubbed that? It's because there's a separate
00:02:56,00:03:03,"thing called a laser microphone, which was, this was used, this is where you fire a laser at the"
00:03:03,00:03:10,windows of a room and you can eavesdrop that way. And this was used in 2013 in a place called a
00:03:10,00:03:15,botter bed and it was used to find out that there was an extra person inside a building in a botter
00:03:15,00:03:20,bed and that extra person who never left the building turned out to be Osama Bin Laden.
00:03:20,00:03:25,So that's how they found out there was an extra person inside that building who never went outside.
00:03:25,00:03:31,"And do you know who invented this, this laser? No. It was Leon Theramen, the inventor of the"
00:03:31,00:03:41,"Theramen. That instrument? Do the noise again, Dan? You should explain what the Theramen is,"
00:03:41,00:03:44,as well as doing that excellent impersonation. I think we have mentioned it before.
00:03:44,00:03:49,"Yeah, so Theramans are, you will have seen them possibly as an instrument that I don't,"
00:03:49,00:03:54,"I actually don't know how they work technically. They give off electromagnetic waves, don't they,"
00:03:54,00:03:59,"and your hand can disrupt them and they make a noise. Yeah, so people use their hand, if you see"
00:03:59,00:04:04,"them sort of pushing forward and backwards their hand, it will sort of make that kind of..."
00:04:04,00:04:08,"Yeah, it's basically a ghost impression is what it sounds like."
00:04:08,00:04:13,So Leon Theramen invented what basically was the precursor to the modern laser microphone that we
00:04:13,00:04:20,"have today and it was used by the Soviet Union and he was given a Stalin prize for inventing this,"
00:04:20,00:04:26,what was advanced espionage technology. So Theramen found Osama Bin Laden.
00:04:27,00:04:30,Wow. That's amazing. That's sort of spooky.
00:04:30,00:04:39,The other thing that Theramen did really interestingly was he had invented basically
00:04:39,00:04:46,like the technology you have on contactless credit cards. He put one of those in a giant wooden seal
00:04:46,00:04:51,"and when I say seal, I don't mean the animal. I mean like kind of a symbol of the United States"
00:04:51,00:04:56,"and then gave it to the US embassy somewhere, I think, and they had it up in their room,"
00:04:56,00:05:00,but what they didn't realise is there was a tiny chip in there and that they could hear
00:05:00,00:05:04,"what was happening by using this contactless technology, I think."
00:05:04,00:05:06,"Yep. Yeah, you're completely right."
00:05:06,00:05:09,They didn't have to go up to the seal. The Soviets didn't have to go up to the seal
00:05:09,00:05:15,"and then sort of tap on it to get the sound files out, but they sort of fired electromagnetic"
00:05:15,00:05:19,"beams at it, didn't they? And that activated it, just like your oyster card is activated"
00:05:19,00:05:21,by the ticket stand. It was called the thing.
00:05:21,00:05:26,The thing? That's what it's called. The seal was called the thing.
00:05:26,00:05:31,Soviet school children gave it to the US embassy or the US ambassador in 1945 and they managed to
00:05:31,00:05:35,"get seven years of espionage recording out of it. Wow, that's so cool."
00:05:35,00:05:38,How did they make sure the US ambassador put it in the right room?
00:05:38,00:05:42,"It was so big, I think, that I had to go on the wall somewhere. I don't think they could guarantee"
00:05:42,00:05:47,"the room, but also it was completely made of wood, so they thought this is definitely safe."
00:05:47,00:05:48,There's no way this is a spying tool.
00:05:48,00:05:52,And the really clever thing about those kind of chips that you have in your credit card and in
00:05:52,00:05:58,"your oyster card is they don't need any power, do they? All the power comes from the thing that's"
00:05:58,00:06:06,"scanning them. You know, Edward Snowden, he has a secret device to stop himself being spied on,"
00:06:06,00:06:11,which is a blanket over his head. Is that what inspires you? Because you do that sometimes
00:06:11,00:06:14,when we record. And I thought it was just to embellish the ghost impression that you've been
00:06:14,00:06:22,"honing. That's just social anxiety. But Edward Snowden has, he calls it his magic mantle of"
00:06:22,00:06:27,"power. And basically, it's to stop targeted video surveillance. Because obviously, if you're"
00:06:27,00:06:31,"Edward Snowden, you know, leaking secrets, there's a chance someone will be trying to"
00:06:31,00:06:34,spy on you. So he just puts a blanket over his head when he types his password in.
00:06:34,00:06:38,"I remember reading an article about, was it Glenn Greenwald who interviewed him?"
00:06:38,00:06:43,"Yeah, someone like that. And they said that whenever they went into his hotel room or his"
00:06:43,00:06:48,"house or whatever, they always made you put your phone in the microwave as soon as you"
00:06:48,00:06:52,walked in. That was what you always had to do. I think Snowden makes people put it in the
00:06:52,00:06:56,"refrigerator. I'll just see. It's his. Yeah. How does it work, Andy, though? If he's put it over"
00:06:56,00:07:01,"his head, he's not going to be able to see what he's typing. A, but also it's just his eyeballs"
00:07:01,00:07:08,"that I'm not seeing. I reckon Edward Snowden can touch type. But still, what are they recording?"
00:07:08,00:07:15,"All of him is under the blanket. Oh, he's in a port. No, he's not. Well, yes. He's got a blanket"
00:07:15,00:07:19,"over his head and his hands, basically. It's in case there's someone, the camera in the room that"
00:07:19,00:07:23,"would fill what he's typing. Yeah, yeah, yeah. And you've got to assume that he's done the very"
00:07:23,00:07:26,"basic putting masking tape over the camera on his laptop, because if he's missed that trick,"
00:07:26,00:07:32,"he's an absolute nobody. Actually, you know what they can tell what you're typing by just"
00:07:32,00:07:38,listening to the sound of your typing on your keyboard. So there are some researchers at
00:07:38,00:07:46,"the University of California, Berkeley, actually, it's Doug Tiger and his team. And they've worked"
00:07:46,00:07:50,"out every time you click a button, it makes a very, very slightly different sound to the other ones."
00:07:50,00:07:55,But you can't really tell which one is which. But what you can do is you can take all the clicks
00:07:55,00:08:02,"and then work out the one that comes most often is probably E. And if there are two letters together,"
00:08:02,00:08:07,"these researchers, they realize that it could be T H or it could be E R. And it could definitely not"
00:08:07,00:08:12,"be B F, because there are no words with B F next to each other. What the hell of us there are?"
00:08:12,00:08:18,"What if you're like, me and my B F are both hardcore spies? Exactly. If you are Edward Snowden,"
00:08:18,00:08:22,"here's a little tip for him, and he's in his little fort, and you want to trick the FBI,"
00:08:22,00:08:29,just keep writing about your B F F. He's been a major sort of revealer of a lot of these secrets
00:08:29,00:08:35,"that we've been researching, hasn't he? So he, a lot of stuff came out on the back of his revelations."
00:08:35,00:08:38,"So I think, for instance, when the Guardian was doing their investigation and they got"
00:08:38,00:08:42,"hold of a lot of the documents, they were told that they weren't allowed to keep any of the Edward"
00:08:42,00:08:46,Snowden files in their offices because the government thought that they could be spied on
00:08:46,00:08:50,"by laser microphones, just bouncing off their glasses of water and stuff like that. So it's"
00:08:50,00:08:55,"not just the windows. It's if you've got a mug of tea or anything similar to that, they could do that."
00:08:55,00:09:02,"And yeah, he's in the wake of his revelations, a lot of countries took action to make sure that"
00:09:02,00:09:08,"the US or the NSA couldn't spy on them too much anymore. So Germany, for instance, invested in a"
00:09:08,00:09:13,"whole bunch of typewriters, which I don't know if this would have solved the typing issue. But the"
00:09:13,00:09:19,"idea is that if you're writing on a typewriter, there's no digital memory of it anywhere. You've"
00:09:19,00:09:24,just got it on a bit of paper in that weird old school font. And then I guess you just post it
