start_hhmmss,end_hhmmss,text
00:00:00,00:00:14,[music]
00:00:14,00:00:19,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:00:19,00:00:24,to you from four undisclosed locations in the UK.
00:00:24,00:00:28,"My name is Dan Schreiber, I am sitting here with Anna Tejinski, Andrew Hunter Murray and"
00:00:28,00:00:32,James Harkin and once again we have gathered round the microphones with our four favourite
00:00:32,00:00:37,"facts from the last seven days and in no particular order, here we go."
00:00:37,00:00:41,"Starting with fact number one and that is my fact, my fact this week is that the London"
00:00:41,00:00:45,Underground used to have a church interval on Sundays.
00:00:45,00:00:46,Wow.
00:00:46,00:00:51,"Yeah, it respected the church, it would stop services during church times."
00:00:51,00:00:55,Stop services so that you could have a service.
00:00:55,00:00:57,Very nice and we're off.
00:00:57,00:01:05,It's a bumpy start but at least we're moving.
00:01:05,00:01:08,"If you were halfway between stations, would it just stop underground and you're trapped"
00:01:08,00:01:11,there having to worship God from the subterranean?
00:01:11,00:01:13,"That's such a good point, I don't know."
00:01:13,00:01:17,"I did find a thing called the London Underground Church and I thought, oh great, there's going"
00:01:17,00:01:20,"to be a church down there but apparently it was a political movement, it was a sort"
00:01:20,00:01:23,of like underground in the sense that it wasn't allowed to be known.
00:01:23,00:01:27,So it was a couple of hours on a Sunday so people could go to church.
00:01:27,00:01:32,"Yeah, it was 11 a.m. to 1 p.m. roughly and this is a thing that has existed for a very"
00:01:32,00:01:33,long time.
00:01:33,00:01:39,"So the London Underground, very, very old, the first line opened in 1863 just to put"
00:01:39,00:01:44,"in context, nine days before that Abraham Lincoln signed the Emancipation Proclamation"
00:01:44,00:01:45,in America.
00:01:45,00:01:46,Wow.
00:01:46,00:01:49,Just to put it in context of how old this is.
00:01:49,00:01:54,"Interestingly though Dan, I know how old the London Underground is, better than I know"
00:01:54,00:01:58,when the Proclamation was signed so it didn't really help me that much.
00:01:58,00:02:00,I think that was more for American listeners.
00:02:00,00:02:01,Got it.
00:02:01,00:02:02,Yeah.
00:02:02,00:02:03,Got it.
00:02:03,00:02:08,"Yeah and it's, so there was a big thing where you had to respect a lot of the church during"
00:02:08,00:02:12,those times and one of the things was transport also had to do that and that extended to the
00:02:12,00:02:16,London Underground and that extended all the way till 1900 when I think it was the central
00:02:16,00:02:24,"line, was the first line that didn't abide by the church interval and interestingly, famous"
00:02:24,00:02:27,celebrity on the first central line ride.
00:02:27,00:02:29,"Oh, wait, did you know what year it was?"
00:02:29,00:02:30,1900.
00:02:30,00:02:35,"Oh, who was famous in 1900 who we would have heard of today, Gladstone."
00:02:35,00:02:39,"It was, this is again for the American listeners, it was an American visiting."
