start_hhmmss,end_hhmmss,text
00:00:00,00:00:14,[Music]
00:00:14,00:00:19,"Hello and welcome to another Working from Home episode of No Such Thing as a Fish,"
00:00:19,00:00:24,a weekly podcast coming to you from four undisclosed locations in the UK.
00:00:24,00:00:28,"My name is Dan Schreiber, I am sitting here with Andrew Hunter Murray, James Harkin"
00:00:28,00:00:32,and Anatojinsky and once again we have gathered round the microphones with our
00:00:32,00:00:37,four favorite facts from the last seven days and in no particular order here we go.
00:00:37,00:00:43,"Starting with fact number one, that's my fact. My fact this week is before hermit crabs,"
00:00:43,00:00:51,"we're called hermit crabs, there was a hermit called Crab. This is a man called Roger Crab,"
00:00:51,00:00:57,"who his dates were 1621 to 1680 and he was an English soldier, he was a habidasher,"
00:00:57,00:01:04,"he was a herbal doctor, an author and a hermit and he predates the naming of hermit crabs."
00:01:04,00:01:09,"So did he live in a kind of shell, which he would periodically exchange for a very slightly"
00:01:09,00:01:15,"larger shell? Are hermit crabs named after him? Well, hermit crabs I believe are named after"
00:01:15,00:01:19,hermits generally but I don't think he was such a famous hermit that he sort of defined the whole
00:01:19,00:01:25,"species. He was semi-famous, right? Isn't there a thought that he was a hatter and there's a"
00:01:25,00:01:29,"thought that Lewis Carroll's mad hatter was maybe based on him because he was also, it seems,"
00:01:29,00:01:34,"quite mad. Yeah, I couldn't find anything that sort of truly links that other than people saying"
00:01:34,00:01:37,"it was thought. Did you get anywhere with that? No, like people were writing about him a lot in"
00:01:37,00:01:42,"the 19th century when Lewis Carroll was also writing, you know, people would reflect back on"
00:01:42,00:01:47,"his life, there were quite a lot of sources, so maybe he was your famous mad hatter. But he wasn't,"
00:01:47,00:01:53,"was he, when was he alive? He was 1600s. Oh, okay, cool. They just talked about him a lot."
00:01:53,00:01:58,"Hermit crabs were named in the 1700s, so he predates them only just, but he gets there."
00:01:58,00:02:03,"It's sad, isn't it, in a way, that, you know, he never knew that those animals,"
00:02:03,00:02:07,"but if he was a really famous hermit, like you guys are saying, then hermit crabs might"
00:02:07,00:02:12,"have been based on him, you know? Yeah. It's possible. Yeah. And he had sort of a sad life,"
00:02:12,00:02:16,"even though I guess he claimed to like it. Didn't he, by the end of his life, he was all about"
00:02:16,00:02:22,"denying himself sort of all pleasures. Yes. And he didn't, he limit himself to potatoes and carrots,"
00:02:22,00:02:26,"and then he sort of quit that and just lived off bran and turnip leaves, and then he quit that."
00:02:26,00:02:30,"And by the end of his life, apparently he was living off dock leaves and grass. Yeah,"
00:02:30,00:02:36,"he was just eating grass at the end. I don't know if directly mouth to ground, or if he turned it"
00:02:36,00:02:41,"into a sort of picked it and put it in a bowl. Anna, you wrote something last week, which I read,"
00:02:41,00:02:45,"which says that you can't eat grass. Yeah, it's interesting, isn't it? So I'm not quite sure how"
00:02:45,00:02:51,"he was surviving, maybe he had a cow's stomach implanted into his own body. Because what you need"
00:02:51,00:02:55,"is like cows have the right bacteria in their stomachs, which means that they can break down"
00:02:55,00:03:00,"the cellulose and get to the good stuff inside the grass, but we don't have it in our stomach. So,"
00:03:00,00:03:03,"unless he's licked a few cows to get the bacteria, I don't know how he's, I mean,"
00:03:03,00:03:09,maybe he died almost immediately after deciding to eat only grass. It is the last thing on his menu
00:03:09,00:03:13,"of diet changes. So I think we can assume it might have played a part in that. No, he was,"
00:03:13,00:03:18,"yeah, and he was accused of witchcraft in his lifetime as well, because he used to make prophecies."
00:03:18,00:03:24,"I couldn't actually find any of his prophecies, but... I bet I'll die really soon after adopting"
00:03:24,00:03:32,"this brand new diet. But yeah, so good to know he existed. I'd never heard of Roger Crab before."
00:03:32,00:03:37,"He seems like a proper hermit too. He seems like an in it for life hermit, because we briefly"
00:03:37,00:03:42,mentioned before that you used to be able to kind of hire a hermit for your garden if you're a land
00:03:42,00:03:46,"owner. Yes. Which is more, they're more in it for the money. There's a guy who's written,"
00:03:46,00:03:50,"Gordon Campbell is his name, he's written a book, which has got one of the best book titles ever."
00:03:50,00:03:57,It's called The Hermit in the Garden from Imperial Rome to Ornamental Gnome. And he tracked down a
00:03:57,00:04:02,"load of newspaper adverts, which were kind of hiring hermits or advertising for hermits."
00:04:02,00:04:08,So some said you get £50 a year for life as long as you live underground for the rest of your life
00:04:08,00:04:14,and no one sees you. That's one offer. And I think you could ring a bell and a servant would bring
00:04:14,00:04:17,"you stuff, but you weren't allowed to chat to anyone and you had to grow your hair and your"
00:04:17,00:04:21,"fingernails. So it's really unclear what the land owner gets out of this, but someone took"
00:04:21,00:04:25,"that for four years and stuck it out for that long. But there are so few shops underground,"
00:04:25,00:04:30,it's hard to work out what you'd spend your £50 on. I think Amazon would deliver to your underground
00:04:30,00:04:35,place. That's a good point. There was one guy called Charles Hamilton who offered a job on his
00:04:35,00:04:40,"Surrey estate, which was £700 in exchange for seven years of hermiting. So it's like a fixed-term"
00:04:40,00:04:46,contract. And the successful applicant took the job and then was founded a local pub three weeks
00:04:46,00:04:55,into the hermit shop. Wow. Yeah. He lasted longer than I would. I think he was also in that book.
00:04:55,00:05:00,"He talked about Peter the Great's hermitage, which was very much more on the side of not a proper"
00:05:00,00:05:07,"hermitage. I've been to the hermitage in St. Petersburg and if a hermit lived there, he was"
00:05:07,00:05:13,"living at large. Yeah. So actually, that was an even bigger upgrade compared to Peter the Great's"
00:05:13,00:05:17,"original one. But he originally decided to build a hermitage in his garden, which was sort of a"
00:05:17,00:05:22,"retreat from matters of state. And this was in the 1700s when it was quite popular,"
00:05:22,00:05:28,the hermit lifestyle. And this was described as being a hermitage and that it had no servant.
00:05:28,00:05:36,So you were really living like a feral human. And it was two floors and the dining room was on
00:05:36,00:05:40,the upper floor and the kitchen was on the lower floor. And there were no stairs going from the
00:05:40,00:05:46,"lower floor to the upper floor. So the guests, when they arrived, had to be hoisted on chair lift."
00:05:46,00:05:50,"So on their individual chairs, hoisted up onto the upper floor to eat. And then when the table was"
00:05:50,00:05:56,"loaded with food, it would be descended through the floor onto the ground floor, loaded up with food,"
00:05:56,00:06:00,and then hoisted up onto the upper floor again. Sounds so cool.
00:06:00,00:06:04,Who's doing the hoisting if there are no servants? Because I thought I'd read that there were just
00:06:04,00:06:09,"no servants on the first floor. Like, obviously, there'll be loads of servants doing all the"
00:06:09,00:06:17,"pulling and cooking. Yeah. That's not really living an ascetic life, is it? If, you know,"
00:06:17,00:06:24,"you only have servants on one of your floors. Come on, he's making an effort. Fair enough."
00:06:25,00:06:30,"There are more modern hermits, aren't there? There was a guy in America called Billy Barr who"
00:06:30,00:06:37,lived in the Rocky Mountains. And he's really cool because he got bored quite soon into being a hermit
00:06:37,00:06:43,"or living on his own, let's say. And so he decided to kind of make a diary. And he started measuring"
00:06:43,00:06:48,the snow levels and all the animal tracks and when the first birdsong would be every year.
00:06:48,00:06:54,"And he did it for 44 years. And now his notes can be used to measure climate change,"
00:06:54,00:06:59,"which I think is really cool. They're actually using his diary to say, ""Ah, wait a minute. In"
00:06:59,00:07:02,"1970 something, the birds sang on this date and now they're singing on this date."""
00:07:02,00:07:08,Are there any awkward entries in the diary which they have to just skip over where he--
00:07:08,00:07:15,"Wow. In 1976, he started masturbating in June, but in 1970-80, he started masturbating in May."
00:07:15,00:07:18,What does this tell us about the temperature in the Rocky Mountains?
00:07:21,00:07:28,"I found a pro hermit in the UK who seems to be operating in the UK, or definitely he's done"
00:07:28,00:07:34,stints here. So he's an Indian artist called Ansuman Biswas. And he was recruited in 2002
00:07:34,00:07:40,"by Staffordshire Council to live for a weekend, a weekend of being a hermit in place."
00:07:40,00:07:44,"That's so ridiculous. Well, we've all been in our house for three months."
00:07:47,00:07:52,"So that was 2002. He was paid 600 quid to live in a grotto for a weekend, not bad."
00:07:52,00:07:58,"Then in 2009, there's a news report of Manchester Museum hiring a hermit, guess who it is? It's"
00:07:58,00:08:05,"Indian artist Ansuman Biswas again. And then he's done another one. Recently, this year,"
00:08:05,00:08:10,he was going to do the Horniman Museum in South London and live there. He was going to be locked
00:08:10,00:08:14,"in their clock tower. But unfortunately, due to everyone staying at home, he was not allowed"
00:08:14,00:08:22,"to become a hermit. That's so amazing. So when lockdown finishes, he gets to go and lock down"
00:08:22,00:08:28,"again. Really? Yeah, I wonder if hermits have generally been furloughed across the board."
00:08:28,00:08:36,"Apparently, I was reading a Victorian source reflecting back on hermits throughout time,"
00:08:36,00:08:40,and it was such a religious thing. And all religions seem to have this tradition about
00:08:40,00:08:45,self-denying. And this source was saying that basically the women did it properly and the men
00:08:45,00:08:51,didn't really do it. So it said that basically there's a division between hermits proper and
00:08:51,00:08:57,"recluses. And hermits proper tend to see quite a lot of people have guests go out into the world,"
00:08:57,00:09:01,and then recluses are the ones that don't see anyone. And it said it was basically done down
00:09:01,00:09:06,"gender lines. So the recluses would be women and they would see nobody. But then actually,"
00:09:06,00:09:11,"I think because anchoresses were the recluses, essentially, and they were meant to be hermits."
00:09:11,00:09:16,"Again, Julian of Norwich, a very, very famous example, and they essentially were Agneons,"
00:09:16,00:09:21,"I think, which so they would deliberately have their hermitages built in the middle of quite a"
00:09:21,00:09:26,busy thoroughfare. Like in the Trafford Centre or something. Yeah. And then you would just go
00:09:26,00:09:32,"and sit next to her and say, ""Oh, I'm feeling a bit sad today. I've been doing some sins."""
