start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:17,"- Hello, and welcome to another episode"
00:00:17,00:00:20,"of No Such Thing as a Fish, a weekly podcast coming to you"
00:00:20,00:00:23,from four undisclosed locations in the UK.
00:00:23,00:00:25,"My name is Dan Schreiber, I am sitting here"
00:00:25,00:00:29,"with James Harkin, Anna Tijinski, and Andrew Hunter Murray,"
00:00:29,00:00:31,"and once again, we have gathered round the microphones"
00:00:31,00:00:34,"with our four favorite facts from the last seven days,"
00:00:34,00:00:37,"and in no particular order, here we go."
00:00:37,00:00:39,"Starting with you, Anna."
00:00:39,00:00:43,- My fact this week is that golden moulds shine
00:00:43,00:00:47,"in all the colors of the rainbow, and they'll never know it."
00:00:47,00:00:49,"- Oh, that's sad. - Wow."
00:00:49,00:00:51,- It's what a tragic fact to open with.
00:00:51,00:00:53,- Is it because they're stupid?
00:00:53,00:00:55,They don't even know their moulds.
00:00:55,00:00:58,Is this the reason I said?
00:00:58,00:00:59,- They don't know their moulds.
00:00:59,00:01:00,They don't have a concept of color.
00:01:00,00:01:02,They don't know what a rainbow is.
00:01:02,00:01:04,"There's a lot of reasons why, but..."
00:01:04,00:01:06,- It made me wonder if there were things
00:01:06,00:01:08,"that we don't know about, you know what I mean?"
00:01:08,00:01:12,"It's like, and we're not smart enough to know what they are."
00:01:12,00:01:15,So it could be that there are amazing colors
00:01:15,00:01:19,"that no one knows what they are that we give off, or smells."
00:01:19,00:01:22,"- Yeah, so dogs are doing a podcast saying,"
00:01:22,00:01:26,"did you know humans smell exactly like, I don't know,"
00:01:26,00:01:28,"rotting mushrooms, and they'll never know it."
00:01:28,00:01:30,(laughing)
00:01:30,00:01:32,"- They've got the word dickhead written on their forehead,"
00:01:32,00:01:33,and they have no idea.
00:01:33,00:01:35,(laughing)
00:01:35,00:01:38,"- Anyway, so back to the old moulds."
00:01:38,00:01:41,I read about them in this fantastic article
00:01:41,00:01:42,in the London Review of Books.
00:01:42,00:01:45,"It's by Catherine Rondle, and this is about the golden mould,"
00:01:45,00:01:48,and it's the first known iridescent mammal.
00:01:48,00:01:51,"So iridescent means it shimmers, like, you know,"
00:01:51,00:01:53,"when you spill petrol, or in soap bubbles,"
00:01:53,00:01:55,or a pigeon's neck.
00:01:55,00:01:56,"So they have this amazing fur,"
00:01:56,00:01:58,"which is a very specific structure,"
00:01:58,00:02:00,which reflects and reflects light
00:02:00,00:02:03,"in a way that causes this rainbow effect to happen,"
00:02:03,00:02:05,but they are totally blind.
00:02:05,00:02:08,"So usually iridescence in nature is for attracting mates,"
00:02:08,00:02:11,or maybe warning off a predator to suggest
00:02:11,00:02:12,that you're poisonous.
00:02:12,00:02:15,But this serves absolutely no purpose whatsoever.
00:02:15,00:02:16,They're underground almost the whole time.
00:02:16,00:02:19,"They do have eyeballs, weirdly."
00:02:19,00:02:21,We think the optic nerve isn't really functioning anymore.
00:02:21,00:02:23,"They have eyeballs, but their eyeballs"
00:02:23,00:02:27,"are covered with skin and fur, so aren't doing that much good."
00:02:27,00:02:29,"So yeah, they'll never know."
00:02:29,00:02:33,"And we think that it's possibly to repel water,"
00:02:33,00:02:34,"this particular sheen,"
00:02:34,00:02:37,or it could be to help them skid through holes
00:02:37,00:02:38,when they're digging holes in the sand.
00:02:38,00:02:39,"They can go really quickly,"
00:02:39,00:02:43,because they have these amazing scale-like things on them.
00:02:43,00:02:46,"But the colour is just a byproduct of that, right?"
00:02:46,00:02:49,"Yeah, it's one of those accidental bits of evolution,"
00:02:49,00:02:51,"which is surprisingly rare, exactly,"
00:02:51,00:02:53,so that they've evolved to have this very specific structure
00:02:53,00:02:54,to make them slippery.
00:02:54,00:02:57,"And it happens, so that's all rainbow as well."
00:02:57,00:03:00,"So they live in the deserts of southern Africa,"
00:03:00,00:03:01,and I've seen videos of them
00:03:01,00:03:03,and how they travel through the sand.
00:03:03,00:03:06,"But what's really funny is, when you're watching the videos,"
00:03:06,00:03:10,"is they swim through the sand very close to the surface,"
00:03:10,00:03:12,so you know where they're going.
00:03:12,00:03:14,It's like someone trying to escape jail
00:03:14,00:03:17,"by digging a tunnel under the outside,"
00:03:17,00:03:19,but doing it right at the surface.
00:03:19,00:03:21,So you always know where they are.
00:03:21,00:03:23,"But they're really cool the way they hunt,"
00:03:23,00:03:25,"because I think we may have seen the same thing, Dan."
00:03:25,00:03:27,"They come out of the ground,"
00:03:27,00:03:28,"and then they hunt, because they're blind,"
00:03:28,00:03:31,"they hunt by listening to the animals passing nearby,"
00:03:31,00:03:34,and they're mostly eating little insects and things.
00:03:34,00:03:36,"And the thing is, they can hear a lot better through sand"
00:03:36,00:03:37,"than they can through air,"
00:03:37,00:03:41,so they'll just completely plunge their head into a pile of sand
00:03:41,00:03:43,"just to check where their prey is,"
00:03:43,00:03:45,and then they'll get a hear of its footsteps
00:03:45,00:03:47,and then they'll move that way.
00:03:47,00:03:48,It's really funny.
00:03:48,00:03:50,"They have, in your ear you have three little bones,"
00:03:50,00:03:53,"you might remember, like the hammer, the anvil, and the stirrup,"
00:03:53,00:03:56,and their hammer is massive.
00:03:56,00:03:58,It's like Thor's hammer inside their head.
00:03:58,00:04:02,"It's 10,000 times bigger than our hammer in our head."
00:04:02,00:04:04,And the way that this helps them
00:04:04,00:04:07,"is when there are vibrations that come into their head,"
00:04:07,00:04:11,"it resonates and it makes the sound way, way louder,"
00:04:11,00:04:13,which means they can hear specific frequencies
00:04:13,00:04:14,"really, really well."
00:04:14,00:04:16,"And so they can hear the frequency,"
00:04:16,00:04:20,"which is about the same as wind rustling through grass,"
00:04:20,00:04:23,"and they can hear that specific frequency really, really well."
00:04:23,00:04:24,"So when they're going around,"
00:04:24,00:04:26,"they can just listen to where these tufts of grass are,"
00:04:26,00:04:27,and why is that useful?
00:04:27,00:04:29,Because that's where the insects live.
00:04:29,00:04:32,"So they just hear this specific sound of wind going through grass,"
00:04:32,00:04:34,"they know exactly where it is,"
00:04:34,00:04:36,and they head straight for it and they get their termites.
00:04:36,00:04:37,It's so clever.
00:04:37,00:04:41,Not so useful in the deserts of Southern Africa.
00:04:41,00:04:42,What do you mean?
00:04:42,00:04:44,"Well, it's sandy."
00:04:44,00:04:48,"Yes, but they have little tufts of grass in the desert, right?"
00:04:48,00:04:51,"And in those tufts of grass, that's where the termites live."
00:04:51,00:04:53,"The termites don't live in the sand,"
00:04:53,00:04:55,they live underneath the grass where there's a little bit of soil.
00:04:55,00:04:57,So that's exactly where they need to get to.
00:04:57,00:04:59,"There aren't many of them around, you're right, but..."
00:04:59,00:05:02,It would be pretty silly for them to evolve this incredible ability
00:05:02,00:05:05,"in a bone 10,000 times the size of ours,"
00:05:05,00:05:07,if they lived in a completely featureless environment.
00:05:07,00:05:10,It would be stupid if they evolved
00:05:10,00:05:13,"so they could only hear ice cream vans, for instance."
00:05:13,00:05:15,"Because you don't get many ice cream vans there,"
00:05:15,00:05:17,but you do get tufts of grass.
00:05:17,00:05:20,"Yeah. God, I bet they'd kill for an ice cream van, though."
00:05:20,00:05:23,That's true. There's one part of their body that's a lot smaller
00:05:23,00:05:27,"than the bone in their middle ear, which is massive."
00:05:27,00:05:28,It's their penis.
00:05:28,00:05:30,"Oh, here we go."
00:05:30,00:05:33,"So this is the disadvantage of being a golden mole,"
00:05:33,00:05:36,and it's very important to them.
00:05:36,00:05:39,"So there is a hot and hot golden mole,"
00:05:39,00:05:41,"that's one of the species' names,"
00:05:41,00:05:44,and females prefer males with bigger penises.
00:05:44,00:05:46,And the reason for that is that they have no other means
00:05:46,00:05:47,of differentiating between males.
00:05:47,00:05:49,"They're all underground, they're all blind,"
00:05:49,00:05:52,"there's no way of telling who's an appropriate mate or not,"
00:05:52,00:05:54,apart from penis size.
00:05:54,00:05:57,And the whole penis is approximately
00:05:57,00:05:59,a millimetre and a half long.
00:05:59,00:06:01,It's not huge.
00:06:01,00:06:02,"Proportionally, is that OK?"
00:06:02,00:06:04,It's still quite small. It's still tiny.
00:06:04,00:06:07,"Proportionally, it's still small."
00:06:07,00:06:08,"It is quite, yeah."
00:06:08,00:06:09,"And they don't even have a scrotum,"
00:06:09,00:06:10,so they can't be judged on that.
00:06:10,00:06:14,"So the whole penis is between 1.2 and 2.5 millimetres long,"
00:06:14,00:06:15,which is a tenth of an inch.
00:06:15,00:06:16,"I mean, just to be clear,"
00:06:16,00:06:19,"we're not judging them on anything, are we, Andy?"
00:06:19,00:06:20,"Well, speak for yourself, I am."
00:06:20,00:06:22,"Just, just, just."
00:06:22,00:06:26,"There's not many people Andy can judge on this particular metric,"
00:06:26,00:06:29,but the one millimetre penis golden mole.
00:06:29,00:06:31,You betcha.
00:06:31,00:06:36,Those idiots with their even smaller penises.
00:06:36,00:06:37,Just.
00:06:38,00:06:42,"Oh, my God."
00:06:42,00:06:44,I was reading the other day.
00:06:44,00:06:46,"In fact, this might have been something that was written by you, Andy."
00:06:46,00:06:49,I'm not sure about scrotums.
00:06:49,00:06:54,And about how all mammals used to live.
00:06:54,00:06:57,"Sorry, has Andy been publishing scrotum papers"
00:06:57,00:06:59,in the background of this podcast?
00:06:59,00:07:02,It's about how they're much too big at scrotums.
00:07:02,00:07:04,And they make perfectly reasonable penises.
00:07:04,00:07:07,Looks small.
