start_hhmmss,end_hhmmss,text
00:00:00,00:00:08,"Hey guys, Andy here. Just before we start this week's show, we have an exciting announcement to make which is that we are returning to the stage."
00:00:08,00:00:15,We have a show. It's a live show booked in and it's going to be at the London podcast festival later this month.
00:00:15,00:00:22,"It's going to be on the 27th of September at King's Place, which is in London. It's going to be at 7pm and it is going to be so much fun."
00:00:22,00:00:31,"But Andy, I don't live in London and/or I don't want to go to a gig because I'm a bit worried about leaving the house at the moment. Can I see the show?"
00:00:31,00:00:41,"Of course you can, James, because not only is it being done very carefully with only a very limited number of tickets being sold to its all-social distance, you can also get streaming tickets."
00:00:41,00:00:48,So you can go online and at that time you can watch us make fools of ourselves with stupid facts on stage.
00:00:48,00:00:51,"So how do I get these tickets, Andrew?"
00:00:51,00:00:58,"James, all you have to do is go to qi.com/fishevents and I'll say that again, qi.com/fishevents."
00:00:58,00:01:02,"And when I say events, I mean event because it is the only thing in our diaries."
00:01:02,00:01:08,"So for your possibly last ever chance to see us on a stage, just go there."
00:01:08,00:01:09,"No, we'll be back on top next year."
00:01:09,00:01:11,"Oh, I hope so."
00:01:11,00:01:15,"But Andrew, what is going to happen next?"
00:01:15,00:01:18,"The show is going to happen next. Oh, I better do that. Yeah, on with the show."
00:01:18,00:01:20,On with the podcast.
00:01:21,00:01:23,[Music]
00:01:23,00:01:42,"Hello and welcome to another episode of No Such Thing As a Fish, a weekly podcast coming to you from four undisclosed locations in the UK."
00:01:42,00:01:44,My name is Dan Schreiber.
00:01:44,00:01:48,"I am sitting here with James Harkin, Andrew Honto Murray and Anna Czazinski."
00:01:48,00:01:53,"And once again, we have gathered round the microphones with our four favourite facts from the last seven days."
00:01:53,00:01:58,"And in no particular order, here we go. Starting with you, Anna."
00:01:58,00:02:06,"My fact this week is that by complete coincidence, the centre of North America is called Centre."
00:02:06,00:02:09,It's amazing. It's mad.
00:02:09,00:02:15,So a lot of people weirdly put quite a lot of effort into working out the geographic centre of various places.
00:02:15,00:02:19,And this is the latest research on the centre of the whole of North America.
00:02:19,00:02:24,"And it's mainland North America, so not including the islands."
00:02:24,00:02:30,And this research was done by a university of buffalo geologists called Peter Rodgerson.
00:02:30,00:02:36,And he worked out this mathematical way of defining the centre of a place which has never been used before.
00:02:36,00:02:40,"And essentially, he ran his sums, ran his algorithms."
00:02:40,00:02:44,And the place that was thrown up was a place called Centre in North Dakota.
00:02:44,00:02:47,It's quite a bit of a total chance. It's insane.
00:02:47,00:02:51,"It's tiny, isn't it? It's 1.24 kilometres square."
