start_hhmmss,end_hhmmss,text
00:00:00,00:00:08,"Hi everyone, welcome to this week's No Such Things as a Fish, where myself, Anna and Andy are joined by none other than Tom Scott."
00:00:08,00:00:20,"Now, most of you will probably know who Tom Scott is, but for those of you who don't, he is a YouTuber who makes unbelievably interesting videos about the most incredible things from all around the world."
00:00:20,00:00:30,"His videos are right up our street. I know they'll be right up yours as well, so you should definitely check out his channel, which is youtube.com/tomscotgo."
00:00:30,00:00:40,"And actually, if you're looking for videos, you can always go to our channel, which I don't think we've mentioned very much, which you can find at qi.com/qitv, and that has a whole load of clips from Fish."
00:00:40,00:00:48,"Dan and I recently did a video for the Ig Nobel Prizes, which you can see on there. There's all sorts. You should definitely check that out."
00:00:48,00:00:50,"OK, on with the podcast."
00:00:50,00:01:04,[Music]
00:01:04,00:01:15,"Hello and welcome to another episode of No Such Things as a Fish, a weekly podcast coming to you from four top secret locations around the United Kingdom."
00:01:15,00:01:23,"My name is Anna Tyshinski, and I'm sitting here today with Andrew Hunter Murray, James Harkin, and a very special guest, YouTuber Tom Scott."
00:01:23,00:01:32,"And we are here to discuss our four favorite facts from the last seven days. So, in no particular order, here we go, starting with you, Tom."
00:01:32,00:01:42,"I wanted to make a YouTube video about how interesting strobe lighting is, but the likelihood was it would give one of my viewers an epileptic fit, so I've come on your podcast to talk about things then."
00:01:42,00:01:46,Fair enough. So happy to serve.
00:01:46,00:01:50,Can you give anyone an audio-epileptic fit? I don't watch it.
00:01:50,00:01:57,"Not to my knowledge, but there's definitely a thing about lights and strobe lights."
00:01:57,00:02:10,"So I was trying to work out how to demonstrate this without demonstrating it and without giving instructions, because statistically, one of my viewers was going to find out that they have photosensitive epilepsy the hard way, and I just couldn't figure out a way to tell it."
00:02:10,00:02:23,"So one of the really cool things about this is that it goes back a long, long way. There's a story that Nostradamus once received visions by closing his eyes and staring at the sun and waving his spread hand in front of his face."
00:02:23,00:02:31,"So he was getting flashes of the sun against his closed eyes at the right frequency. That's probably rubbish, but that's the oldest reference I could find."
00:02:31,00:02:41,It feels like a not very cool chemical way of inducing hallucinations as well. That feels like kids rolling up non-drugs and smoking them and trying to get high off that.
00:02:41,00:02:44,Like banana peels.
00:02:44,00:02:49,So what did he report seeing Nostradamus when he flashed his hand in front of his face?
00:02:49,00:02:59,"The first reference I can find is sort of early 19th century and they got called strobescopic hallucinations. And basically you close your eyes, you flash a strobe light."
00:02:59,00:03:13,"So this could be something as simple as you've got your eyes closed looking out the window of your 19th century buggy as it goes along the road and you pass some railings and that sort of flashing light, dark, light, dark, light, dark against your eyelids is enough to induce this."
00:03:13,00:03:21,"Everyone sort of sees grids, urn fractal patterns and sort of weird 3D abstract shapes."
00:03:21,00:03:35,So have you presumably done it and seen that? Because I was researching this yesterday and had a relatively severe hangover and I couldn't bring myself to attempt to do any of this because I was afraid I would vomit.
00:03:35,00:03:37,But how intense is it really?
