start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,"Hey everyone, welcome to this week's episode of Fish."
00:00:02,00:00:04,I just want to let you know that the episode
00:00:04,00:00:06,you're about to listen to was recorded live
00:00:06,00:00:09,at the London Podcast Festival at King's Place
00:00:09,00:00:12,and that it was recorded just a few weeks ago.
00:00:12,00:00:15,"That's right, we actually managed to do a live gig"
00:00:15,00:00:16,in the year 2020.
00:00:16,00:00:18,It was such a fun night.
00:00:18,00:00:20,It was actually the first time that the four of us
00:00:20,00:00:21,had been in a room together
00:00:21,00:00:22,since this whole pandemic kicked off.
00:00:22,00:00:24,It's about seven months.
00:00:24,00:00:25,So that was incredibly fun.
00:00:25,00:00:27,It was amazing to see some of the fish listeners
00:00:27,00:00:29,"sitting out there in the audience,"
00:00:29,00:00:31,"all sitting there with their masks on,"
00:00:31,00:00:32,spread out around the auditorium
00:00:32,00:00:34,"so that we could make sure everyone was nicely,"
00:00:34,00:00:36,socially distanced from each other.
00:00:36,00:00:38,And so big thank you to them.
00:00:38,00:00:40,Big thank you to everyone who joined us online
00:00:40,00:00:41,to watch it as it streamed.
00:00:41,00:00:44,It was our first ever global gig as a result.
00:00:44,00:00:46,"And most importantly, a big thank you"
00:00:46,00:00:47,to the staff at King's Place
00:00:47,00:00:51,who made sure everyone felt safe going ahead with this gig.
00:00:51,00:00:52,"So yeah, we hope you enjoy it."
00:00:52,00:00:54,"It's our first gig of the year,"
00:00:54,00:00:56,"possibly our last, hopefully not."
00:00:56,00:01:00,"But here it is, live in London in the year 2020."
00:01:00,00:01:01,Enjoy.
00:01:01,00:01:18,Hello and welcome to another episode
00:01:18,00:01:19,"of No Such Thing as a Fish,"
00:01:19,00:01:22,a weekly podcast this week coming to you live
00:01:22,00:01:24,from the London Podcast Festival.
00:01:24,00:01:27,(audience cheering)
00:01:27,00:01:34,My name is Dan Shriver.
00:01:34,00:01:37,"I'm sitting here with Anna Tachinsky,"
00:01:37,00:01:39,Andrew Hunter Murray and James Harkin.
00:01:39,00:01:41,"And once again, we have gathered around the microphones"
00:01:41,00:01:44,with our four favorite facts from the last seven days.
00:01:44,00:01:47,"And in no particular order, here we go."
00:01:47,00:01:49,"Starting with my fact this week,"
00:01:49,00:01:51,my fact is that Theodore Roosevelt
00:01:51,00:01:54,once was shot in the chest but survived
00:01:54,00:01:58,thanks to a 50 page long speech tucked into his coat pocket.
00:01:58,00:02:01,He delivered the speech reading from pages
00:02:01,00:02:04,that now had two massive bullet holes in them.
00:02:04,00:02:06,Wow.
00:02:06,00:02:09,And he did a speech which lasted about 90 minutes.
00:02:09,00:02:10,Wow.
00:02:10,00:02:12,"And that's where the idea of bullet points came from,"
00:02:12,00:02:13,isn't it?
00:02:13,00:02:17,"Come on, it's been seven months."
00:02:17,00:02:20,(audience cheering)
00:02:20,00:02:21,"Yeah, this happened in 1912."
00:02:21,00:02:23,He was in Milwaukee.
00:02:23,00:02:25,He was on his way to the Milwaukee Auditorium
00:02:25,00:02:27,and he was in an open top car.
00:02:27,00:02:28,"And as he was standing up to wave,"
00:02:28,00:02:30,a gunman who was called John Shrank
00:02:30,00:02:33,"shot him in the chest, basically at point blank range."
00:02:33,00:02:36,And the bullet still went into his body
00:02:36,00:02:38,and was lodged inside his body.
00:02:38,00:02:39,"But rather than go to the hospital,"
00:02:39,00:02:41,"he said, ""I'll just quickly do my 90 minute speech."""
00:02:41,00:02:44,"And you can actually see if you go online,"
00:02:44,00:02:47,they have in a museum the pages of this speech.
00:02:47,00:02:48,"And when I say massive bullet holes,"
00:02:48,00:02:51,"they are ginormous, these two ginormous bullet holes."
00:02:51,00:02:52,"But yeah, he was a badass like that."
00:02:52,00:02:54,"He was a badass, like, to make sure"
00:02:54,00:02:56,"that it hadn't penetrated his lungs,"
00:02:56,00:02:58,he coughed into his hand three times
00:02:58,00:03:00,and checked for blood to make sure
00:03:00,00:03:02,that he didn't have to go to hospital.
00:03:02,00:03:03,"That's pretty hard car, isn't it?"
00:03:03,00:03:06,All of his aides were sort of standing around
00:03:06,00:03:07,'cause they were quite nervous about this.
00:03:07,00:03:09,They thought he should go to hospital.
00:03:09,00:03:11,"Lots of the crowd, he announced right at the start,"
00:03:11,00:03:13,"he said, ""Friends, I should ask you to be"
00:03:13,00:03:14,"""as quiet as possible."
00:03:14,00:03:15,"""I don't know whether you fully understand"
00:03:15,00:03:17,"""that I have just been shot."""
00:03:17,00:03:19,"And so people were standing around,"
00:03:19,00:03:20,it's sort of ready to catch him
00:03:20,00:03:21,"at the side of the stage, basically."
00:03:21,00:03:22,And he kept glaring at them
00:03:22,00:03:25,and he refused to even cut it short.
00:03:25,00:03:26,- Did he not have to miss out the odd word
00:03:26,00:03:28,that the bullet holes had gone through?
00:03:28,00:03:29,"- Oh, yeah."
00:03:29,00:03:32,"- It actually didn't make any sense at all, the speech."
00:03:32,00:03:34,"- Yeah, it kind of came out as like a redacted speech"
00:03:34,00:03:36,that he wasn't giving us all the info on.
00:03:36,00:03:37,- Did you guys see this?
00:03:37,00:03:39,"This allegedly happened when he announced,"
00:03:39,00:03:40,"by the way, I've just been shot right at the top"
00:03:40,00:03:43,before he got into the actual stuff that was on his pages.
00:03:43,00:03:44,"Apparently, when he said that,"
00:03:44,00:03:46,"someone in the crowd shouted, ""Fake."""
00:03:46,00:03:48,(laughing)
00:03:48,00:03:52,"- Well, I didn't know Donald Trump was alive back then."
00:03:52,00:03:53,"- Supposedly, he stepped forward and said,"
00:03:53,00:03:56,"""No, no, it's real, here's my beanie shirt."""
00:03:56,00:04:00,"- The guy had to come up and put his finger in the hole to me, too."
00:04:00,00:04:01,"- They left the bullet in, didn't they?"
00:04:01,00:04:02,"Forever and ever, I think,"
00:04:02,00:04:04,"'cause it was too dangerous to extract it,"
00:04:04,00:04:06,so just kept it in forever.
00:04:06,00:04:08,"But he sent a telegram to his wife,"
00:04:08,00:04:09,"I think, straight after giving the speech,"
00:04:09,00:04:10,he dictated a telegram to her
00:04:10,00:04:12,"when he was on his way to hospital saying,"
00:04:12,00:04:15,"""He was in excellent shape and he just had a little injury,"
00:04:15,00:04:17,"""no more serious than one of the trivial injuries"
