start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:17,- Hello and welcome to another episode
00:00:17,00:00:20,"of No Such Thing as a Fish, a weekly podcast coming to you"
00:00:20,00:00:23,from four undisclosed locations in the UK.
00:00:23,00:00:24,My name is Dan Schreiber.
00:00:24,00:00:28,"I am sitting here with Anna Tyshinski, Andrew Hunter Murray"
00:00:28,00:00:29,and James Harkin.
00:00:29,00:00:31,"And once again, we have gathered round the microphones"
00:00:31,00:00:34,with our four favorite facts from the last seven days
00:00:34,00:00:37,"and in no particular order, here we go."
00:00:37,00:00:40,"Starting with you, Andy."
00:00:40,00:00:44,- My fact is that museums need visitors' breath
00:00:44,00:00:46,in order to preserve their exhibits properly.
00:00:46,00:00:49,- Interesting.
00:00:49,00:00:51,- Museums rely on the moisture from our bodies
00:00:51,00:00:54,to keep their things nice.
00:00:54,00:00:55,"'Cause when you breathe out,"
00:00:55,00:00:57,it's more moist than when you breathe in.
00:00:57,00:00:59,You breathe in normal air and it takes a bit
00:00:59,00:01:02,of your internal juice and it transports it to the outside.
00:01:02,00:01:04,"- Don't say internal juice, that's horrible."
00:01:04,00:01:09,"It's, sorry, Andy, can I just ask with, at the moment"
00:01:09,00:01:12,"with COVID happening, not many people going to museums,"
00:01:12,00:01:15,is there a way that we can donate our internal juice?
00:01:15,00:01:19,"- Yeah, the British Museum is taking donations."
00:01:19,00:01:21,You just say free post British Museum
00:01:21,00:01:23,and you slap that on a big bag of juice.
00:01:26,00:01:28,"And they'll release it among the, yeah."
00:01:28,00:01:31,"So this is according to a curator at the British Museum,"
00:01:31,00:01:34,which has been closed for the longest time in its history.
00:01:34,00:01:38,"And normally they would get about 17,000 visitors a day"
00:01:38,00:01:40,and all those people and their breath
00:01:40,00:01:43,help keep the right level of humidity in the air.
00:01:43,00:01:44,'Cause they've got so many objects
00:01:44,00:01:47,"which require certain levels of humidity,"
00:01:47,00:01:50,things that can dry out easily.
00:01:50,00:01:52,"Maybe the object's made of bone,"
00:01:52,00:01:54,which might crack if it gets too low.
00:01:54,00:01:56,And this is a problem.
00:01:56,00:01:58,Objects have been at risk of cracking out.
00:01:58,00:02:00,"- So when we all are able to return to museums,"
00:02:00,00:02:02,you're suggesting maybe we should go around
00:02:02,00:02:03,spitting on the exhibits?
00:02:03,00:02:06,"- Yes, I am, absolutely."
00:02:06,00:02:09,- We all have a lot of friends who work in museums.
00:02:09,00:02:11,So I thought I'd contact a few of those
00:02:11,00:02:13,to see if they have the same problems in other museums.
00:02:13,00:02:16,So one of our friends is Paolo Viscardi
00:02:16,00:02:18,at the National Museum of Ireland.
00:02:18,00:02:20,And he said that this is spot on.
00:02:20,00:02:23,"Their problem is less with people breathing out so much,"
00:02:23,00:02:26,"but more that when you open the door normally,"
00:02:26,00:02:28,it would bring in a lot of moisture from outside
00:02:28,00:02:30,because it's always pissing it down and doubling.
00:02:30,00:02:32,And so basically you would open the door
00:02:32,00:02:34,and that would bring in moisture from outside
00:02:34,00:02:35,and no one's opening the door at the moment.
00:02:35,00:02:37,So that's a problem.
00:02:37,00:02:41,I also spoke to our friends at the Penis Museum in Iceland
00:02:41,00:02:44,to see if they have any problems with humidity
00:02:44,00:02:48,"at the moment and Thorda wrote back to me and said,"
00:02:48,00:02:50,they've not had problems with conservation
00:02:50,00:02:51,due to lack of humidity.
00:02:52,00:02:55,We have discontinued stuffing our penises
00:02:55,00:02:57,because it led to considerable shrinkage
00:02:57,00:03:01,which may prove problematic when you're in the penis business.
00:03:01,00:03:03,But the few taxidermy specimens we have
00:03:03,00:03:05,"have actually fared a little bit better due to COVID,"
00:03:05,00:03:08,mainly due to the lack of people touching them.
00:03:08,00:03:09,- Right.
00:03:09,00:03:12,- So people aren't touching his penises as much
00:03:12,00:03:14,and so things are a bit better for him under COVID.
00:03:14,00:03:15,- Blessing.
00:03:15,00:03:17,"- And just a reminder for anyone who visits the museum,"
00:03:17,00:03:19,don't spit on them when it's open again.
00:03:19,00:03:20,People are penises alone.
00:03:20,00:03:24,Can I just interject here to say how angry I was
00:03:24,00:03:26,that you chose the one week I was away
00:03:26,00:03:28,to discuss the Icelandic Penis Museum?
00:03:28,00:03:29,"- Oh, sorry."
00:03:29,00:03:31,- I just want to mention that that was quite thoughtless.
00:03:31,00:03:34,"I discovered this week when I was listening back,"
00:03:34,00:03:36,you let Sandy Talks speak about it instead of me.
00:03:36,00:03:38,- I'm really sorry about that.
00:03:38,00:03:40,"When lockdown's over, just come, you can come round"
00:03:40,00:03:42,and we'll get a bottle of wine out.
00:03:42,00:03:44,We can talk about the Icelandic Penis Museum.
00:03:44,00:03:46,"- Honestly, Anna. - James, that means so much to me."
00:03:46,00:03:49,"- Anna, we didn't know you listened to the podcast."
00:03:49,00:03:52,"- We thought you did, we of course."
00:03:52,00:03:53,- I tried to avoid it.
00:03:53,00:03:55,Someone else had it on in the background.
00:03:55,00:03:57,But I don't think you did mention
00:03:57,00:04:00,they've got their only human penis quite recently.
00:04:00,00:04:03,"- Don't turn this into a penis museum, Jack."
00:04:03,00:04:05,- I'm getting it back to the penis museum.
00:04:05,00:04:08,I will make up for that lost time.
00:04:08,00:04:10,"No, I did enjoy a quote from the penis museum"
00:04:10,00:04:13,when I was looking at how they preserved their objects
00:04:13,00:04:16,and they got their first human penis in 2011
00:04:16,00:04:19,"from the 95-year-old, Pally Arison,"
00:04:19,00:04:22,"who promised it, I think, 15 years ago."
00:04:22,00:04:23,I don't think you mentioned this.
00:04:23,00:04:27,"So he promised it 15 years ago to his friend as the curator,"
00:04:27,00:04:30,"lived for an extra 15 years, which possibly wasn't expected."
00:04:30,00:04:33,And there was an interview with the curator
00:04:33,00:04:35,"who was looking down at this 95-year-old man's penis,"
00:04:35,00:04:37,which he now has preserved.
00:04:37,00:04:40,"And the independent reporting on it said,"
00:04:40,00:04:41,"""Glancing down at the glass container,"
00:04:41,00:04:44,"""holding a grayish-brown shriveled mass,"
00:04:44,00:04:47,"""he admitted that the preservation had not been successful."""
00:04:47,00:04:49,(laughing)
00:04:49,00:04:50,"- Oh, dear."
00:04:50,00:04:53,- I remember that story because I think there was a race
00:04:53,00:04:55,to get the first human penis into the penis museum.
00:04:55,00:04:57,And it was between this 95-year-old guy
00:04:57,00:04:59,"and some 27-year-old bloke,"
00:04:59,00:05:01,and whichever of them died first
00:05:01,00:05:03,was going to donate their penis.
00:05:03,00:05:06,"- That is a brilliant plot for a murdered novel, isn't it?"
00:05:06,00:05:07,(laughing)
00:05:07,00:05:09,"- Right, anyway, anyway."
00:05:09,00:05:11,"- Sorry, I've got that out of my system now."
00:05:11,00:05:12,You can go back to proper use.
00:05:12,00:05:15,"Anyway, we'll edit that into the previous episode."
00:05:15,00:05:16,(laughing)
00:05:16,00:05:17,- I'd appreciate that.
00:05:17,00:05:20,"- But it's a big, it's a huge problem,"
00:05:20,00:05:21,and it's not the only problem they have.
00:05:21,00:05:24,"So in June, you remember it was a very hot summer this year,"
00:05:24,00:05:26,the British Museum had to specifically send in a curator
00:05:26,00:05:29,because they thought that Oliver Cromwell's death mask
00:05:29,00:05:31,"might melt because it's made of wax,"
00:05:31,00:05:34,"and it was so hot in the museum that,"
00:05:34,00:05:37,and that obviously is a very rare and precious thing.
00:05:37,00:05:39,"- But so I assume that even during lockdown,"
00:05:39,00:05:41,there were one or two caretakers
00:05:41,00:05:43,"that were able to walk around the museum,"
00:05:43,00:05:46,"because for example, with the problem of no one breathing"
00:05:46,00:05:47,"and creating that humidity,"
00:05:47,00:05:50,"they do have sensors, over 700 all around the museum,"
00:05:50,00:05:53,that go off when the temperatures and humidity
00:05:53,00:05:54,are not at the right level.
00:05:54,00:05:55,So they can adjust them.
00:05:55,00:05:58,They can press buttons to make sure that it regulates.
00:05:58,00:06:02,It's not entirely reliant on humans breathing on them.
00:06:02,00:06:04,So I would have assumed there just would have been someone
00:06:04,00:06:08,there to put a hat on Oliver Cromwell's death mask
00:06:08,00:06:08,or something.
00:06:08,00:06:11,- I think there are people who can do that.
00:06:11,00:06:13,They have a few people who go in.
00:06:13,00:06:16,"There's a brilliant interview with James McClain,"
00:06:16,00:06:18,"who I think Dan definitely knows, I would say."
00:06:18,00:06:19,"I'm not sure if you guys know him,"
00:06:19,00:06:22,who's the fish curator at the Natural History Museum.
00:06:22,00:06:25,And it's been his job during lockdown for some of the time
00:06:25,00:06:26,to go and have a look around
00:06:26,00:06:28,and make sure that everything's okay.
00:06:28,00:06:30,"So he's had to look after the flesh-eating beetles,"
00:06:30,00:06:32,for instance.
00:06:32,00:06:33,"So they have these beetles there,"
00:06:33,00:06:34,which strip down the bones.
00:06:34,00:06:36,"Whenever you get a new little animal,"
00:06:36,00:06:38,you put it in and the beetles eat all the meat off it
00:06:38,00:06:40,and you come out with a perfect bone.
00:06:40,00:06:42,And he's had to feed them so that they don't go looking
00:06:42,00:06:44,for other things to eat.
00:06:44,00:06:46,So he has to give them some conger eel heads
00:06:46,00:06:47,to keep them happy.
00:06:47,00:06:48,- Oh my God.
00:06:48,00:06:49,- And he said something else in this.
00:06:49,00:06:50,"This is not about conservation,"
00:06:50,00:06:52,but I thought it was really interesting.
00:06:52,00:06:55,He says he monitors the alcohol supply system
00:06:55,00:06:57,in the Natural History Museum.
