start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,Hey everyone welcome to this week's episode of fish before we begin
00:00:03,00:00:09,We just want to let you know we have a very special guest on it is the QI main man himself James Harkin
00:00:09,00:00:13,Who is it? It's James Harkin the QI main man himself
00:00:13,00:00:17,That's right. And the second banana has joined us this week as well
00:00:17,00:00:23,"No, it is his name is his name is Alan Davis and he is the main big banana"
00:00:23,00:00:27,He is the biggest banana of all the bunch of people who work at QI
00:00:27,00:00:33,He's our absolute best mate and he's come along to tell us a load of facts that we didn't already know
00:00:33,00:00:39,"That's right. Yeah, and we also want to just quickly mention that he has a new book out. It's an extraordinary book"
00:00:39,00:00:46,It's called just ignore him and it is a memoir of which Stephen Fry former co-host on QI second banana
00:00:46,00:00:49,second banana to Alan
00:00:49,00:00:56,Said it's funny sad frightening sweet savage and tender just ignore him will never leave you and that's what all the critics are
00:00:56,00:01:00,Saying about it as well. It has had universal praise and we highly highly recommend it
00:01:00,00:01:05,"Yeah, it's an absolutely brilliant book. It's just I mean you probably know Alan"
00:01:05,00:01:12,"There's just this funny happy-go-lucky guy, but it really really gets down to what made him who he is and I can't recommend it"
00:01:12,00:01:17,Enough. It's just such a great great book. It's available presumably in all good book shops
00:01:17,00:01:22,I guess even the shit ones even the shit one so definitely go out and get that but in the meantime
00:01:22,00:01:27,You can hear him doing what he does best which is being unbelievably funny and this week show
00:01:27,00:01:32,Okay on with the podcast on with the show top banana
00:01:32,00:01:52,Hello and welcome to another episode of no such thing as a fish a weekly podcast coming to you
00:01:52,00:01:57,From four undisclosed locations in the UK. My name is Dan Shriver
00:01:57,00:02:01,I am sitting here with James Harkin Anna Tashinsky and special guest
00:02:01,00:02:03,It's Alan Davis and once again
00:02:03,00:02:10,We have gathered around the microphones with our four favorite facts from the last seven days and in no particular order here
00:02:10,00:02:12,We go starting with you
00:02:12,00:02:13,Alan
00:02:13,00:02:21,"Well, I've found for you from the Lizmore library in Australia an unusual approach you can borrow a"
00:02:22,00:02:24,person
00:02:24,00:02:27,The human library it's called
00:02:27,00:02:34,And the human library was started to create a space and this is the from the founder Ronnie Abergel
00:02:34,00:02:39,You could walk in borrow a human being and talk to them about a very challenging topic
00:02:39,00:02:41,"Ideally, we wanted people to talk about issues"
00:02:41,00:02:49,They would normally would not talk about or don't like to talk about and so you get you get a human book and that's a volunteer
00:02:49,00:02:52,From a diverse background where they have experiences
00:02:52,00:02:59,They're willing to share and they have titles the human books have titles like black activists or chronic depression or
00:02:59,00:03:02,survivor of trafficking
00:03:02,00:03:13,Really really bad Edinburgh experience
00:03:18,00:03:20,Shotlifter
00:03:20,00:03:33,That's such a good point about Edinburgh though imagine getting that in your review. Have you thought of being a human book instead?
00:03:33,00:03:40,There is a photo here and it's just you just sit at a table for someone you sit at a table with a human book
00:03:40,00:03:44,And then and you borrow them from her for an amount of time
00:03:44,00:03:50,"Hmm. I mean, I don't know. It's been that Monty Python sketch, you know, when you get an argument"
00:03:50,00:03:57,"So it goes in and says I've come here for an argument they go. No, you haven't"
00:03:57,00:04:05,But I think it must be really like imagine if you're one of these books and like you're there for a few days
00:04:05,00:04:09,"And no one takes you out that must be pretty depressing. Yeah, that's yeah bad stick"
00:04:09,00:04:13,They have a thing where so they all sit in a sort of waiting room
00:04:13,00:04:15,which they call the bookshelf and
00:04:15,00:04:21,They have a matchmaker so someone says I want to get a human book out and the librarian match makes you with a type of book
00:04:21,00:04:26,"I give they give you the list, but but here's an interesting thing while they're waiting to be chosen"
00:04:26,00:04:30,It can obviously get a bit boring there so they can borrow each other out while they're waiting
00:04:30,00:04:32,It's like
00:04:32,00:04:37,"Sorry, I didn't realize"
00:04:38,00:04:40,Before
00:04:40,00:04:49,Do they have barcodes on them? I mean if you try to smuggle out a book under your jacket
00:04:49,00:04:54,I found it under the bed. It's been there for two years. Oh
00:05:07,00:05:09,It's not just this Lismore library in Australia
00:05:09,00:05:15,So this was launched back in 2000 in Copenhagen by who Alan mentioned earlier Ronnie and a few others
00:05:15,00:05:22,And it sort of went around to festivals and they had people where you could rent them out at Ross Kilda festival and so on and then it's
00:05:22,00:05:24,Sort of the idea latched on and it's spread out
00:05:24,00:05:29,So it's an over 70 countries now that you can go to certain libraries and they don't always have them waiting in the back room
00:05:29,00:05:31,They're not just permanently sitting there
00:05:31,00:05:35,It's sort of like on a Friday between the hours of nine and three or something like that
00:05:35,00:05:40,We have slots since COVID. They they have started doing it virtually
00:05:40,00:05:44,"So you can you can borrow one, you know"
00:05:44,00:05:51,It's all about diversity and you know understanding people from other backgrounds or races or cultures. It's very good
00:05:51,00:05:54,"Yeah, it's a good plan. It's it's challenging your"
00:05:54,00:05:57,"preconceptions, I guess isn't it?"
00:05:57,00:06:01,"Making you people making some friends, you know, if you're really lonely. Well, that's it"
00:06:01,00:06:06,"I mean, we're now recording recording this in the second lockdown and everyone's sick to the back teeth of all the people"
00:06:06,00:06:08,They normally zoom
00:06:08,00:06:12,With the quiz markets falling off and cliff
00:06:12,00:06:17,I know it's like you get sick of the people you live with and then sick of the people you zoom
00:06:17,00:06:20,"Yeah, and then I'm sick of my Amazon delivery guy now"
00:06:20,00:06:25,"Well, it's time to go to the human library"
00:06:27,00:06:32,"Libraries are really trying to branch out in the modern day, right, you know, because people often don't use them anymore"
00:06:32,00:06:37,So they say they're trying to get to grips with the digital age and now they just hire out loads of random stuff
00:06:37,00:06:42,so there's this woman Barbara stripling who's the president of the American Library Association and
00:06:42,00:06:50,She says that local libraries are constantly getting calls from people like plumbers or electronic specialists saying
00:06:50,00:06:53,Do you want to put me in your books catalogue and you can rent me out?
00:06:53,00:06:59,You can hire me out to people who you know need a plumber or need to learn about how to wire a plug and
00:06:59,00:07:03,So actually you can hire people for practical purposes as well
00:07:03,00:07:07,"I think it'd be a weird thing to do to go to your library as a first port of cool if your toilets blocks, but"
00:07:07,00:07:09,It's worth a try currently
00:07:09,00:07:17,"I really I have a lot of faith in YouTube for all of those things. Yeah. Yes. Yeah, I had to sew up"
00:07:17,00:07:23,My five-year-olds one of his poor patrol toys that have split down its back
00:07:23,00:07:28,It was Marshall for those of you interested in the best
00:07:28,00:07:33,"Great guy. I love him. That's the prone. That's why he's funny. Yeah, and"
00:07:33,00:07:37,"Ironically, it's he's the one who got split down his back"
00:07:37,00:07:40,Typical Marshall
00:07:40,00:07:47,And I got a needle and thread for the first time since I don't know when this century and start and then thought how do you finish?
00:07:47,00:07:49,"Oh, I must have been taught this at primary school"
00:07:49,00:07:54,I'm sure but I don't remember and I found a YouTube video that told me how to sew
00:07:54,00:07:58,"Wow, and how do you finish you do like a little knot at the end or something?"
00:07:58,00:08:00,You don't put it all the way through you leave a loop and go in that
00:08:00,00:08:05,And they do another one of those and then you're done. I've left
00:08:05,00:08:08,Proudly left Marshall on the table
