start_hhmmss,end_hhmmss,text
00:00:00,00:00:14,[Music]
00:00:14,00:00:20,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to"
00:00:20,00:00:26,"you from four undisclosed locations in the UK. My name is Dan Schreiber, I am sitting here with Anna"
00:00:26,00:00:32,"Tyshinski, Andrew Hunter Murray and James Harkin and once again we have gathered around our"
00:00:32,00:00:37,"microphones with our four favorite facts from the last seven days and in a particular order,"
00:00:37,00:00:45,here we go. Starting with fact number one and that is Anna. My fact this week is that 19 states
00:00:45,00:00:53,in the USA have banned the banning of clotheslines. It's a double ban. Does that mean clotheslines
00:00:53,00:00:58,as in things you put clothes on or is this like a wrestling term where you kind of almost
00:00:58,00:01:02,decapitate someone? Surely the wrestling move is covered by other legislation.
00:01:02,00:01:07,In wrestling are you allowed to strangle people with a clothesline?
00:01:07,00:01:11,"No, well yeah, you are. You are. I mean, you know, that's modern wrestling."
00:01:11,00:01:17,"It's a metaphorical clothesline that I'm talking about. It's a forearm, yeah. You open up your arm,"
00:01:17,00:01:21,you run towards them and you hit them across the neck with your arm and that's the clothesline.
00:01:21,00:01:25,"It's like, it's a type of tackle in American football, I think, and then they turn it into"
00:01:25,00:01:29,"a wrestling move. Interesting. See, I knew about the, you know, sometimes someone will"
00:01:29,00:01:33,"turn up with a steel chair or hit someone else with a table, but I didn't know there was a laundry"
00:01:33,00:01:37,"rack or a laundry line that could also be drafted into service in wrestling matches,"
00:01:37,00:01:41,"if this makes more sense. Yeah, me neither. All my research on clotheslines did not come"
00:01:41,00:01:45,"across the wrestling move. Stuck to clotheslines themselves and they're quite controversial,"
00:01:45,00:01:52,"turns out. So a lot of rental associations, housing associations ban them because they're"
00:01:52,00:01:57,sort of unsightly. They've got a bad image. They sort of were historically associated with
00:01:57,00:02:01,poverty in the fifties when people were getting electronic washing machines and dryers. So it
00:02:01,00:02:05,"was like, if you hung your clothes out, it showed you're not in a posh neighborhood."
00:02:05,00:02:10,"And so lots of housing associations say, don't do it. But of course, with the environmental"
00:02:10,00:02:13,"movement, everyone's gone, what are you talking about? It's much better to hang your clothes out"
00:02:13,00:02:19,"on a clothesline. And so about 2012, there was this big movement, and a bunch of states, Arizona,"
00:02:19,00:02:25,"Maryland, Massachusetts, Wisconsin, et cetera, said you're not allowed to ban them anymore."
00:02:25,00:02:29,"It is weird when you think about it, though, it's the only thing that's really intimate to us that"
00:02:29,00:02:34,"we just take out of the house to show everyone. You know, we're not showing it to them on purpose,"
00:02:34,00:02:40,but I don't hang my books outside or the contents of my fridge for people to see what my diet's like.
00:02:40,00:02:47,"Yeah, but you've got to stop washing your books. It's just odd, you know, we hang underwear outside."
00:02:47,00:02:51,"I get it. I get the banning of it. Yeah, but then after Second World War, when they were trying"
00:02:51,00:02:57,"to get more women in the workplace, it was kind of a new form of modern living where, you know,"
00:02:57,00:03:02,"everything was done by machines and stuff like this, especially in America. And so,"
00:03:02,00:03:07,and also they wanted to sell electricity. So they kind of thought that really it's almost a
00:03:07,00:03:12,patriotic duty to have a machine doing all your washing rather than your wife doing all your
00:03:12,00:03:17,"washing in America. And if you had it hanging outside, it was like a symbol that you were"
00:03:17,00:03:21,"part of the old times. When people used to do that, you weren't part of the new times,"
00:03:21,00:03:25,but it's slightly different in the UK because less than half of people in the UK have a tumble
00:03:25,00:03:31,"dryer, whereas in America, it's like, I don't know, like 80% or something like that. Yeah, it's huge."
