start_hhmmss,end_hhmmss,text
00:00:00,00:00:14,[Music]
00:00:14,00:00:19,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to"
00:00:19,00:00:25,"you from four undisclosed locations in the UK. My name is Dan Schreiber, I am sitting here with"
00:00:25,00:00:31,"Anna Tyshinski, Andrew Hunter Murray and James Harkin and once again we have gathered around"
00:00:31,00:00:36,the microphones with our four favorite facts from the last seven days and in no particular order
00:00:36,00:00:45,here we go. Starting with fact number one and that is Anna. My fact this week is that for cheaters
00:00:45,00:00:51,slowing down is more important than running fast or speeding up. Wow more important in what way?
00:00:51,00:00:59,Yeah in the successful kill rate. Is that because if they just carried on speeding up forever they'd
00:00:59,00:01:03,have no time to eat their kill? You can't just run and run and run and expect to have a meal at the
00:01:03,00:01:10,end of the day. It's not quite that so this is a few studies that have been done actually into
00:01:10,00:01:16,kind of cheater locomotion. The one I was reading was 2013 and the scientist spent nearly 10 years
00:01:16,00:01:22,designing a battery-powered solar-charged kind of tracking collar and then they put it on cheaters
00:01:22,00:01:26,"and so it measured exactly you know when they're speeding up, when they're slowing down etc and"
00:01:26,00:01:31,then it looked at when they were successful in hunts and when they weren't and basically one of
00:01:31,00:01:35,the things it said is they don't actually run that fast when they're hunting so people think
00:01:35,00:01:40,that they're cracking 60 miles an hour all the time but they basically don't go over 40 really
00:01:40,00:01:46,when they're hunting and it said that the key factor that affected whether or not they caught
00:01:46,00:01:54,something seemed to be how fast they slowed down. Is that all the decision over whether the prey
00:01:54,00:01:58,lives or dies is made right at the kind of end game? You know the cheater is really good at
00:01:58,00:02:04,getting right up close but actually once they're slowed down that's where the zebra either lives
00:02:04,00:02:09,or dies and it's in the manoeuvrability. That's a good way of describing it. You really kill
00:02:09,00:02:15,something when you're motionless don't you? It's amazing it bothers to run at all considering
00:02:15,00:02:20,that this is the... We should just wait for the zebras to come to it. Pretty much yeah. Just stand
00:02:20,00:02:25,still with your mouth open like a cartoon. Some animals do that don't they? Some animals you'll
00:02:25,00:02:30,get like worms who live in the sand in the ocean and they just sit there waiting until
00:02:30,00:02:35,something comes past and then they suck it up. Do you remember those snakes that live in the cave
00:02:35,00:02:40,and they just hang around hovering near the mouth of a cave and as the bats fly out of the cave at
00:02:40,00:02:46,night bang they grab them. Yeah or bears that sit in the river that have the salmon just flying
00:02:46,00:02:51,into their mouth. Oh yeah. You know when they're leaping up. Yeah see the cheaters have watched
00:02:51,00:02:56,all these documentaries and gone why am I just doing that? Or us just kind of sitting at home
00:02:56,00:03:02,waiting for Deliveroo to arrive with our pizzas. There's a difference between that and actually
00:03:02,00:03:07,going to McDonald's and getting a takeaway yourself isn't it? That's basically the analogy here.
00:03:07,00:03:11,Yeah. There we go we've hit on it. Took us a while but we got there. I get the door pretty
00:03:11,00:03:15,damn fast and Deliveroo driver arrives. My acceleration is through. But the thing is you
00:03:15,00:03:19,have to stop when he gets there otherwise you're going to run straight past him. That's what we're
00:03:19,00:03:24,saying. That's a good point. It's the same thing. Do you know what the most impressive bit of the
00:03:24,00:03:31,cheater is or yeah physically the most impressive thing? I thought like maybe it's legs or it's
00:03:31,00:03:35,lungs or something. Yeah well me being a controversialist I picked the inner ear.
00:03:35,00:03:41,So this is it genuinely is a bit of the cheater which is really really good at its job. It has
00:03:41,00:03:48,this unbelievably massive inner ear system and the reason that's good is that while it moves
00:03:48,00:03:52,it means it can keep its head unbelievably still because if any one of us was running at 40 miles
00:03:52,00:03:56,"an hour, firstly we'd be doing very well and secondly our head would be all over the place."
00:03:56,00:04:00,We wouldn't be able to see what we were doing. We'd be sort of bobbing around going ah but the
00:04:00,00:04:06,cheater can keep completely locked on its prey and that's because it has a huge inner ear so it
00:04:06,00:04:10,keeps its visual stability even while it's going at 40 or 50 miles an hour. And probably really
00:04:10,00:04:15,important when it changes direction as well right? Yeah because we can go at 40 miles an hour in a
00:04:15,00:04:20,car for instance and we don't like our heads don't explode but it's all the movement and stuff right.
00:04:20,00:04:24,Well speak for yourself James. I've never tried getting up to those speeds myself.
00:04:25,00:04:31,"You're on the motorway in the inner lane, 39 all the way. There's this theory that cheaters"
00:04:31,00:04:38,they heat up too much that's why they have really short running speeds like they run for a short
00:04:38,00:04:42,amount of time and then they stop because if they don't they'll overheat. And the reason we think
00:04:42,00:04:48,that is because there was a study in 1973 in Harvard and they got some cheaters and they flew
00:04:48,00:04:54,them over to Harvard and they made them run on treadmills with thermometers stuck up their buns
00:04:54,00:04:59,and it was these readings that they used to say well obviously they can only run a certain amount
00:04:59,00:05:05,of time before they overheat but of course in the wild cheaters don't run with thermometers
00:05:05,00:05:11,up their buns in Harvard on treadmills and so there was a scientist called Robin Heaton from
00:05:11,00:05:18,a university of Witwatersrand in South Africa and she actually put some she put some actual
00:05:18,00:05:23,sensors inside of the cheaters like surgically put them really really small ones and so we
00:05:23,00:05:27,can get a much better idea of what they do and she's disproved this idea that they overheat
00:05:27,00:05:33,when running. Because they do overheat when eating apparently this might be part of the
00:05:33,00:05:38,same thing and this is because they are super stressed when they eat so dinner is not a fun
00:05:38,00:05:42,experience for a cheater because they think it's because of the anxiety that someone's going to
00:05:42,00:05:47,come and steal your food and so when they're eating they're prey their body temperature goes up.
00:05:48,00:05:53,Right. The closest that one of these sort of let's say the Harvard-esque cheaters so the ones
00:05:53,00:05:59,that were collared that were zoo-reared got to was 59 so they can actually still get to these
00:05:59,00:06:05,high points as well and the one that managed to do that was called Ferrari which is rather nice
00:06:05,00:06:11,that was the cheaters name but what was weird was in the study as well because they did 367
00:06:11,00:06:17,runs of clocking them and seeing how fast they could go only a quarter of those ended in a kill
00:06:17,00:06:22,and apparently cheaters are quite crap but actually doing the deal.
00:06:22,00:06:26,This was in Harvard they were doing that. Who were they killing? They were just going after
00:06:26,00:06:32,"students. Endless post-grad students. No, these are not the Harvard ones. These are the ones"
00:06:32,00:06:36,from the other study. I was saying the similar to the Harvard ones. They're on the treadmill.
00:06:36,00:06:40,They're on the treadmill in front running as fast as they can on their treadmill.
00:06:40,00:06:46,Interestingly in the cheater world if you say you went to Harvard that's actually a lame thing to be
00:06:46,00:06:50,because you didn't run quite as fast but you had a thermometer up your bum.
00:06:50,00:06:54,"Yeah, but you're super smart, you know. So that's where the cue does it."
00:06:54,00:06:56,"Not smart enough to remove the thermometer, are you?"
00:06:56,00:07:02,"That feels like one of those sorority pranks, doesn't it? You strip naked, thermometer up the"
00:07:02,00:07:09,"ass, put on a treadmill. Do you know who the first European to scientifically describe the cheater"
00:07:09,00:07:16,"was? Well, someone who went to Africa. So like Mary Kingsley or someone, no."
00:07:16,00:07:20,Interesting. It was actually Daniel von Schreiber.
00:07:20,00:07:24,What? You're kidding.
00:07:24,00:07:28,"Your former self, Dan, your career's really taken a nose dive but in 1777 it was,"
00:07:28,00:07:35,he's called Johann Christian Daniel von Schreiber and he actually didn't even see a cheater.
00:07:35,00:07:39,He based his description on the skin of a cheater and he gave it a scientific name
00:07:39,00:07:42,"and described it. So there you go, Dan, your namesake. Well done."
00:07:42,00:07:46,"And everything you said just sounds like it could have been me as well. Didn't actually see it,"
00:07:46,00:07:48,"didn't actually have anything, wasn't actually there."
00:07:48,00:07:54,"Another thing about cheaters is unlike all the other big cats, they're kind of quite close to"
00:07:54,00:08:01,house cats and one way you can tell this especially is that they don't roar like a lion does or a tiger
00:08:01,00:08:07,does. They meow and they purr because they have a different kind of voice box to lions and tigers
00:08:07,00:08:12,and stuff. It's not as flexible and so they can't really do these big sounds. They can only kind of
00:08:12,00:08:19,"go meow, meow. It's mental when you look at it and they also chirp like birds. So if you watch,"
00:08:19,00:08:27,look up cheater tweeting and it's incredible. You've got this beautiful noble big cat opens
00:08:27,00:08:34,its mouth and it goes... I just did an impression of a cheater then and my cat who was sat in the
00:08:34,00:08:39,room sort of looked up at me and I don't know if she thought I was a cheater or just a weird human
00:08:39,00:08:46,doing a cat sound. I think we know. There's another noise they can make. The males specifically bark.
00:08:46,00:08:51,"It's called a stutter bark and it's kind of shout, it's just a kind of cheater shout,"
00:08:51,00:08:57,but it's insane because what it does is it literally turns females on. It triggers female
00:08:57,00:09:02,cheaters to produce reproductive hormones and I think this is unique in mammals. There's no other
00:09:02,00:09:08,mammal species where the male just says something effectively and the female gets ready for sex
00:09:08,00:09:15,"instantly. Tom Jones does that, doesn't he? Sorry, it's the cheaters and Tom Jones I was"
00:09:15,00:09:20,forgetting. Do you remember years ago on the podcast I said that there's a secret word that's
00:09:20,00:09:26,been lost according to secret societies that if said directly to a woman will get her pregnant
00:09:26,00:09:32,instantly. This is the closest that we have to this so it's good to know. It's not impossible.
00:09:32,00:09:43,"There's an article on the BBC news website and the headline is just, ""Is it possible to escape a"
00:09:43,00:09:48,"cheater?"" and I love thinking of the people who are desperately waiting for that to load"
00:09:50,00:09:50,as it approaches.
00:09:50,00:09:57,"Oh, the signal's bad. Sorry."
00:09:57,00:10:01,"What's the answer? Oh, I didn't read the article."
00:10:01,00:10:07,"Imagine if someone right now is being chased out by a cheater, they happen to be listening"
00:10:07,00:10:12,"to our podcast and they're going, ""I can't believe my fucking luck. I'm about to be told how to"
00:10:12,00:10:18,"escape this thing."" And then you didn't read the article. Mate, you're part of the problem here."
00:10:19,00:10:22,"I'm sure it's possible if you believe in yourself, yeah."
00:10:22,00:10:25,"If you are being chased, just believe in yourself."
00:10:25,00:10:34,"I read that small cheater cubs in the wild, they have a silver-gray"
00:10:34,00:10:39,sort of bit of fur that goes over their head and it travels down their neck and their back
00:10:39,00:10:44,and it's basically camouflaged for them so that if they have any predators coming around they can
00:10:44,00:10:52,either hide into their surroundings or they can pretend to be a fake honey badger because they
00:10:52,00:10:56,"look so similar to a honey badger. Sorry Dan, we're not talking about honey badgers today."
00:10:56,00:11:00,I demand we talk honey badgers at some point on this podcast.
00:11:00,00:11:10,"Okay, it is time for fact number two and that is James."
00:11:10,00:11:16,"Okay, my fact this week is that Napoleon Bonaparte made his sister Caroline the queen of Naples,"
00:11:16,00:11:22,"but when the old guard reclaimed the city, she reinvented herself as Countess of Lepona,"
00:11:22,00:11:29,"which was an invented place, which was an anagram of Napoli and Napoli being the Italian word for"
00:11:29,00:11:35,"Naples. Clever. Yeah, she just wanted to be a queen. She wanted to be royalty and, you know,"
00:11:35,00:11:41,"Napoleon had taken over and she saw her chance and she basically, you know, lobbied him to"
00:11:41,00:11:45,try and get anywhere in the world that she could become a Countess of and eventually he said that
00:11:45,00:11:50,she could go to Naples and then it was okay for a few years and then eventually he got kicked out
00:11:50,00:11:55,at Waterloo and then she got kicked out of there and then she basically cosplayed it for the rest
00:11:55,00:12:03,"of her life. It's clever that it was Napoli and she was Napoleon's sister. Oh yeah, I never thought"
00:12:03,00:12:07,"of that. Yeah, she could have made a little joke about that in her kind of welcome speech."
00:12:07,00:12:16,"She had a successful stand-up career, didn't she, after Waterloo? Was she successful in"
00:12:16,00:12:22,"maintaining this whole queen charade, do we know? When people said, ""Where's Lepona? What did she say?"""
00:12:22,00:12:27,"Yeah. Well, it's wherever you want it to be, Andrew. It can be, you know, it's everywhere and nowhere."
00:12:27,00:12:31,It's here and it's there. It's in and it's out. It's up and it's down.
00:12:32,00:12:40,"I think that was, who was that? Katie Perry for a moment there, I went. No, she, when they got"
00:12:40,00:12:46,"deposed, a lot of the Bonaparte family were kind of appeased when she was allowed to live in the"
00:12:46,00:12:53,"south of Austria in her own little castle and that was what she kind of, she didn't call that Lepona"
00:12:53,00:12:58,but she took visitors and stuff and said that that's what she was. She seemed to have a very
00:12:58,00:13:05,bizarre relationship with Napoleon. So she was the very young sister of Napoleon and when
00:13:05,00:13:10,"they were forced out to sort of, they grew up quite rich and then they became quite poor and"
00:13:10,00:13:15,then Napoleon got very rich and he put them all through school. So she went to a finishing school
00:13:15,00:13:20,that was run or at least she was taught by the former lady in waiting to marry Marie Antoinette.
00:13:20,00:13:27,So she learned to sort of be someone who wanted to become the heights of a princess or a queen
00:13:27,00:13:33,even and Napoleon started handing around all of these different royal titles to his family but
00:13:33,00:13:40,not to her to begin with and there's accounts of her getting these kind of subpar titles and
00:13:40,00:13:43,"they would have dinners as an account saying that Madame Murat, because she was married at this"
00:13:43,00:13:47,"point and that's the surname she took on, Madame Murat was excessively angry and during the dinner"
00:13:47,00:13:52,had so little control over herself that she could not restrain her tears and she ended up the next
00:13:52,00:13:58,night getting in a massive fight fainting because she was so angry. She was obsessed with becoming
00:13:58,00:14:02,"this princess and he just really held off from giving her that. Like she was, yeah, she was"
00:14:02,00:14:07,always throwing these tantrums and fainting. She had this terrible jealousy of all of her sisters
00:14:07,00:14:13,"and of Hortense who was, so that was Josephine's daughter and they went to the same school, Caroline"
00:14:13,00:14:18,"and Hortense and Hortense was sort of the perfect pupil, did really, really well in school, was very"
00:14:18,00:14:27,"refined and Caroline was a bit more brash, a bit less well bred and so Napoleon often preferred"
00:14:27,00:14:33,"Hortense and this caused a lot of problems and she hated Josephine so much, Caroline hated Josephine"
00:14:33,00:14:37,"so much that when she had a daughter who was to be called Josephine, she insisted on calling the"
00:14:37,00:14:43,"daughter Joseph because she says, I'm not going to allow my daughter to take that name and had to"
00:14:43,00:14:47,"be properly controlled. She could have thought of something that was less close to Josephine,"
00:14:47,00:14:53,"surely like Sandra or... Barony, we had to be sticking within the Josephine format at that moment."
00:14:53,00:15:00,"God. Well, she wasn't all bad though, was she? Like she was one of the main people who helped to"
00:15:00,00:15:05,excavate Pompeii because she was really interested in archaeology. She started a school for girls in
00:15:05,00:15:11,"Naples but then on the other hand, as soon as it looked like Napoleon might be losing, she suddenly"
00:15:11,00:15:16,"got on the side of the opponents and just went, oh yeah, yeah, no, we're on your side, we're on your"
00:15:16,00:15:21,"side, please don't kick us out of Naples and Napoleon was absolutely furious about that."
00:15:21,00:15:27,Napoleon was just surrounded by these bloody siblings who all wanted stuff from him. They
00:15:27,00:15:31,were all hopeless. Not one of them had the military now. It's insane. He was one of eight
00:15:31,00:15:36,"children and he gave all his siblings jobs and thrones. He was, you know, a rest of development."
00:15:36,00:15:40,He's like the Michael Bluth who's just trying to keep things together. All the other useless
00:15:40,00:15:45,"magician siblings just turn up. I really like this a cat. So he had another sister called,"
00:15:45,00:15:52,"sorry, he had a wife, Josephine, of course, he married and made the Empress of France"
00:15:52,00:15:59,"at his coronation. At the coronation, which was I think 1804, his sisters and his sisters in law,"
00:15:59,00:16:03,"so his brother's wives, they were told, look, Josephine is becoming the Empress of France."
00:16:03,00:16:08,"So in the ceremony, we'd like you to carry the train of her dress along the, you know,"
00:16:08,00:16:13,along the aisle at Notre Dame where the ceremony is happening. Joseph was so furious about this.
00:16:13,00:16:18,"He said he was going to move to Germany just to spite Napoleon. And then Pauline, Pauline was"
00:16:18,00:16:22,"one of the best Napoleon's of the lot. She was so entertaining. She and the other two sisters,"
00:16:22,00:16:28,they only agreed to carry Josephine's train if they would have other people carrying their trains.
00:16:28,00:16:34,"So there was this mad conga of dresses along the aisle. And then, and then just as Josephine got to"
00:16:34,00:16:38,"the actual throne and was about to turn and sit down, Napoleon's sisters who were carrying it,"
00:16:38,00:16:44,"they all pulled it back so she couldn't move. Yes, they just held her up. And Napoleon gave"
00:16:44,00:16:47,them an extremely angry look. And then they relented and let go and she sat down. And it's
00:16:47,00:16:53,just mad. Why didn't they relent and let go at the exact moment that would mean she fell flat on
00:16:53,00:16:59,"her face? Surely that's the finale. It's really interesting because lots of, I mean, lots of"
00:16:59,00:17:03,"the siblings, especially I think the brothers who were given, you know, bits of Spain and Portugal"
00:17:03,00:17:10,and all of this were just not as talented. But this was Napoleon's attempt to recreate a royal
00:17:10,00:17:14,"family. And if he hadn't done that, I wonder how much more successful he would have been in his"
00:17:14,00:17:19,"attempt to take over the whole of Europe. But because he went into dynasty mode, you know,"
00:17:19,00:17:22,it was one of the things that led to disaster anyway.
00:17:22,00:17:25,"Yeah, it's Trump. He was the Trump of his time, wasn't he?"
00:17:25,00:17:27,Kind of. Yeah.
00:17:27,00:17:30,You've got to put your kids and siblings in high places.
00:17:30,00:17:35,"I was reading a bit more about Paulie, one of the other sisters, one of the older sisters."
00:17:35,00:17:40,"She was amazing. She had a life-size statue of herself commissioned by her husband,"
00:17:40,00:17:45,which could revolve. It just had this inner mechanical system and it just would turn around.
00:17:45,00:17:50,"I've no idea how. But my favourite thing about her is that she liked to bathe in milk, right?"
00:17:50,00:17:55,"Which is, you know, classic, you know, very affluent lady stuff. But then she would follow"
00:17:55,00:17:59,her milk bath with a milk shower just to wash off the milk that was from the milk bath.
00:17:59,00:18:02,Why? How did they do that when they used to have milk showers and milk baths?
00:18:02,00:18:07,Did they then have a water surf or did they just smell a rank gone off milk all the time?
00:18:07,00:18:09,I don't know.
00:18:09,00:18:11,"I just, I think that was the desirable fragrance."
00:18:11,00:18:12,What? Gone off milk?
00:18:12,00:18:14,It was still a proper shower. Gone off milk.
00:18:14,00:18:17,"Everyone likes cheese, James. Everyone likes cheese."
00:18:17,00:18:20,"Yeah. I like cheese, I must say. I do like cheese."
00:18:20,00:18:23,Imagine a woman smelling like a lovely red lester.
00:18:26,00:18:30,"Pauline was, yeah, she was wild. She was the wild one. And I've been trying to verify this,"
00:18:30,00:18:35,but in one book it said she once asked a servant to lie on the floor with her breasts out so that
00:18:35,00:18:40,"she could warm her feet in them, apparently. And she was really..."
00:18:40,00:18:41,In the breasts.
00:18:41,00:18:45,"No, within the cleavage, right? You'd be within the cleavage and you would use the breasts."
00:18:45,00:18:48,"You would have to hold the cleavage together, I imagine."
00:18:48,00:18:50,You need a wunderbar for that.
00:18:50,00:18:51,"You would do, yeah."
00:18:51,00:18:53,But you'd have to have two servants. You'd have to have one foot.
00:18:53,00:18:55,"You'd have to have one foot per cleavage, wouldn't you?"
00:18:55,00:18:56,Yes.
00:18:56,00:18:59,"And actually, do you know that if you used to go to clerks in the olden days,"
00:18:59,00:19:04,that's how you used to measure your feet. There would be someone laying there with their breasts
00:19:04,00:19:08,"open and you would put your foot in between them and they'd say, ""You're a size 12."""
00:19:08,00:19:10,"God, it was a different time, wasn't it?"
00:19:10,00:19:11,You're a double C.
00:19:11,00:19:15,"I sort of imagined it, actually, is going under the breasts."
00:19:15,00:19:20,"So I was weirdly imagining it, I suppose, of a rather elderly servant with heavy sag,"
00:19:20,00:19:24,"where you could slot a foot under each breast, which would also work."
00:19:24,00:19:26,Also nice.
00:19:26,00:19:29,Marat Caroline Tosman was a character as well.
00:19:29,00:19:33,"And they actually sound a little bit like, I want to say,"
00:19:33,00:19:35,"Kim Kardashian and Kanye West, maybe."
00:19:35,00:19:38,So they were both very flashy.
00:19:38,00:19:42,"He was called the Dandy King because he liked to parade around the streets of Paris,"
00:19:42,00:19:44,dressed like a stage king.
00:19:44,00:19:45,Dressed like Desperate Dad.
00:19:45,00:19:49,"Yeah, that's right."
00:19:49,00:19:50,With a huge cow pie.
00:19:50,00:19:52,He was very good looking.
00:19:52,00:19:56,"I think he was slightly out of Caroline's league, maybe, looks wise."
00:19:56,00:19:59,"And he was so vain that even at the end, he was executed by a firing squad"
00:19:59,00:20:02,for sticking with Napoleon a little bit too long.
00:20:02,00:20:05,"And before he was executed, his very last words were,"
00:20:05,00:20:09,"""Soldiers, do your duty straight to the heart, but spare the face."""
00:20:09,00:20:10,Wow.
00:20:10,00:20:15,Couldn't bear the idea of his face being lost to the world.
00:20:15,00:20:18,"Not going to be much use to him after he's lost his heart, though, is it?"
00:20:18,00:20:18,Yeah.
00:20:18,00:20:21,"No, but at least he looks fit at the funeral."
00:20:21,00:20:23,"I understand that impulse, I must say."
00:20:23,00:20:24,"I do, too."
00:20:24,00:20:26,I can kind of say the same thing.
00:20:26,00:20:27,Yeah?
00:20:27,00:20:29,"I'm not claiming to be a looker, I'm just saying."
00:20:29,00:20:32,"""Go for the heart or the face, but spare the inner ear."""
00:20:32,00:20:40,"Josephine was originally called Rose, wasn't she?"
00:20:40,00:20:41,She was called Rose.
00:20:41,00:20:44,And then Napoleon decided that he wanted to call her Josephine.
00:20:44,00:20:45,Possibly.
00:20:45,00:20:50,"We're not sure why, but possibly because her previous lovers will have called her Rose."
00:20:51,00:20:56,And he didn't want her to have the same name as her ex-boyfriends knew her as.
00:20:56,00:20:58,And she kind of put up with it.
00:20:58,00:21:04,"But on the other hand, she was massively into roses later in life."
00:21:04,00:21:09,And a lot of people wonder if maybe the reason she was so into roses was just to annoy Napoleon.
00:21:09,00:21:13,And so she would get roses brought over from England and plant them in Paris.
00:21:13,00:21:18,"And she would get special passports for these roses so that when the war was happening,"
00:21:18,00:21:22,they could still come from overseas because she loved roses so much.
00:21:22,00:21:27,"She needs a therapist to work through that with her, I think, the rose session."
00:21:27,00:21:29,"Yeah, she's got some unresolved issues there."
00:21:29,00:21:32,I think that's Napoleon being a bit controlling there.
00:21:32,00:21:36,"And I know he was famously quite a controlling man, CF all of Europe."
00:21:36,00:21:41,"But I think it's definitely true that when you would ask your girlfriend to change her name,"
00:21:41,00:21:42,that is controlling.
00:21:43,00:21:48,"Yeah, I like that in the initial change, people would have got confused and ended up calling her"
00:21:48,00:21:52,Rosophine and just sounding like Scooby-Doo.
00:21:52,00:21:54,Rosophine!
00:21:54,00:21:59,The only other thing about Napoleon's marriage to Josephine that I know is that on his actual
00:21:59,00:22:03,"wedding night, he kept Josephine waiting for two hours because he was busy planning the invasion"
00:22:03,00:22:07,of Italy. And he got so excited and carried away that he forgot the time.
00:22:07,00:22:09,He just turned up at midnight or whatever.
00:22:10,00:22:12,Did she think it was a euphemism for the first hour and a half?
00:22:12,00:22:15,"He said, ""I'm planning the invasion of Italy, my love."""
00:22:15,00:22:18,"No, this is way around a metaphor."
00:22:18,00:22:29,"Okay, it is time for fact number three, and that is Andy."
00:22:29,00:22:32,My fact is that a Chinese tech firm has recently been busted
00:22:32,00:22:35,for spying on its employees via their bottoms.
00:22:38,00:22:42,This is just a story that was in the news lately. It's a firm called Hebo Logistic Technology.
00:22:42,00:22:46,"It's a tech firm, and they issued all their stuff with smart cushions, and these cushions were"
00:22:46,00:22:49,going to monitor their health and make sure they were staying healthy in the workplace.
00:22:49,00:22:53,"These cushions are incredible. You sit on them, they monitor your heart rate, your breathing,"
00:22:53,00:22:59,"how tired you are, your posture, everything. But the problem was the cushion was also a snitch,"
00:22:59,00:23:04,"and it reported when you were not sitting at your desk, and the company had full data,"
00:23:04,00:23:07,"and it just started asking people, ""Hey, why are you not at your desk at these times?"
00:23:07,00:23:09,"Hey, you've been leaving 10 minutes early a few days in a row."
00:23:09,00:23:15,You're missing. Human resources just completely went off on one and started using
00:23:15,00:23:18,"the Robo Cushion Bum Spies for evil."""
00:23:18,00:23:26,"The company did deny it, didn't it? The company said that they're just collecting trial data,"
00:23:26,00:23:31,"not monitoring employees, but then they don't explain how a couple of HR staffers were going"
00:23:31,00:23:33,"up to people saying, ""Oh, notice you're knocking off a bit early."""
00:23:34,00:23:38,Yeah. Maybe HR just went broke. You know what HR are like.
00:23:38,00:23:44,Do you now go into the company headquarters and everyone's just got their cushions strapped to
00:23:44,00:23:49,"their arse? Because that's what I do. Yeah, that's a good idea. Feet the tech."
00:23:49,00:23:52,But then it would think that you'd suddenly become extremely light.
00:23:52,00:23:54,"You've lost a lot of weight, sure."
00:23:54,00:24:00,"You could just have a sack of beetroots and leave that on your desk at all times, and it would..."
00:24:00,00:24:06,"Oh, yeah. You could do that Indiana Jones thing of swapping the golden icon for a bag of..."
00:24:06,00:24:10,"I think a bag of beetroots though, is that's going to leave a telltale red stain on your cushion,"
00:24:10,00:24:12,isn't it? I'm not going to...
00:24:12,00:24:13,"Don't be more worried about your health, to be honest."
00:24:13,00:24:18,You appear to be bleeding heavily every day you sit down.
00:24:18,00:24:25,"The Chinese Communist Party official organ, which is the Global Times, the newspaper,"
00:24:26,00:24:31,they had someone who was a lawyer who said that they think this is probably illegal.
00:24:31,00:24:36,So even the Communist Party are kind of on the employee side of this.
00:24:36,00:24:41,They're saying you can kind of maybe test people and see what's happening.
00:24:41,00:24:46,"But if you're giving the information to even to another employee, even to HR, then that might be"
00:24:46,00:24:51,an issue. It does keep happening though. This kind of workplace buying technology is normally
00:24:51,00:24:56,"computer-based, obviously, because it's easier than giving people cushions."
00:24:56,00:24:58,There must be computers in the cushions though.
00:24:58,00:25:02,"You're right. What is a computer, I guess, is what we're asking? What is a cushion?"
00:25:02,00:25:09,"The age old question, first posed by Plato, never answered since."
00:25:09,00:25:14,"No, this happens everywhere. I couldn't believe it. Spyware."
00:25:14,00:25:18,"So in 2018, it was reported that half of large companies are using some kind of monitoring"
00:25:18,00:25:24,techniques on their employees. So that's things like you have software set up that analyzes the
00:25:24,00:25:29,"text of their emails, their social media messages of biometric data."
00:25:29,00:25:34,"And then in COVID, that's massively searched because people are working at home."
00:25:34,00:25:38,"So I think demand has gone up by 108%. So you're all being spied on, guys."
00:25:38,00:25:43,"Yeah, there was Barclays in 2017. This was in the UK thing."
00:25:43,00:25:50,"And they put a black box underneath everyone's desk and people just went into the office and went,"
00:25:50,00:25:53,"""Why is there a black box under my desk?"" And they went, ""Oh, no, it's nothing. It's nothing."""
00:25:53,00:25:59,"And it turned out to be something called Occupy, which is like Occupy, but EYE at the end."
00:25:59,00:26:04,And it's a heat and motion sensor that can tell whether you're sat at your desk or not.
00:26:04,00:26:08,"And according to Barclays, the sensors weren't monitoring you. They weren't checking if you"
00:26:08,00:26:12,were at your desk. They were just seeing whether the office space was being used efficiently.
00:26:12,00:26:18,"And maybe if you're not your desk very often, we could put a water cooler there or something."
00:26:19,00:26:24,"I don't know about that, but they were saying that, ""Oh, no, it's not to check up on people."""
00:26:24,00:26:29,"The Daily Telegraph did that, too. They got busted because they happened to employ a few"
