start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:16,- Hello and welcome to another episode
00:00:16,00:00:18,"of No Such Thing as a Fish,"
00:00:18,00:00:19,a weekly podcast coming to you
00:00:19,00:00:22,from four mysterious locations in the UK.
00:00:22,00:00:23,My name is Dan Schreiber.
00:00:23,00:00:26,"I am sitting here with Anna Tyshinski,"
00:00:26,00:00:28,Andrew Hunter Murray and James Harkin.
00:00:28,00:00:30,"Once again, we have gathered around the microphones"
00:00:30,00:00:33,with our four favorite facts from the last seven days.
00:00:33,00:00:36,"And in a particular order, here we go."
00:00:36,00:00:39,"Starting with fact number one, that is Andy."
00:00:39,00:00:42,"- My fact is that from 1925 until 1936,"
00:00:42,00:00:45,the town of Eastbourne had two phone booths
00:00:45,00:00:47,with thatched roofs.
00:00:47,00:00:50,"- Wow, that sounds very Eastbourne to me."
00:00:50,00:00:51,- It does.
00:00:51,00:00:54,It feels like phones and thatched roofs belong
00:00:54,00:00:56,to quite different eras.
00:00:56,00:00:58,So why would they get the thatched roof?
00:00:58,00:01:00,"I mean, what I would call the post-thatch era."
00:01:00,00:01:03,"- Well, they weren't, see, Eastbourne adapted a bit later"
00:01:03,00:01:06,than the rest of the world to the post-thatch.
00:01:06,00:01:09,"To everything, but to the end of thatch."
00:01:09,00:01:11,"Basically, it was the beginning of the 20th century,"
00:01:11,00:01:12,very exciting.
00:01:12,00:01:15,"You know, we've got phones now and we've got phone boxes."
00:01:15,00:01:19,"And early days, local authorities didn't like"
00:01:19,00:01:21,getting standard designs for what was going on
00:01:21,00:01:24,"in their parish council, their town council, whatever."
00:01:24,00:01:26,And so they had these two kiosks on the seafront
00:01:26,00:01:28,"and they thought, no, this doesn't look very Eastbourne"
00:01:28,00:01:29,to us.
00:01:29,00:01:32,So they insisted that they got a local thatcher
00:01:32,00:01:35,to come on and build them a thatched roof.
00:01:35,00:01:37,And it looks so stupid.
00:01:37,00:01:39,It obviously looks like a sort of magic toadstool
00:01:39,00:01:41,that you'd see a pixie living in.
00:01:41,00:01:45,- And is this on the classic red phone box?
00:01:45,00:01:48,"The K6, as it's known, or is this earlier?"
00:01:48,00:01:50,- These weren't K6 models.
00:01:50,00:01:52,These were very early models.
00:01:52,00:01:53,- They were the Kons.
00:01:53,00:01:54,- Yeah.
00:01:54,00:01:55,"- Still red, right?"
00:01:55,00:01:57,- I looked at the full K1 to 6 range
00:01:57,00:01:59,"and aside from a couple of exceptions,"
00:01:59,00:02:01,they all look the same to me.
00:02:01,00:02:03,I can't believe there's so much fuss about the progress.
00:02:03,00:02:05,- Maybe you've got phone box blindness
00:02:05,00:02:07,like James has face blindness.
00:02:07,00:02:12,"- Sorry, so it's on the K1 that is red,"
00:02:12,00:02:14,but very different to the K6.
00:02:14,00:02:15,- These are the K1s.
00:02:15,00:02:17,"And in fact, they were not universally disliked"
00:02:17,00:02:19,"because in 1936, there was a letter"
00:02:19,00:02:20,"to the Eastbourne Chronicles saying,"
00:02:20,00:02:22,I can't believe you've taken the thatch roof
00:02:22,00:02:22,off the phone boxes.
00:02:22,00:02:25,What are standards coming to in Eastbourne?
00:02:25,00:02:28,"- Well, they did say that, but in that letter,"
00:02:28,00:02:29,they said that the original one looked like
00:02:29,00:02:32,a cross between a Chinese pagoda and a mushroom.
00:02:32,00:02:34,"So they didn't like the new ones,"
00:02:34,00:02:36,but I'm not sure they liked the old ones that much either.
00:02:36,00:02:38,- No one likes anything in Eastbourne.
00:02:38,00:02:40,That's the message.
00:02:40,00:02:40,- It's not a bad thing.
00:02:40,00:02:42,"I know you hate mushrooms, so you're very biased,"
00:02:42,00:02:44,but I don't know if I automatically assume
00:02:44,00:02:48,a Chinese pagoda cross with a mushroom is a negative thing.
00:02:48,00:02:49,It sounds kind of beautiful.
00:02:49,00:02:50,"- Yeah, okay."
00:02:50,00:02:53,"Well, I'm sure that Boris Johnson will be bringing you in"
00:02:53,00:02:55,to do his interior design sometime soon.
00:02:55,00:02:59,- Don't you think it's so sad that they stopped at the K6?
00:02:59,00:03:01,"'Cause if they got to the K9,"
00:03:01,00:03:03,we would have had dog-shaped phone boxes.
00:03:03,00:03:05,"- There was a K7 and a K8, definitely."
00:03:05,00:03:07,"- Oh, God damn it."
00:03:07,00:03:07,- They stopped.
00:03:07,00:03:09,"- Maybe it was a trademark issue, right?"
00:03:09,00:03:12,Maybe K9 came out and they just didn't have access.
00:03:12,00:03:15,"- Yeah, because it's like Dr. Who had a dog called K9,"
00:03:15,00:03:16,didn't he?
00:03:16,00:03:19,"And he had a, like not a telephone box,"
00:03:19,00:03:21,"but he had a, what did he have?"
00:03:21,00:03:22,A police box.
00:03:22,00:03:22,- There's a police box.
00:03:22,00:03:24,"- There wouldn't have been all sorts of confusion there,"
00:03:24,00:03:25,wouldn't there?
00:03:25,00:03:26,- Yeah.
00:03:26,00:03:28,- But there was a KX model.
00:03:28,00:03:31,So that was kind of a K10 or a Latin 10.
00:03:31,00:03:33,So it feels like there's something going on here
00:03:33,00:03:34,that we're not being told.
00:03:34,00:03:36,"- The KX100 is the one you're talking about maybe,"
00:03:36,00:03:38,which is the glass modern-ish one
00:03:38,00:03:41,that everyone will kind of remember from the '90s.
00:03:41,00:03:42,- That is what I'm talking about.
00:03:42,00:03:44,- Maybe the KX is the rude one
00:03:44,00:03:46,"when we started putting up all those, you know,"
00:03:46,00:03:48,sex worker call numbers inside.
00:03:48,00:03:51,"KXXX, known as the K30."
00:03:51,00:03:55,- I found out about those in the course of researching this.
00:03:55,00:03:58,"And only in the course of researching this, I'd like to say."
00:03:58,00:04:00,But do you know where the world's largest collection is
00:04:00,00:04:04,of what get called Tarte's Cards in phone boxes?
00:04:04,00:04:05,- Did they still get called that?
00:04:05,00:04:06,Wow.
00:04:06,00:04:07,- They do in academics.
00:04:07,00:04:09,"- So they, righty."
00:04:09,00:04:11,Is it in the British Library?
00:04:11,00:04:12,- So close.
00:04:12,00:04:13,You're about 100 meters away.
00:04:13,00:04:15,"It's the Welcome Library,"
00:04:15,00:04:17,"the amazing Institute of, you know,"
00:04:17,00:04:18,they've got all sorts of collections
00:04:18,00:04:22,and they have 17 boxes of them.
00:04:22,00:04:22,- What is that?
00:04:22,00:04:25,- Collected by one employee called Steven.
00:04:25,00:04:27,"He still collects new ones, doesn't he?"
00:04:27,00:04:29,He goes around London
00:04:29,00:04:31,'cause he's updating the collection all the time.
00:04:31,00:04:31,- Wow.
00:04:31,00:04:33,"And what a coincidence that he works for the Welcome Library,"
00:04:33,00:04:35,which is also a place that collects things.
00:04:35,00:04:36,- Yeah.
00:04:36,00:04:39,Is it advertised as part of the collection
00:04:39,00:04:40,or is it like once you've been round
00:04:40,00:04:43,"a relatively dry selection of old manuscripts,"
00:04:43,00:04:45,you might want a fun time at the end?
00:04:45,00:04:47,"- Actually, at the Welcome Collection,"
00:04:47,00:04:48,they do have a lovely little cafe
00:04:48,00:04:51,that has a selection of various tarts.
00:04:51,00:04:52,So they do.
00:04:52,00:04:53,- Thanks.
00:04:53,00:04:54,- It's good to know.
00:04:54,00:04:55,- It's really interesting.
00:04:55,00:04:56,"Just on those, it sort of started"
00:04:56,00:04:59,the idea of these tart cards in phone boxes
00:04:59,00:05:02,started supposedly in Soho area.
00:05:02,00:05:03,"And when they first went up,"
00:05:03,00:05:05,they were done purely with words.
00:05:05,00:05:09,"And in order to go past obscenity laws and so on,"
00:05:09,00:05:11,they had to do coded advertisement.
00:05:11,00:05:12,"So for example,"
00:05:12,00:05:16,you might see one that said large chest for sale.
00:05:16,00:05:19,"And you would know that that was some,"
00:05:19,00:05:22,"I mean, there was reports that the worker in question"
00:05:22,00:05:25,did have to field lots of calls from furniture buyers
00:05:25,00:05:26,as a result of that.
00:05:26,00:05:29,But it would be all these kind of innuendo.
00:05:29,00:05:29,- Wow.
00:05:29,00:05:30,- Early phone boxes were so cool.
00:05:30,00:05:32,"Some of them had carpets inside,"
00:05:32,00:05:36,just one tiny square of carpet on the ground indoors.
00:05:36,00:05:38,They all had cigarette rests.
00:05:38,00:05:40,"So you could rest your fag while you were smoking,"
00:05:40,00:05:41,which I love.
00:05:41,00:05:42,- Nice.
00:05:42,00:05:43,"- Yeah, oak finishes."
00:05:43,00:05:45,They were quite gorgeous things in the early days.
00:05:45,00:05:48,"You know, now almost all phone boxes have been adapted"
00:05:48,00:05:49,into other things like many libraries
00:05:49,00:05:51,"or what internet cafes or whatever,"
00:05:51,00:05:53,because people aren't using them to phone anymore.
00:05:53,00:05:56,"Even in 1938, I read a letter,"
00:05:56,00:05:58,"furious letter, into the Belfast Telegraph"
