start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:18,- Hello and welcome to another episode
00:00:18,00:00:20,"and no such thing as a fish, a weekly podcast,"
00:00:20,00:00:22,this week coming to you live
00:00:22,00:00:25,from the O2 Forum in Kentish Town.
00:00:25,00:00:28,(audience cheering)
00:00:29,00:00:32,(audience cheering)
00:00:32,00:00:33,My name is Dan Schreiber.
00:00:33,00:00:35,"I am sitting here with Anna Tyshinski,"
00:00:35,00:00:37,Andrew Hunter Murray and James Harkin.
00:00:37,00:00:40,"And once again, we have gathered around the microphones"
00:00:40,00:00:43,with our four favorite facts from the last seven days.
00:00:43,00:00:46,"And in no particular order, here we go."
00:00:46,00:00:50,"Starting with fact number one, and that is Anna."
00:00:50,00:00:53,- My fact this week is that one of the main villains
00:00:53,00:00:57,"in China's equivalent of WWE is Steve,"
00:00:57,00:00:59,the English as a second language teacher.
00:00:59,00:01:03,(audience laughing)
00:01:03,00:01:04,- That is terrifying.
00:01:04,00:01:07,- It's a frightening concept for a lot of Chinese people
00:01:07,00:01:08,trying to learn English.
00:01:08,00:01:13,"I think it's quite a small outfit compared to WWE,"
00:01:13,00:01:14,"which you may remember as WWF,"
00:01:14,00:01:17,but of course it's not allowed to be called that anymore
00:01:17,00:01:19,'cause the Wildlife Fund got that name.
00:01:19,00:01:19,"- Yes, absolutely."
00:01:19,00:01:20,"- And that was it, wasn't it?"
00:01:20,00:01:23,- It was a big fight with Hulk Hogan and the panda.
00:01:23,00:01:25,(audience laughing)
00:01:25,00:01:27,- Bizarrely the panda won that one.
00:01:27,00:01:30,"So this is Middle Kingdom Wrestling, MKE,"
00:01:30,00:01:33,which is the very nascent Chinese pro wrestling organization
00:01:33,00:01:35,that was started in 2015.
00:01:35,00:01:39,"And yeah, it's got some imaginative evil dudes."
00:01:39,00:01:41,"So Steve, the English as a second language teacher,"
00:01:41,00:01:43,he brings exam textbooks into the ring.
00:01:43,00:01:45,"- Oh, that's so cool."
00:01:45,00:01:46,- Does he like hit them with it?
00:01:46,00:01:47,"Us, he must be right."
00:01:47,00:01:48,"- I think he does a bit, yes he does."
00:01:48,00:01:49,- Does he?
00:01:49,00:01:49,- I thought he did.
00:01:49,00:01:50,- He probably does.
00:01:50,00:01:52,I was imagining he just opened it up in front of them
00:01:52,00:01:53,"and said, ""Answer these questions."""
00:01:53,00:01:55,(audience laughing)
00:01:55,00:01:55,- I don't know.
