start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,"- Hey everyone, welcome to this week's episode of Fish."
00:00:02,00:00:04,"Before we begin, we just wanna let you know"
00:00:04,00:00:07,"that James is away this week, and so in his place,"
00:00:07,00:00:08,we've got a really good buddy of ours.
00:00:08,00:00:13,"It is Jamie Morton, the co-host of My Dad wrote a porno."
00:00:13,00:00:15,"I'm sure you're all aware of My Dad wrote a porno,"
00:00:15,00:00:18,"one of the biggest British podcasts out there,"
00:00:18,00:00:20,and they've just launched their sixth series.
00:00:20,00:00:23,"There are a couple of episodes in, do check it out."
00:00:23,00:00:26,"It is incredibly funny, it is incredibly rude,"
00:00:26,00:00:28,and maybe even go back to the first series
00:00:28,00:00:31,"and work your way up there, because it's a long narrative"
00:00:31,00:00:33,and it is so worth the journey.
00:00:33,00:00:34,"They are obviously juggernauts,"
00:00:34,00:00:36,it's not just the podcast that they do.
00:00:36,00:00:38,You can also find tickets
00:00:38,00:00:40,to their upcoming live tours online.
00:00:40,00:00:42,Why not check out their HBO special as well.
00:00:42,00:00:45,They've even just released some tie-in beers.
00:00:45,00:00:46,There's My Dad wrote a porno ale
00:00:46,00:00:50,"that you can get now online, so do find that as well."
00:00:50,00:00:52,"And you can actually see the whole team,"
00:00:52,00:00:56,Alice Levine and James Cooper and Jamie joining us online.
00:00:56,00:00:59,If you go to YouTube for the comic relief special
00:00:59,00:01:01,"that we did a few months back, the full team is there"
00:01:01,00:01:03,and we had a great chat.
00:01:03,00:01:05,And we had an amazing chat with Jamie on this episode.
00:01:05,00:01:08,"So I hope you enjoy, do check their new series out"
00:01:08,00:01:10,and on with the show.
00:01:10,00:01:13,(lively music)
00:01:25,00:01:28,- Hello and welcome to another episode
00:01:28,00:01:29,"of No Such Thing as a Fish,"
00:01:29,00:01:31,a weekly podcast coming to you
00:01:31,00:01:34,from four undisclosed locations in the UK.
00:01:34,00:01:36,My name is Dan Schreiber.
00:01:36,00:01:38,"I am sitting here with Andrew Hunter Murray,"
00:01:38,00:01:41,"Anna Tyshinski, and it's our special guest,"
00:01:41,00:01:43,"our good friend, co-host of My Dad wrote a porno,"
00:01:43,00:01:44,Jamie Morton.
00:01:44,00:01:47,"And once again, we have gathered around the microphones"
00:01:47,00:01:50,with our four favorite facts from the last seven days.
00:01:50,00:01:53,"And in no particular order, here we go."
00:01:53,00:01:56,"Starting with fact number one, and that's you, Jamie."
00:01:56,00:02:01,"- My fact is in 2007, tennis legends Roger Federer"
00:02:01,00:02:04,and Raphael Nadal played a match on a court
00:02:04,00:02:08,that was 50% grass and 50% clay.
00:02:08,00:02:11,- Like a Frankencourt.
00:02:11,00:02:13,- Exactly that.
00:02:13,00:02:15,"Basically they were both, and still kind of are,"
00:02:15,00:02:19,"seen as the greatest on clay and grass,"
00:02:19,00:02:21,"Rafa being the best on clay,"
00:02:21,00:02:22,Roger being the best on grass.
