start_hhmmss,end_hhmmss,text
00:00:00,00:00:13,[music]
00:00:13,00:00:19,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:00:19,00:00:22,to you from one very disclosed location.
00:00:22,00:00:25,It is the QI offices in Covent Garden.
00:00:25,00:00:26,We are back.
00:00:26,00:00:27,My name is Dan Schreiber.
00:00:27,00:00:32,"I am sitting here at a very comfortable two meter distance from Anna Tyshinski, Andrew"
00:00:32,00:00:36,Huntamurray and James Harkin and once again we have gathered around the microphones with
00:00:36,00:00:42,our four favorite facts from the last seven days and in no particular order here we go.
00:00:42,00:00:45,Starting with fact number one and that is James.
00:00:45,00:00:50,"Okay, my fact this week is that there is a type of glue that was developed specifically"
00:00:50,00:00:57,to help strong men grab onto giant stone spheres.
00:00:57,00:00:58,So cool.
00:00:58,00:01:02,"So strong men competitions, this is where you see them basically lift these giant boulders"
00:01:02,00:01:04,don't you up onto platforms.
00:01:04,00:01:09,So if you imagine on British television between Christmas and New Year there is nothing else
00:01:09,00:01:13,on TV apart from World's Strongest Man which is the best show ever where they get these
00:01:13,00:01:18,enormous men like pulling trucks and doing all sorts of stuff but like you say one of
00:01:18,00:01:23,the things is called the Atlas Stones and there is a substance called Spide Attack that
00:01:23,00:01:29,was invented by a part-time strong man and part-time molecular biologist called Mike
00:01:29,00:01:30,Caruso.
00:01:30,00:01:37,"He smashed all the test tubes in the lab, didn't he?"
00:01:37,00:01:42,And yeah basically he was carrying these big boulders and one of the big problems is actually
00:01:42,00:01:45,gripping them as someone who has lifted a giant boulder myself.
00:01:45,00:01:51,"I could definitely say that, I think I mentioned it on this before that in Iceland I was lifting"
00:01:51,00:01:54,"some giant boulders, might come to that later."
00:01:54,00:02:00,But anyway so he was struggling to grip them so he took some rosin which is that stuff
00:02:00,00:02:04,"that if you play the violin and for instance you pot on your bow to make it, I'm just helping"
00:02:04,00:02:05,you here.
00:02:05,00:02:06,I feel comfortable.
00:02:06,00:02:11,And then he added some polymers to the rosin and he can't disclose what kind of polymers
00:02:11,00:02:17,"are in it, he calls it a special sauce and he came up with this incredibly sticky stuff."
00:02:17,00:02:22,Now he sold about ten of these a year so it wasn't really a big deal but it's come up
00:02:22,00:02:28,really recently because it's basically spoiled baseball because baseball pitchers who throw
00:02:28,00:02:32,the ball have discovered it and if they put it on their hands it makes the hands able
00:02:32,00:02:37,to spin the ball a hell of a lot which makes the ball impossible to hit and so it's come
00:02:37,00:02:39,into the news recently that this stuff exists.
00:02:39,00:02:44,Yeah so it is a big controversy at the moment in baseball because batting averages are at
00:02:44,00:02:48,the lowest they've ever been and they think it's because specifically of this kind of
00:02:48,00:02:52,glue and other glues that are being brought in but it's just a whole new era of baseball
00:02:52,00:02:55,where everyone's striking out and yeah.
00:02:55,00:03:01,Yeah the Yankees have got a picture called Gerrit Cole and they signed him on a nine
00:03:01,00:03:05,year deal for three hundred and twenty four million dollars in 2019.
00:03:05,00:03:09,"He was the best pitcher ever, they had to pay all this money for him."
00:03:09,00:03:12,They signed him for three hundred and twenty four million dollars.
00:03:12,00:03:14,"Yeah, over nine years."
00:03:14,00:03:19,"Wow, over nine years, it's only about forty million dollars a year, come on Anna."
00:03:19,00:03:20,Cheapskate.
00:03:20,00:03:23,"Sorry, I'm so sorry."
00:03:23,00:03:28,"But they asked him if he used Spide Attack and he was really really evasive in this interview,"
00:03:28,00:03:29,it's amazing.
00:03:29,00:03:31,He's like oh I don't know how to answer that question.
00:03:31,00:03:34,The question was do you use Spide Attack and he said I don't know how to answer that
00:03:34,00:03:39,question and there's a suggestion that his form has gone really badly down in the last
00:03:39,00:03:44,"couple of weeks because they've now banned this Spide Attack and all the commentators,"
00:03:44,00:03:47,"I'm not saying it's true, but all the commentators are saying that it's because they've stopped"
00:03:47,00:03:50,"him from using it, he's suddenly turned into a terrible pitcher."
00:03:50,00:03:51,Interesting.
00:03:51,00:03:57,"What's amazing though is that the inventor, this Hulk Bruce Banner guy, half chemist,"
00:03:57,00:04:03,"half big monster, he doesn't quite know how they're using it in baseball because it's"
00:04:03,00:04:04,too sticky a substance.
00:04:04,00:04:05,He doesn't like baseball.
00:04:05,00:04:06,Right.
00:04:06,00:04:11,"Yeah, there's an amazing interview with theathletic.com by Steven Jay Nesbitt, the journalist."
00:04:11,00:04:16,And he found this guy and he asked him what do you think of this and he goes oh I had
00:04:16,00:04:19,"no idea it was popular in baseball, I don't watch baseball, in fact I don't watch any"
00:04:19,00:04:21,"sports, I'm too busy to watch sports."
00:04:21,00:04:23,So he didn't realise that he's spoiled this sport.
00:04:23,00:04:24,That's very interesting.
00:04:24,00:04:29,Is it cheating to use glue when you're trying to lift up a stone sphere?
00:04:29,00:04:30,Interesting.
00:04:30,00:04:31,Good question.
00:04:31,00:04:35,I think no because I think the whole purpose is the weight of it.
00:04:35,00:04:39,I think obviously you could lose grip but I think we're trying to look at who can hold
00:04:39,00:04:43,things that are really heavy as opposed to who's got good grip on an object.
00:04:43,00:04:48,"Well, I would say part of holding things, a crucial part is grip."
00:04:48,00:04:51,You're right.
00:04:51,00:04:55,"It's often, a lot of these stones are in Scotland, aren't they, it's rainy a lot there so that"
00:04:55,00:04:58,must make it a lot harder to lift this stone.
00:04:58,00:04:59,Does rain make it harder?
00:04:59,00:05:00,I figured that would give you more grip.
00:05:00,00:05:05,"It's because if you put your hands on wet surfaces, don't our hands go a bit?"
00:05:05,00:05:08,That's actually why cars can stop so easily in rainy conditions.
00:05:08,00:05:13,"No, but what I'm saying is our hands adapt to, they go wrinkly, it gives you hand-hold"
00:05:13,00:05:14,"grips, natural hand-holds."
00:05:14,00:05:15,That's a good point.
00:05:15,00:05:18,I'm not sure it's proven that the reason our hands go wrinkly is for grip.
00:05:18,00:05:19,I know that's one of the dominant theories.
00:05:19,00:05:24,"Imagine if there was one really strong man, he was the strongest in the world but he's"
00:05:24,00:05:29,a real butterfingers and so he lost every single tournament for that reason.
00:05:29,00:05:35,He's got no fingerprints and he can't lift everything but he can't commit crimes.
00:05:35,00:05:38,So someone else wins a trophy and he steals it off them.
00:05:38,00:05:39,Exactly.
00:05:39,00:05:40,Serious.
00:05:40,00:05:45,"They're also called manhood stones, aren't they, sometimes, and there seems to be a very"
00:05:45,00:05:48,important one in Iceland which may indeed be the one that you've lifted.
00:05:48,00:05:50,You lifted the Husafell stone.
00:05:50,00:05:51,Yes.
00:05:51,00:05:52,"Oh, no, I haven't."
00:05:52,00:05:53,"No, the Husafell stone, no."
00:05:53,00:05:54,"Oh, that's the biggie."
00:05:54,00:05:57,You just lifted Daniel's stone in Iceland.
00:05:57,00:06:01,So the Husafell stone is just one stone that you carry from one place to another.
00:06:01,00:06:03,"It's in someone's garden or something, I think, right?"
00:06:03,00:06:07,I think it's been used as a strongman's stone for over a century and before that it was
00:06:07,00:06:09,used as a gate to a goat pen in Iceland.
00:06:09,00:06:11,"Wow, what a promotion."
00:06:11,00:06:12,That's huge.
00:06:12,00:06:18,"Well, maybe you prefered being the goat checker, but that's the big one that people go and"
00:06:18,00:06:20,lift if they want to.
00:06:20,00:06:21,Right.
00:06:21,00:06:28,"There are also four more in a place called djupallonsadur, where there are four different"
00:06:28,00:06:29,size stones.
00:06:29,00:06:31,I have mentioned this before.
00:06:31,00:06:37,Whichever one you can carry would depend on where you would work on the boat and the people
00:06:37,00:06:41,"who lifted the heavier one would be in the more difficult rowing place, but they would"
00:06:41,00:06:45,"get more of the catch, so they get more fish when they, when it came in."
00:06:45,00:06:47,So where are you in the boat?
00:06:47,00:06:50,"Well, I'm not very strong."
00:06:50,00:06:55,"There's one called useless, which is 23 kilograms, which is relatively easy to lift."
00:06:55,00:06:59,"And then there's one called weakling, which is 54 kilograms, which I could lift, but I"
00:06:59,00:07:00,found extremely difficult.
00:07:00,00:07:04,"And it was the grip genuinely, like you could kind of get it on your knees and lift it up"
00:07:04,00:07:07,"quite easily, but just getting your hands around it."
00:07:07,00:07:11,"And then the other two, half strength, which is 100 kilos of full strength, which is 154"
00:07:11,00:07:13,"kilos, barely could move them."
00:07:13,00:07:15,Like the big one literally couldn't move it.
00:07:15,00:07:17,"I mean, that's really heavy."
00:07:17,00:07:20,"Is there anything for like, is there a stone which would give you a administrative role"
00:07:20,00:07:22,on the docks?
00:07:22,00:07:23,Not being on the boat at all.
00:07:23,00:07:24,Just a little pebble.
00:07:24,00:07:27,"Yeah, exchange for some sardines every day."
00:07:27,00:07:32,"The thing is, when I did it, it was really raining and I always use that as an excuse"
00:07:32,00:07:35,"that, oh, it was really slippy and stuff, but now you mentioned that my hands would have"
00:07:35,00:07:36,gone wrinkly.
00:07:36,00:07:37,That's no excuse anymore.
00:07:37,00:07:38,You should have held on longer.
00:07:38,00:07:39,Yeah.
