start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"Hi everybody, Andy here. Just before we start this week's show we have an"
00:00:06,00:00:13,announcement to make. It's a bit of a serious one. It's that for a while we are not going to be able to
00:00:13,00:00:21,"record our podcast from our spiritual home, our Covent Garden office anymore and there's a simple reason for that and"
00:00:21,00:00:25,the reason is that we are going on
00:00:25,00:00:33,on tour. That's right. I tricked you all. It wasn't bad news. It's good news. You thought someone had died. Quite the reverse
00:00:33,00:00:37,we're going to be on tour live and amplified across the entirety of the UK and Ireland.
00:00:37,00:00:42,We're going to be going all over the shop. Are we going to Barnstable? You bet your bum we're going to Barnstable.
00:00:42,00:00:49,"Are we going to pool? As a rule, we're going to pool and 25 other places across the UK and of course not to forget Dublin."
00:00:49,00:00:54,"I know what you're thinking. What's the show going to involve? Well, I'll tell you it's going to be a live"
00:00:54,00:00:58,new fresh podcast right for your ears in the second half every single night. All the bits
00:00:58,00:01:02,they're actually too funny to put out in the edited version of the show and the first half is going to be an
00:01:02,00:01:07,extraordinary cavalcade of different things. So much different stuff is going to happen in the first half.
00:01:07,00:01:16,"Elephants, dancing girls, dancing boys, fireworks, dance famous avocado trick and a number of other things that I really probably shouldn't actually be promising to you."
00:01:16,00:01:20,"But Andy, Andy, Andy, how do we get our tickets? It's very simple everybody."
00:01:20,00:01:26,"All you have to do is go to knowsuchthingasafish.com, find the nearest one and click book. That's it."
00:01:26,00:01:31,Knowsuchthingasafish.com. That's it. It's going to be so much fun.
00:01:31,00:01:38,"We cannot wait to see you there. If you're not there, we'll talk about you behind your back. All right, that's it on with the show."
00:01:38,00:02:02,"Hello and welcome to another episode of Knowsuchthingasafish, a weekly podcast coming to you from the QI offices in Covent Garden."
00:02:02,00:02:04,My name is Dan Schreiber.
00:02:04,00:02:10,"I am sitting at a ginormous distance from Andrew Hunter Murray, James Harkin and Anna Tyshinski."
00:02:10,00:02:18,"And once again, we have gathered around the microphones with our four favorite facts from the last seven days and in no particular order here we go."
00:02:18,00:02:21,"Starting with fact number one, and that is James."
00:02:21,00:02:33,"OK, my fact this week is that Nate Mercerow, who produced the most recent album of Grammy winning R&B star Leon Bridges, has now started collaborating with actual Bridges."
00:02:34,00:02:37,"When you're onto a winner, right? Just stick with it."
00:02:37,00:02:42,"How many elements of your fact had you heard of before discovering this, James? Be honest."
00:02:42,00:02:43,I'd heard of Bridges.
00:02:43,00:02:45,That's what I suspected.
00:02:45,00:02:47,Grammys. You must have heard of the Grammys.
00:02:47,00:02:48,"You must have heard of the Grammys, R&B stars."
00:02:48,00:02:54,"I was reading an article in The Guardian about the Golden Gate Bridge, which started making this weird sort of humming noise."
00:02:54,00:03:00,But a local musician made some singles where he does a duet with the bridge.
00:03:00,00:03:06,"And when I say local musician, I mean extremely famous record producer, Nate Mercerow."
