start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hey everyone, welcome to this week's episode of Fish. Before we begin, we just want to let you"
00:00:04,00:00:11,know that we have a very exciting guest joining us today. It is the editor-in-chief of the Guinness
00:00:11,00:00:16,"World Records, Craig Glenday. He's an amazing guy. He came to the office. We sat at a nice"
00:00:16,00:00:21,distance and chat facts with him and he has a new book out. You may have heard of it. It's called
00:00:21,00:00:26,Guinness World Records 2022. It is a collection of all the greatest records that have been set.
00:00:26,00:00:30,"You know what Guinness World Records is like explaining the Bible. You don't need that. Anyway,"
00:00:30,00:00:36,it is out now. It's another fact-packed book and Craig himself is an incredible person of such a
00:00:36,00:00:41,"pleasure having him on. So do get the book and we hope you enjoy him. That's right. And in fact,"
00:00:41,00:00:46,we have one other announcement to make which is that our tour of the UK and Ireland is starting
00:00:46,00:00:51,"very, very soon. It's starting next week. In fact, the tour is going to be so much fun. We're going"
00:00:51,00:00:57,to be doing live podcasts all over the country and there are shows coming up this next week as
00:00:57,00:01:02,you're listening to this. So there are two shows in London. They're kind of work in progress shows.
00:01:02,00:01:07,You'll be able to come and see our first half as we shape and mold it into the perfect form.
00:01:07,00:01:12,"And then after that, the first week of tour proper is the first week of October. We're going to"
00:01:12,00:01:16,Tumbridge Wells. We're going to Nottingham. We're going to Richmond and we're going to Reading.
00:01:16,00:01:21,So do come and get a ticket by going to knowsuchthingasoffish.com. All of our dates are up there.
00:01:21,00:01:25,"Also, 27th of September, our work in progress at the Soho Theatre. If you're in London,"
00:01:25,00:01:29,"come and see that. And then on 30th, go to the Canal Cafe. We'll be doing a second run of it"
00:01:29,00:01:34,"there. It's going to be really exciting, but most importantly of all, get Guinness World Records 2022"
00:01:34,00:01:38,and enjoy Craig Glenday on No Such Thing as a Fish. Here we go. Yay!
00:01:39,00:02:00,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to you"
00:02:00,00:02:06,from the QI offices in Covent Garden. My name is Dan Schreiber. I am sitting here with Andrew Hunter
00:02:06,00:02:11,"Murray, Anna Tyshinski, and our special guest, it is the editor-in-chief of the Guinness World"
00:02:11,00:02:15,"Records, Craig Glenday. And once again, we have gathered around the microphones with our four"
00:02:15,00:02:21,"favorite facts from the last seven days. And in no particular order, here we go. Starting with fact"
00:02:21,00:02:28,"number one, and that is Craig. Right. Well, my fact this week is that the world's most tattooed"
00:02:28,00:02:35,person finally proved that they had the Guinness World Records title by gouging out strips of their
00:02:35,00:02:41,scalp and posting it to the Guinness World Records headquarters in a matchbox. Nice.
00:02:41,00:02:49,"In a matchbox? It's so, Craig, it's so grim. It's a slightly odd thing to do. Did you ask them to"
00:02:49,00:02:53,"do it? No, he was driven to do it. This is the very nice, I have to stress, it's the very, very"
00:02:53,00:03:00,"nice Lucky Diamond Rich. And he has a full body suit of tattoos, as you'd expect. And he was"
00:03:00,00:03:04,"convinced that he had the record, despite the current record holder, Tom Leppard, you know,"
00:03:04,00:03:11,"Tom Leppard, who he was a British military vet, lived on the Isle of Skye. Okay. He was very"
00:03:11,00:03:17,recognizable because he was covered head to toe in this bright saffron yellow and black spotted
00:03:17,00:03:23,full body tattoo and wore gold thong. That's all he wore. I thought like a Leppard does in
00:03:23,00:03:27,"the wild. Like the wild ones, too. I thought by getting you on, we've been very similar worlds,"
00:03:27,00:03:31,"but I think you live a very different life to us. No one else is going to go, you know Tom Leppard,"
00:03:31,00:03:38,"right? Well, yeah, I suppose. Yeah. I mean, this is our bread and butter, I guess."
00:03:38,00:03:44,"So Tom had the record at 99.9% because it was almost, you couldn't really determine. I mean,"
00:03:44,00:03:49,there would have been tiny bits between the fingers or up the nostrils in the ears or whatever.
00:03:49,00:03:53,"So when Lucky Rich came around, everyone just said, well, he's the same. He's going to be 99.9%."
00:03:54,00:04:01,"And Lucky Rich is like, no, I am more than 100%. And what he'd done is he had a full body suit"
00:04:01,00:04:07,"of exotic, interesting tattoos he'd collected from around the world. And then at some point decided"
00:04:07,00:04:13,to black them all in entirely using just a black ink gun and then didn't stop there. So then started
00:04:13,00:04:20,tattooing white pieces over the black and then colored pieces over the white. So it's multi layer.
00:04:20,00:04:24,"I think that makes sense. I think that is more than 100%. So I mean, one of the key rules for"
00:04:24,00:04:29,"Guinness World Records is that if it's not breakable, then it can't be a record. Right."
00:04:29,00:04:33,"So it's kind of like the thing with the, we've mentioned before on the show, a pepper army"
00:04:33,00:04:39,is actually 108% pork because to get 100 grams of pepper army use 108 grams of pork and you kind
00:04:39,00:04:45,"of desiccate it down, right? You dehydrate it. So is Diamond Lucky Rich like that? I mean,"
00:04:45,00:04:52,"I never tasted the bits that you sent in, but I don't know. Yes, I guess. I mean, you can just"
