start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,"Hi everyone, welcome to this week's episode of No Such Thing as a Fish."
00:00:03,00:00:09,"Now, before I remind you about our tour, which is about to begin in places such as"
00:00:09,00:00:13,"Tumbridge Wells, Nottingham Richmond, Reading, Peterborough and a whole load of other places,"
00:00:13,00:00:19,"I want to tell you about the very, very, very special guest that we have on today's show."
00:00:19,00:00:24,"Anna is away at the moment, she's on holiday, I'm not sure exactly where she's gone, probably"
00:00:24,00:00:26,somewhere very sunny.
00:00:26,00:00:30,Last day saw she was removing lots of the holiday clothes from her bag and replacing
00:00:30,00:00:33,"them with 19th century literature, so I'm sure she's having a great time."
00:00:33,00:00:41,"But in her place, we have the incredible journalist and author, Mary Roach."
00:00:41,00:00:45,"Now I don't know if you'll know about Mary, you really should if you don't."
00:00:45,00:00:50,"She is, well, what I would say is if you were to take QI, the TV show, and No Such Thing"
00:00:50,00:00:56,"as a Fish, and squish it all together in a tiny little ball, send it over to America,"
00:00:56,00:01:00,"and then reconstitute it as a single human, then pretty much you're going to end up with"
00:01:00,00:01:01,Mary Roach.
00:01:01,00:01:07,She has written some of the greatest popular science books in history.
00:01:07,00:01:13,"Books such as Stiff, The Curious Lives of Human Cadavers, Bonk, The Curious Coupling"
00:01:13,00:01:18,"of Science and Sex, I think you can see probably why we get on very well with Mary, Packing"
00:01:18,00:01:24,"for Mars, The Curious Science of Life in the Void, Gulp, Adventures on the Elementary Canal,"
00:01:24,00:01:31,"and her latest book is in America, it's called Fuzz When Nature Breaks the Law, and in the"
00:01:31,00:01:37,"UK it is known as Animal Vegetable Criminal, and it is a book all about times when the"
00:01:37,00:01:40,natural world came up against the legal world.
00:01:40,00:01:44,"I haven't read it yet, Dan has read it, and he assures me it's absolutely brilliant, and"
00:01:44,00:01:48,"I can definitely believe that because I've read all of Mary's other books, and to a"
00:01:48,00:01:53,"tome, they are incredible, so really do enjoy the show, I'm sure you will."
00:01:53,00:01:59,"Buy Mary's new book, and pretty much all of her old books if you're interested in stuff,"
00:01:59,00:02:01,and do come to our live shows.
00:02:01,00:02:06,"If you live in any of the aforementioned places that I mentioned earlier on, then come along"
00:02:06,00:02:09,"in the next couple of weeks, or if you live anywhere in the UK and Ireland, then go to"
00:02:09,00:02:14,qi.com/fishevents and you can see where we'll be playing near you.
00:02:14,00:02:30,"Okay, on with the podcast."
00:02:30,00:02:36,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:02:36,00:02:40,to you from four undisclosed locations globally.
00:02:40,00:02:45,"My name is Dan Schreiber, I'm sitting here with Andrew Hunter Murray, James Harkin,"
00:02:45,00:02:50,"and our very special guest, it is Mary Roach, and once again we have gathered round the microphones"
00:02:50,00:02:55,"with our four favorite facts from the last seven days, and in no particular order, here"
00:02:55,00:02:56,we go.
00:02:56,00:02:59,"Starting with fact number one, and that is Mary."
00:02:59,00:03:05,"When feeling threatened, gulls practice a maneuver called defensive vomiting, the point"
00:03:05,00:03:12,"of which experts say is not to discuss and repel the predator, but to offer it an alternative"
00:03:12,00:03:13,meal.
00:03:13,00:03:18,"Wow, what possibly could they offer that is better than what the animal was coming for"
00:03:18,00:03:19,in the first place?
00:03:19,00:03:20,Is it vomit?
00:03:20,00:03:21,Is it actual vomit?
00:03:21,00:03:25,"It is, it's vomit, and I think that is a service because it's partially digested."
00:03:25,00:03:26,Oh yeah.
00:03:26,00:03:32,"It saves effort, so when I first heard about defensive vomiting, I actually heard about"
00:03:32,00:03:39,"it in a vulture, because vultures do this too, and I thought, oh, they do this to be lighter,"
00:03:39,00:03:43,"so when they flee, when they fly away, they'll have less weight, and then the guy said, no,"
00:03:43,00:03:44,"no, that's not why they do it."
00:03:44,00:03:49,"The other thing I thought would be to discuss to them, because you hear about women feeling"
00:03:49,00:03:54,"threatened and like vomiting to discuss to their attacker, so I thought it was that,"
00:03:54,00:04:00,"in fact, no, it's just to offer them something more appealing to eat."
00:04:00,00:04:06,"I was reading in your book that you were talking to an expert, and specifically the items that"
00:04:06,00:04:13,"she has seen been vomited up before her include ants, strawberry shortcake, a large mackerel."
00:04:13,00:04:16,"Yeah, but Dan, think about it, that does make sense, right?"
00:04:16,00:04:20,"If you're coming over to eat a gull, but you get some strawberry shortcake instead, then"
00:04:20,00:04:22,"that's obviously way tastier, though."
00:04:22,00:04:23,That's a big win.
00:04:23,00:04:28,"Well, it looks like from the list that sometimes it's a very awesome cuisine, like spaghetti"
00:04:28,00:04:32,"marinara with mussels, and the other times, it's a loaded diaper."
00:04:32,00:04:33,Wow.
00:04:33,00:04:38,I wonder if the predator ever waits sitting there in front of a diaper that's just been
00:04:38,00:04:42,"vomited up in front of it, and it's saying, no, I'm still going to eat you unless you"
00:04:42,00:04:43,can come up with something a little bit better.
00:04:43,00:04:47,"The guy was saying, hang on, hang on, I've got some shortcake, I'm sure I had some shortcake"
00:04:47,00:04:48,earlier.
00:04:48,00:04:50,"I read of one bird, the full mar."
00:04:50,00:04:51,Do you know this one?
00:04:51,00:04:57,"It's very oily, the full mar, and in the olden days, they used to use them as torches."
00:04:57,00:04:59,They would set them on fire because they were so oily.
00:04:59,00:05:06,"I read that they sometimes vomit very, very oily sick onto another animal, and it might"
00:05:06,00:05:10,stop their feathers from working and stop them from being able to fly and swim and stuff
00:05:10,00:05:11,like that.
00:05:11,00:05:12,Right.
00:05:12,00:05:13,"Yeah, that's a very cool idea."
00:05:13,00:05:15,So many things you can do with vomit.
00:05:15,00:05:18,I think we underutilize our own vomit.
00:05:18,00:05:19,Yeah.
00:05:19,00:05:20,Are there powers?
00:05:20,00:05:22,Do we have extra powers to our vomit that we're not utilizing?
00:05:22,00:05:24,I don't know if we do.
00:05:24,00:05:25,Maybe so.
00:05:25,00:05:26,"You're really interested in that, aren't you?"
00:05:26,00:05:30,"Because just this morning, you messaged us saying that you'd just been vomited on."
00:05:30,00:05:31,Yes.
00:05:31,00:05:34,This wasn't me doing research for the show.
00:05:34,00:05:39,"My son vomited on me this morning in pure coincidence, he's a bit ill, but yeah, it"
00:05:39,00:05:40,is.
00:05:40,00:05:41,I couldn't fly afterwards.
00:05:41,00:05:42,I was very stagey.
00:05:42,00:05:43,I really like it.
00:05:43,00:05:47,"It's not bird related, but it's a Nigerian bit of folklore that there are snakes which"
00:05:47,00:05:49,"will vomit up a diamond, okay?"
00:05:49,00:05:55,"If they're hunting at night, they need a bit of light, and so they throw up a diamond,"
00:05:55,00:05:58,and the light will refract around inside it and light up the local area.
00:05:58,00:06:02,"That's really interesting, because do you know those little bits of glass in Rhodes'"
00:06:02,00:06:03,cat size?
00:06:03,00:06:06,"Well, they were supposed to have been invented in the 20th century, right?"
00:06:06,00:06:10,But it seems like maybe snakes invented them way before.
00:06:10,00:06:11,Yes.
00:06:11,00:06:12,"The snakes don't do this, unfortunately."
00:06:12,00:06:16,It would be amazing if they did.
00:06:16,00:06:19,"The reason the myth came about is they've got these little mineral deposits, I think"
00:06:19,00:06:22,"they're called calculi, or calculi, I don't know how you pronounce it."
00:06:22,00:06:26,"They're like kidney stones basically in their bodies, and so they are there, but they're"
00:06:26,00:06:28,"not diamonds, and the snakes don't throw them up."
00:06:28,00:06:32,"But I guess people have cut open the snakes and said, ""Ah, look, here's the magical diamond"
00:06:32,00:06:33,"it uses as a torch."""
00:06:33,00:06:35,But don't you need a light source?
00:06:35,00:06:37,Do they also throw up a flashlight?
00:06:37,00:06:40,"I mean, where are they?"
00:06:40,00:06:44,It's like the diamond is no good if you don't have the right kind of light.
00:06:44,00:06:45,So true.
00:06:45,00:06:47,So vultures do it as well.
00:06:47,00:06:48,Any other birds?
00:06:48,00:06:49,Any other animals do this?
00:06:49,00:06:52,I've only heard of vultures and gulls.
00:06:52,00:06:56,"Vultures are problematic because they like to roost on, you know, those giant communications"
00:06:56,00:06:57,towers.
00:06:57,00:07:03,"They have a lot of places for vultures to just sit there and hang out, which they like"
00:07:03,00:07:04,to do.
00:07:04,00:07:09,"And so it makes it really, if you're someone whose job is to climb the communications tower"
00:07:09,00:07:16,"and do work, you, first of all, are stepping a lot of vultures shit all over the struts"
00:07:16,00:07:22,"of the communications tower, but also you have like 50 vultures vomiting down this rain of"
00:07:22,00:07:23,vomit.
00:07:23,00:07:25,Oh my goodness.
00:07:25,00:07:26,Yeah.
00:07:26,00:07:32,"I heard that when I first read about gulls spewing out, I thought it was a thing about,"
00:07:32,00:07:35,"you know, just getting weight off so that they could fly away faster."
00:07:35,00:07:39,"And that's, that turns out to be a myth, but apparently it's not a myth within Komodo"
00:07:39,00:07:40,Dragons.
00:07:40,00:07:41,They can't fly.
00:07:41,00:07:43,"That's a different dragon you're thinking of, Dan."
00:07:43,00:07:44,"Sorry, yeah."
00:07:44,00:07:48,"But you know, if they need to make a speedy getaway, they will just quickly have a vomit"
00:07:48,00:07:52,"and it will lighten their load a bit, just allowing them that extra bit of speed."
00:07:52,00:07:56,"And also, I'm sorry, how do we really know what the answer is?"
00:07:56,00:07:57,Nobody's asked the gulls.
00:07:57,00:07:58,Yes.
00:07:58,00:08:03,"We've got different theories and I kind of like the, you know, speedy getaway."
00:08:03,00:08:04,Let me lighten the load.
00:08:04,00:08:06,Have we even tested that as a theory?
00:08:06,00:08:10,"Like, surely Usain Bolt should have had a quick vomit before he ran some of those hundred"
00:08:10,00:08:13,meters to really smash the record.
00:08:13,00:08:16,You do get that sports people sometimes do vomit before the sporting events.
00:08:16,00:08:20,"I've heard of a few soccer players doing it, but usually I think it's like nerves and"
00:08:20,00:08:21,"stuff like that, right?"
00:08:21,00:08:22,Adrenaline and stuff.
00:08:22,00:08:25,"And of course, there was the marathon runner, what she called Paula Radcliffe."
00:08:25,00:08:30,"Paula Radcliffe, she had a poo halfway through, which might have lightened her load and."
00:08:30,00:08:31,Did she win?
00:08:31,00:08:32,"Yeah, she did."
00:08:32,00:08:33,She did.
00:08:33,00:08:34,"See, it works."
00:08:34,00:08:37,"I think though, in the long run, she probably would think, maybe I wouldn't take that poo."
00:08:37,00:08:41,Maybe it wasn't worth the win because it's all anyone talks about.
00:08:41,00:08:45,"It's the greatest speed marathon run out of all time, and that's all we ever talk about"
00:08:45,00:08:46,anyway.
00:08:46,00:08:47,Exactly.
00:08:47,00:08:51,"Like, three of us knew that she definitely had a poo, but I did not know if she won that"
00:08:51,00:08:52,race.
00:08:52,00:08:58,"This example of the gull vomiting, which is in your book, which I was reading about, it"
00:08:58,00:09:03,kind of was leading into this story about how there was huge problems at the Vatican when
00:09:03,00:09:07,the Pope was going to have a big celebration and they had all these daffodils there and
00:09:07,00:09:12,"all the gulls were coming in and they don't eat flowers, but they were pissed off and seemed"
00:09:12,00:09:17,"to be knocking them over and they thought maybe they were going in to pick the worms,"
00:09:17,00:09:21,but there was no obvious sign that there was happening and you sort of were questioning
00:09:21,00:09:25,"whether or not this is just a dickhead species of gull, maybe."
