start_hhmmss,end_hhmmss,text
00:00:00,00:00:15,[ Ophelia plays the video ]
00:00:15,00:00:23,"Hello, and welcome to another episode of No Such Thing as a Fish, this week coming to you live from Tumbridge Wells."
00:00:23,00:00:29,"This bit was actually meant to be coming to you live from Tumbridge Wells, but, um, full disclosure, we forgot to press the record button."
00:00:29,00:00:36,"So, uh, we actually missed the start of my intro, but that doesn't matter. Let's just do it again, and we'll seamlessly edit into the room."
00:00:36,00:00:48,"So close your eyes, picture that you're sitting in the assembly hall in Tumbridge Wells, the lights have gone down, and the four dorks are about to come on stage. Here we go."
00:00:48,00:00:59,"Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast this week coming to you live from Tumbridge Wells."
00:00:59,00:01:03,[ Cheers and applause ]
00:01:03,00:01:10,"My name is Dash Shriver, and I'm sitting here with Anna Tyshensky, Andrew Hunter Murray, and James Harkin."
00:01:10,00:01:20,"And once again, we have gathered round the microphones with our four favorite facts from the last seven days, and in no particular order, here we go."
00:01:20,00:01:33,"Starting with fact number one, and that is my fact. My fact this week is that the guy who invented Space Invaders really struggles to get past the first level of Space Invaders."
00:01:33,00:01:35,[ Laughter ]
00:01:35,00:01:46,"Oh, my God. This is true. This was invented by a guy called Tomohiro Nishikado, and he's an amazing inventor, but he's terrible at video games."
00:01:46,00:01:56,"And so much so that when he invented it in 1978, he kind of tried to make it easier just so he could get to the end, and they all went, ""No, that's a terrible game."""
00:01:56,00:02:06,"He does sound very cool. He invented the game, but he also designed the artwork, he did the sounds, and he built a customized computer to run the game on."
00:02:06,00:02:08,So he did everything.
00:02:08,00:02:14,"Yeah, and when he first released this game, there was a little process where they showed it to people and so on, and it didn't get good feedback."
00:02:14,00:02:22,"They thought, ""No, this is not that great."" And then the game was released, and it just exploded. It was really massive in Japan."
00:02:22,00:02:31,"All these stories started coming out, so there was a story in Japan, soon after the release, a 12-year-old boy held up a bank with a shotgun, and he didn't want any notes."
00:02:31,00:02:35,"He just wanted coins, and he did more coins for the arcade."
00:02:35,00:02:37,Did that not happen? Did that happen?
00:02:37,00:02:49,"I think that possibly did happen, but there was a whole raft of stories where they were talking about the fact that there was 100 yen coin, there was a shortage of them in Japan because just too many coins were being used, and I think that was a rumor."
00:02:49,00:02:59,"I think it might be true that in some small areas they did run out for a short amount of time, but then over the years that has come into, they completely ran out of 100 yen coins in Japan."
00:02:59,00:03:04,"It broke the economy, didn't it? It's what caused the downturn of the Japanese economy in the 90s."
