start_hhmmss,end_hhmmss,text
00:00:00,00:00:10,[MUSIC]
00:00:10,00:00:18,">> Hello and welcome to another episode of No Such Thing as a Fish,"
00:00:18,00:00:23,a weekly podcast this week coming to you live from Richmond.
00:00:23,00:00:25,>> [APPLAUSE]
00:00:25,00:00:27,>> My name is Dan Schreiber.
00:00:27,00:00:33,"I am sitting here with Anna Tyshinski, Andrew Hunter Murray, and James Harkin."
00:00:33,00:00:36,"And once again, we have gathered around the microphones with our four"
00:00:36,00:00:38,favorite facts from the last seven days.
00:00:38,00:00:42,"And in no particular order, here we go."
00:00:42,00:00:45,"Starting with fact number one, that is Andy."
00:00:45,00:00:50,My fact is that spiny anteaters only use half their penis during sex.
00:00:50,00:00:52,>> [LAUGH]
00:00:52,00:00:53,>> Which half?
00:00:53,00:00:55,">> The top half, yeah, yeah."
00:00:55,00:00:59,>> [LAUGH]
00:00:59,00:01:02,">> The left or the right half, believe it or not."
00:01:02,00:01:06,"The spiny anteater, so this is an animal, better known as a echidna."
00:01:06,00:01:09,"And they're Australian, they're very cute little creatures."
00:01:09,00:01:11,They look sort of like- >> Like a hedgehog.
00:01:11,00:01:12,">> Weird hedgehogs basically, yeah."
00:01:12,00:01:17,"Imagine a hedgehog, not that, but not far off."
00:01:17,00:01:22,"And they have these penises which are foreheaded, which have really, really-"
00:01:22,00:01:24,>> As if they're like a forehead.
00:01:24,00:01:27,">> So, well, yeah, they've got four heads on their penises."
00:01:27,00:01:29,"It's really, they are dickheads."
00:01:29,00:01:32,"No, they're not, they're not, they're not, they're lovely."
00:01:32,00:01:36,"So, yeah, they've got four sort of ends of the penis, but"
00:01:36,00:01:38,they only use two at any one time.
00:01:38,00:01:42,"It's really, it's a really, really bizarre animal, and it's either the left or"
00:01:42,00:01:43,"the right, and they switch."
00:01:43,00:01:48,"So, only two ends get an erection at any one time."
00:01:48,00:01:49,>> Really?
00:01:49,00:01:52,">> And do we know, it seems weird to have one side of something getting an erection"
00:01:52,00:01:53,without taking the other side with it.
00:01:53,00:01:56,>> It's very hard to imagine how you wouldn't be dragged along.
00:01:56,00:01:59,">> Yeah, right, yeah, yeah."
00:01:59,00:02:02,">> I mean, if the right-hand side of your penis is erect,"
00:02:02,00:02:05,"you, it's, I can't imagine where else the left side is gonna be."
00:02:05,00:02:08,">> It's gonna look like your penis has had a stroke, isn't it, basically?"
00:02:08,00:02:09,">> Yeah, yeah."
00:02:09,00:02:13,">> And it probably has an erection, yeah, yeah, there we go."
00:02:13,00:02:18,"Anyway, look, to steer us gently towards safe territory, they found this out in 2007."
00:02:18,00:02:22,"And it was really hard to see a kid in his breeding, because they, in captivity,"
00:02:22,00:02:24,"they don't really, they don't breed much."
00:02:24,00:02:29,And some scientists in Queensland led by a guy called Steve Johnston.
00:02:29,00:02:32,"They inherited a male echidna, which had lived in a zoo, but"
