start_hhmmss,end_hhmmss,text
00:00:00,00:00:14,[MUSIC]
00:00:14,00:00:19,">> Hello, and welcome to another episode of No Such Thing as a Fish,"
00:00:19,00:00:24,a weekly podcast this week coming to you live from Peterborough.
00:00:24,00:00:28,>> [APPLAUSE]
00:00:28,00:00:30,>> My name is Dan Schreiber.
00:00:30,00:00:35,"I am sitting here with Anna Tyshinski, Andrew Hunter Murray, and James Harkin."
00:00:35,00:00:39,"And once again, we have gathered around the microphones with our four favorite"
00:00:39,00:00:41,facts from the last seven days.
00:00:41,00:00:45,"And in no particular order, here we go."
00:00:45,00:00:48,"Starting with fact number one, and that's my fact."
00:00:48,00:00:54,My fact this week is that the man known as the father of British midwifery
00:00:54,00:00:56,was called Willie Smelly.
00:00:56,00:00:59,>> [LAUGH]
00:00:59,00:01:00,>> So childish.
00:01:00,00:01:01,>> Childish.
00:01:01,00:01:07,">> Willie Smelly, so Willie Smelly, he lived between 1697 and 1763."
00:01:07,00:01:13,"He was a Scottish obstetrician, obstetrician, obstetrician."
00:01:13,00:01:15,">> Sure, I'm sure James can make one of those work in the edit."
00:01:15,00:01:18,>> [LAUGH]
00:01:18,00:01:23,">> He lived in London and he was basically, obviously midwifery was going on for"
00:01:23,00:01:24,thousands and thousands of years.
00:01:24,00:01:28,But he was the first male who was allowed sort of into the game.
00:01:28,00:01:32,And he did quite a lot of things to sort of turn it into somewhere that was a bit
00:01:32,00:01:33,more safer for having babies.
00:01:33,00:01:37,He sort of helped to advance the use of forceps with some designs.
00:01:37,00:01:39,And he was a very important figure in that world.
00:01:39,00:01:42,">> He designed a mannequin, didn't he?"
00:01:42,00:01:46,That would let you learn how to deliver a baby.
00:01:46,00:01:51,"It was known as the mock woman, or sometimes this most curious machine."
00:01:51,00:01:55,It had legs and feet that would have shoes and stockings on it.
00:01:55,00:01:56,So that made it quite realistic.
00:01:56,00:01:57,>> Cool.
00:01:57,00:02:02,>> There was an anatomist called Robert Campbell who said he could scarcely tell
00:02:02,00:02:04,the difference between the machine and a real live woman.
00:02:04,00:02:06,>> [LAUGH]
00:02:06,00:02:07,>> Wow.
00:02:07,00:02:08,>> This machine didn't have a head.
00:02:08,00:02:10,>> Yeah.
00:02:10,00:02:12,">> It sounds terrifying, it really does."
00:02:12,00:02:16,It had a stomach that was full of leather.
00:02:16,00:02:17,>> Right.
00:02:17,00:02:19,>> Which I think represented the baby.
00:02:19,00:02:22,">> Well, there's a little wax doll in there as well, also a baby."
00:02:22,00:02:24,"And it had a bladder which you could fill up,"
00:02:24,00:02:28,"which was helpful with a little cork stopper, like the real female bladder."
00:02:28,00:02:30,>> [LAUGH]
00:02:30,00:02:31,>> So you could break the water.
00:02:31,00:02:32,Was that the idea?
00:02:32,00:02:33,">> I don't know, maybe."
00:02:33,00:02:35,>> Was that for breaking the water?
00:02:35,00:02:38,">> Yeah, we sometimes use real bones and real skeletons."
00:02:38,00:02:41,I think he made at least four of these weird robot women.
00:02:41,00:02:46,"And for one of them, yeah, he used actual, he made ligaments and muscles and"
00:02:46,00:02:51,"they moved like real people and used an actual skeleton of a mother and baby, I think."
00:02:51,00:02:55,">> And he used to use real people as well, as in pregnant women."
00:02:55,00:02:58,And he used to have a thing because he was very good at his job as well.
00:02:58,00:03:01,So a lot of people wanted him to be the midwife for the job.
00:03:01,00:03:05,"And so he would say, I'll do it for free, I'll wave my feet if I can do it in front"
00:03:05,00:03:10,of all my students and they can observe and I can do a sort of lecture as I'm doing it.
00:03:10,00:03:13,>> I do wonder though if you want your midwife to be focused mostly on
00:03:13,00:03:15,"delivering the child, not on delivering a good lecture."
00:03:15,00:03:18,"If they want to deliver one thing well, you want it to be the child."
00:03:18,00:03:21,">> Yeah, today's lecture is what not to do during birth."
00:03:21,00:03:22,>> What?
00:03:22,00:03:24,">> Stop the birth, stop the birth."
00:03:24,00:03:29,"Hi everybody, just wanted to let you know today's birth is sponsored by Hello Fresh."
00:03:29,00:03:33,">> This model, we don't have any of them anymore."
00:03:33,00:03:35,They've all disappeared and we don't know where they are.
00:03:35,00:03:37,We have a few others from around the same time.
00:03:37,00:03:40,There's one in France called the Boudin Pinard model.
00:03:40,00:03:42,And that was kind of similar.
00:03:42,00:03:43,It was made of rubber.
00:03:43,00:03:48,It had a vaginal opening with a thumb screw so you could make it bigger and smaller.
00:03:48,00:03:50,>> Some of them work like that actually.
00:03:50,00:03:55,"Yeah, the non-cork, the cheaper vaginas come just with the screw top."
00:03:55,00:04:02,>> This one also had a rubber rectum and the rubber rectum was there because there
00:04:02,00:04:08,was something called the Rittgen manoeuvre and one version of doing that is the midwife
00:04:08,00:04:13,would put her fingers up the bum of the mother and then they would kind of manoeuvre the
00:04:13,00:04:16,head a little bit if it was in the wrong place and it would stop the perineum from
00:04:16,00:04:18,getting in trouble.
00:04:18,00:04:24,This Rittgen manoeuvre evolved from a technique from the ancient Greeks.
00:04:24,00:04:27,It was first proposed by a Greek physician called Sauranus.
00:04:27,00:04:28,>> No.
00:04:28,00:04:29,Very nice.
00:04:29,00:04:30,Unbelievable.
00:04:30,00:04:31,>> Sauranus of Ephesus.
00:04:31,00:04:40,>> Can you have an alternative determinism when the words won't mean that for another
00:04:40,00:04:44,year.
00:04:44,00:04:52,">> He was controversial, William Smelly, because men weren't allowed into the midwifery game"
00:04:52,00:04:57,and male midwives were seen as controversial when they started practicing and they had
00:04:57,00:05:03,to work by touch because there was a risk they would see something indecent so some of
00:05:03,00:05:08,them had to kind of work with a sheet in between them and the delivery.
00:05:08,00:05:13,">> I think even up until the 19th century, any men working on the female body, and by"
00:05:13,00:05:17,"the 19th century it was all men, women had sort of been edged out of the practice, were"
00:05:17,00:05:23,encouraged not to look directly at a woman's private part so obstetricians were told.
00:05:23,00:05:25,>> Like the son.
00:05:25,00:05:30,>> Obstetricians had specific instructions that to reassure a female patient they're
00:05:30,00:05:34,"not looking at a private part, they should gaze into the distance or maintain constant"
00:05:34,00:05:36,eye contact with her.
00:05:36,00:05:40,">> What a stressful situation, giving birth already, very, very, very stressful."
00:05:40,00:05:43,"Imagine seeing your medical team walk in, they're all in blindfolds, some of them are"
00:05:43,00:05:45,looking at the mountain over there.
00:05:45,00:05:47,>> One of them just staring you straight in the face.
00:05:47,00:05:53,>> Do you put the fingers at the bum like it's put the tail in the donkey?
00:05:53,00:05:55,>> Oh my God.
00:05:55,00:05:58,">> And it was really controversial for the men to come in, wasn't it?"
00:05:58,00:06:03,"Because before that all of the midwifery was done by women, there was someone called Elizabeth"
00:06:03,00:06:07,Nihel who was writing in the 18th century who really thought that this was a terrible
00:06:07,00:06:08,idea.
00:06:08,00:06:11,She thought that basically all the men had come in and they were finding problems that
00:06:11,00:06:16,weren't there and the best way to do it was to be a natural birth and you're getting all
00:06:16,00:06:20,these forceps in but if you just leave it it will probably be fine in most cases and
00:06:20,00:06:25,she said that a lot of the surgeons were coming in and they were being fast tracked to become
00:06:25,00:06:30,"a midwife and people like William Smelly were trying to teach them really, really quickly"
00:06:30,00:06:35,"and like barbers, tailors and pork butchers were coming in to become midwives in a short"
00:06:35,00:06:36,period of time.
00:06:36,00:06:38,">> Gosh, you would ask, wouldn't you?"
00:06:38,00:06:39,>> What was your previous career?
00:06:39,00:06:46,">> The men were called, when they started becoming midwives, they were called either man midwife"
00:06:46,00:06:52,or he midwife and the masters of the universe.
00:06:52,00:07:00,">> It kind of doesn't work because midwife, the actual term itself, it literally means"
00:07:00,00:07:06,with wife so you are the mid to the wife.
00:07:06,00:07:09,That was just an extra bit of word you didn't need.
00:07:09,00:07:14,Everyone is a midwife if you're helping give birth.
00:07:14,00:07:19,">> You said that William Smelly, he developed the forceps which was one of his main contributions"
00:07:19,00:07:23,"so he didn't invent it, he made it better, I guess you can all picture what a forceps"
00:07:23,00:07:27,"is in birth, it's sort of like a pair of scissors but instead of the scissor bits you have like"
00:07:27,00:07:28,a clamp.
00:07:28,00:07:31,>> It's more like a pair of asparagus tongs.
00:07:31,00:07:32,>> It's like that.
00:07:32,00:07:36,">> Man of the people, Andrew Huntsmurray."
00:07:36,00:07:39,>> Or like two eyelash curlers clamp together.
00:07:39,00:07:42,>> More like that but gigantic ones for a giant.
00:07:42,00:07:44,>> To clamp onto a child's head.
00:07:44,00:07:50,>> He developed forceps which were only used in 2% of childbirth even then so it's weird
00:07:50,00:07:56,that it was so revolutionary but forceps before that the design was a complete secret from
00:07:56,00:08:00,"all the hundred years so there was this one family that invented them, the Chamberlain"
00:08:00,00:08:05,family and from the mid 16th to the mid 17th century over five generations they had to
00:08:05,00:08:09,keep it completely secret so they had this elaborate ceremony when they arrived at the
00:08:09,00:08:13,"house of a woman in labour they'd arrive in this big carriage, they'd have this massive"
00:08:13,00:08:17,"wooden box that had all like carvings all over it, it would take two people to carry"
00:08:17,00:08:21,"the forceps in, no one was allowed to see inside, it looked like it was some gigantic"
00:08:21,00:08:26,"instrument, no one else is allowed in the room when the woman's giving birth and then"
00:08:26,00:08:30,they'd make weird noises like ringing bells and making weird sounds so the people outside
00:08:30,00:08:34,the door thought what is this amazing instrument?
00:08:34,00:08:35,>> Wow.
00:08:35,00:08:36,>> No one knew.
00:08:36,00:08:39,>> I read that sometimes they blindfolded the woman giving birth.
00:08:39,00:08:44,>> Could anyone see in the room?
00:08:44,00:08:48,>> Blind man's muff was what they called it.
