start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:17,- Hello and welcome to another episode
00:00:17,00:00:20,"of No Such Thing as a Fish, a weekly podcast,"
00:00:20,00:00:24,this week coming to you live from Amsterdam.
00:00:24,00:00:27,(audience cheering)
00:00:28,00:00:30,"My name is Dan Schriver, I am sitting here"
00:00:30,00:00:33,"with Anna Tyshinski, Andrew Hunter Murray,"
00:00:33,00:00:34,"and James Harkin, and once again,"
00:00:34,00:00:36,we have gathered 'round the microphones
00:00:36,00:00:39,"with our four favorite facts from the last seven days,"
00:00:39,00:00:42,"and in no particular order, here we go."
00:00:42,00:00:44,"Starting with fact number one,"
00:00:44,00:00:45,and that is my fact this week.
00:00:45,00:00:50,"My fact is, in 2015, 86 inmates at the Exeter prison"
00:00:50,00:00:54,"wrote an angry letter to their local newspaper,"
00:00:54,00:00:57,complaining that the weekly Sudoku puzzle
00:00:57,00:00:59,was too hard to complete.
00:00:59,00:01:01,(audience laughing)
00:01:01,00:01:02,Yeah.
00:01:02,00:01:04,- You dogs.
00:01:04,00:01:05,(audience laughing)
00:01:05,00:01:08,- I don't think they're gonna be in here tonight.
00:01:08,00:01:11,- So this was 86 inmates.
00:01:11,00:01:12,They found it completely impossible.
00:01:12,00:01:15,It was an unfinished puzzle that they ended up sending in
00:01:15,00:01:18,to the editor of a local newspaper.
00:01:18,00:01:19,"- Wasn't impossible, right?"
00:01:19,00:01:20,"- No, it wasn't impossible."
00:01:20,00:01:23,- The newspaper replied and said actually it is possible.
00:01:23,00:01:25,"Sorry, sorry, sorry, but it was possible."
00:01:25,00:01:28,"Well, they discovered that basically the inmates"
00:01:28,00:01:29,"had got some of the numbers wrong in the middle,"
00:01:29,00:01:31,"and once you do that in Sudoku,"
00:01:31,00:01:33,"it's impossible to fix it,"
00:01:33,00:01:35,if you're trying to just continue on.
00:01:35,00:01:37,But how were 86 inmates trying to solve
00:01:37,00:01:39,the same Sudoku puzzle?
00:01:39,00:01:41,"- Because they don't get many newspapers in there,"
00:01:41,00:01:44,so they all join in and take turns and leave.
00:01:44,00:01:45,"- Yeah, yeah."
00:01:45,00:01:46,- Is there a queue?
00:01:46,00:01:48,"You queue up, you do one number, the next person goes."
00:01:48,00:01:50,'Cause you can't get heads all around.
00:01:50,00:01:53,"- Like, is there 81 cells in a thing?"
00:01:53,00:01:54,They could have one cell each.
00:01:54,00:01:55,"- Holy, yeah."
00:01:55,00:01:57,- And then five people to just check it over.
00:01:57,00:01:57,- Right shout.
00:01:57,00:01:58,- That's nice.
00:01:58,00:01:59,- Yeah. - That's a good system.
00:01:59,00:02:00,"- Yeah, so they wrote this letter"
00:02:00,00:02:02,"and it turned out that they were wrong,"
00:02:02,00:02:04,and that is a problem because they get access
00:02:04,00:02:05,"to Thursday's newspaper,"
00:02:05,00:02:07,"but the answers are on a Monday and they don't get that,"
00:02:07,00:02:09,"so they couldn't even check it,"
00:02:09,00:02:11,"so they were so frustrated, that's annoying."
00:02:11,00:02:13,That's why they wrote in.
00:02:13,00:02:15,"- But with Sudoku, you know when you've got it right,"
00:02:15,00:02:17,"really, you don't need to check."
00:02:17,00:02:19,"Like, you know either you've got it wrong or right, right?"
00:02:19,00:02:22,I would argue you don't need the Monday's paper.
00:02:22,00:02:23,"You know you fucked up,"
00:02:23,00:02:26,"now get back to the word search where you belong, clearly."
00:02:26,00:02:28,(audience laughing)
00:02:28,00:02:29,"- Can I just say, honestly,"
00:02:29,00:02:32,you don't always know when you've got it right.
00:02:32,00:02:36,"So for example, at the 2011 World Sudoku Championship,"
00:02:36,00:02:39,"one of the contenders called Weihua Huang,"
00:02:39,00:02:40,"he jumped up in the final,"
00:02:40,00:02:42,"he started high-fiving his friends in the audience,"
00:02:42,00:02:44,"he'd won, and a judge had to point out"
00:02:44,00:02:47,"he'd included the same number twice on the top row,"
00:02:47,00:02:49,and then he hadn't won.
00:02:49,00:02:49,That's a moment.
00:02:49,00:02:51,"- That's unbelievably,"
00:02:51,00:02:52,but it's embarrassing enough to be attending
00:02:52,00:02:55,the World Sudoku Championships with Ben.
00:02:55,00:02:57,"- Sudoku is, I mean, it took over the world."
00:02:57,00:02:59,"I don't know if you remember, 2006,"
00:02:59,00:03:02,"the world became obsessed with Sudoku,"
00:03:02,00:03:04,and it was basically down to a New Zealander
00:03:04,00:03:05,"called Wayne Gould, who--"
00:03:05,00:03:07,"- Are we gonna, I'm so sorry,"
00:03:07,00:03:08,but I just know that there'll be 10% of the audience
00:03:08,00:03:09,that is driving mad.
00:03:09,00:03:12,Are we gonna address your pronunciation of Sudoku?
00:03:12,00:03:12,- Thank you.
00:03:12,00:03:13,(audience laughing)
00:03:13,00:03:14,So how are you saying it?
00:03:14,00:03:15,- I'm just saying it how it's pronounced.
00:03:15,00:03:16,- And how am I saying it?
00:03:16,00:03:18,- You're saying it Sudoku.
00:03:18,00:03:19,- And it's--
00:03:19,00:03:20,- Sudoku.
00:03:20,00:03:22,- Sudoku is what I was saying before.
00:03:22,00:03:23,- Yes.
00:03:23,00:03:23,- Yeah.
00:03:23,00:03:24,- Right.
00:03:24,00:03:25,- So don't do that.
00:03:25,00:03:26,- Okay.
00:03:26,00:03:29,So Sudoku is a--
00:03:29,00:03:30,- Tell us about Wayne Gould.
00:03:30,00:03:33,"- So Wayne Gould,"
00:03:33,00:03:36,"Wayne Gould was from New Zealand,"
00:03:36,00:03:39,and he basically bumped into it in a newspaper
00:03:39,00:03:40,"when he was in Hong Kong,"
00:03:40,00:03:41,and he thought this was really interesting.
00:03:41,00:03:42,"And then when he was in England,"
00:03:42,00:03:45,"he basically, he sold it effectively"
00:03:45,00:03:46,like a door-to-door salesman.
00:03:46,00:03:48,"He went to the doors of,"
00:03:48,00:03:51,I think it was the Telegraph newspaper at times.
00:03:51,00:03:52,That's how I pronounce times.
00:03:52,00:03:55,(audience laughing)
00:03:55,00:03:58,"He went to the Times newspaper,"
00:03:58,00:03:59,"and he said, ""Check this out."""
00:03:59,00:04:01,"And they liked it, and they started using it."
00:04:01,00:04:05,And he patented this idea of a computer
00:04:05,00:04:07,"generating all of the numbers,"
00:04:07,00:04:10,so it could just generate multiple different Sudokas.
00:04:10,00:04:13,- Did you read the account by the features editor
00:04:13,00:04:15,"of The Times, this guy called Mike Harvey?"
00:04:15,00:04:17,And it genuinely was like a door-to-door thing.
00:04:17,00:04:19,"So he got a phone call, Mike Harvey,"
00:04:19,00:04:21,"saying, ""There's a man who has a puzzle to show you."""
00:04:21,00:04:23,"And so he thought, ""Great."""
00:04:23,00:04:24,(audience laughing)
00:04:24,00:04:26,"And he said afterwards, Harvey said,"
00:04:26,00:04:28,"""I asked one of my staff to get rid of him,"
00:04:28,00:04:29,"""but he said he was too busy,"
00:04:29,00:04:31,"""so I went down myself, trying to get rid of him."""
00:04:31,00:04:33,But Wayne Gould had had a mock-up
00:04:33,00:04:35,"of the back page of The Times made,"
00:04:35,00:04:37,"which included a Sudoku on it,"
00:04:37,00:04:39,and they ran it the following month.
00:04:39,00:04:40,"And as a result of that,"
00:04:40,00:04:41,Wayne Gould was named one of the world's
00:04:41,00:04:45,most influential people of 2006 by Time Magazine.
00:04:45,00:04:46,(audience laughing)
00:04:46,00:04:46,That's how big it was.
00:04:46,00:04:47,"- It was a quite year, wasn't it?"
00:04:47,00:04:49,(audience laughing)
00:04:49,00:04:52,"But what happened was that The Times decided to run this,"
00:04:52,00:04:54,"but the word got out really quickly,"
00:04:54,00:04:55,"and so all the other newspapers went,"
00:04:55,00:04:58,"""Oh, we're gonna get that in our newspapers as well,"" right?"
00:04:58,00:05:01,And it was just after the 2005 election.
00:05:01,00:05:03,"And so kind of, there wasn't much stories left"
00:05:03,00:05:04,in the newspaper.
00:05:04,00:05:05,"They had lots of inches to fill,"
00:05:05,00:05:09,"so they thought, ""Let's just bang a load of Sudoku in there."""
00:05:09,00:05:10,"And like The Sun, for instance,"
00:05:10,00:05:12,"made a version called Sundoku,"
00:05:12,00:05:14,which featured topless women.
00:05:14,00:05:15,(audience laughing)
00:05:15,00:05:19,- How did you get a nine by nine grid of numbers?
00:05:19,00:05:22,"- Lots of eights and zeros, I don't know."
00:05:22,00:05:24,"Sixes and nines, I don't know."
00:05:24,00:05:27,"But one newspaper editor said they were so popular,"
00:05:27,00:05:30,they called them Viagra for newspaper circulation.
00:05:30,00:05:31,- Wow.
00:05:31,00:05:32,"- And the editor of The Observer said,"
00:05:32,00:05:33,"""I'd put one on every page"
00:05:33,00:05:36,"if I thought it would increase circulation."""
00:05:36,00:05:37,"- Well, that was the thing."
00:05:37,00:05:38,"When it exploded in America,"
00:05:38,00:05:39,"certain newspapers carried it,"
00:05:39,00:05:41,"and the other ones didn't in the early days,"
00:05:41,00:05:44,and people who were lifelong readers of newspapers
00:05:44,00:05:47,changed allegiance just for the Sudoku.
00:05:47,00:05:49,"They suddenly were like, ""Okay, I'm gonna read"
00:05:49,00:05:50,the right-wing thing or the left-wing thing
00:05:50,00:05:51,"that I never read before."""
00:05:51,00:05:52,"- Shit, is that why Brexit happened?"
00:05:52,00:05:54,"It's just 'cause 10 years earlier,"
00:05:54,00:05:58,all these Guardian readers preferred the telegraph Sudoku.
00:05:58,00:05:59,"- I can't believe this fact,"
