start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:06,(speaking in foreign language)
00:00:06,00:00:09,(upbeat music)
00:00:09,00:00:16,- Hello and welcome to another episode
00:00:16,00:00:19,"of ""No Such Thing as a Fish,"" a weekly podcast,"
00:00:19,00:00:23,this week coming to you live from the London Palladium.
00:00:23,00:00:26,(audience cheering)
00:00:26,00:00:29,(audience cheering)
00:00:29,00:00:34,Tonight is also a very special episode for us.
00:00:34,00:00:37,"It is our 400th episode of ""Gang!"""
00:00:37,00:00:40,(audience cheering)
00:00:40,00:00:44,"My name is Dan Shriver, I'm sitting here"
00:00:44,00:00:47,"with Anna Tyshinski, Andrew Huntamari, and James Harkin."
00:00:47,00:00:49,"And once again, we have gathered around the microphones"
00:00:49,00:00:52,with our four favorite facts from the last seven days.
00:00:52,00:00:55,"And in a particular order, here we go."
00:00:55,00:00:59,"Starting with fact number one, and that is Anna."
00:00:59,00:01:02,- My fact this week is that there's a 300 square miles
00:01:02,00:01:05,section of America where all microwaves
00:01:05,00:01:08,have to be kept in cages.
00:01:08,00:01:10,(audience laughing)
00:01:10,00:01:13,- Are they living microwaves?
00:01:13,00:01:15,"They're scary, like teethy."
00:01:15,00:01:17,"- Violent, yes, some kryptonite was spilled on them"
00:01:17,00:01:21,in the '60s and haven't been able to keep control of them.
00:01:21,00:01:23,"No, this is, they're kept in specific cages."
00:01:23,00:01:25,I have misled you there slightly.
00:01:25,00:01:27,"They have to be kept in faraday cages,"
00:01:27,00:01:29,and that's 'cause it's in the quiet zone.
00:01:29,00:01:31,"So this is, the whole quiet zone"
00:01:31,00:01:34,"is actually about 13,000 square miles."
00:01:34,00:01:36,"And across that, radio transmissions"
00:01:36,00:01:38,and all electromagnetic transmissions
00:01:38,00:01:40,are really restricted.
00:01:40,00:01:42,"And within this little 300 square mile section,"
00:01:42,00:01:45,"which is right next to this Green Bank Observatory,"
00:01:45,00:01:47,"which is a few giant telescopes,"
00:01:47,00:01:48,"which are really, really important"
00:01:48,00:01:51,"for like seeing things from outer space,"
00:01:51,00:01:53,they need to have just no interruption.
00:01:53,00:01:56,And that means no waves of any sort.
00:01:56,00:01:58,"And that includes, if you're microwaving a burger"
00:01:58,00:01:59,"at two in the morning,"
00:01:59,00:02:02,that could convince them there's alien life out there.
00:02:02,00:02:04,So it's gotta go in a faraday cage.
00:02:04,00:02:06,- I've had a few burgers at two in the morning
00:02:06,00:02:08,that would convince me there's alien life out there.
00:02:08,00:02:09,(audience laughing)
00:02:09,00:02:12,"It is because of this observatory,"
00:02:12,00:02:14,although it also happens to be
00:02:14,00:02:15,where the National Security Agency
00:02:15,00:02:18,has one of its listening stations.
00:02:18,00:02:19,- Oh. - Which also happens
00:02:19,00:02:20,to be in the same area.
00:02:20,00:02:22,"- Wait, so what are they listening to?"
00:02:22,00:02:23,Are they listening to?
00:02:23,00:02:25,"- Well, they might need a lot of quiet,"
00:02:25,00:02:26,"so they can basically,"
00:02:26,00:02:28,they're listening to any foreign transmissions
00:02:28,00:02:31,that come into the eastern side of the United States.
00:02:31,00:02:32,- Right. - So it helps them
00:02:32,00:02:33,to be a bit quiet as well.
00:02:33,00:02:35,- Interesting. - Wow.
00:02:35,00:02:36,"- It's for anyone who wants peace and quiet, really."
00:02:36,00:02:37,- Yeah.
00:02:37,00:02:40,"- The NSA, these telescope guys,"
00:02:40,00:02:42,"weird conspiracy theorists, quite a lot of them there."
00:02:42,00:02:44,"- I know, it's a big mix of people, isn't it?"
00:02:44,00:02:45,- Yeah. - Yeah.
00:02:45,00:02:46,"- Conspiracy theorists, you've got your people"
00:02:46,00:02:48,"who believe that they suffer from a disease,"
00:02:48,00:02:50,"whereby Wi-Fi interferes with them,"
00:02:50,00:02:52,and they sometimes have to sleep in boxes
00:02:52,00:02:53,to get away from it.
00:02:53,00:02:55,- They should come to the QI office.
00:02:55,00:02:56,(audience laughs)
00:02:56,00:02:58,"- Oh, that was a joke about how shit our Wi-Fi is."
00:02:58,00:02:59,(audience laughs)
00:02:59,00:03:01,"- It was, we had a few of the elves in the audience,"
00:03:01,00:03:02,and they would have loved that joke.
00:03:02,00:03:05,"- Yeah, also we invited our IT guy tonight."
00:03:05,00:03:06,I know he's really shit.
00:03:06,00:03:08,(audience laughs)
00:03:08,00:03:08,"Sorry, buddy."
00:03:08,00:03:10,- It sounds just incredible.
00:03:10,00:03:12,"The list of restrictions there are,"
00:03:12,00:03:13,all because of this telescope.
00:03:13,00:03:15,So there are various things that aren't allowed.
00:03:15,00:03:17,"You know, like lots of stuff about Wi-Fi"
00:03:17,00:03:19,is technically banned.
00:03:19,00:03:22,Petrol-driven vehicles are not allowed
00:03:22,00:03:24,because they have spark plugs.
00:03:24,00:03:26,"So if you fire them up, that might do something."
00:03:26,00:03:27,- I thought this was so interesting.
00:03:27,00:03:30,"I did not know this, that if you are prone"
00:03:30,00:03:31,"to sort of wearing tinfoil hats or whatever,"
00:03:31,00:03:33,"and waves getting into your brain,"
00:03:33,00:03:35,"petrol cars, terrible."
00:03:35,00:03:36,"Diesel cars, fine."
00:03:36,00:03:38,Diesel is just compressed.
00:03:38,00:03:40,I guess I never properly understood the difference.
00:03:40,00:03:41,"Just really, really compressed"
00:03:41,00:03:42,until it's hot enough to ignite.
00:03:42,00:03:44,"Whereas petrol, you know, it needs a spark,"
00:03:44,00:03:46,"and that's giving off waves,"
00:03:46,00:03:47,and that's fucking with your brain.
00:03:47,00:03:50,(audience laughs)
00:03:50,00:03:53,"- It's not, I just want to clarify, it's not."
00:03:53,00:03:55,"- And the members of the public who live there,"
00:03:55,00:03:57,so it's a very small population there.
00:03:57,00:03:59,It's under 200 people that live there.
00:03:59,00:04:00,- This is just in the tiny inner bit.
00:04:00,00:04:02,"- In the tiny inner bit, yeah."
00:04:02,00:04:04,But they take it really seriously
00:04:04,00:04:06,about how they have to make sure
00:04:06,00:04:09,"that nothing is messing with this telescope,"
00:04:09,00:04:11,to the point where there's almost citizen police officers
00:04:11,00:04:14,"that go around driving in their car,"
00:04:14,00:04:17,"just looking every day for any kind of Wi-Fi signal,"
00:04:17,00:04:20,"or any, there was a guy called Wesley Sizemore,"
00:04:20,00:04:21,"and he used to just knock on doors,"
00:04:21,00:04:24,"and just go and walk in and go unplug your microwave,"
00:04:24,00:04:26,turn your Wi-Fi off.
00:04:26,00:04:30,"Yeah, he once, amazingly, tracked down the radio frequency"
00:04:30,00:04:34,interference of a faulty electric blanket in someone's house.
00:04:34,00:04:35,- Wow.
00:04:35,00:04:36,"- And he went into their house,"
00:04:36,00:04:38,and he confiscated it off them.
00:04:38,00:04:41,"- Just woke up a poor granny at three in the morning,"
00:04:41,00:04:43,and she got her awake.
00:04:43,00:04:44,"- There's a woman called Dr. Karen O'Neill,"
00:04:44,00:04:46,"who works at the observatory,"
00:04:46,00:04:48,and she says that she has members of her family
00:04:48,00:04:49,"who never visit them,"
00:04:49,00:04:52,because the lack of Wi-Fi stresses out the teenagers.
00:04:52,00:04:53,(audience laughing)
00:04:53,00:04:56,"- Yeah, that's why they're not getting visits."
00:04:56,00:04:57,"I'm so sorry, we'd love to,"
00:04:57,00:04:59,but the teenagers have to have their Wi-Fi.
00:04:59,00:05:02,"- Now, I think a lot of you are probably thinking like,"
00:05:02,00:05:04,"okay, you have to put the microwave in a Faraday cage."
00:05:04,00:05:06,"The first thing I thought was,"
00:05:06,00:05:07,isn't a microwave a Faraday cage?
00:05:07,00:05:08,- Yeah.
00:05:08,00:05:11,"- I thought that was kind of the whole point of microwaves,"
00:05:11,00:05:14,"but what it is, is microwaves do have Faraday cages in them,"
00:05:14,00:05:16,but they often leak.
00:05:16,00:05:17,- Yeah.
00:05:17,00:05:19,"- Okay, so you can test if you have a leaky microwave,"
00:05:19,00:05:21,so I tried this today at home.
00:05:21,00:05:23,I put my phone into the microwave
00:05:23,00:05:25,"and got my wife to call me,"
00:05:25,00:05:27,and I still got the call.
00:05:27,00:05:28,- What?
00:05:28,00:05:29,"- And I tried the one backstage,"
00:05:29,00:05:30,"we have a microwave backstage,"
00:05:30,00:05:31,"and I put my phone in there,"
00:05:31,00:05:32,"and one of the elves called me,"
00:05:32,00:05:33,"and I didn't get it,"
00:05:33,00:05:35,"so this one is a proper Faraday cage,"
00:05:35,00:05:36,but my one at home is a leaky one.
00:05:36,00:05:40,"- So, hang on, doesn't that break the microwave?"
00:05:40,00:05:42,"- No, it don't turn it on."
00:05:42,00:05:44,(audience laughing)
