start_hhmmss,end_hhmmss,text
00:00:00,00:00:14,[MUSIC]
00:00:14,00:00:19,">> Hello and welcome to another episode of No Such Thing as a Fish,"
00:00:19,00:00:24,a weekly podcast this week coming to you live from Ipswich.
00:00:24,00:00:28,>> [APPLAUSE]
00:00:28,00:00:30,>> My name is Dan Schreiber.
00:00:30,00:00:35,"I am sitting here with Anna Tyshinski, Andrew Hunter Murray, and James Harkin."
00:00:35,00:00:38,"And once again, we have gathered around the microphones with our four favorite"
00:00:38,00:00:40,facts from the last seven days.
00:00:40,00:00:43,"And in no particular order, here we go."
00:00:43,00:00:46,"Starting with fact number one, and that is my fact."
00:00:46,00:00:52,My fact this week is that there's a special piano that only Benny from
00:00:52,00:00:58,Abba can play and he can only play it if he's six miles away from it.
00:00:58,00:00:59,>> [LAUGH]
00:00:59,00:01:01,>> This is such a cool thing.
00:01:01,00:01:05,"There's an Abba Museum in Stockholm, which is a fascinating place."
00:01:05,00:01:08,And in it is a piano that belongs to Benny.
00:01:08,00:01:13,And what they've done is they've synced up the piano with Benny's studio.
00:01:13,00:01:17,"And so anytime Benny's at home and he plays on it,"
00:01:17,00:01:22,the piano in the museum just starts playing whatever it is that he's playing as well.
00:01:22,00:01:25,>> So what if I go to Benny's house and I'm not very good at playing the piano and
00:01:25,00:01:27,"I just play chopsticks, will that play on there as well?"
00:01:27,00:01:30,">> Well, I think it'll probably summon an ambulance to Benny's house."
00:01:30,00:01:33,>> [LAUGH]
00:01:33,00:01:34,>> Send it out on SOS.
00:01:34,00:01:36,>> [LAUGH]
00:01:36,00:01:40,">> It's what I'm saying, it's hooked up to an iPad."
00:01:40,00:01:41,So it's not everything that plays.
00:01:41,00:01:46,He has to decide when he's allowing the museum to hear what he's hearing.
00:01:46,00:01:47,">> Got it, yeah."
00:01:47,00:01:51,">> They also, they have a phone where only four people have the number of the phone."
00:01:51,00:01:52,>> Who are they?
00:01:52,00:01:53,>> Is it us four?
00:01:53,00:01:54,>> It's us four.
00:01:54,00:01:56,">> No, it's Abba."
00:01:56,00:01:59,">> And if the phone rings in the museum,"
00:01:59,00:02:03,then you know that it's one of the four members of Abba phoning that phone.
00:02:03,00:02:06,">> And they got the idea from Yoko Ono, didn't they?"
00:02:06,00:02:06,>> Did they?
00:02:06,00:02:09,">> Yeah, so Yoko Ono has got quite a few of these,"
00:02:09,00:02:13,what she calls telephone pieces that's been in various different exhibitions
00:02:13,00:02:16,around the world over the last few years.
00:02:16,00:02:18,"She did one in Argentina, she did one in New York."
00:02:18,00:02:22,And her idea is that she will ring it from time to time and someone will answer.
00:02:22,00:02:26,"And when they answer, they're completing the piece, the artwork."
00:02:26,00:02:27,Do you think about it that way?
00:02:27,00:02:27,">> Yeah, yeah."
00:02:27,00:02:32,">> So the first time someone did that, they were in a Toronto exhibition in 2002."
00:02:32,00:02:36,"And the phone rang and the guy said, hello?"
00:02:36,00:02:39,"And Yoko Ono said, are you in China?"
00:02:39,00:02:43,"And he said, no, I'm in Toronto, Canada, where the exhibition is."
00:02:43,00:02:45,"And she said, oh, I'm not in China either."
00:02:45,00:02:47,And she hung up.
00:02:47,00:02:48,>> Wow. >> Nice.
00:02:48,00:02:53,>> Did he then get paid half the money that she'd made from selling this exhibition?
00:02:53,00:02:54,That'd be amazing.
00:02:54,00:02:57,">> Wow, Abba."
00:02:57,00:02:58,>> Yeah.
00:02:58,00:03:00,>> They were pretty unpopular in Sweden.
00:03:00,00:03:01,">> No, they weren't."
00:03:01,00:03:02,They were very popular.
00:03:02,00:03:06,">> In Sweden, right at the start of their careers, they were seen as being,"
00:03:06,00:03:07,I can't believe this is true.
00:03:07,00:03:11,"But they became really famous in, what was it, 1974, the Eurovision?"
00:03:11,00:03:12,When they sang Mortalin?
00:03:12,00:03:13,>> Yeah.
00:03:13,00:03:17,">> Apparently, when they became really popular in the world,"
00:03:17,00:03:21,Sweden was so snotty about them that they cancelled the Swedish top of the pops
00:03:21,00:03:23,and abolished the pop charts.
00:03:23,00:03:23,>> What?
00:03:23,00:03:26,">> Come on, no way."
00:03:26,00:03:27,">> Yeah, that's what I read."
00:03:27,00:03:28,>> Yeah.
00:03:28,00:03:28,>> Why?
00:03:28,00:03:29,Because they thought that-
00:03:29,00:03:30,>> Just they were a bit-
00:03:30,00:03:31,>> Have you gone to commercial?
00:03:31,00:03:33,">> They were a bit commercial, they were a bit poppy."
00:03:33,00:03:36,"They were, I mean, they had an incredible and different sound, but they were also very,"
00:03:36,00:03:37,"yeah, commercial."
00:03:37,00:03:40,>> But they were weirdly like a super group because both Benny and
00:03:40,00:03:45,Bjorn had very big bands that they were in before Abba came along.
00:03:45,00:03:49,"And then they got married to Agnatha and Annie Fridt, who both were big singers."
00:03:49,00:03:51,And it didn't work.
00:03:51,00:03:53,And one theory by one of the people who worked with them is
00:03:53,00:03:56,because they had a terrible band name before they came up with Abba.
00:03:56,00:04:01,"So their original band name was Bjorn and Benny, Agnatha and Annie Fridt."
00:04:01,00:04:01,That was their name.
00:04:01,00:04:03,>> [LAUGH]
00:04:03,00:04:06,>> And then they became Abba because that was the shorthand that was used for it.
00:04:06,00:04:08,>> It was a newspaper competition that got the name.
00:04:08,00:04:08,>> Was it?
00:04:08,00:04:10,">> Yeah, yeah, they had because they'd had other names,"
00:04:10,00:04:13,which included Alibaba and Fab and Baba.
00:04:13,00:04:16,And then there was a Gothenburg newspaper held a competition.
00:04:16,00:04:19,So we've got to get this band a better name because these all stink.
00:04:19,00:04:21,And Abba was the winning.
00:04:21,00:04:24,>> I read that they borrowed the name from a fish company.
00:04:24,00:04:26,And that was on the website of the fish company.
00:04:26,00:04:27,>> [LAUGH]
00:04:27,00:04:31,>> They said that we agreed to lend our name to the pop group.
00:04:31,00:04:33,>> I was thinking they're going to give it back at some point.
00:04:33,00:04:38,">> It does, because it's a big fish company, everyone knows Abba fish company."
00:04:38,00:04:41,And so I can see that it would have been controversial.
00:04:41,00:04:43,They did have a weird time.
00:04:43,00:04:46,The two couples that was made up of the two married couples got divorced within
00:04:46,00:04:50,basically two years of each other between 1980 and 1982.
00:04:50,00:04:52,While writing their best song.
00:04:52,00:04:56,"So if you listen to The Winner Takes It All, that was written by Bjorn, wasn't it?"
00:04:56,00:05:00,"And then he got Agnetha to sing it, and they'd been married."
00:05:00,00:05:04,"And she says, it's very interesting reading what they say about the divorce."
00:05:04,00:05:08,"Because he says, God, it was the friendliest divorce on the face of the earth."
00:05:08,00:05:10,No marriage break up could have been easier.
00:05:10,00:05:12,Best friends forever.
00:05:12,00:05:14,"And then you read her on a separate interview going, everyone thought it was"
00:05:14,00:05:16,"a really easy time, but it was actually hell."
00:05:16,00:05:21,">> And particularly being made to sing the lyrics of this song, which are things like,"
00:05:21,00:05:24,talking about does she kiss you like I used to kiss you.
00:05:24,00:05:28,And he'd gone off with another girlfriend weeks after they divorced.
00:05:28,00:05:30,She's there on stage singing it.
00:05:30,00:05:31,So yeah. >> That's awkward.
00:05:31,00:05:35,And then it was 1981 when the final divorce went through.
00:05:35,00:05:38,"And so by 1982, they were all single."
00:05:38,00:05:41,And their first album of 1982 was called The Singles.
00:05:41,00:05:46,">> Yes. >> That's good, that's so good."
00:05:46,00:05:49,"And do you know there are, just on that note, there are Abbotributax,"
00:05:49,00:05:53,which include the beyond identity and the beyond ultimatum.
00:05:53,00:05:55,But not the beyond supremacy.
00:05:55,00:05:58,>> [LAUGH]
00:05:58,00:05:58,>> Very funny.
00:05:58,00:06:00,>> That's so good.
00:06:00,00:06:03,">> And if you're not Swedish, Scandal."
00:06:03,00:06:03,>> Really?
00:06:03,00:06:05,">> Norwegian, bullshit."
00:06:05,00:06:06,">> Scandal, Navier."
00:06:06,00:06:10,">> Scandal, Navier, absolutely."
00:06:10,00:06:13,"She's really interesting though, her background is so interesting."
00:06:13,00:06:18,She is what's called a Tiske Barnas or a German child.
00:06:18,00:06:23,"And these were people in Norway who during the war, the 1930s in the Second World War,"
00:06:23,00:06:28,the Nazis had a policy of interbreeding their men with Norwegian women to create
00:06:28,00:06:33,perfect Aryan offspring who would then sort of be given back to the SS and
00:06:33,00:06:36,be a brilliant Aryan race for the Nazis.
00:06:36,00:06:40,"And she was a child of that, but she was born in 1945."
00:06:40,00:06:43,"So her mother was Norwegian, her father was a German soldier who"
00:06:43,00:06:47,"was in Norway, and then immediately they were completely ostracised."
00:06:47,00:06:51,"And had a hell of a time, and they couldn't get jobs."
00:06:51,00:06:54,And most of them have really awful lives as a result.
00:06:54,00:06:58,And I think they got compensation from Europe a few years ago.
00:06:58,00:07:00,>> Did they get it in the end?
00:07:00,00:07:01,"I remember- >> I'm actually not sure,"
00:07:01,00:07:04,"I know they fought for it, but still, not fucking Swedish."
00:07:04,00:07:05,>> [LAUGH]
00:07:05,00:07:09,>> Just on the sort of mania of when they hit and
00:07:09,00:07:13,"became absolutely stratospheric, I didn't really appreciate how huge they've been."
00:07:13,00:07:18,"So just for an example, they visited Australia in the mid-70s."
00:07:18,00:07:23,Their TV special in 1976 got more views than the moon landing.
00:07:23,00:07:24,>> Wow.
00:07:24,00:07:28,">> Yeah, they were so popular that in the year 1976."
00:07:28,00:07:30,">> In the 1970s though, in 1976."
00:07:30,00:07:31,">> More TVs, right?"
00:07:31,00:07:33,>> Sorry? >> More TVs.
