start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:17,"- Hello, and welcome to another episode"
00:00:17,00:00:20,"of No Such Thing As A Fish, a weekly podcast,"
00:00:20,00:00:23,this week coming to you live from Oxford!
00:00:23,00:00:26,(audience cheering)
00:00:27,00:00:30,(audience cheering)
00:00:30,00:00:32,"My name is Dan Schreiber, I am sitting here"
00:00:32,00:00:35,"with Anna Tyshinski, Andrew Hunter Murray,"
00:00:35,00:00:37,"and James Harkin, and once again,"
00:00:37,00:00:38,we have gathered round the microphones
00:00:38,00:00:42,"with our four favorite facts from the last seven days,"
00:00:42,00:00:45,"and in no particular order, here we go."
00:00:45,00:00:48,"Starting with fact number one, and that is my fact,"
00:00:48,00:00:50,my fact this week is that the longest
00:00:50,00:00:55,professional baseball match on record only lasted so long
00:00:55,00:00:57,because the umpire's rule book was missing the bit
00:00:57,00:01:00,that explained when a match should be stopped.
00:01:00,00:01:02,(audience laughing)
00:01:02,00:01:03,- That's amazing.
00:01:03,00:01:07,I kind of think that an umpire should already know the rules
00:01:07,00:01:10,by the time he's starting to umpire the game.
00:01:10,00:01:11,"- Yeah, you would think."
00:01:11,00:01:11,"- Halfway through, he shouldn't be going,"
00:01:11,00:01:13,"""No, I'm just gonna check."""
00:01:13,00:01:17,"- Well, this was unprecedented times in the baseball world."
00:01:17,00:01:21,"So this was a match that was in April 18th, 1981."
00:01:21,00:01:23,"It was the poor Tuckett Red Sox,"
00:01:23,00:01:26,"and they were playing the Rochester Red Wings,"
00:01:26,00:01:27,and so these are smaller teams
00:01:27,00:01:30,and a different league professional baseball players though.
00:01:30,00:01:33,"And poor Tuckett, it was played there,"
00:01:33,00:01:34,which is in Rhode Island.
00:01:34,00:01:37,"Big deal for poor Tuckett, because the newspaper,"
00:01:37,00:01:39,"the next day, said not since the time"
00:01:39,00:01:43,"that they had to shoot the drunken camel at the City Zoo,"
00:01:43,00:01:44,(audience laughing)
00:01:44,00:01:47,has there been this much excitement in poor Tuckett.
00:01:47,00:01:48,(audience laughing)
00:01:48,00:01:50,"- Yeah, but it was in 1981."
00:01:50,00:01:53,"- 1981, so it sounds like a weird match from ages ago,"
00:01:53,00:01:54,but quite recently really.
00:01:54,00:01:57,"At the start of the match, there were 1700 fans watching."
00:01:57,00:01:59,"By the time the game eventually ended,"
00:01:59,00:02:02,"which was 4.07 in the morning,"
00:02:02,00:02:04,"there were 20 people left watching,"
00:02:04,00:02:06,"still watching the match, 20,"
00:02:06,00:02:07,which I feel is quite a lot.
00:02:07,00:02:09,- I read that some of them were asleep.
00:02:09,00:02:10,"- Oh, okay."
00:02:10,00:02:11,"- They all got given a season ticket,"
00:02:11,00:02:12,so it paid off for them.
00:02:12,00:02:13,- I think some of them got lifetime passes.
00:02:13,00:02:15,"- Yeah, they did, that's true."
00:02:15,00:02:17,"So it was the longest baseball match on the world,"
00:02:17,00:02:19,which is eight hours and 25 minutes.
00:02:19,00:02:21,It really isn't that long.
00:02:21,00:02:23,I think what makes it long.
00:02:23,00:02:24,- It's quite long.
00:02:24,00:02:26,"- Well, come on, we're from a nation of cricket."
00:02:26,00:02:27,That was bullshit.
00:02:27,00:02:29,"- Exactly, exactly."
00:02:29,00:02:30,"'Cause all the writing up,"
00:02:30,00:02:32,"like there was a player called Wade Bogues,"
00:02:32,00:02:34,"who was 22 years old when the match started,"
00:02:34,00:02:36,"and by the time it ended, he was 23."
00:02:36,00:02:38,(audience laughing)
00:02:38,00:02:39,- Wade Bogues is quite famous.
00:02:39,00:02:41,He became quite a famous player later.
00:02:41,00:02:42,- Did he?
00:02:42,00:02:44,"But this didn't happen to land on the,"
00:02:44,00:02:46,"when it went past midnight, he turned 23."
00:02:46,00:02:49,"The thing about this match was it was eventually stopped,"
00:02:49,00:02:52,and they then resumed the match a few months later.
00:02:52,00:02:53,"- Oh, you're kidding."
00:02:53,00:02:55,"Oh, I thought it was just a midnight thing the birthday."
00:02:55,00:02:56,"- No, no."
00:02:56,00:02:57,"- Oh, okay."
00:02:57,00:02:58,"- But when they've carried on afterwards,"
00:02:58,00:03:01,it took like about 18 minutes or something.
00:03:01,00:03:03,"- Yeah, didn't they just have a school once, basically?"
00:03:03,00:03:05,"And they did, and then that's over."
00:03:05,00:03:07,"And there's sort of thousands of people flocked,"
00:03:07,00:03:08,'cause by then it was almost as big news
00:03:08,00:03:09,as the drunken camel thing.
00:03:09,00:03:12,"So the entirety of the nation, practically,"
00:03:12,00:03:14,was there for 18 minutes.
00:03:14,00:03:16,"But Dan, what's the deal with the missing page?"
00:03:16,00:03:18,Who's ripped out the crucial page?
00:03:18,00:03:20,"- Yeah, we don't know if it was missing,"
00:03:20,00:03:22,"we don't know if they couldn't find it,"
00:03:22,00:03:23,and just no one knew what to do.
00:03:23,00:03:25,And so there was actually someone
00:03:25,00:03:27,that they were trying to call on a landline
00:03:27,00:03:30,"who was higher up, who just wasn't near their phone."
00:03:30,00:03:33,"Also, it was 12 a.m. heading into 4 a.m. eventually."
00:03:33,00:03:35,"So they eventually got through to him,"
00:03:35,00:03:36,"and they were like, ""What do we do?"""
00:03:36,00:03:38,"And he was like, ""Stop the fucking match!"
00:03:38,00:03:40,"""What are you doing?"""
00:03:40,00:03:41,"Why did they, why was it lasting so long?"
00:03:41,00:03:42,Do we know? - So what happens
00:03:42,00:03:44,in baseball is you have an innings and an innings.
00:03:44,00:03:48,You keep going with inningses until someone scores more
00:03:48,00:03:49,than that innings than the other team.
00:03:49,00:03:52,You do a certain number that you're supposed to do.
00:03:52,00:03:54,"And then if it's a tie, you just keep going"
00:03:54,00:03:56,until one team gets like sudden death.
00:03:56,00:03:57,"And they just kept going,"
00:03:57,00:04:00,"nil nil, nil nil, nil nil, nil nil, nil nil."
00:04:00,00:04:02,"And then there was a one,"
00:04:02,00:04:04,and then the other team got a one.
00:04:04,00:04:07,"And that was, it was Wade Boggs."
00:04:07,00:04:10,He kind of got a home run to tie that game.
00:04:10,00:04:12,"And he said, ""I didn't know if the guys on my team"
00:04:12,00:04:14,"""wanted to hug me or slug me."""
00:04:14,00:04:17,- That's a great thing to say.
00:04:17,00:04:19,"- Boggs, by the way, I just want to say,"
00:04:19,00:04:20,"because he is famous,"
00:04:20,00:04:22,but the most thing I know about him
00:04:22,00:04:26,is he once consumed 107 beers in one day.
00:04:26,00:04:29,"- Whoa, for like charity or?"
00:04:29,00:04:32,- He was just thirsty.
00:04:32,00:04:34,"- Sometimes people don't need an incentive, Dan,"
00:04:34,00:04:35,to drink the 100 beers.
00:04:35,00:04:37,"- He's famous as big drinker,"
00:04:37,00:04:39,but then this is the record that his friend said
00:04:39,00:04:40,and he's confirmed.
00:04:40,00:04:41,- Wow.
00:04:41,00:04:44,"- But so the match itself, again,"
00:04:44,00:04:46,"I wish we hadn't told you it was just eight hours,"
00:04:46,00:04:48,"because when you hear the details of the match,"
00:04:48,00:04:50,it does sound like it just went on for like a week.
00:04:50,00:04:53,"So the accounts of the baseball players,"
00:04:53,00:04:54,"a very cold night,"
00:04:54,00:04:56,the baseball players getting so cold
00:04:56,00:04:58,that they were ripping up furniture from the dugout
00:04:58,00:04:59,"and burning it,"
00:04:59,00:05:01,snapping used baseball bats in half
00:05:01,00:05:05,"and putting it in this bin of fire to stay warm,"
00:05:05,00:05:05,to keep them going.
00:05:05,00:05:07,"- If you can snap a baseball bat in half,"
00:05:07,00:05:09,I don't think you'd need a fire.
00:05:09,00:05:10,I think you're fine.
00:05:10,00:05:13,- A jump rod.
00:05:13,00:05:14,These people are pathetic.
00:05:14,00:05:15,- I know.
00:05:15,00:05:16,- It was cold.
00:05:16,00:05:17,It was really cold.
00:05:17,00:05:18,And that was one of the problems.
00:05:18,00:05:20,It was a really windy day as well.
00:05:20,00:05:23,"And so the problem was it kept being nil, nil, nil, nil"
00:05:23,00:05:25,because no one could get any home runs.
00:05:25,00:05:27,And the reason was they kept whacking it for miles and miles
00:05:27,00:05:29,and the wind would just blow it back into the stadium.
00:05:29,00:05:30,- Oh.
00:05:30,00:05:31,- Were they playing with a boomerang?
00:05:31,00:05:32,It turned out.
00:05:32,00:05:35,"- Yeah, extraordinary game."
00:05:35,00:05:36,- It is quite pathetic.
00:05:36,00:05:38,"If you look at sports matches of your,"
00:05:38,00:05:40,"where they basically,"
00:05:40,00:05:42,before all these rules were codified for all the sports
00:05:42,00:05:44,"in sort of mid to late 19th century,"
00:05:44,00:05:46,"they just went on for days and days and days, didn't they?"
00:05:46,00:05:48,You get football matches and rugby matches
00:05:48,00:05:50,with hundreds of participants.
00:05:50,00:05:52,You'd have one village playing another village
00:05:52,00:05:54,and they play from dawn until dusk
00:05:54,00:05:56,for like four days straight.
00:05:56,00:05:57,It was great.
00:05:57,00:05:59,I think the first recorded football match ever
00:05:59,00:06:03,"in Sheffield in 1794, that was three days long."
00:06:03,00:06:05,"And the match report said three days long,"
00:06:05,00:06:08,a very good match and it felt necessary to note
00:06:08,00:06:10,"that although there were quite a lot of injuries,"
00:06:10,00:06:11,no one was killed.
00:06:12,00:06:14,"- But that's amazing 'cause that team,"
00:06:14,00:06:16,"before that game, they were called Sheffield Monday,"
00:06:16,00:06:17,weren't they?
00:06:17,00:06:18,(laughing)
00:06:18,00:06:19,- Very strong.
