start_hhmmss,end_hhmmss,text
00:00:00,00:00:07,"Hi everyone, it is New Year's Eve if you're hearing this on the day that this episode"
00:00:07,00:00:16,"drops. Wow, 2021, what a year, eh? Phew, dear goodness. Well, we got through it, we got"
00:00:16,00:00:21,through it and 2022 I'm sure will hold lots and lots of exciting things for all of you
00:00:21,00:00:29,"people and all of us as well. So what do we have for you this week? Well, we have a compilation"
00:00:29,00:00:35,"of outtakes from our latest tour. We like to think that we are the pros, we've been doing"
00:00:35,00:00:41,"this for 400 episodes, we've been doing it for almost 8 years, surely everything is so"
00:00:41,00:00:46,"slick that nothing ever goes wrong. Well, if you've actually been to one of our shows,"
00:00:46,00:00:51,you know that things quite often do go wrong. Sometimes we say things that we can't possibly
00:00:51,00:00:56,"put out on the podcast, unless I very heavily censor them. Sometimes it's a really good"
00:00:56,00:01:01,fact and it just doesn't quite fit in the final edit. Sometimes the set just falls to pieces
00:01:01,00:01:05,all around us and so what I've done is I've collected all those things together and put
00:01:05,00:01:13,them into a compilation of all the craziest bits from the last few months of touring fish.
00:01:13,00:01:18,Really hope you enjoy it. We'll be back with a normal episode for the first show of 2022
00:01:18,00:01:35,for the time being. Hope you enjoy the show on with the podcast.
00:01:35,00:01:41,Hello and welcome to another episode of No Such Thing as a Fish. My name is Dan Schreiber
00:01:41,00:01:46,"and I'm sitting here with Anna Toshinsky, Andrew Hunter Murray and James Hawken and"
00:01:46,00:01:51,once again we have gathered around the microphones with our four favorite facts from the last
00:01:51,00:01:57,seven days and in a particular order here we go. Starting with fact number one and that
00:01:57,00:02:04,is James. Did you not bring your microphone? Do you know I'm so relieved about that because
00:02:04,00:02:09,"I forgot to bring my drinks on. All right, you two go off cover. Should we start again?"
00:02:09,00:02:16,"So it turns out unbelievable. Listeners at home, James forgot to bring his microphone"
00:02:16,00:02:21,"and I forgot to bring her drink. I can't work out which is worse. I'm here, Dan. Thank"
00:02:21,00:02:27,"you, Andy. Dan, I don't think anyone's noticed. I think if we go straight to me, Dan, though."
00:02:27,00:02:32,It's hilarious you didn't bring your microphone. I think what's funny is it was only when I
