start_hhmmss,end_hhmmss,text
00:00:00,00:00:12,[MUSIC]
00:00:12,00:00:17,">> Hello and welcome to another episode of No Such Thing as a Fish,"
00:00:17,00:00:22,a weekly podcast this week coming to you live from Chesterfield.
00:00:22,00:00:27,>> [APPLAUSE]
00:00:27,00:00:29,>> My name is Dan Shriver.
00:00:29,00:00:34,"I am sitting here with Anna Tyshinski, Andrew Hunter Murray and James Harkin."
00:00:34,00:00:37,"And once again, we have gathered around the microphones with our four favorite"
00:00:37,00:00:43,"facts from the last seven days, and in no particular order, here we go."
00:00:43,00:00:47,"Starting with fact number one, and that is Andy."
00:00:47,00:00:50,>> My fact is that one Japanese slang term for
00:00:50,00:00:56,"a retired husband is soraigomi, which literally translates as bulky waist."
00:00:56,00:00:59,>> [LAUGH]
00:00:59,00:01:01,>> That is two on the nose.
00:01:01,00:01:03,">> It's a lot, it's a lot."
00:01:03,00:01:06,>> Do you know this man affectionately or less affectionately?
00:01:06,00:01:10,>> I think tone of voice counts for a lot in these scenarios.
00:01:10,00:01:12,I don't think it's a completely affectionate term.
00:01:12,00:01:16,It's a phrase that I think maybe older people will know more than younger people
00:01:16,00:01:17,in Japan today.
00:01:17,00:01:20,I think it first came to prominence in the 90s and it was basically there at
00:01:20,00:01:25,"certainly at the time in Japan the very, very strong culture of working very hard."
00:01:25,00:01:27,A lot of quite traditional gender roles at the time.
00:01:27,00:01:31,"So you'd have, a husband might be working sort of 16 hours a day for 40 years."
00:01:31,00:01:35,"And then suddenly, he's retired and he's here all the time."
00:01:35,00:01:38,And this was the phrase that arose as a result of that.
00:01:38,00:01:43,">> Another one that they use is nureochiba, which means wet fallen leaves."
00:01:43,00:01:46,"And the idea is that if you have wet fallen leaves,"
00:01:46,00:01:50,they just stick to your shoes all the time and the husband is just sticking to
00:01:50,00:01:52,his wife annoyingly and she can't get rid of him.
00:01:52,00:01:54,>> That's so funny.
00:01:54,00:01:55,This is horrible.
00:01:55,00:02:02,>> So Japan has a very high population that is sitting above the sort of 90s even.
00:02:02,00:02:07,Like they have the second largest number of centenarians in their country.
00:02:07,00:02:10,That came out so weird out of my mouth.
00:02:10,00:02:13,Because I was saying centenarians and then I thought centaurs.
00:02:13,00:02:15,"And I thought, which one is it?"
00:02:15,00:02:16,And I got stuck halfway through.
00:02:16,00:02:18,>> It's both actually in Japan.
00:02:18,00:02:22,">> Yeah, a lot of old centaurs in Japan."
00:02:22,00:02:23,"Yeah, which is amazing."
00:02:23,00:02:24,>> What's the highest?
00:02:24,00:02:26,>> America has the most.
00:02:26,00:02:29,"So America has, from the article that I read, it was 97,000."
00:02:29,00:02:31,"This is a few years old, this article."
00:02:31,00:02:33,"Japan with 79,000."
00:02:33,00:02:39,"So Japan, it's six people for every 10,000 people in Japan."
00:02:39,00:02:42,We'll make it to 100 and above.
00:02:42,00:02:43,">> Okay, is that high, yeah."
00:02:43,00:02:46,">> So proportionally, I think it's Japan, surely?"
00:02:46,00:02:47,">> Yeah, yeah, yeah."
00:02:47,00:02:49,">> Fortunately, Japan's got the highest number."
00:02:49,00:02:51,">> Thing is though, centaurs do live long."
00:02:51,00:02:54,So it's not really as impressive as you think.
00:02:54,00:02:57,">> But it does lead to, I mean, there's a lot of retirement about it in Japan."
00:02:57,00:03:01,"And basically, there are a lot of free hours to fill after you hit 65 or 70."
00:03:01,00:03:02,">> Well, you can always go to the leisure center."
00:03:02,00:03:09,>> [LAUGH]
00:03:09,00:03:11,>> I did not deserve even that sarcastic rather.
00:03:11,00:03:13,>> [LAUGH]
00:03:13,00:03:15,>> But they have lots of activities.
00:03:15,00:03:19,"So for example, Japan loves rugby, there's a hugely popular sport there."
00:03:19,00:03:22,"But they have 120,000 rugby players, give or take."
00:03:22,00:03:27,"10,000 of them are over the edge of 40, which impressive enough as a contact sport."
00:03:27,00:03:31,There was one rugby club in Japan which has three over 90-year-old players.
00:03:31,00:03:32,>> Come on.
00:03:32,00:03:33,">> Genuinely, genuinely."
00:03:33,00:03:34,>> No way.
00:03:34,00:03:36,>> There was an interview with a few of them.
00:03:36,00:03:38,One of them was called Ryuichi Nagayama.
00:03:38,00:03:40,And he said he found it an enormous amount of fun.
00:03:40,00:03:45,"He said, since I joined, I have broken ribs many times and broke my collarbone too."
00:03:45,00:03:46,I can't stand not playing.
00:03:46,00:03:50,He said it would kill him if he stopped playing because he loves it so much.
00:03:50,00:03:52,"Well, it sounds like it would kill him if he keeps playing."
00:03:52,00:03:55,">> Yeah, I'm just picturing a crumbled heap of bones right now."
00:03:55,00:03:57,>> It's very impressive.
00:03:57,00:04:00,">> Yeah, there was a story which I imagine,"
00:04:00,00:04:03,it sounds like one of those stories that must slightly be fake.
00:04:03,00:04:08,"But from what I can read is true, which is that the sales of adult nappies"
00:04:08,00:04:10,are overtaking the sales of children's nappies.
00:04:10,00:04:12,">> They are, that's definitely true."
00:04:12,00:04:16,">> Which is amazing, that's just, there's your indication about the difference"
00:04:16,00:04:19,"in population in Japan, more adults and nappies than babies."
00:04:19,00:04:23,">> And it's not just the old ones, sometimes it's just convenient, you know?"
00:04:23,00:04:25,>> How do you think we lasted an hour up here?
00:04:25,00:04:29,>> Yeah.
00:04:29,00:04:32,">> They do have a Japan problem with dementia, as lots of countries do,"
00:04:32,00:04:36,but Japan particularly obviously with its massively aging population.
00:04:36,00:04:41,And there's been some kind of cool initiatives to deal with that.
00:04:41,00:04:44,So one of them is that there is a restaurant in Tokyo called
00:04:44,00:04:47,The Restaurant of Mistaken Orders.
