start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:17,- Hello and welcome to another episode
00:00:17,00:00:20,"of No Such Thing as a Fish, a weekly podcast this week"
00:00:20,00:00:23,coming to you live from Paul.
00:00:23,00:00:26,(audience cheering)
00:00:27,00:00:31,(audience cheering)
00:00:31,00:00:33,"My name is Dan Schreiber, I'm sitting here"
00:00:33,00:00:35,"with Anna Tyshinski, Andrew Hunter Murray,"
00:00:35,00:00:37,"and James Harkin, and once again,"
00:00:37,00:00:39,we have gathered round the microphones
00:00:39,00:00:43,"with our four favorite facts from the last seven days,"
00:00:43,00:00:46,"and in no particular order, here we go."
00:00:46,00:00:49,"Starting with fact number one, and that is James."
00:00:49,00:00:52,- My fact this week is that tardy grades
00:00:52,00:00:55,"can survive being shot out of a gun,"
00:00:55,00:00:57,but they're a bit groggy afterwards.
00:00:57,00:01:00,- Tardy grades.
00:01:00,00:01:02,"- Tardy grades, yes."
00:01:02,00:01:04,"Tiny little things, not quite microscopic,"
00:01:04,00:01:07,"you can see them if you look really, really carefully,"
00:01:07,00:01:09,"but very, very small little things."
00:01:09,00:01:11,"Living in all over the world,"
00:01:11,00:01:13,"probably some in your garden,"
00:01:13,00:01:14,"probably some on this stage, no, they're not on this stage."
00:01:14,00:01:16,They live in like moss and in bits of grass
00:01:16,00:01:18,and stuff like that.
00:01:18,00:01:21,"They're really, really strong, powerful things."
00:01:21,00:01:22,You can't kill them.
00:01:22,00:01:24,Virtually nothing will kill them.
00:01:24,00:01:26,"- They're not powerful, like they can't put a lorry."
00:01:26,00:01:27,They're not going to be able to give you a piggyback.
00:01:27,00:01:29,"- If you go enough of them, I reckon, what do you reckon?"
00:01:29,00:01:32,"- I think it's enough of anything, you can put a lorry."
00:01:32,00:01:33,"- We don't need them to put a lorry,"
00:01:33,00:01:34,we just need them to drive a lorry.
00:01:34,00:01:37,(laughing)
00:01:37,00:01:39,"- Apparently scientists, I read,"
00:01:39,00:01:43,can't work out a scenario in which they would go extinct
00:01:43,00:01:46,"prior to the actual explosion of the sun, basically."
00:01:46,00:01:47,Like the end--
00:01:47,00:01:49,- Well the explosion of the sun might not kill them either.
00:01:49,00:01:50,- What?
00:01:50,00:01:52,"- So basically they can survive in space,"
00:01:52,00:01:54,"they can survive really, really hot temperatures,"
00:01:54,00:01:56,"really, really cold temperatures,"
00:01:56,00:01:58,they can survive loads of radiation.
00:01:58,00:01:58,"If they get in trouble,"
00:01:58,00:02:00,they just kind of shut their bodies down
00:02:00,00:02:02,and then kind of get rid of all the water
00:02:02,00:02:03,and you put a bit of water back on them
00:02:03,00:02:05,and they come back alive again.
00:02:05,00:02:08,And what has happened is some of these tardigrades
00:02:08,00:02:11,have been sent up into space onto the moon
00:02:11,00:02:13,and they've crashed into the moon.
00:02:13,00:02:16,And people are wondering maybe they're alive
00:02:16,00:02:18,and maybe they're actually living there on the moon.
00:02:18,00:02:19,"And so these people,"
00:02:19,00:02:22,this was a woman called Alejandra Tresbas
00:02:22,00:02:24,from Queen Mary University in London.
00:02:24,00:02:27,She did this experiment to see if they might still be alive.
00:02:27,00:02:29,"And so what she did is she put them in a gun,"
00:02:29,00:02:32,"shot them at a wall and saw how they were, basically."
00:02:32,00:02:33,- Wow.
00:02:33,00:02:36,- And they could survive impacts of up to a kilometer
00:02:36,00:02:38,"per second, that's 2,000 miles an hour,"
00:02:38,00:02:39,they could survive.
00:02:39,00:02:43,"And shot pressures of up to 1.14 gigapascals,"
00:02:43,00:02:45,"which I know out of context doesn't really mean anything,"
00:02:45,00:02:48,"but it's a lot, I promise you it's a lot."
00:02:48,00:02:49,"- So there's life in the universe now,"
00:02:49,00:02:51,"outside of Earth, in theory."
00:02:51,00:02:52,"We haven't yet confirmed it, but we know."
00:02:52,00:02:53,- Awesome.
00:02:53,00:02:54,- If can I just check?
00:02:54,00:02:56,Can I just ask how the groggyness exhibited itself?
00:02:56,00:02:58,I think we need to address this.
00:02:58,00:02:58,"- Oh yeah, yeah."
00:02:58,00:02:59,"- Okay, yeah."
00:02:59,00:03:03,So tardigrades are the smallest animal that have legs.
00:03:03,00:03:05,They have these little legs that they crawl around with
00:03:05,00:03:08,and they kind of have like a very specific gait
00:03:08,00:03:10,"and as they go quicker, they change the gait."
00:03:10,00:03:13,"But these ones, they kind of sort of staggered around"
00:03:13,00:03:15,a little bit when they kind of pull them back.
00:03:15,00:03:16,"But the problem with what you were saying, Dan,"
00:03:16,00:03:20,is the shot pressure that they've worked out
00:03:20,00:03:21,that there would have been on the moon
00:03:21,00:03:24,would have been greater than this 1.14 gigapascals.
00:03:24,00:03:25,So we think that the ones on the moon
00:03:25,00:03:27,probably are not alive.
00:03:27,00:03:29,"- Very disappointingly, yeah."
00:03:29,00:03:32,"So when scientists say we can't work out how to kill them,"
00:03:32,00:03:36,shoot them as the bullet of the gun.
00:03:36,00:03:37,"- We can work out how to,"
00:03:37,00:03:38,there are lots of ways you can kill them.
00:03:38,00:03:39,"- Yeah, you can just stamp on them."
00:03:39,00:03:40,- Can you?
00:03:40,00:03:42,"- Yeah, they're actually really easy to kill."
00:03:42,00:03:45,"Okay, I'm here to give you the disappointing truth"
00:03:45,00:03:47,about tardigrades because they've ruled the internet
00:03:47,00:03:48,is too long.
00:03:48,00:03:50,"A, there are plenty of ways to kill them."
00:03:50,00:03:54,"B, the whole, they can withstand massive temperatures."
00:03:54,00:03:55,They actually just did an experiment
00:03:55,00:03:58,where they realized they can't withstand temperatures
00:03:58,00:03:59,for very long at all.
00:03:59,00:04:01,And scientists now reckon that climate change
00:04:01,00:04:02,is gonna kill them before it kills us.
00:04:02,00:04:03,- No.
00:04:03,00:04:07,"- So the thing is, they can survive being boiled,"
00:04:07,00:04:09,but only if it happens quite quickly.
00:04:09,00:04:12,"And then they get back to a nice, normal temperature again."
00:04:12,00:04:14,But they didn't experiment recently where--
00:04:14,00:04:16,- It feels harsh that you're criticizing them
00:04:16,00:04:19,for not being able to withstand indefinite boiling.
00:04:19,00:04:21,I think it's impressive.
00:04:21,00:04:23,If I boiled an egg and then a few minutes later
00:04:23,00:04:24,it came out of the pan
00:04:24,00:04:26,"and it was still in its egg, raw egg state,"
00:04:26,00:04:26,I'd be impressed.
00:04:26,00:04:28,- I turned it to a chicken.
00:04:28,00:04:29,- Exactly.
00:04:29,00:04:30,- I'm not demanding indefinite.
00:04:30,00:04:33,I just think a couple of hours would be good.
00:04:33,00:04:35,"And they can't even survive, for instance,"
00:04:35,00:04:39,"like above 37 degrees for 24 hours,"
00:04:39,00:04:40,"half of tardigrades die,"
00:04:40,00:04:42,straight like within that amount of time.
00:04:42,00:04:45,"So, you know, any longer than that and then they all die."
00:04:45,00:04:47,"If you put them at 63 degrees,"
00:04:47,00:04:49,half of them are gone within like much shorter than that.
00:04:49,00:04:51,"And I think if you're in the 80s,"
00:04:51,00:04:52,then they don't last an hour.
00:04:52,00:04:53,- Yeah.
00:04:53,00:04:54,"Oh, I see, sorry."
00:04:54,00:04:56,"- Not the 1980s. - The 1980s, yeah."
00:04:56,00:04:57,- Amazing they made it through that decade.
00:04:57,00:04:59,It was a horrible decade for them.
00:04:59,00:05:00,"- Oh, the music."
00:05:00,00:05:02,- They are crushed by a Rubik's cube.
00:05:02,00:05:05,I don't think they are shit.
00:05:05,00:05:06,- What?
00:05:06,00:05:07,"- Well, I'm gonna stand up for tardigrades."
00:05:07,00:05:09,"- They do this thing, tardigrades do this thing."
00:05:09,00:05:12,It's seeding the world on its own.
00:05:12,00:05:14,So it can get picked up by the wind.
00:05:14,00:05:17,"It can get carried in the wind, land wherever,"
00:05:17,00:05:19,"and then wherever it lands,"
00:05:19,00:05:20,it can just reproduce asexually.
00:05:20,00:05:21,It doesn't need a partner.
00:05:21,00:05:24,"You could send it to the moon, just one,"
00:05:24,00:05:26,"and it'll be like, that's cool, I'll set up a colony."
00:05:26,00:05:29,Like it's a phenomenal little creature.
00:05:29,00:05:30,"- And the confusing thing about that,"
00:05:30,00:05:32,'cause there are obviously lots of organisms
00:05:32,00:05:33,"that can reproduce asexually,"
00:05:33,00:05:35,but it's quite confusing that they've managed
00:05:35,00:05:37,"to evolve successfully, right?"
00:05:37,00:05:38,"Because asexual reproduction,"
00:05:38,00:05:40,it's supposed to be a bit of a disadvantage
00:05:40,00:05:41,'cause you're only getting your own genes
00:05:41,00:05:42,over and over again.
00:05:42,00:05:43,You can't improve.
00:05:43,00:05:45,- And so how have they managed to do this?
00:05:45,00:05:47,- They have sex too.
00:05:47,00:05:50,They do also have sex under normal circumstances
00:05:50,00:05:52,if they can find another of the opposite sex.
00:05:52,00:05:55,And it's a very romantic process actually.
00:05:55,00:05:58,Tardigrade mating is very fascinating.
00:05:58,00:06:00,So here we go.
00:06:00,00:06:01,Step one.
00:06:01,00:06:06,- You've already killed any set of robots.
00:06:06,00:06:09,- Why don't you do it in like a Craig David style?
00:06:09,00:06:11,What would you do on a Monday?
00:06:11,00:06:14,"- On a Monday, the female would shed her outer skin"
00:06:14,00:06:16,and lay her eggs inside it.
00:06:16,00:06:17,- Keep talking to me.
00:06:17,00:06:18,Yes.
00:06:18,00:06:19,"- Okay, on a Tuesday?"
00:06:19,00:06:21,"- A Tuesday, the male would then arrive"
