start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:15,- Hello and welcome to another episode
00:00:15,00:00:18,"of No Such Thing as a Fish, a weekly podcast"
00:00:18,00:00:22,this week coming to you live from Manchester!
00:00:22,00:00:25,(crowd cheering)
00:00:25,00:00:27,(crowd cheering)
00:00:27,00:00:39,"My name is Dan Schreiber, I am sitting here"
00:00:39,00:00:42,"with Anna Tyshinski, Andrew Hunter Murray,"
00:00:42,00:00:44,"and James Harkin, and once again,"
00:00:44,00:00:46,we have gathered around the microphones
00:00:46,00:00:49,"with our four favorite facts from the last seven days,"
00:00:49,00:00:53,"and in no particular order, here we go."
00:00:53,00:00:56,"Starting with fact number one, and that is James."
00:00:56,00:00:59,"- Okay, my fact this week is that theories"
00:00:59,00:01:02,"for the origin of life on earth include,"
00:01:02,00:01:06,"primordial soup, primordial sandwich,"
00:01:06,00:01:09,"primordial soup and sandwich,"
00:01:09,00:01:14,"primordial pizza, and primordial mayonnaise."
00:01:14,00:01:16,(crowd cheering)
00:01:16,00:01:19,"- Is there a primordial salad option, please?"
00:01:19,00:01:21,(crowd laughing)
00:01:21,00:01:24,"- For a primordial vegan, yeah."
00:01:24,00:01:27,"Now, so this is, I was reading about the origin of life,"
00:01:27,00:01:30,"and I think a few people might know about primordial soup,"
00:01:30,00:01:33,that is the idea where you might get a puddle or something
00:01:33,00:01:35,"and there's loads of molecules in there,"
00:01:35,00:01:37,"and somehow they self-arrange,"
00:01:37,00:01:39,and then those self-arranged molecules
00:01:39,00:01:42,manage to replicate and they make life.
00:01:42,00:01:44,"Now, there's a lot of problems with primordial soup,"
00:01:44,00:01:46,"so people have come up with other theories,"
00:01:46,00:01:48,so how do these molecules get in the right place?
00:01:48,00:01:51,"Primordial sandwiches, you've got two rocks,"
00:01:51,00:01:54,and they kind of squish the molecules together.
00:01:54,00:01:56,"Primordial soup and sandwich,"
00:01:56,00:01:58,"you've got the soup and you've got the rocks,"
00:01:58,00:02:00,and that's all kind of all together.
00:02:00,00:02:02,"Primordial pizza, you just have a rock"
00:02:02,00:02:03,and the molecules are on top.
00:02:03,00:02:06,"- Okay, nice."
00:02:06,00:02:10,- Primordial mayonnaise is like a load of fat bubbles
00:02:10,00:02:13,and they're kind of the molecules grow in the fat bubbles.
00:02:13,00:02:14,- Right.
00:02:14,00:02:16,"- And for all light, no, none of them is true."
00:02:16,00:02:20,"- Yeah, because we all know God made us, so thank you."
00:02:20,00:02:22,- You're welcome.
00:02:22,00:02:25,- Is this one person just kind of just tossing all this shit out?
00:02:25,00:02:26,"- Yes, it's me."
00:02:26,00:02:31,"Lots of scientists have talked about all these different things,"
00:02:31,00:02:32,but I'm the one who's kind of put them together
00:02:32,00:02:34,in a jovial little sentence.
00:02:34,00:02:36,"- A menu, a nice menu."
00:02:36,00:02:38,- Have they called them those things?
00:02:38,00:02:40,"- Yeah, yeah, yeah, they're real names."
00:02:40,00:02:41,"- Right, okay."
00:02:41,00:02:41,"- Yeah, yeah, they're real names."
00:02:41,00:02:43,- I didn't think you had the imagination
00:02:43,00:02:44,to come up with primordial pizza.
00:02:44,00:02:46,- Okay.
00:02:46,00:02:48,"- Is there one that's most likely, you know,"
00:02:48,00:02:49,what are we getting?
00:02:49,00:02:51,"- I think at the moment, yeah,"
00:02:51,00:02:54,"kind of the soup and sandwich is quite liked by people,"
00:02:54,00:02:55,and--
00:02:55,00:02:56,"- So it's not soup and sandwich per se,"
00:02:56,00:02:57,it's a soup sandwich.
00:02:57,00:02:59,"- It is a bit, isn't it?"
00:02:59,00:03:01,- That doesn't sound quite as appetizing as soup sandwich.
00:03:01,00:03:02,"- No, very sorry."
00:03:02,00:03:06,- So it sounds like it's a sandwich floating on some soup.
00:03:06,00:03:08,"- Primordial crouton, if you will."
00:03:08,00:03:10,"- Yes, very nice."
00:03:10,00:03:12,- I thought it was a soup in between two bits of bread.
00:03:12,00:03:14,"- That's what it is, unfortunately."
00:03:14,00:03:15,"- Oh, what? - A soup sandwich."
00:03:15,00:03:19,"- Oh, that is, that's fucking out there for a theory."
00:03:19,00:03:20,"- So the idea of primordial soup,"
00:03:20,00:03:22,"which was the first one of these theories,"
00:03:22,00:03:24,"it was thought of, first of all,"
00:03:24,00:03:25,"by two people actually independently,"
00:03:25,00:03:28,"a British guy called JBS Haldane,"
00:03:28,00:03:31,and the Russian scientist called Alexander Operin.
00:03:31,00:03:32,"And the interesting thing about him,"
00:03:32,00:03:34,"he came up with primordial soup,"
00:03:34,00:03:37,"but then later in life, he edited a book"
00:03:37,00:03:41,that contains at least 113 different recipes
00:03:41,00:03:42,for actual soup.
00:03:42,00:03:44,(laughing)
00:03:44,00:03:46,"- It makes you suspicious about the primordial soup theory,"
00:03:46,00:03:48,'cause it sounds like he's just really into soup.
00:03:48,00:03:52,"- Yeah, he's just pushing his next career."
00:03:52,00:03:54,It's such a weird switcheroo
00:03:54,00:03:56,to go from proper organic chemistry stuff
00:03:56,00:03:58,to editing a cookbook.
