start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,Hey everyone welcome to this week's episode of Fish. Before we begin we just want to let you know
00:00:04,00:00:10,that we have a very special guest on this week. So we were doing a live show in Brighton and Anna
00:00:10,00:00:15,Tyshinski could not make it to the show unfortunately and so we had to find someone to fill those very
00:00:15,00:00:22,big shoes and we did. In fact we went to the top we brought in the big gun Debra Francis White of
00:00:22,00:00:28,the Guilty Feminist. She is such a fun person she's a really good pal of ours we had so much fun on
00:00:28,00:00:33,stage with her and you must check out if you haven't already the Guilty Feminist podcast.
00:00:33,00:00:39,It's a really important really great show comedy show but always full of interesting and important
00:00:39,00:00:46,issues and you can find all the information about it on Guilty Feminist.com. Debra tours like we do
00:00:46,00:00:50,all the time so do go check out her live show. In fact this one recorded in Brighton she'll be
00:00:50,00:00:56,back in Brighton on March the 5th she's going to be playing at the Pavilion and it is going to be a
00:00:56,00:01:03,show that is tied in with International Women's Day so 5th of March do get your tickets for that.
00:01:03,00:01:08,It will be an awesome show it always is with Debra and we hope you enjoy her on this show.
00:01:08,00:01:18,Okay let's do it on with the pod.
00:01:22,00:01:30,Hello and welcome to another episode of No Such Thing as a Fish a weekly podcast
00:01:30,00:01:33,this week coming to you live from Brighton.
00:01:33,00:01:45,My name is Dan Shriver I am sitting here with Andrew Hunter Murray James Harkin and special
00:01:45,00:01:49,guest Debra Francis White and once again we have gathered around the microphones with our
00:01:49,00:01:55,four favorite facts from the last seven days and in no particular order here we go starting with
00:01:55,00:02:03,fact number one and that is Debra. So my fact is that actress Tallulah Bankhead had a parrot
00:02:03,00:02:11,which she taught to say birds can't talk. She also taught her to say who'd want to talk to you.
00:02:11,00:02:18,Nice. And who are you so sometimes someone will come in and say who are you and the person
00:02:18,00:02:25,would answer and go birds can't talk which was a sort of gaslighting parrot really in a very
00:02:25,00:02:31,real way. It was actually I think a minor bird which I'm assured is a sort of a parrot
00:02:31,00:02:39,that might not be accurate but if it isn't email these guys. She had a lot of pets actually she
00:02:39,00:02:45,had a lion cub called Winston Churchill. She bought that when she was in Nevada and she only
00:02:45,00:02:49,went to Nevada so she could get a quick divorce and it used to take curtain calls with her on the
00:02:49,00:02:57,stage. She had a dog called Hitchcock given to her by Hitchcock all her life she had an incredible
00:02:57,00:03:02,series of animals but she was one of the great eccentrics. She was completely amazing and she
00:03:02,00:03:09,most famous as an actor but only really took off she was from America she came to the UK
00:03:10,00:03:15,in 1923 and she spent eight years here doing plays and becoming a real complete sensation
00:03:15,00:03:20,and there was a group of fans called the gallery girls who were a group of teenage cockney girls
00:03:20,00:03:24,who would arrive and just wait in the gallery and whenever she came on stage they would just
00:03:24,00:03:28,scream and cheer and it was incredibly annoying obviously for anyone else who actually wanted
00:03:28,00:03:34,to see the show and you know they would applaud for about as long as she was on stage herself as in
00:03:34,00:03:40,"that long again you know. Yeah they used to sing Tallulah hallelujah, Tallulah hallelujah on and on"
00:03:40,00:03:44,and on and some of the other actors she'd vamp and some of the other actors they'd be like we're
00:03:44,00:03:50,never going to get out of here because she would let it go on but the gallery girls were working as
00:03:50,00:03:55,you say working class women many lesbians and they knew that she was Tallulah was what she called
00:03:55,00:04:05,ambi-sextrous and she famously said my father warned me about men and booze but never said a word
00:04:05,00:04:12,about women and cocaine. She was also said to have slept with 70 percent of the aristocracy
00:04:12,00:04:19,but her her I mean that was what she claimed. I love that idea like the battered old copy of
00:04:19,00:04:26,the brettes like just crossing off the El of Westminster and in fact the Duchess of Kilmore.
00:04:26,00:04:40,Well she did catch quite a lot of things actually. She did generally yeah. She was amazing. She was so famous
00:04:40,00:04:44,in London when she lived there that according to Lord Beaverbrook there were only two people in the
00:04:44,00:04:50,whole of the UK who could be identified by just the first name from an average costamunga and that
00:04:50,00:05:01,was Tallulah and Steve. Steve? Steve? Everyone knows Steve. Let's try and guess it. 1920s Steve?
00:05:01,00:05:07,Steve? I mean good luck because I can see the answer. Okay. Is this person still famous? Oh
00:05:07,00:05:16,no. It was Steve Donahue the great English jockey. Oh that's amazing. And she loved a bit at the
00:05:16,00:05:20,races as well. Oh she did? Yes. You'd see her photograph with the Prince of Wales at the races
00:05:20,00:05:26,and she was friends with the Arga Khan but she would often come to the door without any clothes on
00:05:26,00:05:30,just with a strand of pearls around her neck even the stage door she'd come without any clothes on
00:05:30,00:05:36,and she once said to an aristocrat at a stuffy party who was there with his wife
00:05:36,00:05:41,who she had slept with many times he looked away from her and she said what's the matter darling
00:05:41,00:05:48,don't you recognize me with my clothes on? She was wonderful with those kind of quips and also
00:05:48,00:05:54,the nudity thing like she used to do that not just in sort of her personal life but on sets of movies
00:05:54,00:06:00,she'd just get naked and start cartwheeling everywhere. Loved a nude cartwheel. Yeah. Pantsless
00:06:00,00:06:04,cartwheels with her speciality. So you think it was a normal cartwheel and then she'd get to the top
00:06:04,00:06:09,of the car. We didn't know it was a very special car wheel actually. Yeah so that might be the other
00:06:09,00:06:13,thing she might have her clothes on but she wouldn't have any underpants on and there was a thing with
00:06:13,00:06:18,a movie she was on it was an Alfred Hitchcock movie where they did get complaints and they told
00:06:18,00:06:24,Hitchcock we've got to sort this out and Hitchcock reportedly said back that he didn't know if it was
00:06:24,00:06:33,a matter for wardrobe or hairdressing. She inspired amazing quits from everywhere. That's the thing.
00:06:33,00:06:38,Do you want to hear another Tallulah line? Yeah this is where she saw former lover of hers and she
00:06:38,00:06:43,saw him for the first time in years and she said to him I thought I told you to wait in the car.
00:06:43,00:06:51,She also she used to say I hate to go to bed I hate to get up and I hate to be alone
00:06:52,00:07:00,and so she employed in her later years middle aged and a bit later probably until she died
00:07:00,00:07:06,young gay men she called Cadiz to sit with her while she fell asleep and I mean she was such a
00:07:06,00:07:13,gay icon you can imagine because she was they were happy to do it but she paid them to sit with her
00:07:13,00:07:18,"and they would hold her hand but they did other things for her as well. They'd light her cigarettes,"
00:07:18,00:07:23,draw her baths you know just generally make her life more convenient. She never liked being alone
00:07:23,00:07:26,even if she was asleep so if she wasn't sleeping with anyone that night on the rare night she
00:07:26,00:07:31,wasn't sleeping with anyone she would hire a caddy which I might do in my older years.
00:07:31,00:07:35,What did they did they speak to her or any for no was it just holding the hand?
00:07:35,00:07:38,They were just there so she felt comfortable going to sleep she didn't like being alone
00:07:38,00:07:44,and so she was sweet but it has pathos. Absolutely yeah she was a she was a rather
00:07:44,00:07:51,tragic figure. Her last ever words were bourbon codeine which told you about her life but in her
00:07:51,00:07:57,book in her autobiography she denies being a cocaine addict and she absolutely was. Yeah in the
00:07:57,00:08:02,book she says that what happened was and I agree that this is not true but this is what she says
00:08:02,00:08:06,she said one time she got really really really drunk and she decided she was going to give up
00:08:06,00:08:11,drink for a few days and she said okay well what I'm going to do is if anyone says do you want
00:08:11,00:08:15,to drink I'm going to say oh no thank you I don't drink have you got any cocaine right and that
00:08:15,00:08:21,would get people to stop her getting drunk. The problem is the one day someone called her bluff
00:08:21,00:08:24,according to her and that's why she had some cocaine and then the next day someone else did
00:08:24,00:08:29,and the next day someone else did. Tower happens going at the slippery slippery slope.
00:08:29,00:08:35,Well she had the sick because it was alcohol it was cocaine it was sex a lot of sex and she had
00:08:35,00:08:40,this moment where she had to go to hospital to have an emergency hysterectomy brought on by
00:08:40,00:08:46,gonorrhea I believe and so she got really ill she was rendered infertile she was in hospital her
00:08:46,00:08:51,weight had gone down to 75 pounds and they were trying to say you know subtly that you got to
00:08:51,00:08:55,change your life and the the thing that she used to say to the doctors as they were sort of leaving
00:08:55,00:09:02,the room as she would yell at them going don't think this has taught me a lesson. She was just pure badass.
00:09:02,00:09:07,There's no other way of putting it. Yeah she's a force of nature energy levels. One of her friends
00:09:07,00:09:12,followed her around for a day with a stopwatch timing her speech and estimated that she spoke
00:09:12,00:09:19,70 000 words a day which is a lot that's a short novel. Wow. You just gave me a like
00:09:19,00:09:26,lightweight. Yeah I could do that my lunch time. That's quite a weird thing to do with someone
00:09:26,00:09:30,estimate their word count. I think there are a lot of sort of crazy people in the 20s just going
00:09:30,00:09:35,around being fabulous around Tallulah she's like this is my caddy this is my word counter how many
00:09:35,00:09:42,have you done so far was that like the original pedometer. She had an amazing voice didn't she
00:09:42,00:09:47,that's what she's quite famous for she had a very deep husky voice. She said in the autobiography
