start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:18,"- Hello, and welcome to another episode"
00:00:18,00:00:22,"of No Such Thing as a Fish, a weekly podcast,"
00:00:22,00:00:25,this week coming to you live from Baaaaaah!
00:00:25,00:00:28,(audience cheering)
00:00:29,00:00:32,"- My name is Dan Shriver, I am sitting here"
00:00:32,00:00:36,"with Anna Tyshensky, Andrew Huntsomuri, and James Harkin."
00:00:36,00:00:38,"And once again, we have gathered 'round the microphones"
00:00:38,00:00:42,"with our four favorite facts from the last seven days,"
00:00:42,00:00:45,"and in no particular order, here we go."
00:00:45,00:00:48,"Starting with fact number one, that is Anna."
00:00:48,00:00:52,- My fact this week is that the reason you can no longer
00:00:52,00:00:55,bathe in the Roman bars at bars is because
00:00:55,00:00:59,they contain brain eating amoeba.
00:00:59,00:01:02,(audience laughing)
00:01:02,00:01:02,- Wow.
00:01:02,00:01:04,"- So that, like, I was, I don't know,"
00:01:04,00:01:07,"doing like a D-rate horror film or something,"
00:01:07,00:01:10,"but yeah, it's true, there are amoeba in the bars"
00:01:10,00:01:11,that will eat your brain.
00:01:11,00:01:13,"- I must say, Anna, since you told us this fact,"
00:01:13,00:01:15,"and we got to our travel lodge, your premier in,"
00:01:15,00:01:17,"or whatever it was today, I was thinking,"
00:01:17,00:01:18,can I drink the water in bath?
00:01:18,00:01:19,- I know!
00:01:19,00:01:20,"- Oh, yeah!"
00:01:20,00:01:21,- How do we need to address it?
00:01:21,00:01:22,"- I have a question about this,"
00:01:22,00:01:23,"which is, Anna, I'd like to know,"
00:01:23,00:01:24,how do we need to address it?
00:01:24,00:01:25,"- I have a question about this,"
00:01:25,00:01:29,"which is that I have drunk the waters of Bath,"
00:01:29,00:01:31,and I don't know exactly which ones I drunk.
00:01:31,00:01:32,I imagine that--
00:01:32,00:01:34,- Just some random bath water.
00:01:34,00:01:35,(audience laughing)
00:01:35,00:01:37,"Actually, that's the problem with this fact,"
00:01:37,00:01:39,"when you try and research it,"
00:01:39,00:01:40,if you Google bath water--
00:01:40,00:01:41,- Yes.
00:01:41,00:01:43,"- All you get is someone called Belle Delphine,"
00:01:43,00:01:45,(audience laughing)
00:01:45,00:01:47,who is apparently an adult influencer
00:01:47,00:01:50,who was selling her bath water for $30 a bottle.
00:01:50,00:01:52,"- Oh, wow."
00:01:52,00:01:54,"- Okay, well, you shouldn't be bathing"
