start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:17,- Hello and welcome to another episode
00:00:17,00:00:21,"and no such thing as a fish, a weekly podcast,"
00:00:21,00:00:25,this week coming to you live from Dublin.
00:00:25,00:00:28,(audience cheering)
00:00:29,00:00:31,My name is Dan Shriver.
00:00:31,00:00:34,"I am sitting here with Anna Tyshinski,"
00:00:34,00:00:37,"Andrew Hunter Murray, and James Harkin."
00:00:37,00:00:40,"And once again, we have gathered round the microphones"
00:00:40,00:00:43,with our four favorite facts from the last seven days.
00:00:43,00:00:47,"And in no particular order, here we go."
00:00:47,00:00:52,"Starting with fact number one, and that is my fact."
00:00:52,00:00:55,My fact this week is that there is a town in Russia
00:00:55,00:01:00,that hosts an annual festival to celebrate mosquitoes.
00:01:00,00:01:04,The main event is the most delicious competition
00:01:04,00:01:06,in which girls compete to see how many times
00:01:06,00:01:07,they can get bitten by a mosquito
00:01:07,00:01:10,after standing around for 20 minutes.
00:01:10,00:01:12,(audience laughing)
00:01:12,00:01:14,Now I should say it's not one mosquito
00:01:14,00:01:15,that's doing the biting.
00:01:15,00:01:18,"- In actual fact, sometimes it's no mosquitoes."
00:01:18,00:01:23,"So in 2014, this was the second version of this festival."
00:01:23,00:01:24,"They did it next to the city pond,"
00:01:24,00:01:27,but it was so cold that all the mosquitoes had died.
00:01:27,00:01:29,(audience laughing)
00:01:29,00:01:32,And so it was a no scar draw in the end.
00:01:32,00:01:33,Everyone got no bites.
00:01:33,00:01:34,"- Oh, well there you go."
00:01:34,00:01:37,- Can you lure mosquitoes to you?
00:01:37,00:01:39,"- No, there are kind of strict rules about this."
00:01:39,00:01:43,"So this is in Berezniki, which is in the Ural Mountains."
00:01:43,00:01:44,This is in Russia.
00:01:44,00:01:47,And you would send out these girls with their parents
00:01:47,00:01:51,"into a forest, and they would go picking berries."
00:01:51,00:01:53,- It's just sort of a Grimm's fairy tale.
00:01:53,00:01:55,(audience laughing)
00:01:55,00:01:57,"- I think, so the idea is that they just pick berries,"
00:01:57,00:02:00,"and it's very kind of, yes, dark, but."
00:02:00,00:02:02,"- Wait, do the girls know they're in this competition?"
00:02:02,00:02:03,"- Yes, they do."
00:02:03,00:02:05,"- I assume they must do, yeah."
00:02:05,00:02:07,"And so they spend 20 minutes or so in there,"
00:02:07,00:02:08,"and then they come back out,"
00:02:08,00:02:10,"and then they all have to stand on a stage,"
00:02:10,00:02:12,"and a panel of judges, including a doctor,"
00:02:12,00:02:15,"comes in in specs, where all the bite locations are,"
00:02:15,00:02:18,and the one with the most bites wins.
00:02:18,00:02:21,And so the reason I think that this got a bit big
00:02:21,00:02:24,"was because there was a report in 2013, I believe,"
00:02:24,00:02:27,it was where they announced Irina was the winner that year.
00:02:27,00:02:29,She had 43 bites.
00:02:29,00:02:32,"And, you know, remember 2013 was the year of Zika?"
00:02:32,00:02:34,"You know, they were sort of saying,"
00:02:34,00:02:36,"""Oh, this is a bit bold, isn't it?"""
00:02:36,00:02:38,"Having, sending a child."
00:02:38,00:02:40,"But obviously they don't have Zika there, or at least."
00:02:40,00:02:42,- But well done to the person who just booed Zika.
00:02:42,00:02:45,I think we all can agree with that sentiment.
00:02:45,00:02:48,"- Your liberal credentials are impeccable, yeah."
00:02:48,00:02:49,"- That was actually in 2016,"
00:02:49,00:02:52,the one where Irina Ilyukhina won.
00:02:52,00:02:53,"- Oh, sorry, yes."
00:02:53,00:02:54,- She got 43 bites.
00:02:54,00:02:59,"The next year in 2017, the winner got more than 150 bites."
00:02:59,00:03:00,- Wow.
00:03:00,00:03:01,- She was nine years old.
00:03:01,00:03:03,- What?
00:03:03,00:03:06,Her social service has been informed about this.
00:03:06,00:03:09,"- Well, according to the local newspaper in Russia,"
00:03:09,00:03:11,they said that the nine-year-old winner
00:03:11,00:03:13,"did not even move her eyes,"
00:03:13,00:03:15,"'cause she wanted to not just have the most bites,"
00:03:15,00:03:17,but also be the most patient.
00:03:17,00:03:18,"- Oh, isn't that cute?"
00:03:18,00:03:19,- Are you all right?
00:03:19,00:03:21,"- No, there's no prize for that, is there?"
00:03:21,00:03:22,Jesus.
00:03:22,00:03:24,And what's with the berry picking?
00:03:24,00:03:25,It seems like it's just an excuse
00:03:25,00:03:28,to get small children to harvest berries for free.
00:03:28,00:03:30,And then you lure them in with the temptation of getting--
00:03:30,00:03:32,- With the promise of repeatedly being bitten.
00:03:32,00:03:33,- Exactly.
00:03:33,00:03:37,- But it's a three-day festival.
00:03:37,00:03:38,They all know why they're there.
00:03:38,00:03:40,There's lots of different things.
00:03:40,00:03:41,"- What, there are more events?"
00:03:41,00:03:42,"- There's more events, yeah."
00:03:42,00:03:44,You've got other events
00:03:44,00:03:48,that include most horrible mosquito squeak contest.
00:03:48,00:03:51,"I actually don't know how a mosquito squeaks,"
00:03:51,00:03:51,I've just realized.
00:03:51,00:03:52,"- Very, very high-pitched."
00:03:52,00:03:54,So you almost can't hear it.
00:03:54,00:03:54,You have heard it.
00:03:54,00:03:55,They go...
00:03:55,00:03:58,"- Dude, I always thought that was the wings."
00:03:58,00:04:00,"That's them, them, just going..."
00:04:00,00:04:01,"- Oh, that is the wings."
00:04:01,00:04:03,"- Oh, it is the wings, okay."
00:04:03,00:04:04,- They squeak with their wings.
00:04:04,00:04:06,- I'm not just going around going...
00:04:06,00:04:07,That's what I thought.
00:04:07,00:04:13,- And they have a few more things they have.
00:04:13,00:04:15,They have Mosquito Legs competition
00:04:15,00:04:17,to see who has the legs most like a mosquito.
00:04:17,00:04:18,- Okay.
00:04:18,00:04:21,- I don't think that means having six of them.
00:04:21,00:04:22,- Spindly.
00:04:22,00:04:23,"- Spindly, yeah."
00:04:23,00:04:24,It's like knobbly knees.
00:04:24,00:04:27,They have a comedy song competition
00:04:27,00:04:30,where you have to make a comedy song about mosquitoes.
00:04:30,00:04:32,"And they have a thing called Games of Winners,"
00:04:32,00:04:34,which are sports competitions for children
00:04:34,00:04:36,who've overcome serious illnesses.
00:04:36,00:04:36,- Right.
00:04:36,00:04:39,- Very serious and noble last one
00:04:39,00:04:42,on top of two ridiculous contests.
00:04:42,00:04:45,"I should have finished with the funny ones, shouldn't I?"
00:04:45,00:04:47,- Apparently Mosquito Legs is just a thing.
00:04:47,00:04:49,So they have other competitions like this around the world.
00:04:49,00:04:53,"In Texas, they have a similar Mosquito Festival in Clute."
00:04:53,00:04:55,"And they have a Mosquito Legs competition as well,"
00:04:55,00:04:57,separate for children and adults.
00:04:57,00:05:00,And the organizers are called the SWAT team.
00:05:00,00:05:01,- Very good.
00:05:01,00:05:02,"- Well, yeah."
00:05:02,00:05:04,"Other weird festivals, you know."
00:05:04,00:05:05,"There's a vaguely similar festival,"
00:05:05,00:05:09,the Bee Wearing Festival in the Hunan Province in China.
00:05:09,00:05:11,"A festival where you wear bees,"
00:05:11,00:05:12,"which is, I would say--"
00:05:12,00:05:14,- What do you mean by wearing bees?
00:05:14,00:05:16,"- Unlike having a bee beard, we talked about that one."
00:05:16,00:05:17,- Exactly.
00:05:17,00:05:19,And you do it by hanging the queen bee
00:05:19,00:05:20,"next to your face, basically."
00:05:20,00:05:21,"- Oh, that's what it is. - Another little bee cage."
00:05:21,00:05:23,"Yeah, and so they have a festival"
00:05:23,00:05:24,to see who can wear the most bees.
00:05:24,00:05:25,It's pretty impressive.
00:05:25,00:05:28,And the winner was Wang Dalin of the most recent one.
00:05:28,00:05:31,He got 27 kilos of bees to sit on his body.
00:05:31,00:05:33,- What was the seven kilos of bees?
00:05:33,00:05:34,"- Sorry, sorry, can I just stop you as well?"
00:05:34,00:05:36,"Wang Dalink, did you say that?"
00:05:36,00:05:37,- Yeah.
00:05:37,00:05:39,"- Dalink, it doesn't feel like a very--"
00:05:39,00:05:39,- Darlink.
00:05:39,00:05:40,- It's not Wang Dalink.
00:05:40,00:05:42,"It's not related to the Darlink family of Peter Pan,"
00:05:42,00:05:43,I don't think.
00:05:43,00:05:45,- Darlink.
00:05:45,00:05:46,- Darlink.
00:05:46,00:05:48,"- I got it, sorry. - Sorry, Darlink."
00:05:48,00:05:50,"Anyway, he got 27 kilos of bees to sit on him."
00:05:50,00:05:52,"- Sorry, I just love that there's people in China going,"
00:05:52,00:05:53,"""All right, Darlink."""
00:05:53,00:05:55,(laughing)
00:05:55,00:05:57,"- All right, Darlink, how are you doing?"
00:05:57,00:05:59,"Anyway, you're only allowed to wear shorts"
00:05:59,00:06:01,"and the rest of your naked, except for some goggles"
00:06:01,00:06:03,and plugs up the nose.
00:06:03,00:06:05,So that's permitted.
00:06:05,00:06:08,"- So are they not worried about any of the other orifices,"
00:06:08,00:06:10,"like ears, I'm thinking, like an ice?"
00:06:10,00:06:13,- I think we've mentioned before the most painful place
00:06:13,00:06:15,"to get stung is inside your nose, right?"
00:06:15,00:06:17,"So maybe you're only allowed, maybe you're given one plug."
00:06:17,00:06:19,"They say, you know, you put this where you choose."
00:06:19,00:06:20,- Yeah.
00:06:20,00:06:21,(laughing)
00:06:21,00:06:22,"It's a one nostril, I mean."
00:06:22,00:06:24,"- One nostril, save one nostril."
00:06:24,00:06:25,"- Right, wow."
00:06:25,00:06:26,What an interesting concept.
00:06:26,00:06:29,I wonder at what point when you're wearing so many bees
