start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi everybody, just before we start this week's show, we want to let you know we have a very exciting guest on."
00:00:04,00:00:08,"It's none other than the undercover economist himself, Tim Harford."
00:00:08,00:00:12,"Tim Harford is a brilliant writer, thinker."
00:00:12,00:00:14,"He makes books, he makes radio shows."
00:00:14,00:00:15,He makes books. He's a bookmaker.
00:00:15,00:00:16,He's a book binder.
00:00:16,00:00:18,"He makes, he turns trees into paper."
00:00:18,00:00:20,He's bound a million books.
00:00:20,00:00:21,It's so amazing.
00:00:21,00:00:27,"You know, if you've heard of Messi or 50 things that made the modern economy or the undercover economist, all of these books, they're by him."
00:00:27,00:00:31,"They are, and he's got a podcast called Cautionary Tales, which I would massively recommend."
00:00:31,00:00:33,I've just been listening to a bunch of them.
00:00:33,00:00:39,"They are brilliant and true life stories, which teach you things about how humans behave."
00:00:39,00:00:41,I've been listening to one about the mummy's curse.
00:00:41,00:00:44,"There's an excellent one on Hansel and Gretel, which is really amazing."
00:00:44,00:00:48,And they often have a little twist at the end and really well told.
00:00:48,00:00:49,So check out that podcast.
00:00:49,00:00:51,"But first of all, listen to this one."
00:00:51,00:00:52,On with the show.
00:00:52,00:00:53,On with the show.
00:00:53,00:01:19,". Hello and welcome to another episode of No Such Thing as a Fish, the weekly podcast coming to you this week from four top secret underground undisclosed locations."
00:01:19,00:01:28,"My name is Anna Toshinsky, and I am sitting here today with James Harkin, Andrew Hunter Murray and our very special guest, Tim Harford."
00:01:28,00:01:38,"And once again, we've gathered around our microphones with our four favorite facts from the last seven days, and in no particular order, here we go, starting with you, Tim."
00:01:38,00:01:48,"My fact is that in 1939, a young doctor at Boston City Hospital went on a scurvy producing diet to see what would happen."
00:01:48,00:01:58,"In May 1940, his fellow doctors staged an intervention after his skin started to bleed from his follicles and an old post-operative scar reopened."
00:01:58,00:01:59,"Oh, no."
00:01:59,00:02:00,Lovely.
00:02:00,00:02:05,"Why did because the people sort of knew what happened when he got scurvy at that point, right?"
00:02:05,00:02:07,Why? Why was he doing this?
00:02:07,00:02:09,"They did. So he survived, by the way."
00:02:09,00:02:14,So I read the medical paper that he and a colleague wrote after this experiment.
00:02:14,00:02:17,"So the puzzle was, I mean, people had been suffering from scurvy."
00:02:17,00:02:22,And worrying about scurvy for hundreds of years and kind of discovering cures and then forgetting cures.
00:02:22,00:02:23,It's all very fascinating.
00:02:23,00:02:30,"But by the 1930s, they'd figured out that scurvy is caused by not having enough vitamin C."
00:02:30,00:02:35,"But the puzzle was, if you deprive people of vitamin C, it very quickly leaves the body."
