start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,Hello and welcome to this week's episode of No Such Thing As A Fish!
00:00:04,00:00:07,It is Good Friday and what does that mean?
00:00:07,00:00:15,"Well, it means you probably have a day off work and it means we're gonna have a little day off as well because we have got for you this week."
00:00:15,00:00:20,The second half of our live show compilation.
00:00:20,00:00:22,"This is loads of bits from all of our live shows,"
00:00:22,00:00:29,"bits that were too good to go in the original edit, frankly. Too funny, too stupid,"
00:00:29,00:00:35,"too silly, too getting the facts wrong, too much audience interaction."
00:00:35,00:00:40,"We begin with an extremely keen audience and end with, let's say, a less keen audience."
00:00:40,00:00:45,"You've got that to look forward to in between loads and loads of facts, loads and loads of fun."
00:00:45,00:00:50,I really hope you enjoy this and we'll be back with a normal episode of No Such Thing As A Fish next week!
00:00:50,00:00:53,"For now though, on with the podcast!"
00:00:53,00:00:56,*Buzzing*
00:00:56,00:01:15,Hello and welcome to another episode of No Such Thing As A Fish!
00:01:15,00:01:21,A weekly podcast this week coming to you live from Dublin!
00:01:21,00:01:38,*Cheering*
00:01:38,00:01:50,"My name is Dan Schreiber. I am sitting here with Anna Tyshinski, Andrew Hunter Murray and Jane Tarkin."
00:01:50,00:01:59,"And once again, we have gathered around that microphone with our four favourite facts from the last seven days!"
00:01:59,00:02:05,"And in that particular order, here we go!"
00:02:05,00:02:13,Starting with fact number one...
00:02:15,00:02:23,"Okay, calm the fuck down, everyone. It's 7pm."
00:02:23,00:02:26,Starting with fact number one and that is Andy.
00:02:26,00:02:30,My fact is...
00:02:30,00:02:35,You had all that time to prepare!
00:02:35,00:02:39,"One, two, no, it's still gone. Wow, all right, well..."
00:02:39,00:02:43,Time for fact number two and that...
00:02:43,00:02:51,"Remember, my friend, I think I told you guys once, claimed that he was at a festival and he claimed one night after being missing the whole night, came back."
00:02:51,00:02:56,"He said, ""I had an amazing sleep last night. I found a pillow that I used. It was a soft rock."""
00:02:56,00:03:01,"And everyone's like, ""What?"" He was like, ""I swear to God, I slept on a soft rock. It was the softest rock ever."""
00:03:01,00:03:07,"No one believed him and he talked about it for all morning and he eventually said, ""I'm sick of taking crap for this. I'm going to show you the soft rock."""
00:03:07,00:03:12,"So he took everyone to the field that he fell asleep in and he went, ""There, there's the soft rock."""
00:03:12,00:03:23,"And what they discovered was, it was a hardened cow-pat that was shell-like and it just slightly dented to the shape of his head when he laid on it."
00:03:23,00:03:25,"And he was like, ""Oh, it's soft."""
00:03:25,00:03:29,It's like the shroud of Turin of this guy's face.
00:03:29,00:03:37,"I thought it was going to be a convoluted joke where he led you to the field and the eagles were playing as he went to sleep, but no."
00:03:37,00:03:39,That will put you to sleep.
00:03:39,00:03:44,Tell everyone what happened to you the other day when you opened up your door and you were wearing a no-search thing as a fish t-shirt.
