start_hhmmss,end_hhmmss,text
00:00:00,00:00:13,[Music]
00:00:13,00:00:19,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to"
00:00:19,00:00:25,"you from the QI offices in Covent Garden. My name is Dan Schreiber, I am sitting here with James"
00:00:25,00:00:30,"Harkin, Anna Tyshensky and Andrew Hunter Murray and once again we have gathered around the microphones"
00:00:30,00:00:36,with our four favorite facts from the last seven days and in no particular order here we go starting
00:00:36,00:00:43,with fact number one and that is Andy. My fact is that the road network in Cornwall was probably
00:00:43,00:00:49,not created by elephants. Really? Because that's slightly odd to what you said a couple of weeks ago.
00:00:49,00:00:52,"Yeah it is slightly isn't it? It's quite long as well, it's quite long."
00:00:52,00:00:56,Was this like exposed because of what I said that the roads are far too narrow to allow an
00:00:56,00:01:00,"elephant to pass through it? It's not, no. So this is just a little bit of inside baseball"
00:01:00,00:01:05,which is about that fact that I said that the roads in Cornwall were created by elephants
00:01:05,00:01:13,and which turns out to have been published on April 1st and it's not true and I doubt for it
00:01:13,00:01:18,and the slightly complicated factor is that the episode that it went out in went out on April 1st.
00:01:19,00:01:25,Can't we just pretend it was in April 4th on our part? I seriously considered it but I wasn't
00:01:25,00:01:29,allowed to. Is that your actual fact this week? It's not my actual fact should we get to that one?
00:01:29,00:01:36,Yeah okay good because it's one right. Paul let's find out in two weeks. My fact this week is that
00:01:36,00:01:43,in 1954 Derbyshire Cricket Club tried drying out its pitch with a jet engine. Doesn't sound right.
00:01:43,00:01:48,What's interesting is a few years later Yorkshire Cricket Club used an elephant to suck up the
00:01:48,00:01:56,water from the bench. Oh my gosh. No this is amazing isn't it? It's fun. It's a cricket pitch
00:01:56,00:02:00,drying innovation which hasn't stood the test of time. It's not you don't get a jet engine to
00:02:00,00:02:04,hover over laws these days but this is from a brilliant piece that was published in The Guardian
00:02:04,00:02:09,by Simon Burnton about the history of cricket pitch drying which obviously see that click
00:02:09,00:02:13,straight on that and it was about all these gadgets that have been tried out over the years
00:02:13,00:02:18,and one of them was the jet engine was quite new at the time. It's like using I don't know
00:02:18,00:02:24,nuclear fusion now. It was a relatively recent innovation. I don't think if we even craft
00:02:24,00:02:28,nuclear fusion I think if that's the first thing we use it for that's going to be quite an odd
00:02:28,00:02:33,decision. The rest of the world's going to be looking at England going Jesus. They didn't bring
00:02:33,00:02:39,a full jet though did they? They brought an engine yeah exactly so they rigged up an engine over
00:02:39,00:02:42,they strapped it to a lorry and it was a Rolls Royce engine which they'd used in a
00:02:42,00:02:46,plane called the Gloucester Meteor which was one of the first British jet engines.
00:02:46,00:02:48,Quite a thought lorry though must have been pacing it down the motorway to get there.
00:02:48,00:02:56,Yeah did it work? It worked. It dried it out for eight minutes. When Rolls Royce were contacted
00:02:56,00:03:00,by it was actually someone from Lancashire Cricket Club who contacted Rolls Royce saying
