start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:16,"- Hello, and welcome to another episode"
00:00:16,00:00:17,"of No Such Thing as a Fish,"
00:00:17,00:00:19,a weekly podcast coming to you
00:00:19,00:00:21,from the QI offices in Covent Garden.
00:00:21,00:00:23,My name is Dan Schreiber.
00:00:23,00:00:25,"I am sitting here with Andrew Hunter Murray,"
00:00:25,00:00:27,"Anna Tyshinski, and James Harkin."
00:00:27,00:00:29,"And once again, we have gathered"
00:00:29,00:00:31,around the microphones with our four favorite facts
00:00:31,00:00:32,"from the last seven days,"
00:00:32,00:00:36,"and in no particular order, here we go."
00:00:36,00:00:40,"Starting with fact number one, and that is Andy."
00:00:40,00:00:41,- My fact this week is that there was a job
00:00:41,00:00:45,"in the 19th century, which just involved looking at the sea"
00:00:45,00:00:48,and being able to tell when there were pilchards
00:00:48,00:00:49,under the surface.
00:00:49,00:00:50,(laughing)
00:00:50,00:00:50,- Amazing.
00:00:50,00:00:52,"So were they, they weren't sticking their head"
00:00:52,00:00:53,under the sea.
00:00:53,00:00:55,"- No, don't be crazy, James."
00:00:55,00:00:57,- Okay.
00:00:57,00:00:58,- Little bit of inside baseball.
00:00:58,00:00:59,- Dan told us before we started recording
00:00:59,00:01:01,that's what he thought the job was.
00:01:01,00:01:03,"- Yeah, and I told you before the recording specifically,"
00:01:03,00:01:05,"so it wouldn't get mentioned on the recording,"
00:01:05,00:01:06,and look at us now.
00:01:06,00:01:09,This is an amazing job.
00:01:09,00:01:12,And it's not like they're sitting like a lifeguard
00:01:12,00:01:13,on a boat looking down.
00:01:13,00:01:14,They're up on a hill.
00:01:14,00:01:15,- They are.
00:01:15,00:01:16,- They're not even in the sea.
00:01:16,00:01:17,- So I should say where this comes from.
00:01:17,00:01:20,"It comes from this brilliant blog called About 1816,"
00:01:20,00:01:22,"which is by an author called James Hobson,"
00:01:22,00:01:23,who's written loads of books about George and Britain.
00:01:23,00:01:25,"There's one about stage coaches,"
00:01:25,00:01:26,which I was reading recently.
00:01:26,00:01:28,And he also writes about Cornish-piltered culture
00:01:28,00:01:30,in the 18th century.
00:01:30,00:01:31,- An obvious crossover.
00:01:31,00:01:34,"- And well, there were these,"
00:01:34,00:01:36,it was this huge part of Cornwall's economy
00:01:36,00:01:38,in the 18th century was piltered fishing
00:01:38,00:01:41,because they were these fish that came to the coast
00:01:41,00:01:44,"by the million, millions and millions of them."
00:01:44,00:01:47,"This job was called being a hewer,"
00:01:47,00:01:49,"literally like hue and cry, you know, shouting."
00:01:49,00:01:51,And they would stand on the high points along the coast.
00:01:51,00:01:55,"And when they saw this moving patch of purpley,"
00:01:55,00:01:57,"oily color on the surface,"
00:01:57,00:02:00,"they knew that was the sign that there was the huge,"
00:02:00,00:02:00,"I was about to say flock,"
00:02:00,00:02:02,a shoal of pilchards underneath it.
00:02:02,00:02:04,And maybe there was some sea birds hanging around it as well.
00:02:04,00:02:06,And then they would blow a special trumpet
00:02:06,00:02:09,or they would wave their little flags
00:02:09,00:02:11,"and they would shout, go and get the pilchards"
00:02:11,00:02:12,to the fishermen.
00:02:12,00:02:13,And then the fishermen would go and.
00:02:13,00:02:15,"- No, they would, they would shout, hever."
00:02:15,00:02:16,- Trick.
00:02:16,00:02:17,"- Yeah, hever."
00:02:17,00:02:18,"- What does that mean, hever?"
00:02:18,00:02:20,- It's an old word meaning fish and carnage.
00:02:20,00:02:21,"- Ah, fish."
00:02:21,00:02:23,- But now you get hever cake
00:02:23,00:02:24,if you go to a Cornish bakery.
00:02:24,00:02:26,- But it's not fish cake.
00:02:26,00:02:30,It's just related to the cake that was baked
00:02:30,00:02:32,for these fishermen when they would leave for the day out.
00:02:32,00:02:33,"- Oh, okay, yeah."
00:02:33,00:02:34,"- And the trumpet thing, by the way,"
00:02:34,00:02:37,"hewing is an old word for trumpeting,"
00:02:37,00:02:39,according to the OED.
00:02:39,00:02:40,"- Apparently, yes."
00:02:40,00:02:42,"- And it's not, this is not like your regular trumpet."
00:02:42,00:02:43,This was a four foot trumpet.
00:02:43,00:02:44,- Was it?
00:02:44,00:02:45,"- Yes, huge."
00:02:45,00:02:46,- I know this.
00:02:46,00:02:48,- And they had these flags as well.
00:02:48,00:02:50,"So they would wave semaphore flags,"
00:02:50,00:02:54,"which had special meanings to communicate to the boats,"
00:02:54,00:02:57,like go over there or come this way a bit or whatever.
00:02:57,00:02:59,"- 'Cause then they directed the boats, didn't they?"
00:02:59,00:02:59,"- Yeah, exactly."
00:02:59,00:03:00,- Which they'd seen them.
00:03:00,00:03:02,"'Cause Wilkie Collins, obviously,"
00:03:02,00:03:03,"and I'm famous, Victorian author,"
00:03:03,00:03:04,but he also wrote a bunch of essays
00:03:04,00:03:06,and one of them was about these hewers.
00:03:06,00:03:09,And he described them as feverishly waving
00:03:09,00:03:10,"two cloth-covered bushes,"
00:03:10,00:03:14,acting the part of a maniac of the most dangerous character.
00:03:14,00:03:16,'Cause they're just standing on a cliffside.
00:03:16,00:03:18,"- Cloth-covered bushes, like before they had flags,"
00:03:18,00:03:21,they had to cover a bush in cloth.
00:03:21,00:03:22,It's weird.
00:03:22,00:03:23,"They could have just waved around the cloth,"
00:03:23,00:03:24,if you would think.
00:03:24,00:03:25,- Yeah.
00:03:25,00:03:26,"What would they, presumably,"
00:03:26,00:03:28,"if you had spotted, you've sounded your horn,"
00:03:28,00:03:31,"you've got your semaphore flag out, bush."
00:03:31,00:03:33,"Presumably, you've sounded the horn"
00:03:33,00:03:34,because you've seen pilchards.
00:03:34,00:03:35,Okay?
00:03:35,00:03:36,You've seen them over that way.
00:03:36,00:03:37,"- Otherwise, you're gonna lose your job as a killer."
00:03:37,00:03:38,"- You're gonna lose your job, exactly."
00:03:38,00:03:40,It's the main purpose of the job.
00:03:40,00:03:42,You've pointed your flag at the direction.
00:03:42,00:03:43,What semaphore needs to happen?
00:03:43,00:03:45,What are you trying to communicate with the semaphore?
00:03:45,00:03:48,- You're telling the boats where they are specifically.
00:03:48,00:03:51,"So you're saying go to the right, go to the left,"
00:03:51,00:03:52,"go out to sea, come closer."
00:03:52,00:03:53,- Okay.
00:03:53,00:03:54,"- Just drop your nets there, kind of thing."
00:03:54,00:03:55,- Yeah.
00:03:55,00:03:57,- It was probably less complex semaphore
00:03:57,00:04:00,and more just pointing a flag to the right or to the left.
00:04:00,00:04:01,- I'm pretty sure it was proper.
00:04:01,00:04:02,It was proper.
00:04:02,00:04:03,I've looked up the signals.
00:04:03,00:04:04,"Yeah, yeah, I've looked up the signals."
00:04:04,00:04:06,"So it wasn't just, you know, left for left."
00:04:06,00:04:07,- So what were they?
00:04:07,00:04:08,I take it back.
00:04:08,00:04:09,"- I mean, this is the worst possible medium"
00:04:09,00:04:11,to communicate what the semaphore signals were.
00:04:11,00:04:11,- You can explain.
00:04:11,00:04:12,- You know.
00:04:12,00:04:13,"But it's just like you said, James,"
00:04:13,00:04:15,"there will be go east or go right off,"
00:04:15,00:04:16,which means go straight out.
00:04:16,00:04:18,It doesn't mean go right.
00:04:18,00:04:20,And cast net.
00:04:20,00:04:21,"- Oh, yeah."
00:04:21,00:04:23,"- Also, they could get messages to ships."
00:04:23,00:04:25,So they could signal to a man on board a ship
00:04:25,00:04:27,that his wife had had a baby.
00:04:27,00:04:28,- Ah.
00:04:28,00:04:29,- Yeah.
00:04:29,00:04:30,- In semaphore language.
00:04:30,00:04:31,- I don't know what the semaphore for that was.
00:04:31,00:04:33,(laughing)
00:04:33,00:04:34,- That's so good.
00:04:34,00:04:35,- They're seriously oily.
00:04:35,00:04:37,I've never really understood when people talk about
00:04:37,00:04:39,"oily fish and the non-oily fish,"
00:04:39,00:04:42,and they're bang on about oily fish being really good for you.
00:04:42,00:04:44,"What really, what the difference was,"
00:04:44,00:04:45,but that's why they were prized.
00:04:45,00:04:46,"So in the 19th century,"
00:04:46,00:04:49,"they were prized for their oil for lamps, weren't they?"
00:04:49,00:04:49,- Yeah.
00:04:49,00:04:50,- And so that would just be sold
00:04:50,00:04:52,and that would fund the whole industry.
00:04:52,00:04:53,- Yeah.
00:04:53,00:04:55,- And you'd have these filtered palaces.
00:04:55,00:04:56,- Yes.
00:04:56,00:04:58,"- Where they put all the fish in a barrel,"
00:04:58,00:05:01,"put 6,000 fish in a huge hog-seed barrel."
00:05:01,00:05:04,And then I think you squeeze down on the fish
00:05:04,00:05:08,and all the oil comes out and drains off into the gutters.
00:05:08,00:05:10,And then that's barreled up separately.
00:05:10,00:05:11,"- Yeah, right."
00:05:11,00:05:12,"- And you burnt, you can use it for lamps and things like that."
