start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,Hello and welcome to the No Such Things as Fish Queens Jubilee Garden Party!
00:00:05,00:00:07,Woo!
00:00:07,00:00:15,Dan Schreiber is over there getting together all of his dubious memorabilia about the Role Family that he bought off eBay.
00:00:15,00:00:25,"Alex Bell is over there, alphabetising all of his VHS's of the Queen's Speech from over the years, filing them all under Q."
00:00:25,00:00:36,There's Anna at the Pim's Tent drinking it dry and there's Andy making a portrait of one of the Queen's Sons out of moss.
00:00:36,00:00:39,"Oh, not that one, Andy. Oh, no."
00:00:39,00:00:50,"Anyway, we are here today because we have an extra day off work and we thought what better than to give you a sneaky bonus episode of Fish."
00:00:50,00:00:57,So here is another mini compilation of 30 minutes of silliness. Really hope you enjoy it.
00:00:57,00:01:04,"We'll be back again next week with a normal episode, but in the meantime, on with the podcast!"
00:01:04,00:01:21,[Music]
00:01:21,00:01:25,"All right, it is time for our final fact and that is Andy's fact."
00:01:25,00:01:29,Andy's fact this week is that!
00:01:29,00:01:32,What was that? Are you objecting to how I presented that?
00:01:32,00:01:34,"No, no. You're doing a great job. Keep it up."
00:01:34,00:01:38,"Yeah, thank you. I'm mixing it up a bit. You know, you try something new. It doesn't work. You move on."
00:01:38,00:01:42,"Please, Andy. This is Andy's little nugget of joy coming up next."
00:01:42,00:01:46,"You really threw Andy there. Like, I think I could see Andy was just completely thrown."
00:01:46,00:01:50,"He looked at what he's written on his hand and went, ""I don't know what to do now."""
00:01:50,00:01:54,"She's gone off script. No. Mum, let me out."
00:01:54,00:02:02,"This is something that's not very well-sourced, so forgive me, but I know very slightly know someone whose dad used to be in the Navy."
00:02:02,00:02:08,"Right. And the claim from him is that, stick with it."
00:02:08,00:02:15,"He says that the last case of scurvy that happened in the Royal Navy, the British Royal Navy, was in the 1970s."
00:02:15,00:02:17,Really? Really? Nice.
00:02:17,00:02:20,Didn't James Blunt claim that he had scurvy?
00:02:20,00:02:23,"Yes, he did. He said that he was James Blunt."
00:02:23,00:02:28,"Sorry. You know, this is according to him, so whether this is true or not."
00:02:28,00:02:33,"So, he said he was at university and all the people in his class were all vegans and vegetarians."
00:02:33,00:02:42,"And he was really, he didn't like this and he thought, ""Right, I'm going to stick it to them and somehow stick it to them by only eating meat."""
00:02:42,00:02:48,And so he decided that all he was going to eat was mince and bacon and stuff like that.
00:02:48,00:02:56,"And he went on just a meat-only diet and he said that after a while he went to his doctor and his doctor said, ""Yeah, you've got scurvy."""
00:02:56,00:03:02,"Wow. I'm slightly suspicious of that, partly because there is vitamin C in meat, as long as it's fresh meat."
00:03:02,00:03:05,"There's vitamin C in that. He was one of the reasons... He was only eating very old meat, that's the thing."
00:03:05,00:03:09,He's very teeth-plunged and he will only eat very discounted elderly meat.
00:03:09,00:03:14,"He said that he lived on mince, some chicken and maybe some mayonnaise."
00:03:14,00:03:21,God. And then he said that his doctor said that he might have scurvy and so he took to drinking orange juice every night.
00:03:21,00:03:26,"And then he got acid reflux, so it was a bad time for old blunts."
00:03:26,00:03:31,Way to stick it to the vegetarians though. They must have really regretted their life choices.
00:03:31,00:03:38,"The helicopter method, they used that in the early days of the pandemic, didn't they, where they were getting people to go off parks."
00:03:38,00:03:43,"And so, yeah, yeah, they would bring helicopters in and just tilt them in the wind, just trying to push people off them."
00:03:43,00:03:45,Really? Yeah. Have you not seen the corners of that?
00:03:45,00:03:48,That just seems quite dangerous to fly a helicopter so low as well.
00:03:48,00:03:53,"It does seem a bit dangerous, I guess with the angle they were just pushing a push down wind."
00:03:53,00:03:57,You don't mean they were physically using the draft of the helicopter blades to push people out of parks.
00:03:57,00:04:01,They were telling them to get off and they were giving them a message with the wind.
00:04:01,00:04:04,"I don't think the wind was so great, they were literally..."
00:04:04,00:04:09,One of the great joys of the pandemic was looking out of your window to see people flying past.
00:04:09,00:04:14,Has anyone had a Vietnamese dish called Cao Lào?
00:04:14,00:04:15,"No, don't think so."
00:04:15,00:04:18,"Has anyone been to Vietnam? No, no. Well, then you definitely haven't had it."
00:04:18,00:04:20,Is it only allowed to be sold there?
00:04:20,00:04:26,It's not that. You can only make it in a very specific town called Hai An.
00:04:26,00:04:30,"Right, why do you think you can only make this in that particular town?"
00:04:30,00:04:31,It's a noodle dish.
00:04:31,00:04:38,"There's only... Okay, the noodles come from a special kind of wheat, which is grown only in Hai An."
00:04:38,00:04:41,It's a secret ingredient from a lady called Anne.
00:04:41,00:04:44,"Much better, much better."
00:04:44,00:04:46,"What it is, you're not going to guess, Anne, are you?"
