start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"Hi everyone, welcome to this week's episode of no such thing as a fish. It is the super long bank holiday"
00:00:06,00:00:09,for the Queens Jubilee and so
00:00:09,00:00:16,We have decided that we are going to take a weekend off and instead of this week
00:00:16,00:00:22,You're gonna get another one of my compilations from all the best bits from the last year or so of fish
00:00:22,00:00:27,Which didn't make it into the final show because they were too silly because they've got the facts wrong
00:00:27,00:00:29,Or just basically because there wasn't enough space
00:00:29,00:00:31,Since it's the Queens Jubilee
00:00:31,00:00:38,I can guarantee that for once this compilation doesn't contain anything libelous to the British royal family
00:00:38,00:00:41,But I can't guarantee it won't for the next one so you better make the most of this
00:00:41,00:00:45,Your Royal Highness if you're listening anyway
00:00:45,00:00:52,Just one more quick thing before we start this week's show and that is that we have a couple of live dates coming up
00:00:52,00:00:56,"They will be in Inverness, Edinburgh, Aberdeen, Glasgow and Cardiff"
00:00:56,00:01:03,They are post-poned gigs from earlier in the year that will be happening towards the end of August and the start of September
00:01:03,00:01:07,We would love to see you there if you live in any of those places
00:01:07,00:01:11,Then get your tickets fast if you don't live in any of those places
00:01:11,00:01:14,But you can get to those places then get the tickets as well
00:01:14,00:01:17,Because it's gonna be a whole lot of fun in loads of facts loads of silliness
00:01:17,00:01:22,And the best way to get your tickets is to go to qi.com/fishevents
00:01:22,00:01:28,"Anyway, hope you enjoyed this week's show and what else is there to say but on with the podcast"
00:01:28,00:01:37,Mike Tess from Dennis. Hello. Hello Mike Tess from Harkin. Hello. Hello. Hello. Mike Tess from Andy. Hello. Hello. Hello
00:01:37,00:01:40,What an awesome chat we're having. Hello. Hello. Hello
00:01:42,00:01:52,"Yeah, he's been trying to think of puns based on TV shows and dugs. Heal or No Heal. The Barkfest show. Oh yeah, Heal or No Heal. Oh Barkfest. Barkfest is a good, yeah. Yeah"
00:01:52,00:02:03,"I'm trying to do something with one of the big news night show. Why don't you just... News bite. Right, come on. News bite. Very nice. There we go. Off we go. Off we go. Off we go."
00:02:03,00:02:07,He's been sat there for the last 20 minutes trying to think of that.
00:02:10,00:02:12,"All right, we good? Are we recording? We're recording."
00:02:12,00:02:36,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to you from the qi offices in Covent Garden."
00:02:36,00:02:42,"My name is Dan Schreiber. I am sitting here with Andrew Hunter Murray, James Harkin and Anna Tyshinski."
00:02:42,00:02:47,"And once again, we have gathered around the microphones with our four favorite facts from the last seven days."
00:02:47,00:03:00,"And in a particular order, here we go. Starting with fact number one, that is Barkin."
00:03:04,00:03:06,That won't make any sense.
00:03:06,00:03:15,One thing I found on Alan Withie's page is a thing that he thinks might be the first ever beard and mustache show.
00:03:15,00:03:23,"And this was in 1873. What? Yeah, members of the public came to watch bearded men stand on a stage and have their beards judged."
00:03:23,00:03:29,"Yeah, so this was set up by a guy called William Holland and it happened in London."
00:03:30,00:03:35,It had quite a bit of momentum behind it. Journalists who couldn't make it to the day because they were busy
00:03:35,00:03:42,were writing in trying to influence the judges saying a beard has to be like this and giving opinion pieces about who a winner should be.
00:03:42,00:03:48,"So they thought it was going to be massive and it really, really wasn't. It was barely attended."
00:03:48,00:03:56,"They thought they were going to have 30 entrants to it, including Mr. Charles Chaplin, who sent in fragments of his beard because he couldn't physically be there."
00:03:57,00:04:02,"Um, it's definitely not. What? Chris, did Charlie Chaplin have a beard? I thought he had a mustache."
00:04:02,00:04:09,"Exactly. He says in brackets in his article, but unlikely to be that Charles Chaplin and I agree because this happened 16 years before Chaplin was born."
00:04:09,00:04:14,"Okay, so he couldn't even enter the beautiful baby competition."
