start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,"Hi everyone, welcome to this week's episode of No Such Thing as a Fish. Hope you're all"
00:00:05,00:00:10,very well. I have a little bit of news here and it is of particular interest to people
00:00:10,00:00:17,in the UK and of particular interest to people who love our mother ship of the TV show QI.
00:00:17,00:00:22,"Now you all know QI, it's facts, it's funny, it's just like fish but it's been going for"
00:00:22,00:00:32,a full 20 years and the big news is that all 20 series of QI are now available on BBC iPlayer.
00:00:32,00:00:36,"So as you probably know, each series of QI is represented by a letter of the alphabet"
00:00:36,00:00:43,"and so you can go back and watch facts about astronomy, about bees, about campanology, about"
00:00:43,00:00:49,"dog, well you get the idea. It's 20 series of QI, so many facts, so many amazing moments"
00:00:49,00:00:54,from over the years and it is all as I said available on BBC iPlayer. And of course it
00:00:54,00:00:58,wouldn't be a top of the show announcement if I didn't remind you all that we are going
00:00:58,00:01:03,"back on the road in autumn, if you live in Scotland or in Wales or indeed I think we"
00:01:03,00:01:10,have one show coming up also in London then do go to qi.com/fishevents and get your tickets
00:01:10,00:01:14,fast because I know for a fact that some of those dates are just on the verge of selling
00:01:14,00:01:19,"out. Anyway, before you go to iPlayer to binge on all the episodes of QI, we better get on"
00:01:19,00:01:31,with this week's show so on with the podcast!
00:01:31,00:01:42,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:01:42,00:01:47,"to you from the QI offices in Covent Garden. My name is Dan Schreiber, I am sitting here"
00:01:47,00:01:52,"with James Harkin, Anna Tyshinski and Andrew Hunter Murray and once again we have gathered"
00:01:52,00:01:57,round the microphones with our four favourite facts from the last seven days and in no particular
00:01:57,00:02:03,"order here we go. Starting with fact number one, that is Andy."
00:02:03,00:02:10,My fact is that in 1944 the book The Great Gatsby sold 120 copies. In 1945 the number
00:02:10,00:02:21,"of copies printed was 155,000! I didn't realise how I was going to deliver it until I got"
00:02:21,00:02:27,"towards the end and I thought 'I've just said 120, why not say 155?' Anyway, great behind"
00:02:27,00:02:32,the scenes. We've got to show how the sausage is made.
00:02:32,00:02:36,So The Great Gatsby by F Scott Fitzgerald was a book that was quite popular at first
00:02:36,00:02:42,and then it really tailed off. By 1944 pretty much no one was buying it and it was practically
00:02:42,00:02:47,out of print. So then in the Second World War though there was this mad scheme that was
00:02:47,00:02:52,run by a load of American publishing titans. They clubbed together and they formed this
00:02:52,00:02:56,thing called the Council on Books in Wartime and they decided that they wanted to print
00:02:56,00:03:02,and sell millions of books to the army. So the army bought the books and then those books
00:03:02,00:03:08,were distributed free to the soldiers and they were made incredibly cheap and 122 million
00:03:08,00:03:13,books were given away to soldiers. And it basically created the paperback book market
00:03:13,00:03:15,in America. They weren't really popular.
