start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:15,- Hello and welcome to another episode
00:00:15,00:00:18,"of No Such Thing as a Fish, a weekly podcast"
00:00:18,00:00:22,coming to you from the QI offices in Covent Garden.
00:00:22,00:00:23,"My name is Dan Shriver, I'm sitting here"
00:00:23,00:00:26,"with Andrew Hunter Murray, Anna Tyshensky,"
00:00:26,00:00:27,and James Harkin.
00:00:27,00:00:30,"And once again, we have gathered round the microphones"
00:00:30,00:00:32,"with our four favorite facts from the last seven days,"
00:00:32,00:00:36,"and in no particular order, here we go."
00:00:36,00:00:38,"Starting with fact number one, that is Anna."
00:00:38,00:00:42,- My fact this week is that it's a common misconception
00:00:42,00:00:44,that face mites don't have an anus.
00:00:44,00:00:47,- How common?
00:00:47,00:00:49,"- Oh well, I know that I've blown it wide open"
00:00:49,00:00:51,for all of you guys and everyone listening.
00:00:51,00:00:52,(laughing)
00:00:52,00:00:55,"- If I, honestly, if I had a quid for every time"
00:00:55,00:00:56,"I'd heard someone on the bus saying,"
00:00:56,00:00:58,you know that face mites don't have an anus.
00:00:58,00:00:59,"- No, right?"
00:00:59,00:01:00,- It's exhausting.
00:01:00,00:01:03,- So we did think they were anus-less for a long time?
00:01:03,00:01:04,- We did think they were.
00:01:04,00:01:07,"- And also, sorry, face mites, what are they?"
00:01:07,00:01:09,"- Oh right, sorry, yeah, I suppose I better start"
00:01:09,00:01:11,from the beginning of this story.
00:01:11,00:01:13,So face mites are something that almost everyone
00:01:13,00:01:15,"with normal faces-- - Face mites, yeah."
00:01:15,00:01:18,(laughing)
00:01:18,00:01:20,"- If you've got a face, you've got the mites,"
00:01:20,00:01:24,"probably about 90% of people, and they're very small,"
00:01:24,00:01:27,"about between 1/10th and 1/3 of a millimeter,"
00:01:27,00:01:28,"and so you can't really see them,"
00:01:28,00:01:30,and they're living sort of like inside your pores
00:01:30,00:01:33,"in the daytime, so you couldn't see them anyway."
00:01:33,00:01:35,"But there's been this thing, and honestly,"
00:01:35,00:01:38,if you look up face mites and you do a website search
00:01:38,00:01:40,"of new scientists, of national geographic,"
00:01:40,00:01:43,"very reputable sources, they all say,"
00:01:43,00:01:45,"interesting thing is, they don't have an anus,"
00:01:45,00:01:48,"and so what they do is, they store all their fecal waste"
00:01:48,00:01:51,"in their bodies until they reach death,"
00:01:51,00:01:53,"which does only happen after a few days,"
00:01:53,00:01:55,"and then they just explode it all out,"
00:01:55,00:01:56,"and this is why they're bad,"
00:01:56,00:01:58,because they explode feces on your face.
00:01:58,00:02:00,"Now, this isn't true, and what's more,"
00:02:00,00:02:02,"we've kind of known this isn't true since the '60s,"
00:02:02,00:02:04,so there was an electron microscope in the '60s
00:02:04,00:02:07,"that did identify a face mites anus, but--"
00:02:07,00:02:09,(laughing)
00:02:09,00:02:10,- No one believed him.
00:02:10,00:02:15,"- I wonder, would you rather have face mites"
00:02:15,00:02:17,"on your face that had an anus,"
00:02:17,00:02:20,"and were constantly pooing on your face,"
00:02:20,00:02:23,or one that only pooed as a one-off at the end of its life?
00:02:23,00:02:24,"- Well, I think there was an idea, sorry,"
00:02:24,00:02:27,"that it's worse to have them storing up all the poo,"
00:02:27,00:02:29,because this is where a lot of the bad rep
00:02:29,00:02:30,of the face mite comes from.
00:02:30,00:02:33,People will put various skin diseases
00:02:33,00:02:35,"down to face mite infestations,"
00:02:35,00:02:36,"and it's partly because they'd say,"
00:02:36,00:02:38,"oh, do you know, they build up with poo, so much poo,"
00:02:38,00:02:41,"and then it explodes everywhere, and it's not true,"
00:02:41,00:02:42,"and actually, we don't really have evidence"
00:02:42,00:02:44,that they do any harm to us at all.
00:02:44,00:02:47,"- Although, I found one thing that they might be doing to us,"
00:02:47,00:02:49,"so they've got no protection from ultraviolet light,"
00:02:49,00:02:51,"which is why they have to hide inside the pores,"
00:02:51,00:02:53,"and they can't produce melanin,"
00:02:53,00:02:55,"which is related to tanning and so on,"
00:02:55,00:02:59,but they do have the ability to eat our melanin.
00:02:59,00:03:01,"So, human's grin secretes melanin,"
00:03:01,00:03:02,and then they gobble it up.
00:03:02,00:03:03,"- That's good, so basically,"
00:03:03,00:03:06,"they get a suntanth through eating,"
00:03:06,00:03:08,as opposed to through sunbathing.
00:03:08,00:03:09,"- Exactly, that's exactly what they do."
00:03:09,00:03:10,"- Oh, that's great."
00:03:10,00:03:11,Imagine if we could do that.
00:03:11,00:03:13,It's like a biscuit that tanned us.
00:03:13,00:03:15,"- They're eating our suntanths, don't you find that?"
00:03:15,00:03:17,"- Oh, they're eating away our suntanths."
00:03:17,00:03:18,- I think they're eating our suntanths.
00:03:18,00:03:19,- That's so interesting.
00:03:19,00:03:20,- And they're using our suntanths
00:03:20,00:03:22,to fuel all night sex sessions on our faces.
00:03:22,00:03:23,"- I know, this is the most amazing fact."
00:03:23,00:03:25,- This sounds like a Tory party expose.
00:03:25,00:03:27,(all laughing)
00:03:27,00:03:29,- Can I ask about this massive poo?
00:03:29,00:03:32,Is it like fake tan coming onto your face?
