start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi guys, before we start this week's episode of Fish we have a few exciting"
00:00:04,00:00:08,"announcements to make. Announcement number one is that we, no such thing as a fish,"
00:00:08,00:00:13,are going on tour. We are going to be going around Scotland. We've got four
00:00:13,00:00:16,dates in Scotland at the end of August and start of September. We're going to
00:00:16,00:00:20,Cardiff. We're also playing a gig in London. Now the London gig is sold out in
00:00:20,00:00:25,the room but it's also streaming online. So effectively if you live anywhere in
00:00:25,00:00:29,"the world and you're listening to this, you can access a fish gig, especially if"
00:00:29,00:00:33,"you live in Scotland, to a certain extent if you live in Cardiff and also if you"
00:00:33,00:00:38,live anywhere else. You can get a ticket by going to nosuchthingasafish.com/live.
00:00:38,00:00:43,"All the information is up there. Yes it is. Information item number two is, if"
00:00:43,00:00:48,"anything, even more exciting than that because chief gnome, our big boss, the"
00:00:48,00:00:54,"man who created us in our current form, Mr John Lloyd, all-round comedy legend. He"
00:00:54,00:00:58,also has a live show. That is going to the Edinburgh Festival and it looks to be
00:00:58,00:01:02,absolutely fantastic. It's called Do You Know Who I Am? If you don't know who
00:01:02,00:01:06,John Lloyd is then I don't know where you've been but he is the man behind all
00:01:06,00:01:11,"the great comedies really of the 80s and 90s from Black Hatter, Spitting Image, The"
00:01:11,00:01:16,"News Quiz, Not the Nine O'Clock News, QI obviously. Episode 17 of No Such Thing as"
00:01:16,00:01:21,a Fish. I think that's the one he's most proud of yes. So the show format is
00:01:21,00:01:24,"you go, you ask him absolutely anything you want to ask him from the meaning of"
00:01:24,00:01:30,life to his fingernail cutting regimen. So go to the Edinburgh Fringe website and
00:01:30,00:01:33,check out how to get tickets for that. It's on from the 5th to the 15th of August.
00:01:33,00:01:36,And the final bit of information is that we have a special guest today on No Such
00:01:36,00:01:41,Thing as a Fish. The guest is a really exciting person. He is none other than
00:01:41,00:01:45,Malcolm Gladwell. We're sure you've heard of Malcolm and if not maybe you've
00:01:45,00:01:50,heard of the Time 100 Most Influential People list which he's been on which
00:01:50,00:01:54,might well be a first for us. He's a brilliant writer and broadcaster. He's
00:01:54,00:01:58,written fabulous books like The Tipping Point and Blink. He's got a new book out
00:01:58,00:02:01,called The Bomber Mafia and if you're a podcast listener which you probably are
00:02:01,00:02:05,listening to this he also hosts the fabulous revisionist history which
00:02:05,00:02:09,looks at overlooked and misunderstood things in that classic Gladwellian way.
00:02:09,00:02:13,This was so much fun to record we really hope you enjoy listening to it.
00:02:13,00:02:19,Check out Malcolm's other things as above. Okay on with the show. On with the podcast.
00:02:19,00:02:32,[Music]
00:02:32,00:02:37,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly"
00:02:37,00:02:41,podcast coming to you from the QI offices in Covent Garden. My name is Dan
