start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi everybody, just to let you know we've got a very special guest on the podcast today"
00:00:04,00:00:11,to replace Dan Schreiber who was momentarily disappeared. And that guest is the fantastic
00:00:11,00:00:16,"Steve Mould, very much friend of the podcast, friend of QI. Actually I think has made an"
00:00:16,00:00:23,"appearance on QI. He's science presenter and communicator extraordinaire, he's one third"
00:00:23,00:00:28,"of the brilliant troop festival of the spoken nerd. Please do check out his work, go to his"
00:00:28,00:00:34,"YouTube page, it's full of amazing, mind-blowing, bizarre, extraordinary science videos. It really"
00:00:34,00:00:40,is a great place to hang out online and definitely listen to the Festival of Spoken Nerds podcast
00:00:40,00:00:46,which is called a podcast of unnecessary detail where they take subjects you might think are boring
00:00:46,00:00:51,if you're a fool and show you that they are of course fascinating. It really is worth a listen
00:00:51,00:01:07,"and we had a great time having him on the show. Okay, here we go."
00:01:07,00:01:13,"Hello and welcome to another episode of No Substance Thing is a Fish, a weekly podcast"
00:01:13,00:01:18,coming to you from the QI offices in Covent Garden. My name is Andrew Hunter Murray and I'm joined this
00:01:18,00:01:25,"week by James Harkin, Anna Tajinski and it's our very special guest, Steve Mould. We have gathered"
00:01:25,00:01:29,around the microphones with our four favorite facts from the last seven days and in no particular
00:01:29,00:01:37,order here we go. Starting with fact number one and that is Steve. My fact is that protons taste
00:01:37,00:01:45,"sour. How do you, like you can't get the cutlery small enough for that. How do you taste a proton?"
00:01:45,00:01:52,"So actually every time you taste something sour you're tasting protons. Oh okay that's a slight,"
00:01:52,00:01:55,is that a different fact or the same fact? I would say it's the same fact.
00:01:55,00:02:01,"Steve doesn't everything have protons in it? Oh I see what you mean free protons, everything's got"
00:02:01,00:02:09,"protons on their own. So you know you have five taste senses on your tongue, sweet, sour, salt,"
00:02:09,00:02:16,"bitter and umami and your sour taste, it just works in a completely different way. So like your"
00:02:16,00:02:22,"sweetness taste, it's the old lock and key thing, you've probably heard it a thousand times in biology."
00:02:22,00:02:28,So just in case I've forgotten literally everything I learned. So you've got these
00:02:28,00:02:34,"gustatory cells on your tongue and on the surface of those cells you have these big molecules,"
00:02:34,00:02:41,"complicated shapes, they're proteins with a complicated shape and that's the lock in this"
00:02:41,00:02:49,"analogy and there's one molecule that fits perfectly, that's the key and in the case of your sweetness"
