start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi everyone, welcome to this week's episode of No Such Thing as a Fish before we start."
00:00:04,00:00:10,"If you don't have plans in the next couple of weeks and you live in the Scottish area,"
00:00:10,00:00:16,"then you must come and see our show. We will be in Inverness, Aberdeen, Edinburgh and Glasgow"
00:00:16,00:00:21,between the 31st of August and the 4th of September and you will not regret it. It is
00:00:21,00:00:27,such a fun night with all sorts of facts and silliness and just messing around. There'll
00:00:27,00:00:32,be a prize for someone on the stage. I can't give you any more details about that. But
00:00:32,00:00:37,"if you're in Scotland and you'd like to come and see the show, then go to nosuchthingsafish.com/live"
00:00:37,00:00:44,"and the details are there. We also have a show coming up in Cardiff on the 13th of September,"
00:00:44,00:00:49,which I think is very nearly sold out if it's not already sold out and we have a show in
00:00:49,00:00:55,"London on the 9th of September. Now that is sold out, but you can see it virtually. So"
00:00:55,00:00:58,there are virtual audience tickets available for that and if you would like to get those
00:00:58,00:01:04,"or indeed the tickets for Cardiff, then again go to nosuchthingsafish.com/live. Thank you"
00:01:04,00:01:08,very much to everyone who's joined Club Fish in the last few weeks. We're having a whole
00:01:08,00:01:15,great amount of fun behind that velvet rope with loads of bonus material and ad free episodes.
00:01:15,00:01:21,"If you are interested in joining Club Fish, then do go to nosuchthingsafish.com/apple or"
00:01:21,00:01:27,"nosuchthingsafish.com/patreon for more about that. But as I always say in this situation,"
00:01:27,00:01:32,the main podcast will always always always be free and that free podcast is just about
00:01:32,00:01:36,"to begin. Okay, so on with the podcast."
00:01:36,00:01:56,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:01:56,00:02:01,"to you from the QI offices in Covert Garden. My name is Dan Schreiber, I'm sitting here"
00:02:01,00:02:06,"with James Harkin, Anna Tyshinski and Andrew Hunter Murray and once again we have gathered"
00:02:06,00:02:10,round the microphones with our four favourite facts from the last seven days and in no particular
00:02:10,00:02:16,order here we go. Starting with fact number one and that is James.
00:02:16,00:02:23,"Okay, my fact this week is that in the 1930 World Cup semi-final between the USA and Argentina,"
00:02:23,00:02:29,the American medic accidentally chlorophened himself and had to be carried off.
00:02:29,00:02:35,It's very funny and it raises for me a lot of other questions like who was he trying
00:02:35,00:02:42,to chloroform? Was it like a classic movie where the bank robber or whoever is trying
00:02:42,00:02:47,to steal someone puts the rag over them? Was he like holding his face?
00:02:47,00:02:52,There is so much wrong with this fact I think and we might go into all of it but it's basically
00:02:52,00:02:57,it's on the FIFA website so I think it counts as a fact for us but I can't see it mentioned
00:02:57,00:03:03,in any contemporary part and chloroform doesn't really work like that.
00:03:03,00:03:06,Incredible self-drive-by on your own face.
00:03:06,00:03:10,So he was called Jack Cole is that right?
00:03:10,00:03:13,And there are a few versions of events on there so one is that he ran on the pitch trying
00:03:13,00:03:18,to help another player and then a thing broke in his bag and he had chloroform in his bag
00:03:18,00:03:23,and then that broke and then the fumes were raised and knocked him out.
00:03:23,00:03:27,Another version is that he went on to the pitch to argue with the referee about something
00:03:27,00:03:33,and threw a bottle of chloroform onto the ground in anger and then it came up and a
00:03:33,00:03:34,fume stopped him out.
00:03:34,00:03:37,"That's a red card, that's a red card from the header."
00:03:37,00:03:42,The earliest I've managed to trace a story back is to a journalist called Brian Glanville
00:03:42,00:03:45,and a lot of people think he's the greatest football writer of all time he's really really
00:03:45,00:03:52,famous but he was born in 1931 so he couldn't have been at this match but it is on the FIFA
00:03:52,00:03:56,website but the other thing is if you look at contemporary reports from the newspapers
00:03:56,00:04:00,at the time it's not mentioned and I found an interview with Jack Cole which was done
00:04:00,00:04:03,about 15 years later and he doesn't mention it in that interview.
00:04:03,00:04:08,"You might not though, to be fair, he couldn't remember."
00:04:08,00:04:14,"It's amazing, the self-knockout is just phenomenal right, like it's one of those things where"
00:04:14,00:04:17,you don't know what to do when you see someone do it and Ash who wrote the theme tune for
00:04:17,00:04:22,"our song, he once was in a bar fight, it's very weird, exactly, you can't quite imagine"
00:04:22,00:04:23,it.
00:04:23,00:04:30,"He's so zen, so this was I guess just pre-zen, just pre-zen Ash and he went for the first"
00:04:30,00:04:33,"punch against these other people, he took the swing and as he took the swing he took"
00:04:33,00:04:39,"a step forward, slipped, fell on the ground, knocked himself out and that was end of fight."
00:04:39,00:04:40,Is that his only ever fight?
00:04:40,00:04:42,"Yeah, he KO'd himself on the first go."
00:04:42,00:04:47,So he actually has a 100% record of knocking someone out.
00:04:47,00:04:50,"One win, one loss in his only match."
00:04:50,00:04:54,Another source I found this is a book called Angels with Dirty Faces by Jonathan Wilson
00:04:54,00:04:59,which is the best book that I've ever read on South American football and he mentions
00:04:59,00:05:00,it in that.
00:05:00,00:05:04,"It's like such a big qualifier, like this is the best book I've ever read, is what they'll"
00:05:04,00:05:09,use on the camera.
00:05:09,00:05:14,"This generally, so we haven't really properly said, but 1930 World Cup was the very first"
00:05:14,00:05:19,ever World Cup and it was set up because the Olympics weren't taking football seriously
00:05:19,00:05:21,and they weren't having it as recognized as an official sport.
00:05:21,00:05:27,"So this was set up in South America, but as a result of that distance it meant that a"
00:05:27,00:05:31,lot of countries around the world didn't come and play because the journey there and the
00:05:31,00:05:35,journey back as well as the subsequent tournament would mean they were out of play for like
00:05:35,00:05:38,three months which didn't work with their local tournaments and so on.
00:05:38,00:05:41,Also expensive for a lot of countries.
00:05:41,00:05:46,"Also the home countries, so England, Northern Ireland, Scotland, Wales, they thought that"
00:05:46,00:05:51,actually really they were more important than FIFA and so they had their own kind of home
00:05:51,00:05:55,nations tournament and they didn't really see this as a proper World Cup so they weren't
00:05:55,00:05:56,in it.
00:05:56,00:06:02,So I read that the American team who were playing in this semi-final was mostly made up of English
00:06:02,00:06:04,and Scottish professional footballers.
00:06:04,00:06:05,"Mostly Scottish, yeah."
00:06:05,00:06:09,"I did account, I made it to be five Scottish players and one English player."
