start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:14,- Hello and welcome to another episode.
00:00:14,00:00:18,"No such thing as a fish, a weekly podcast,"
00:00:18,00:00:21,this week coming to you live from Aberdeen.
00:00:21,00:00:27,My name is Dan Schreiber.
00:00:27,00:00:30,"I am sitting here with Andrew Hunter, Murray Anna Tyshensky"
00:00:30,00:00:31,and James Harkin.
00:00:31,00:00:34,"And once again, we have gathered around the microphones"
00:00:34,00:00:37,with our four favorite facts from the last seven days.
00:00:37,00:00:41,"And in a particular order, here we go."
00:00:41,00:00:45,"Starting with fact number one, and that is Andy."
00:00:45,00:00:47,"- My fact is that in America,"
00:00:47,00:00:51,you can watch televised Microsoft Excel competitions.
00:00:51,00:00:53,(audience laughs)
00:00:53,00:00:54,- You can do a lot of things in America.
00:00:54,00:00:56,- Yeah. - Doesn't mean you should.
00:00:56,00:00:58,"- It's the newfound land, I'm so excited."
00:00:58,00:00:59,(laughs)
00:00:59,00:01:02,"This is a thing called Microsoft Excel eSports,"
00:01:02,00:01:06,"and it's been on, I think it's been on a couple of years."
00:01:06,00:01:08,"It was definitely on this year, it was on ESPN,"
00:01:08,00:01:09,which is a sports TV network.
00:01:09,00:01:13,And it's called the Excel All Star Battle.
00:01:13,00:01:15,And it was organized by a group called
00:01:15,00:01:17,the Financial Modeling World Cup.
00:01:17,00:01:20,And there is a slight caveat here.
00:01:20,00:01:23,"It was organized as part of something called the Occhi,"
00:01:23,00:01:24,which was a 24 hour celebration
00:01:24,00:01:26,of the stupidest imaginable sports.
00:01:26,00:01:29,"However, that included corgi racing,"
00:01:29,00:01:32,"stone skipping, a number of other dumb stuff."
00:01:32,00:01:34,"But it did happen, it was a televised thing."
00:01:34,00:01:37,There were commentators who were Excel pros.
00:01:37,00:01:39,"The aim of the game, basically they had a problem"
00:01:39,00:01:40,"setting up this as a sporting competition,"
00:01:40,00:01:43,"because as some of you will have noticed,"
00:01:43,00:01:44,"Microsoft Excel, not a game."
00:01:44,00:01:47,"It's fun, but it's not a game."
00:01:47,00:01:51,And so they had to invent ways of competing at Excel.
00:01:51,00:01:53,So one of the challenges was to create
00:01:53,00:01:56,"a yacht regatta game on Excel,"
00:01:56,00:01:59,which included a wind speed simulation
00:01:59,00:02:01,and directional vectors and things like that.
00:02:01,00:02:02,"Yeah, yeah."
00:02:02,00:02:04,"- I think another one of the contests,"
00:02:04,00:02:08,they call Excel golf even more tedious than it already is.
00:02:08,00:02:10,(laughing)
00:02:10,00:02:14,But I think that that's all about getting to your answer
00:02:14,00:02:16,in the shortest possible amount of time.
00:02:16,00:02:17,"And that's kind of what golf is about, right?"
00:02:17,00:02:19,Make the game go by as quickly as possible
00:02:19,00:02:21,by doing it in the fewest shots so you can get to the bar.
00:02:21,00:02:21,"- Oh, okay, right."
00:02:21,00:02:23,"See, I think it sounds, I'm with Andy."
00:02:23,00:02:25,I think it sounds really exciting.
00:02:25,00:02:27,I was reading about the commentators.
00:02:27,00:02:29,So they have commentators who watch
00:02:29,00:02:31,as the Excel spreadsheets are being made.
00:02:31,00:02:32,- About Bill Jelen?
00:02:32,00:02:34,"- Bill Jelen, AKA Mr. Excel."
00:02:34,00:02:37,"And he, he's just like, he's,"
00:02:37,00:02:39,"so like some of the transcript is sort of them going,"
00:02:39,00:02:40,"""Oh my God, look what they're doing."
00:02:40,00:02:41,"""Oh my God, they're going for it."""
00:02:41,00:02:42,"And then there was this one that goes,"
00:02:42,00:02:45,"""Oh no, the F1 key, the dreaded F1 key."""
00:02:45,00:02:47,(laughing)
00:02:47,00:02:50,"And basically the F1 key brings up some help for,"
00:02:50,00:02:51,"""Do you need help on your Excel?"""
00:02:51,00:02:53,"And it's a key, I think you told us before,"
00:02:53,00:02:57,it's a key that's hated by Excel spreadsheet people.
00:02:57,00:02:59,They actually take it out of the keyboard.
00:02:59,00:03:01,It's so hated amongst members.
00:03:01,00:03:02,- I thought they didn't hate it.
00:03:02,00:03:05,"It was the, it helps you do a load of the functions."
00:03:05,00:03:07,"But actually, if you're really good at knowing"
00:03:07,00:03:09,"all the shortcuts, you don't need it."
00:03:09,00:03:11,So they take it off the keyboard as a kind of pride.
00:03:11,00:03:14,"It's like, I don't know what a good example would be,"
00:03:14,00:03:16,taking the head off your golf club to show.
00:03:16,00:03:17,(laughing)
00:03:17,00:03:18,I'm so good at golf.
00:03:18,00:03:18,- You're so good.
00:03:18,00:03:22,- I can do it just with the stick bit.
00:03:22,00:03:23,"- Do you think anyone ever says,"
00:03:23,00:03:25,"when they're asked, ""What sports do you like to watch?"""
00:03:25,00:03:27,They just say F1 and leave it at that.
00:03:27,00:03:28,(laughing)
00:03:28,00:03:30,They're not pros any further.
00:03:30,00:03:35,"- I was reading about a famous Excel sportsman,"
00:03:35,00:03:38,"called Dermot Early, he's Irish."
00:03:38,00:03:40,And there was an interview with him.
00:03:40,00:03:44,And basically he got into competitive excelling
00:03:44,00:03:46,because he was really popular at work
00:03:46,00:03:48,because he was the only guy who knew how to use Excel.
00:03:48,00:03:51,"And people, I bet a lot of us here know about that,"
00:03:51,00:03:53,"going into the office,"
00:03:53,00:03:55,been the only one who knows how to use a spreadsheet
00:03:55,00:03:57,and just people kept coming up to him.
00:03:57,00:03:59,"And so they asked him, ""Does Excel make you popular?"""
00:03:59,00:04:01,"And he said, ""Yeah, it made me popular with my peers"
00:04:01,00:04:02,"""and with people at work."""
00:04:02,00:04:05,"And they said, ""Do you get any fan mail?"""
00:04:05,00:04:06,"And he said, ""Yes, I do."""
00:04:06,00:04:09,"Well, I get a lot of LinkedIn connection requests."
00:04:09,00:04:11,(laughing)
00:04:11,00:04:14,- I think they're rock stars.
00:04:14,00:04:16,Just back to Bill Jelen for a second.
00:04:16,00:04:19,"Reading about his life, he goes around the world"
00:04:19,00:04:21,"giving talks, he's a hugely popular guy"
00:04:21,00:04:22,within the Excel world.
00:04:22,00:04:23,He's written 60s--
00:04:23,00:04:24,"- It's an important caveat, isn't it?"
00:04:24,00:04:27,I'm a hugely popular guy within the Excel world.
00:04:27,00:04:28,(laughing)
00:04:28,00:04:31,- He's written 67 books on Excel.
00:04:31,00:04:32,He's got a list on his website as well
00:04:32,00:04:34,about the cool things that he's done
00:04:34,00:04:36,"so that when you read it and you know Excel,"
00:04:36,00:04:37,"you're like, ""Oh my God, this guy's amazing."""
00:04:37,00:04:40,So check out his list of his awesomeness.
00:04:40,00:04:41,He helped a client in Australia
00:04:41,00:04:46,cut a 40 hour a month task into a four minute process.
00:04:46,00:04:47,That's pretty crazy.
00:04:47,00:04:48,- He was immediately fired.
00:04:48,00:04:49,- Yeah.
00:04:49,00:04:53,"- Look at this, spent 14 minutes with a seminar attendee"
00:04:53,00:04:55,in Trinidad to reduce a three day task
00:04:55,00:04:57,to a two minute process.
00:04:57,00:04:58,"- Yeah, wow."
00:04:58,00:05:00,"- Yeah, and then this is randomly thrown in there."
00:05:00,00:05:03,"Once won $1,000 for stopping an electric fan"
00:05:03,00:05:07,with his tongue at a local stupid human tricks competition.
00:05:07,00:05:09,(laughing)
00:05:09,00:05:10,"- Say $1,000."
00:05:10,00:05:11,"- $1,000."
00:05:11,00:05:15,- That's quite a low sum of money for an event
00:05:15,00:05:18,where there's a non-zero chance you'll lose your tongue.
00:05:18,00:05:19,- Very true.
00:05:19,00:05:21,- You might insure your tongue before you go to the event.
00:05:21,00:05:22,"- For $2,000."
00:05:22,00:05:23,"- Yeah, yeah."
00:05:23,00:05:24,"- Win, win."
00:05:24,00:05:28,"- Then if, so even if you lose it, you get $3,000."
00:05:28,00:05:30,"If you stop the fan, you get $3,000."
00:05:30,00:05:30,- I don't know.
00:05:30,00:05:32,- I haven't thought this through.
00:05:32,00:05:34,"- If you stop the fan, but you lose your tongue"
00:05:34,00:05:37,"in the process, you get $3,000."
00:05:37,00:05:39,- You need a spreadsheet to work it out.
00:05:39,00:05:40,"And that's why, it sounds great."
00:05:40,00:05:41,(laughing)
00:05:41,00:05:43,Thank you.
00:05:43,00:05:46,"- They could have shortened that bit that Andy just said,"
00:05:46,00:05:48,which felt like about three days to just two minutes.
00:05:48,00:05:52,(laughing)
00:05:52,00:05:54,"- You guys, I'm sure, came across the European"
00:05:54,00:05:57,Spreadsheet Risks Group in your research for this.
00:05:57,00:05:58,What a bunch of heroes.
00:05:58,00:05:59,- What do they do?
00:05:59,00:06:01,"- They, their whole raison d'etre"
00:06:01,00:06:04,is to warn business leaders about the risks of spreadsheets.
00:06:04,00:06:05,- Okay.
00:06:05,00:06:07,- So there are millions of problems
00:06:07,00:06:09,"which rise if a spreadsheet is bad,"
00:06:09,00:06:11,"or if there's human error, or anything."
00:06:11,00:06:14,"You know, lost revenue, fraud, systematic failures,"
00:06:14,00:06:16,"people taking three days over something,"
00:06:16,00:06:17,"they should take two minutes, all of it."
00:06:17,00:06:19,And they have an annual conference to network
00:06:19,00:06:21,and discuss spreadsheet risk.
00:06:21,00:06:22,And they have a page on their website
00:06:22,00:06:25,which is called Horror Stories.
00:06:25,00:06:26,"- Oh, yeah."
00:06:26,00:06:27,- I'll give us one.
00:06:27,00:06:28,(laughing)
00:06:28,00:06:31,"- I'll do the crackling fire, as you tell it."
00:06:31,00:06:33,- It was a dark and stormy night.
00:06:33,00:06:35,(laughing)
00:06:35,00:06:36,- That's Hollywood bought the rights
00:06:36,00:06:38,to any of the Horror Stories.
00:06:38,00:06:39,"- I know, they haven't."
00:06:39,00:06:41,"- They can be really dangerous, though."
00:06:41,00:06:44,"- You know, in seriousness, the dangers of spreadsheets"
00:06:44,00:06:46,"led to austerity, which I think,"
00:06:46,00:06:49,"I mean, it's, probably may have read about this,"
00:06:49,00:06:51,but important to remember that whole period of shit
00:06:51,00:06:54,"that we all went through, about 12 years ago."
00:06:54,00:06:56,"- Yeah, glad things, glad things picked up after that."
00:06:56,00:06:57,(laughing)
00:06:57,00:07:00,"Oh, we're not like to be in a timeline"
00:07:00,00:07:01,where things just got worse and worse and worse.
00:07:01,00:07:03,(laughing)
00:07:03,00:07:06,- So that was all based on this Harvard paper.
00:07:06,00:07:08,So the reason that George Osborne and David Cameron
00:07:08,00:07:10,launched austerity was because of this Harvard paper
00:07:10,00:07:13,"that did a bunch of calculations, which showed that,"
00:07:13,00:07:17,"I think, if your debt was exceeding 90% of your GDP,"
00:07:17,00:07:18,then your economy would shrink.
00:07:18,00:07:21,"And so they said, okay, the economy's gonna shrink"
00:07:21,00:07:22,if we don't launch austerity.
00:07:22,00:07:24,"Actually, it had been done on a spreadsheet,"
00:07:24,00:07:26,"and a bunch of rows of data had been missed out,"
00:07:26,00:07:27,"which, if they'd been included,"
00:07:27,00:07:29,"would have shown that the economy wouldn't shrink,"
00:07:29,00:07:31,"didn't need austerity at all,"
00:07:31,00:07:33,"all for nothing, sorry to be a downer."
00:07:33,00:07:35,But--
00:07:35,00:07:38,"- I mean, was the reason they did it really the spreadsheet?"
00:07:38,00:07:41,Or were they looking for an excuse and found this paper?
00:07:41,00:07:42,(laughing)
00:07:42,00:07:44,- George Osborne deleting those rows
00:07:44,00:07:45,in the middle of the night.
00:07:45,00:07:47,(laughing)
