start_hhmmss,end_hhmmss,text
00:00:00,00:00:10,[MUSIC]
00:00:10,00:00:16,">> Hello and welcome to another episode of No Such Thing as a Fish,"
00:00:16,00:00:23,a weekly podcast this week coming to you live from Edinburgh.
00:00:23,00:00:30,"[APPLAUSE] My name is Dan Shriver, I'm sitting here with Anna Tyshinski,"
00:00:30,00:00:33,Andrew Hunter Murray and James Harkin.
00:00:33,00:00:36,"And once again, we have gathered round the microphones with our four"
00:00:36,00:00:38,favorite facts from the last seven days.
00:00:38,00:00:42,"And in no particular order, here we go."
00:00:42,00:00:46,"Starting with fact number one, and that is James."
00:00:46,00:00:49,">> Okay, my fact this week is that when Dick Loss,"
00:00:49,00:00:55,"the president of the Montana Cowboy Association,"
00:00:55,00:01:03,"drove a car for the first time, he crashed it into a fence."
00:01:03,00:01:05,"Because instead of using the brake pedal,"
00:01:05,00:01:09,"he pulled back on the steering wheel and yelled, whoa!"
00:01:09,00:01:12,>> [LAUGH]
00:01:12,00:01:13,>> Incredible.
00:01:13,00:01:15,>> [LAUGH]
00:01:15,00:01:16,>> Lot to unpack.
00:01:16,00:01:18,>> So who was Dick Loss?
00:01:18,00:01:22,>> He was the president of the Montana Cowboy Association.
00:01:22,00:01:22,>> [LAUGH]
00:01:22,00:01:24,>> Cool.
00:01:24,00:01:24,>> A cowboy.
00:01:24,00:01:25,>> Who's a cowboy?
00:01:25,00:01:30,And I found this because he's just been inducted into the Cowboy Hall of Fame in
00:01:30,00:01:30,Montana.
00:01:30,00:01:32,>> Cool.
00:01:32,00:01:33,>> He was a male carrier.
00:01:33,00:01:35,>> Do you keep tabs on the Cowboy Hall of Fame in Montana?
00:01:35,00:01:37,"Every new person who's inducted, you know about it."
00:01:37,00:01:38,">> I do. >> He's got one of his phone,"
00:01:38,00:01:39,he's got one of those notifications.
00:01:39,00:01:41,>> [LAUGH]
00:01:41,00:01:43,>> Do you want some other people who are in the Cowboy Hall of Fame in Montana?
00:01:43,00:01:45,">> Yeah, yes, so."
00:01:45,00:01:45,>> Bob Fudge.
00:01:45,00:01:47,>> [LAUGH]
00:01:47,00:01:47,>> Bob Fudge.
00:01:47,00:01:48,>> Bob Fudge.
00:01:48,00:01:50,">> Oh no, the Fudge Gang are in town."
00:01:50,00:01:52,>> [LAUGH]
00:01:52,00:01:53,>> It's just a funny cowboy name.
00:01:53,00:01:55,">> Bob Fudge, Fanny Steel."
00:01:55,00:01:57,>> [LAUGH]
00:01:57,00:01:57,">> Fanny Steel, yeah."
00:01:57,00:02:01,">> Johnny Flowers, Carl Moss, Spud Creamer."
00:02:01,00:02:02,>> [LAUGH]
00:02:02,00:02:05,">> Spud Creamer, Chief Sitting Bull, and"
00:02:05,00:02:08,the 1904 Fort Shore Indian School Girls Basketball Team.
00:02:08,00:02:10,>> [LAUGH]
00:02:10,00:02:11,>> Wow.
00:02:11,00:02:12,>> Did you say Spud Creamer?
00:02:12,00:02:13,>> Spud Creamer.
00:02:13,00:02:14,>> [LAUGH]
00:02:14,00:02:15,>> These are incredible.
00:02:15,00:02:18,">> It's a great name, he was incredibly dull, I have to say."
00:02:18,00:02:20,>> Really?
00:02:20,00:02:21,">> I read all of the,"
00:02:21,00:02:22,"because they have the biographies of all these people, and"
00:02:22,00:02:25,that's how I read this about Dick Loss.
00:02:25,00:02:29,"Basically, I found this Hall of Fame, and they had all the names."
00:02:29,00:02:32,"I don't know what drew me to Dick Loss, first of all, but I read his biography,"
00:02:32,00:02:34,and it had this amazing thing.
00:02:34,00:02:37,"But he was a male carrier, he was a cowboy."
00:02:37,00:02:43,"He lived in a place called Square Butte, and it's pronounced Square Butte."
00:02:43,00:02:47,"And every time we say the word But, it's spelled B-U-T-E."
00:02:47,00:02:50,"We get loads of people writing in from Montana or Wyoming saying,"
00:02:50,00:02:54,"it's pronounced Butte, and I'm like, well, don't spell it like Butte then."
00:02:54,00:02:57,">> Yeah, yeah, good point."
00:02:57,00:03:02,"I was looking up the meaning of whoa, whoa."
00:03:02,00:03:06,"So there's some, I wouldn't go so far as to call it controversy."
00:03:06,00:03:12,"But a little bit of debate, I was reading horsejournals.com."
00:03:12,00:03:15,"Which is a great site, if you're into horses."
00:03:15,00:03:19,"And Jack Ballew, who is, she's a horse trainer of many years experience."
00:03:19,00:03:22,She wrote a piece about the meaning of whoa.
00:03:22,00:03:26,"And her contention is that by and large, it means nothing."
00:03:26,00:03:27,It means nothing at all.
00:03:27,00:03:30,It's something for humans to say while they try and sort out the horse situation.
00:03:30,00:03:32,Horse doesn't care.
00:03:32,00:03:34,">> But it does have a meaning, doesn't it?"
00:03:34,00:03:35,">> It has a meaning, yeah, yeah."
00:03:35,00:03:38,">> If you're running towards me and I say, whoa, you know what I mean."
00:03:38,00:03:39,">> Yeah, but I'm not a horse and neither are you."
00:03:39,00:03:45,">> So it's, she says, the word whoa is used with zero purpose."
00:03:45,00:03:47,"This is in general, other than to fill silent air and"
00:03:47,00:03:50,give our busy human minds something to work over and repeat incessantly.
00:03:50,00:03:52,>> No. >> What is this person talking about?
00:03:52,00:03:55,We all know that whoa means slow down or stop.
00:03:55,00:03:56,This is person illiterate.
