start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:16,- Hello and welcome to another episode
00:00:16,00:00:19,"of No Such Thing as a Fish, a weekly podcast."
00:00:19,00:00:21,"This week, coming to you live"
00:00:21,00:00:23,from the London Podcast Festival.
00:00:23,00:00:25,(audience cheering)
00:00:25,00:00:27,My name is Dan Schreiber.
00:00:27,00:00:29,"I am sitting here with Anna Tyshinski,"
00:00:29,00:00:31,"Andrew Hunter Murray, and James Harkin."
00:00:31,00:00:34,"And once again, we have gathered round the microphones"
00:00:34,00:00:36,with our four favorite facts from the last seven days.
00:00:36,00:00:40,"And in a particular order, here we go."
00:00:40,00:00:44,"Starting with fact number one, and that is Anna."
00:00:44,00:00:47,- My fact this week is that researchers have concluded
00:00:47,00:00:50,that cats don't like cat people.
00:00:50,00:00:52,(audience laughing)
00:00:52,00:00:54,I'm really sorry.
00:00:54,00:00:56,"- What a cat. - Scientifically speaking,"
00:00:56,00:00:58,"the more you like cats, the less they like you."
00:00:58,00:01:00,"- But I would say I have a cat,"
00:01:00,00:01:02,and I wouldn't say I'm a cat person.
00:01:02,00:01:04,And my cat definitely doesn't like me.
00:01:04,00:01:07,So could it be that cats just don't like any people?
00:01:07,00:01:10,"- Sometimes they're just good judges of character, James."
00:01:10,00:01:13,"But this, it's actually not that."
00:01:13,00:01:15,So this is a study that was done
00:01:15,00:01:16,at Battersea Dogs and Cats Home
00:01:16,00:01:19,with a bunch of universities involved.
00:01:19,00:01:23,And it got 119 different people to interact
00:01:23,00:01:25,with a cat in a room.
00:01:25,00:01:27,And then it looked at various things
00:01:27,00:01:28,"about the people, like their personality type,"
00:01:28,00:01:31,"they're kind of neurotic, are they agreeable people?"
00:01:31,00:01:32,"You know, you fill in a questionnaire"
00:01:32,00:01:34,and say all that stuff about yourself.
00:01:34,00:01:36,"And it asked them, have you ever owned a cat?"
00:01:36,00:01:38,How long have you owned a cat for?
00:01:38,00:01:39,Do you like cats?
00:01:39,00:01:42,Turns out the best predictor of how much a cat
00:01:42,00:01:44,is gonna like you is the number of years
00:01:44,00:01:45,"that you've lived with a cat,"
00:01:45,00:01:48,but they're inversely proportional.
00:01:48,00:01:50,(audience laughing)
00:01:50,00:01:53,"Yeah, the more, and people would like say,"
00:01:53,00:01:55,"you know, I'm really good with cats."
00:01:55,00:01:58,It's the people who are self-professed cat knowers.
00:01:58,00:01:59,"- Well, the thing I was reading is that a lot of it"
00:01:59,00:02:03,"is about cat people, people who like cats,"
00:02:03,00:02:05,cat people.
00:02:05,00:02:07,"- So, good clarification, sorry."
00:02:07,00:02:09,- Just in case you all thought we were talking
00:02:09,00:02:10,"about half cats, half person."
00:02:10,00:02:11,(audience laughing)
00:02:11,00:02:14,"- Really annoyingly, that's all my research."
00:02:14,00:02:16,(audience laughing)
00:02:16,00:02:18,"- Well, I think this was the study."
00:02:18,00:02:20,It found that they touched the cats
00:02:20,00:02:23,so-called red areas more when left alone with cats.
00:02:23,00:02:27,"Red areas are things like the, please,"
00:02:27,00:02:28,the-
00:02:28,00:02:31,"- We all went to that HR meeting, Andy, we know."
00:02:31,00:02:33,(audience laughing)
00:02:33,00:02:37,"- The base of the tail, or the belly."
00:02:37,00:02:39,"Apparently, the hairs on the belly are really sensitive,"
00:02:39,00:02:41,"and so a big old belly rub will,"
00:02:41,00:02:43,"I'm sure the cats vary from cat cats, but-"
00:02:43,00:02:45,"- They don't seem to, with the red areas."
00:02:45,00:02:48,"It's just the belly and base of the tail that are red,"
00:02:48,00:02:50,and they really seem to have crossed the board dislike.
00:02:50,00:02:53,"The rest of the cat is yellow area,"
00:02:53,00:02:53,like traffic lights.
00:02:53,00:02:54,- There's no green area.
00:02:54,00:02:55,- There's no green.
00:02:55,00:02:57,- I thought green was under the chin.
00:02:57,00:02:58,- You're absolutely right.
00:02:58,00:02:59,"- Yeah, I mean, I read it."
00:02:59,00:02:59,I didn't-
00:02:59,00:03:02,(audience laughing)
00:03:02,00:03:05,"Yeah, they love a little tickle under the chin, and-"
00:03:05,00:03:07,"- And the cheeks, and the base of the ears."
00:03:07,00:03:08,- Yeah.
00:03:08,00:03:09,"- But yeah, that's basically it."
00:03:09,00:03:12,"The cat people are too tactile with cats,"
00:03:12,00:03:15,"and also this study found that their interaction style,"
00:03:15,00:03:17,"they want to control the interaction,"
00:03:17,00:03:20,whereas cats really dislike that.
00:03:20,00:03:22,So they prefer to be the ones who approach you.
00:03:22,00:03:24,They only want to get touched.
00:03:24,00:03:25,"If, you know, they've initiated it,"
00:03:25,00:03:26,"they've said, ""All right, come on,"
00:03:26,00:03:27,"you can touch me now."""
00:03:27,00:03:29,And this isn't what cat people do.
00:03:29,00:03:33,"And similarly, older people, cats tend to like them less"
00:03:33,00:03:37,"'cause older people, sorry, but usually cat people."
00:03:37,00:03:39,(audience laughing)
00:03:39,00:03:41,"It's the old cliche that, you know,"
00:03:41,00:03:43,it's always the person in the corner of the room
00:03:43,00:03:44,who's ignoring the cat that it goes to.
00:03:44,00:03:45,It turns out that it's true.
00:03:45,00:03:46,- Yeah.
00:03:46,00:03:48,There's been a recent study as well
00:03:48,00:03:51,"that says that they recognize their names, cats,"
00:03:51,00:03:53,"but they're just, they don't want you to know"
00:03:53,00:03:54,that they recognize their names.
00:03:54,00:03:56,(audience laughing)
00:03:56,00:04:00,So this was people at Sophia University in Japan.
00:04:00,00:04:02,"And they played a load of noises,"
00:04:02,00:04:05,including the cat's name that was said by the owner.
00:04:05,00:04:07,"And then as soon as their name was called,"
00:04:07,00:04:10,they saw their tail move almost imperceptibly.
00:04:10,00:04:12,They just very slightly moved.
00:04:12,00:04:14,Some people think that that's because
00:04:14,00:04:15,"they recognize their name,"
00:04:15,00:04:16,"but other people think, well,"
00:04:16,00:04:18,it's just something they kind of associate with food.
00:04:18,00:04:22,So you might as well be shaking a box of cat food
00:04:22,00:04:22,and do the same.
00:04:22,00:04:24,- I feel like all of these cat studies
00:04:24,00:04:25,are dancing around the fact that cats are dicks.
00:04:25,00:04:28,None of the scientists want to say that cats are dicks
00:04:28,00:04:31,because they know that if they say cats are dicks
00:04:31,00:04:32,"in the abstract of their paper,"
00:04:32,00:04:34,then they'll get in trouble with cat people.
00:04:34,00:04:36,So here's another one.
00:04:36,00:04:37,"Again, they didn't say cats are dicks,"
00:04:37,00:04:39,but I think we can all agree the implication.
00:04:39,00:04:40,"When you own a cat,"
00:04:40,00:04:43,it will not side with you against your enemies.
00:04:43,00:04:45,"Okay, that's bad."
00:04:45,00:04:47,So there's this experiment.
00:04:47,00:04:50,"Basically, you get a cat and the cat observes its owner,"
00:04:50,00:04:53,"struggling to open a container of something, right?"
00:04:53,00:04:55,And then the owner would request help
00:04:55,00:04:58,"from an actor, a stooge sitting there by,"
00:04:58,00:05:01,"and either the actor did help or didn't, right?"
00:05:01,00:05:03,"And then later on, that actor,"
00:05:03,00:05:05,"whether unhelpful or not, offered the cats some food."
00:05:05,00:05:07,The cats were completely agnostic
00:05:07,00:05:09,"about whether they took the food or not,"
00:05:09,00:05:13,whereas dogs would frequently refuse food
00:05:13,00:05:15,from the person who'd been a dick to their owner.
00:05:15,00:05:17,Cats were not like that.
00:05:17,00:05:19,"Cats were totally neutral,"
00:05:19,00:05:21,but it is possible that they're too stupid
00:05:21,00:05:23,to understand the play
00:05:23,00:05:26,that they've been put on for their benefit.
00:05:26,00:05:27,"Wow, yeah."
00:05:27,00:05:31,"Speaking of dicks, this study..."
00:05:31,00:05:34,That is definitely a red area.
00:05:34,00:05:36,So this study that I mentioned
00:05:36,00:05:39,"was done by a bunch of universities,"
00:05:39,00:05:41,"the two Nottingham universities, in fact,"
00:05:41,00:05:44,"and also the Royal Brackets Dick,"
00:05:44,00:05:47,"Clothes Brackets School of Veterinary Studies in Edinburgh,"
00:05:47,00:05:49,and that's its name.
00:05:49,00:05:52,The Royal Dick School of Veterinary Studies in Edinburgh.
00:05:52,00:05:53,"It is named after a person called Dick,"
00:05:53,00:05:56,"so it's usually abbreviated to ""The Dick Fett."""
00:05:56,00:06:01,So it sounds like it's a real specialty vet.
00:06:01,00:06:04,And it was established...
00:06:04,00:06:05,It was established in the 19th century
00:06:05,00:06:08,by a vet called William Dick.
00:06:08,00:06:09,"And before you say anything, James,"
00:06:09,00:06:12,"there's no evidence he ever shortened his name to Willie, OK?"
00:06:12,00:06:14,Willie Dick.
00:06:14,00:06:16,Never did he go by Willie Dick.
00:06:16,00:06:17,Good. Very nice.
00:06:17,00:06:18,Have you guys heard?
00:06:18,00:06:20,"This has blown my mind,"
