start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi everybody, just before we start the show, we wanted to really highly recommend to you"
00:00:04,00:00:07,a new book that's just about to come out on the market.
00:00:07,00:00:13,It's called The Theory of Everything Else and it is by an author you may have heard
00:00:13,00:00:14,of.
00:00:14,00:00:15,"Oh, Lee Child."
00:00:15,00:00:17,It's so close.
00:00:17,00:00:18,Richard Osman.
00:00:18,00:00:19,You're a bit further away now actually.
00:00:19,00:00:22,Go back to the Lee Child direction.
00:00:22,00:00:25,"It's Dan Schreiber's book, ladies and gentlemen."
00:00:25,00:00:26,Yay!
00:00:26,00:00:29,"Dan has written a book, it's called The Theory of Everything Else and if you listen to fish,"
00:00:29,00:00:31,you already know what it's about.
00:00:31,00:00:35,"It's about all the craziest, strangest theories that people have believed about all sorts of"
00:00:35,00:00:37,things around the world.
00:00:37,00:00:38,"You want the Titanic, it's in there."
00:00:38,00:00:40,"You want aliens, they're in there."
00:00:40,00:00:43,"You want Nicholas Wichelt, the BBC's royal correspondent, living on the banks of Loch"
00:00:43,00:00:47,"Ness, trying to find Nessie for several months earlier in his career."
00:00:47,00:00:48,That's in there.
00:00:48,00:00:49,And who doesn't want that?
00:00:49,00:00:50,It's what we've always wanted.
00:00:50,00:00:53,Dan's been cooking up this book for as long as I've known him.
00:00:53,00:00:56,"Genuinely, it's been absolutely worth the wait."
00:00:56,00:00:59,Every single page is a story that you absolutely won't believe.
00:00:59,00:01:05,"So it's about these weird ideas, people with these bizarre beliefs, but who somehow end"
00:01:05,00:01:06,up changing the world.
00:01:06,00:01:09,It's about how these beliefs end up to have been logical.
00:01:09,00:01:13,It's basically about how we should never dismiss what seems like lunacy because sometimes
00:01:13,00:01:17,it can turn out to be genius and it is the most incredible read.
00:01:17,00:01:21,"Yeah, and that is the motto actually for recording episodes of the podcast with Dan."
00:01:21,00:01:22,So you already know what you're going to get.
00:01:22,00:01:26,"If you want to check it out, just find The Theory of Everything Else."
00:01:26,00:01:30,There is also a website attached which will have all the additional notes and videos and
00:01:30,00:01:31,updates.
00:01:31,00:01:32,That's theoryofeverythingelse.co.uk.
00:01:32,00:01:34,"Guys, this is Dan's first book."
00:01:34,00:01:38,"We'd love it to be a monster hit, so get yourself a copy right now."
00:01:38,00:01:39,"Yes, please do."
00:01:39,00:01:42,"I kind of want to just read your transcript of the whole thing because all the characters,"
00:01:42,00:01:45,all the stories in it are incredible.
00:01:45,00:01:49,"So please go there, help out Dan and read, you know, the most interesting book of your"
00:01:49,00:01:50,year.
00:01:50,00:01:53,"If you want to see The Theory of Everything Else, you can pre-order it now, or it's out"
00:01:53,00:01:56,"next week, October the 13th."
00:01:56,00:01:58,Get to a bookshop and buy it.
00:01:58,00:01:59,On with the show!
00:01:59,00:02:02,On with the podcast.
00:02:02,00:02:20,"Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast"
00:02:20,00:02:28,"this week, coming to you live from Inverness!"
00:02:28,00:02:33,My name is Dan Shriver.
00:02:33,00:02:38,"I'm sitting here with Anna Tyshinski, Andrew Hunter Murray, and James Harkin."
00:02:38,00:02:42,"And once again, we have gathered around the microphones with our four favorite facts from"
00:02:42,00:02:43,the last seven days.
00:02:43,00:02:50,"And in no particular order, here we go, starting with fact number one, and that is James."
00:02:50,00:02:55,"Okay, my fact this week is that you can catch chlamydia from dead parrots."
00:02:55,00:02:56,Darling!
00:02:56,00:03:05,What do you have to do with dead parrots to catch chlamydia from them?
00:03:05,00:03:08,"Well, it's a bacterium, chlamydia."
00:03:08,00:03:13,"This is actually called Cytocosis, and it's kind of known as parrot fever, but it's a"
00:03:13,00:03:19,"type of chlamydia, and the bacterium can come from the parrot to you through mouth to beak"
00:03:19,00:03:20,contact.
00:03:20,00:03:21,Mm-hmm.
00:03:21,00:03:22,Yeah.
00:03:22,00:03:23,Yeah.
00:03:23,00:03:24,Sexy stuff.
00:03:24,00:03:29,"Or the airborne inhalation of feather dust, feces, or respiratory secretions."
00:03:29,00:03:30,Less sexy stuff.
00:03:30,00:03:31,Yeah.
00:03:31,00:03:32,So it can come from mouth to beak.
00:03:32,00:03:37,"There was actually, I was looking in some old newspaper archives about this, and I found"
00:03:37,00:03:44,a 1992 cutting from the Press and Journal that reported on a teacher from Inverness who
00:03:44,00:03:49,caught chlamydia from a dead parrot that he apparently found in his garden.
00:03:49,00:03:53,"Don't have a parrot in you, why are you suggesting?"
00:03:53,00:03:57,He might have been giving it life because of life by then.
