start_hhmmss,end_hhmmss,text
00:00:00,00:00:14,[Music]
00:00:14,00:00:20,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to"
00:00:20,00:00:25,"you from the QI offices in Covent Garden. My name is Dan Shriver, I am sitting here with"
00:00:25,00:00:30,"Andrew Hunter Murray, James Harkin and Anna Tyshinski and once again we have gathered around the"
00:00:30,00:00:35,microphones with our four favorite facts from the last seven days and in a particular order here
00:00:35,00:00:41,"we go. Starting with fact number one and that is my fact, my fact this week is that not long"
00:00:41,00:00:48,after Benjamin Franklin invented the lightning rod it took off as a fashion. A lightning rod's
00:00:48,00:00:55,very tall metal objects. Yeah and very sexy when combined. You could dance around them.
00:00:55,00:01:03,Now this was in Paris in 1778. If you were walking the streets of Paris you would have seen
00:01:03,00:01:09,women with lightning rod hats so this is a hat that would have a sort of protruding rod. As far as
00:01:09,00:01:13,I can see in the drawings of the time they might dress that up a bit with a bit of sort of floral
00:01:13,00:01:18,stuff going around it. Yeah something to disguise it but what you didn't really disguise was the
00:01:18,00:01:23,big chain that came out of the hat that ran to the ground so that should you be struck by
00:01:23,00:01:28,lightning you could then ground the lightning via this big chain. Umbrellas did it as well so you
00:01:28,00:01:32,had umbrella with a giant lightning rod on top. How long do these women tend to survive
00:01:32,00:01:40,during thunderstorms? We don't know. The interesting thing is like was there any use for it do you
00:01:40,00:01:44,think? Do you think they deliberately had them to try and get the lightning away from them?
00:01:44,00:01:50,It's just for fashion. Well I think you know if it functioned as it was meant to then yeah
00:01:50,00:01:54,absolutely. They wanted it to function definitely. No hang on if you were hit by lightning wearing
00:01:54,00:01:59,one of these rods which it would ground it to the ground it's just I think it should work it just
00:01:59,00:02:04,that it would probably be too close to you. You'd die. You would die. If your hat had this and then
00:02:04,00:02:10,you had a Faraday cage all the way around you then that would save you. I've seen the pictures
00:02:10,00:02:15,and they didn't. No. Maybe your sedan chair was a Faraday sedan chair and then you're laughing.
00:02:15,00:02:18,I gotta say I empathize more and more with the French Revolution hearing what was going on in
00:02:18,00:02:25,Paris in the 1780s you know I think yeah that's pretty extravagant outlandish stuff. I don't
00:02:25,00:02:30,think this was to do with Franklin by the way but I think it was his specifically the French
00:02:30,00:02:35,"Benjamin Franklin it was his translator who then turned it so he was a guy who was a botanist,"
00:02:35,00:02:41,a physician and he was called Jacques and then he has two French names off of that.
00:02:41,00:02:48,Babur de Bourg. Yeah that'll do. Yeah looks good to me. Jacques Babur de Bourg and he was a
00:02:48,00:02:57,physician. Are you gonna do the rest of the book? Because he was the guy who translated all
00:02:57,00:03:03,Franklin's stuff into French didn't he? Yeah and because he was friends with Franklin he was also
00:03:03,00:03:09,supposed to go to America and then be kind of you know helping the revolution in a way but he
00:03:09,00:03:14,never went because no one liked him. Oh really? Well like he asked the Americans do you want my
00:03:14,00:03:19,help and they said we're okay. Well they were between a couple of different people and he was
00:03:19,00:03:24,really brash and people weren't really sure about him so he never got to do that. That is mad. Well
00:03:24,00:03:30,but thank god because otherwise you might not design this umbrella. Yeah and the UK might have
00:03:30,00:03:37,still owned America and well on that the America project thing I have a fact about George the
00:03:37,00:03:43,Third related to this and Benjamin Franklin because they had a disagreement about lightning rods.
00:03:43,00:03:46,Guess who was right? George the Third or Benjamin Franklin considering the scientific backgrounds
00:03:46,00:03:51,of the two guys. So one of them famously mad. One of them one of the greatest scientists who's
