start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:16,- Hello and welcome to another episode
00:00:16,00:00:19,"of No Such Thing as a Fish, a weekly podcast"
00:00:19,00:00:22,coming to you from the QI offices in Covent Garden.
00:00:22,00:00:24,"My name is Dan Schreiber, I am sitting here"
00:00:24,00:00:28,"with James Harkin, Anna Tyshinski, and Andrew Hunter Murray."
00:00:28,00:00:30,"And once again, we have gathered around the microphones"
00:00:30,00:00:33,"with our four favorite facts from the last seven days,"
00:00:33,00:00:36,"and in no particular order, here we go."
00:00:36,00:00:40,"Starting with fact number one, and that is Anna."
00:00:40,00:00:42,- My fact this week is that indigenous Bolivian women
00:00:42,00:00:46,"traditionally wear huge, colorful skirts and bowler hats."
00:00:46,00:00:49,(laughing)
00:00:49,00:00:52,And I can't believe I'd never really seen this before.
00:00:52,00:00:54,"It's striking, and they all do."
00:00:54,00:00:57,"So these are, they tend to be known as Cholitas,"
00:00:57,00:01:01,which is basically a term for like the Aymara and the Quechua
00:01:01,00:01:03,and other rural Bolivian women.
00:01:03,00:01:07,"- Not Charlie Chaplin, as it sort of sounds like,"
00:01:07,00:01:07,the Cholitas.
00:01:07,00:01:09,"- It's a, I know you're trying to make a jump"
00:01:09,00:01:11,"to the Charlie Chaplin bowler hat,"
00:01:11,00:01:12,and I appreciate that.
00:01:12,00:01:14,"- Yeah, so like his fan club, you know,"
00:01:14,00:01:17,"all these like Lady Gaga's, I call them monsters."
00:01:17,00:01:18,"- Beliebers, yeah."
00:01:18,00:01:19,"- Maybe you've blown this wide open,"
00:01:19,00:01:21,that is why they do it.
00:01:21,00:01:24,"So Cholitas, it used to be a pejorative term I think,"
00:01:24,00:01:28,"and it was, it comes from the Spanish Cholo for mixed race,"
00:01:28,00:01:31,but it's like very much reclaimed by them now.
00:01:31,00:01:32,"And if you look them up,"
00:01:32,00:01:35,"they always wear these stunning kind of white,"
00:01:35,00:01:37,like silky waistcoats with a brooch
00:01:37,00:01:40,and these huge dresses with like petticoats underneath.
00:01:40,00:01:43,So like really big Elizabethan style dresses.
00:01:43,00:01:46,"And then a bowler hat, which doesn't fit."
00:01:46,00:01:47,- But it does work.
00:01:47,00:01:49,It makes the look awesome.
00:01:49,00:01:50,"- Oh, it works in that way."
00:01:50,00:01:51,- Oh yeah.
00:01:51,00:01:53,"- And it works in like a, you know,"
00:01:53,00:01:55,because bowler hats were originally invented
00:01:55,00:01:57,"to stop twigs from hurting your head when they,"
00:01:57,00:01:58,so I wondered if...
00:01:58,00:02:01,- It would probably stop a twig from hurting your head.
00:02:01,00:02:02,- It's not functional.
00:02:02,00:02:04,"- I'm talking fashion, I was saying it works."
00:02:04,00:02:07,"- That works, it does work."
00:02:07,00:02:10,"Yes, and we're not quite sure why they do it."
00:02:10,00:02:13,They started doing it the turn of the 20th century.
00:02:13,00:02:15,There's the legend that when British
00:02:15,00:02:17,"and Irish railway workers were in Bolivia,"
00:02:17,00:02:19,"which they worked, the railway building company"
00:02:19,00:02:21,was a British company.
00:02:21,00:02:23,There was a big shipment of bowler hats
00:02:23,00:02:25,that was sent for them to wear.
00:02:25,00:02:27,'Cause it was like workers hats and they were too small.
00:02:27,00:02:30,So some clever marketing person flogged them
00:02:30,00:02:31,to the indigenous women.
00:02:31,00:02:34,"I think there was a guy called Domingo Solingo,"
00:02:34,00:02:37,who did a very good job of popularizing them
00:02:37,00:02:39,and like ran a good PR campaign.
00:02:39,00:02:40,- Try to get men to wear it first
00:02:40,00:02:42,"from one of the other stories, versions of the story."
00:02:42,00:02:43,And they were just not interested.
00:02:43,00:02:46,"So they're just as a last minute thing when women,"
00:02:46,00:02:48,"- But then, when he was walking along"
00:02:48,00:02:50,"with a tray of samples one day, he tripped over"
00:02:50,00:02:53,and one of the hats fell onto a woman's head.
00:02:53,00:02:55,"And completely by accident, he discovered."
00:02:55,00:02:58,"- That's so interesting, 'cause they are, I mean,"
00:02:58,00:03:00,they are comically small.
00:03:00,00:03:03,"They're not like, you know, just a little bit too small"
00:03:03,00:03:04,"to go on your head, are they?"
00:03:04,00:03:06,"- They're not like yamulka, if you're a bit string."
00:03:06,00:03:08,"It's like, yeah, just--"
00:03:08,00:03:09,- They're clearly too small.
00:03:09,00:03:10,It's what I'm saying. - They sit on top.
00:03:10,00:03:11,They sit on top. - They sit on top.
00:03:11,00:03:14,"- So I mean, who were they made for, is my--"
00:03:14,00:03:15,- Yes.
00:03:15,00:03:17,"- This happened, we have this in the house all the time"
00:03:17,00:03:20,where you order something and then a novelty small sized
00:03:20,00:03:22,version comes in the post.
00:03:22,00:03:23,That must be what it was. - What?
00:03:23,00:03:25,"- You know, like, we bought a crown"
00:03:25,00:03:27,"for my son, Will's birthday and it arrived"
00:03:27,00:03:30,and it was the size that would fit a Kendall's head
00:03:30,00:03:32,by accident because we just hadn't read the measurements.
00:03:32,00:03:33,We got a washing line. - I'm not telling you the measurements.
00:03:33,00:03:34,- Need to read the measurements.
00:03:34,00:03:36,They clearly didn't hear as well.
00:03:36,00:03:39,- One thing I like about the charita thing
00:03:39,00:03:41,"is that they, I didn't really, I mean,"
00:03:41,00:03:43,I didn't know anything about this style before
00:03:43,00:03:46,"or even this cultural grouping before researching this,"
00:03:46,00:03:47,but they weren't allowed to walk freely
00:03:47,00:03:49,"in the main square of La Paz,"
00:03:49,00:03:50,"which is the capital of Bolivia,"
00:03:50,00:03:54,or in the wealthy suburbs in this outfit for many years.
00:03:54,00:03:56,And then it's really been brought back on board
00:03:56,00:03:59,to the extent that they're officially a part
00:03:59,00:04:00,of the city's cultural heritage now.
00:04:00,00:04:02,It's called the charita of La Paz.
00:04:02,00:04:06,And also there are charita fashion shows.
00:04:06,00:04:08,There is a charita modeling agency
00:04:08,00:04:11,and I'm sure you guys came across the Fighting Charitas.
00:04:11,00:04:13,"- Oh yeah, I did not, I'd like to hear about"
00:04:13,00:04:15,"the Fighting Charitas. - It's just a wrestling group,"
00:04:15,00:04:18,but they're female wrestlers who wrestle in traditional--
00:04:18,00:04:19,- With the hat. - With the hat.
00:04:19,00:04:21,- Do they do like odd job?
00:04:21,00:04:22,- The odd job kill.
00:04:22,00:04:23,"Yeah, they do, yeah."
00:04:23,00:04:25,They die by the dozen every man.
00:04:25,00:04:27,"Anyway, the Fighting Charitas, they're all right."
00:04:27,00:04:29,"- That's the one where they play golf, isn't it?"
00:04:29,00:04:30,- Golf. (laughing)
00:04:30,00:04:32,"- That's the only Bond film I've seen,"
00:04:32,00:04:33,the one where they play golf.
00:04:33,00:04:35,- Did you Google Bond film golf?
00:04:35,00:04:36,- I just Google golf and it came up.
00:04:36,00:04:38,"- Right, do you have, you know, there's an app"
00:04:38,00:04:40,"that can tell you when to go to the toilet at the cinema,"
00:04:40,00:04:41,like toilet break.
00:04:41,00:04:42,Do you have an app that just tells you
00:04:42,00:04:43,when golf scenes are in a movie?
00:04:43,00:04:44,"- Yeah, yeah. - And you just show up"
00:04:44,00:04:45,for that bit?
00:04:45,00:04:48,"- I do, I only ever watched Caddy Shack in that Bond film."
00:04:48,00:04:50,(laughing)
00:04:50,00:04:52,"- They are a real happy story,"
00:04:52,00:04:54,"which, you know, we're all on the lookout for these days,"
00:04:54,00:04:57,but I think it was basically since Eva Morales
00:04:57,00:04:59,"was in charge of Bolivia, right,"
00:04:59,00:05:01,"who was their first indigenous president,"
00:05:01,00:05:03,who came in the early 2000s
00:05:03,00:05:06,and sort of completely rehabilitated their reputations
00:05:06,00:05:07,'cause they had been kind of ostracized
00:05:07,00:05:10,and had all these horrible repressive rules
00:05:10,00:05:12,made against them.
00:05:12,00:05:14,And now they're doing so well
00:05:14,00:05:18,and it's a real great story and they're quite well off.
00:05:18,00:05:21,They've got all these celebrations about their heritage.
00:05:21,00:05:23,"They have, I think they have a few indigenous people"
00:05:23,00:05:26,"in parliament, they're like lawyers and doctors"
00:05:26,00:05:29,"and yeah, it's quite nice 'cause they have since,"
00:05:29,00:05:31,like literally back in the day when the Spanish colonized
00:05:31,00:05:33,"and they wanted to distinguish them,"
00:05:33,00:05:37,the superior colonists from the indigenous people.
00:05:37,00:05:38,"So they said, okay, well, what do people"
00:05:38,00:05:40,who were lower class do in Spain?
00:05:40,00:05:41,They wear these big peasant dresses
00:05:41,00:05:44,and so they made them all wear these big peasant dresses.
00:05:44,00:05:45,- What does that come from?
00:05:45,00:05:46,"- So yeah, they put them in these,"
00:05:46,00:05:48,to just say like you're beneath us
00:05:48,00:05:49,"and the charlatans just went, all right,"
00:05:49,00:05:50,we're gonna own this.
00:05:50,00:05:53,- It's interesting 'cause like the big dresses
