start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[Music]
00:00:02,00:00:06,"Hi everybody, just a quick announcement before we start this week's show and that is that"
00:00:06,00:00:12,we have a special guest on. He's been on once before and he was so good that we decided
00:00:12,00:00:18,we absolutely had to have him back. It's Jamie Morton from My Dad Wrote a Porno. He is the
00:00:18,00:00:24,star. He is the one whose dad actually wrote a porno and we're having him on partly because
00:00:24,00:00:28,he's a brilliant guest and also because it's a very sad time in podcast land because the
00:00:28,00:00:34,"final episodes of My Dad Wrote a Porno have just gone out all apart from the very, very"
00:00:34,00:00:39,last one which is coming out on the 12th of December and it features an exclusive interview
00:00:39,00:00:45,"with for the first time ever Rocky Flintstone himself, the Banksy of Erotica as they call"
00:00:45,00:00:51,him. Missed opportunity to call him the Wanksy of Erotica but never mind. Jamie was absolutely
00:00:51,00:00:55,brilliant. This was such a fun episode to record. He is so funny. We think you're going
00:00:55,00:00:59,to love it and so do check out the final My Dad Wrote a Porno episodes and all the other
00:00:59,00:01:19,"ones too. All right, on with the show."
00:01:19,00:01:25,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:01:25,00:01:29,to you from the QI offices in Covent Garden. My name is Dan Schreiber. I am sitting here
00:01:29,00:01:35,"with Andrew Hunter Murray, James Harkin and special guest is Jamie Morton. And once again,"
00:01:35,00:01:39,we have gathered around the microphones with our four favorite facts from the last seven
00:01:39,00:01:45,"days and in a particular order here we go. Starting with fact number one, that is Jamie."
00:01:45,00:01:54,"Okay, so my fact this week is this week. I'm not on the show. My fact is Barry Fitzgerald"
00:01:54,00:02:02,is the only actor in Oscar history to be nominated twice for the same role in the same film.
00:02:02,00:02:08,"Oh, was the film an early version of Mrs. Doubtfire? Best actor and best actress. Yeah,"
00:02:08,00:02:17,"exactly. No, no. He had one role. It was Father Fitzgibbon in 1944's Going My Way, which did"
00:02:17,00:02:22,"win Best Picture, actually. Yeah, he was he was nominated for both Best Leading Actor"
00:02:22,00:02:26,"and Best Supporting Actor. Yeah, yeah, which is insane. It doesn't say much for the rest"
00:02:26,00:02:32,"of the cast, does it? Exactly. But he won for Best Supporting Actor. So he could have"
00:02:32,00:02:37,"conceived of the one for both. Yes, but it went to Bing Crosby, who was the lead in the"
00:02:37,00:02:43,"film in it. Or Co-lead. Hang on to it. One best film, it won Best Actor for Bing Crosby."
00:02:43,00:02:48,"Yes. But then Fitzgerald lost Best Actor, but he won Best Supporting Actor. Yes, correct."
00:02:48,00:02:52,That is amazing. I know. What a sweep. Yeah. Do you have to pay entry fees for the Oscar
00:02:52,00:02:58,"Oscars? That is a great question, James. Andy. Yeah. Yeah, you do. I imagine you do. You"
00:02:58,00:03:02,"have to nominate yourself. Yeah, yeah. You have probably an administration fee, like"
00:03:02,00:03:09,20 quid or something. 20 quid. Probably. But this movie sort of set a lot of records.
00:03:09,00:03:13,"For example, it's the first film to ever have two actors win the Academy Award for Best"
00:03:13,00:03:18,Actor and Best Supporting Actor. It was the first movie to get the Academy Award for Directing
00:03:18,00:03:21,"and Writing, which was by a guy called Leo McKerry, who wrote and directed it. Oh, so"
00:03:21,00:03:26,he won two. He won two at that one. It was the first film to win Beck's picture at the
00:03:26,00:03:29,Academy Awards and the Golden Globes. It was the first picture to win Best Picture and
00:03:29,00:03:34,Best Song. It has all these records as the first movie. No one's seen it. I never heard
00:03:34,00:03:39,of it. Exactly. It seems such a waste. I suppose 1944 we had other things to worry about. Didn't
00:03:39,00:03:44,"they hit Europe? Well, it's interesting you should say that because during the war, all"
00:03:44,00:03:49,"Oscar statues were made of plaster instead of gold or gold plated bronze, which is what"
00:03:49,00:03:56,they're actually made of. So he got a a plaster Oscar and he was a massive golf fan was old
00:03:56,00:04:01,Barry Fitzgerald. And he was practicing his golf swing one day and he decapitated his
00:04:01,00:04:07,Oscar. That's a great picture of him with like the head and the body. I was reading a bit
00:04:07,00:04:11,"more about this guy, Barry Fitzgerald. Yeah, yeah. Oh, interesting man. Yeah. He was childhood"
00:04:11,00:04:19,"playmates with the siblings of okay, fine. James Joyce. Okay, not James. No, they thought"
00:04:19,00:04:25,he was weird. He was older and they said that he had a beard and glasses and was always
00:04:25,00:04:31,reading books and so didn't play with him. His name Barry Fitzgerald. It's not his real
00:04:31,00:04:36,name is it? And usually you do that because you arrive into the world of the arts and
00:04:36,00:04:40,someone has your name and so you have to register your name right and you change it. But for
00:04:40,00:04:44,him it was because he was trying to hide from the fact that he was sort of doubling on his
00:04:44,00:04:47,"work when he was meant to be working in the civil service. So they wouldn't, his name"
00:04:47,00:04:51,would be on the bill and they wouldn't know it was him. The worst thing was he worked
00:04:51,00:04:55,"in the unemployment department. So they had all of that. Yeah, they had all of the lists"
00:04:55,00:04:59,of who was supposed to be working and who wasn't supposed to be working. So all of his mates
00:04:59,00:05:05,"would have known that he was. He's a movie star. Oh, this is hard to hide because when"
00:05:05,00:05:11,"he started, he was doing plays. He worked in the Abbey Theatre with Sharon Yates as"
00:05:11,00:05:18,"well. So more. Oh, what a milieu. I know. He was once almost kidnapped before the opening"
00:05:18,00:05:25,night of a play he was in. By his boss who said you should be working. It was quite a controversial
00:05:25,00:05:30,"play and Ireland was very recently out of a civil war. You know, it was a febrile time"
00:05:30,00:05:34,and the play had a lot of controversial stuff in it and the Irish Times reported this. It
00:05:34,00:05:40,was in 1926. Several gun boys turned up at Fitzgerald's mum's house. I don't want a
00:05:40,00:05:47,"gun boy. A young gunman. I mean, we've got a gun man. That's the thing. Yeah. I think"
00:05:47,00:05:52,"people who carry guns around between places, maybe like gun runners or young people, maybe"
00:05:52,00:05:57,"might be. Well, anyway, the gun boys were there at the door and they met his mum and"
00:05:57,00:06:00,"they said, right, we're here to take him. Just keep him safe until the opening night"
00:06:00,00:06:04,"is gone. So he won't be able to appear on stage in this play. Right. And she said, well,"
00:06:04,00:06:09,he doesn't live here. This is his mum. And I'm not telling you where he is. And so they
00:06:09,00:06:14,had to go away and then he did the play. Wow. Yeah. What polite gun boys. Just because
00:06:14,00:06:19,the gun boys still live at home doesn't mean that everybody's sleeping. They were 12. They're
00:06:19,00:06:25,"almost like knocking his barry. Okay, to come out and play, please. Have any of you ever"
00:06:25,00:06:30,held an Oscar in real life? Oh my God. I reckon there's an addict out coming out. You haven't
00:06:30,00:06:38,lived boys. And I'll tell you something. I've held two. Same time. Same time. Oh my God.
00:06:38,00:06:42,"I went, I was name drop hideous, name drop, but I was at Emma Thompson's house for doing"
00:06:42,00:06:48,"that. She's not that hideous. No, the name drop. She's lovely. She fed me and everything."
00:06:48,00:06:55,"No, but in her downstairs loo, her two Oscars right there. An interesting fact about Emma"
