start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,(upbeat music)
00:00:01,00:00:03,"- Hi everybody, just before we start this week's show,"
00:00:03,00:00:05,we know that Christmas is on the way
00:00:05,00:00:07,and if you are hoping to do any Christmas shopping
00:00:07,00:00:09,"for the fish fan in your life,"
00:00:09,00:00:11,then we have some last minute recommendations
00:00:11,00:00:15,that will save your bacon and save Christmas.
00:00:15,00:00:17,"- Yes, my first bacon saving recommendation"
00:00:17,00:00:20,is that you buy two books immediately
00:00:20,00:00:22,by the sanctuary by some random
00:00:22,00:00:24,called Andrew Hunter Murray.
00:00:24,00:00:26,"- Yes, me. - That's this guy."
00:00:26,00:00:29,"Look, it goes against all my principles"
00:00:29,00:00:31,"to say this, I don't even necessarily like the guy,"
00:00:31,00:00:33,but it really is a brilliant book.
00:00:33,00:00:34,It's got amazing reviews.
00:00:34,00:00:37,"It's gripping, it's about this remote island"
00:00:37,00:00:39,owned by a mysterious billionaire.
00:00:39,00:00:41,"It's very twisty, turny, thriller."
00:00:41,00:00:43,"It's fantastic and once you've done that,"
00:00:43,00:00:46,go and buy The Theory of Everything Else
00:00:46,00:00:50,"by a certain Dan Schreiber, very different kind of book."
00:00:50,00:00:52,"It's like getting inside Dan Schreiber's head,"
00:00:52,00:00:53,but in a really fun way.
00:00:53,00:00:55,It's not as chaotic as you'd imagine.
00:00:55,00:00:58,It's full of the amazing theories
00:00:58,00:00:59,that geniuses have come up with
00:00:59,00:01:01,that you definitely won't have heard of.
00:01:01,00:01:05,It's a fascinating fact in every paragraph basically.
00:01:05,00:01:06,So get those.
00:01:06,00:01:07,"- Absolutely, and alternatively,"
00:01:07,00:01:09,you can get Christmas goodies
00:01:09,00:01:11,from no such thing as a fish.com.
00:01:11,00:01:14,We have just launched two new t-shirts
00:01:14,00:01:16,along with lovely pin badges.
00:01:16,00:01:19,You can identify other fish listeners in the wild
00:01:19,00:01:22,slash public by getting yourself one of these two things.
00:01:22,00:01:24,There's also a lovely tour book
00:01:24,00:01:25,from the recent tour we've just finished
00:01:25,00:01:28,which is a complete history and demonology
00:01:28,00:01:31,and future guide to fish and all its iterations.
00:01:31,00:01:32,They're all so much fun
00:01:32,00:01:35,and you can get them at nosuchthingasafish.com.
00:01:35,00:01:36,"- Yep, that's right."
00:01:36,00:01:38,And now we will see this vlogging presence to you
00:01:38,00:01:41,and say on with the show.
00:01:41,00:01:42,- On with the podcast.
00:01:42,00:01:44,(upbeat music)
00:01:44,00:01:47,(upbeat music)
00:01:47,00:02:01,- Hello and welcome to another episode
00:02:01,00:02:04,"of no such thing as a fish, a weekly podcast"
00:02:04,00:02:07,coming to you from the QI offices in Covent Garden.
00:02:07,00:02:08,My name is Dan Schreiber.
00:02:08,00:02:10,"I'm sitting here with James Harkin,"
00:02:10,00:02:12,Anna Tyshinski and Andrew Hunter Murray.
00:02:12,00:02:13,"And once again,"
00:02:13,00:02:15,we have gathered around the microphones
00:02:15,00:02:18,with our four favorite facts from the last seven days
00:02:18,00:02:21,"and in a particular order, here we go."
00:02:21,00:02:24,Starting with fact number one and that is Anna.
00:02:24,00:02:27,- My fact this week is that many of the Muppets
00:02:27,00:02:31,were designed and created by someone called Kermit Love
00:02:31,00:02:34,who had absolutely nothing to do with Kermit the Frog.
00:02:34,00:02:38,"- When you say had nothing to do with Kermit the Frog,"
00:02:38,00:02:39,that's literal.
00:02:39,00:02:40,"It's not figuratively,"
00:02:40,00:02:42,I will have nothing to do with Kermit the Frog.
00:02:42,00:02:43,- Had huge beef from the start.
00:02:43,00:02:45,"Yeah, yeah, big falling out."
00:02:45,00:02:47,"- I think huge beef was Mr. Snuffle Upchut, you see."
00:02:47,00:02:49,(laughing)
