start_hhmmss,end_hhmmss,text
00:00:00,00:00:07,"Hi everybody, Alex here. Yes, Alex. I am alive and well and I'm here in the QI"
00:00:07,00:00:12,"office on Christmas Eve Eve. Dan, James and Andy and Anna have all gone home"
00:00:12,00:00:16,again. Let me here to sort out this year's Christmas episode. In a second
00:00:16,00:00:20,you're gonna get Dan and Anna asking you to subscribe to things and buy all
00:00:20,00:00:24,"their merch, but they couldn't even take the time to wish their loyal listeners"
00:00:24,00:00:32,"a merry Christmas because they're all complete f***ing freeloading, self-centered f***ing whole f***ing bastards."
00:00:32,00:00:38,"So yeah, f*** them. It falls to me to gladly wish all of you out there a very"
00:00:38,00:00:42,merry Christmas from everyone here at No Such Thing as a Fish. And this means
00:00:42,00:00:49,"that I finally get to say, on with the podcast after these messages."
00:00:49,00:00:54,"Hi everybody, just before we start this show we have a couple of small"
00:00:54,00:00:58,favours to ask you. It's that begging time of year when people put their tins
00:00:58,00:01:03,"out and shake them around asking for you to do things like, for instance, voting"
00:01:03,00:01:08,for their favourite podcast in the National Comedy Awards. That's why we
00:01:08,00:01:12,have been longlisted as one of the best comedy podcasts. We're very excited about
00:01:12,00:01:15,that and we would love it if you could get us to the short list. To do that you
00:01:15,00:01:20,can go to qi.com/vote. You'll see all the options there. You can also vote for
00:01:20,00:01:25,"your favourite comedians, your favourite comedy shows. You'll see Sandy Toxfig up"
00:01:25,00:01:30,"there, host of QI. You'll see QI itself. Why not register a vote for them? And"
00:01:30,00:01:34,you'll see No Such Thing as a Fish. We would massively appreciate a vote. Do it
00:01:34,00:01:39,"now, qi.com/vote. That's right and there's stiff competition on there so we"
00:01:39,00:01:42,really need the Fish Army to come together and give us these votes because
00:01:42,00:01:47,it would mean so much to the podcast to make it to the live National Comedy
00:01:47,00:01:51,Awards. Outside of that what we would absolutely love is if you could just
00:01:51,00:01:55,very quickly just go to the follow button on wherever you're listening to
00:01:55,00:01:59,"this podcast, be it Spotify or Apple iTunes, wherever it is and just press"
00:01:59,00:02:02,follow. We've discovered that so many people are listening to this show without
00:02:02,00:02:05,having pressed that button and it's extraordinary what a difference it makes
00:02:05,00:02:09,"in helping us to be higher in the charts to get more exposure, to get more"
00:02:09,00:02:13,"attention, to allow for the podcast to keep going. So simple button press is"
00:02:13,00:02:17,genuinely going to be a huge deal for us if enough of you do it. So please do.
00:02:17,00:02:22,That's our two big bits of begging. Please vote for us in the National
00:02:22,00:02:26,Comedy Awards. Please press follow and that will allow us to keep going as a
00:02:26,00:02:32,podcast in 2023. Otherwise we just have to shut shop. That's it. If we don't get
00:02:32,00:02:35,"shortlisted and you don't press follow, we're out of here. Okay, come on down."
00:02:35,00:02:39,"Enough begging. This is time to get desperate and sad. Look, do it if you"
00:02:39,00:02:43,"want to. Don't do it if you don't. Okay, on with the show. On with the show after"
00:02:43,00:02:46,you press follow and voted for us. Okay.
00:02:46,00:03:08,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly"
00:03:08,00:03:13,podcast this week coming to you live from the Bloomsbury Theatre in London.
00:03:13,00:03:21,"My name is Dan Shriver. I am sitting here with Anna Toshinsky, Andrew Hunter"
00:03:21,00:03:24,"Murray and James Harkin. And once again, we have gathered around the"
00:03:24,00:03:28,"microphones, but not with our four favorite facts this time because this"
00:03:28,00:03:34,is our Christmas special episode and we have decided to instead use 500
00:03:34,00:03:37,favorite facts from the audience members who are here tonight who have
00:03:37,00:03:41,"submitted them to us. And at the end of the show, after reading out some of our"
00:03:41,00:03:44,"favorites, we're going to pick two of the best. We're going to bring the two"
00:03:44,00:03:48,people who said those facts onto stage and we're going to have them battle in
00:03:48,00:03:53,"a quiz to the death. So it's a very exciting episode, a special treat."
00:03:53,00:03:57,"What have we got from our audience here tonight, guys? I just want to say the"
00:03:57,00:04:00,facts are on my phone. I'm not checking the football scars all the way through.
00:04:00,00:04:07,I just want to make that clear really early. So shall I do a fact? This is one
00:04:07,00:04:11,just that I just picked up now. Some people can grow hair on their tongues.
00:04:11,00:04:18,"Oh, wow. Like a will? Yeah, that's what it sounds like. Yeah, well, I mean, would"
00:04:18,00:04:22,"that be a useful superpower to have, do you think? Or a tongue, tongue hair."
00:04:22,00:04:28,Yeah. Warmth. Sometimes it gets very cold in the mouth. Yeah. When you eat ice
00:04:28,00:04:32,"cream too fast. Oh, yeah. That's a good idea. Yeah. Yeah. Yeah. Ice cream headaches."
00:04:32,00:04:38,"I only say it is because the person who wrote it is a surgeon. Oh, I wonder if"
00:04:38,00:04:43,you're in. Are you in the person who? Yeah. Yeah. Okay. Who's that? What's your name?
00:04:43,00:04:49,Malcolm. Malcolm. You're a surgeon. Do you operate on hairy tongues? Are you a
00:04:49,00:04:54,"glorified hairdresser? Here's a weird thing that would possibly happen, right?"
00:04:54,00:04:58,"If you had a very hairy tongue and you were, say, making out with someone and"
00:04:58,00:05:01,"you did some French kissing, would it ever be the case that their hairy tongue"
00:05:01,00:05:04,would wrap around your tongue and then you would get stuck? Does it ever happen
00:05:04,00:05:07,that you walk next to someone and your hair wraps around them and you get stuck
00:05:07,00:05:11,"together? No, but you know when you, like, put Christmas lights back in the box and"
00:05:11,00:05:14,"then they come out next year and they're all tangled up? Oh, yeah. And you know,"
00:05:14,00:05:17,"sometimes, remember, I had a friend at school who had braces and he kissed"
00:05:17,00:05:20,"someone who had braces. No. And they got stuck in their braces. They're still stuck,"
00:05:20,00:05:25,"aren't they? No, it's not a myth. It sounds like an urban myth. It does sound"
00:05:25,00:05:28,"like an urban myth. Well, I saw it. Maybe you're the source of it. I shouldn't have"
00:05:28,00:05:33,"been watching, but I saw it. I popped out from the cupboard and went, ""Guys, I can"
00:05:33,00:05:39,"help. I can help."" Shall we just quickly go back to Malcolm to check whether it's"
00:05:39,00:05:46,"part of your surgery, you actually grow people hairy tongues. Yeah, and you said"
00:05:46,00:05:50,"in your message, so you can reconstruct people's tongues, but you said in your"
00:05:50,00:05:54,message that it might be come from your forearm or your thigh and so when it
00:05:54,00:05:59,"comes in, that's where the hair comes from. I see. Isn't that something like your"
00:05:59,00:06:03,"hair, even if you take it away, I suppose this is, and this will explain why"
00:06:03,00:06:06,"people have hairy tongues, even if you take it away from a certain bit of your"
00:06:06,00:06:11,"body, it always remembers it was there and grows in accordance with that. So I"
00:06:11,00:06:17,"think there are things where like if you get some hair planted onto your head, if"
00:06:17,00:06:23,"you want to sort out your baldness, for instance, then I believe if like the"
00:06:23,00:06:29,"hairs, let's say you get it taken from your pubic region or something. I think"
00:06:29,00:06:34,that's the most common that people get. If the hairs that were around it start to
00:06:34,00:06:39,"fall out, then that one will also fall out. So your hair has a thing in it that"
