start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,(upbeat music)
00:00:01,00:00:03,"- Hi everyone, happy new year."
00:00:03,00:00:06,We have a little favor to ask you
00:00:06,00:00:09,before we start with the 2013 episodes
00:00:09,00:00:10,"of ""No Such Thing as a Fish."""
00:00:10,00:00:12,- 2013 episodes?
00:00:12,00:00:14,"- Is that not, oh, what year is it?"
00:00:14,00:00:16,"- James, oh my God, this is so sad."
00:00:16,00:00:17,You've just woken up from a coma
00:00:17,00:00:20,and you haven't realized that 10 years have passed.
00:00:20,00:00:22,"- No, no, you mean this is an episode two"
00:00:22,00:00:24,"of ""No Such Thing as a Fish""?"
00:00:24,00:00:26,"- I'm so sorry, but you're gonna be delighted"
00:00:26,00:00:28,with how far we've come in the interim.
00:00:28,00:00:32,"- Wow, well, what have we done while I've been in a coma?"
00:00:32,00:00:34,Have we told the world?
00:00:34,00:00:36,Have we made some books?
00:00:36,00:00:39,Have we won any national comedy awards?
00:00:39,00:00:41,"- Well, do you know, it's funny, you should mention that."
00:00:41,00:00:44,That's the one thing we haven't quite done yet.
00:00:44,00:00:46,And we're delighted to have you back.
00:00:46,00:00:48,We've had to simulate your presence for the last decade.
00:00:48,00:00:51,Delighted to have you back to help us win them
00:00:51,00:00:52,'cause that is what we're supposed to be talking about
00:00:52,00:00:53,right now.
00:00:53,00:00:56,It is the national comedy awards
00:00:56,00:00:57,and we are on the long list.
00:00:57,00:00:59,"""No Such Thing as a Fish"" for best comedy podcast."
00:00:59,00:01:02,We would absolutely love to get to the shortlist.
00:01:02,00:01:05,"If by any chance you like this show and you're here,"
00:01:05,00:01:09,"so maybe you do, if you could go to qi.com/vote"
00:01:09,00:01:12,"and vote for us, we'd be hugely grateful."
00:01:12,00:01:12,- That's right.
00:01:12,00:01:14,We would love to get on that shortlist.
00:01:14,00:01:16,"So please, please do vote."
00:01:16,00:01:17,It'll take no time at all.
00:01:17,00:01:19,You can click through all the other bits.
00:01:19,00:01:20,"Like, we're quite near the end."
00:01:20,00:01:23,So if you don't know who was the best supporting actor
00:01:23,00:01:26,"in a foreign sitcom this year, then it doesn't matter."
00:01:26,00:01:29,"You can just click past it, get to the podcast bit,"
00:01:29,00:01:32,"click on ""No Such Thing as a Fish,"" put your email in,"
00:01:32,00:01:34,"bish bash bosh, job done."
00:01:34,00:01:36,And we might get nominated for an award.
00:01:36,00:01:38,I'm going back to sleep.
00:01:38,00:01:39,Enjoy the show.
00:01:39,00:01:41,On with the podcast.
00:01:41,00:01:42,- On with the podcast.
00:01:42,00:01:44,(upbeat music)
00:01:44,00:01:51,(speaking in foreign language)
00:01:51,00:01:53,(upbeat music)
00:01:53,00:02:00,- Hello and welcome to another episode
00:02:00,00:02:02,"of ""No Such Thing as a Fish,"""
00:02:02,00:02:05,"a weekly podcast this week, coming to you live"
00:02:05,00:02:07,from the Bloomsbury Theater in London.
00:02:07,00:02:12,My name is Dan Schreiber.
00:02:12,00:02:14,"I am sitting here with Anna Tyshinski,"
00:02:14,00:02:17,"Andrew Hunter Murray, and James Harkin."
00:02:17,00:02:19,"And once again, we have gathered round the microphones"
00:02:19,00:02:22,"with our four favorite facts from the last seven days,"
00:02:22,00:02:26,"and in no particular order, here we go."
00:02:26,00:02:29,"Starting with fact number one, and that is my fact,"
00:02:29,00:02:32,"my fact this week, is that originally Popeye,"
00:02:32,00:02:36,"the sailor man, got his powers, not from eating spinach,"
00:02:36,00:02:39,but by rubbing a lucky magic hen.
00:02:39,00:02:43,"- I love the fact that you need to specify Popeye,"
00:02:43,00:02:45,the sailor man.
00:02:45,00:02:47,"Oh, Popeye, that's how Popeye, yeah, yeah, yeah."
00:02:47,00:02:50,"- So this is Popeye, we obviously know the great,"
00:02:50,00:02:52,(speaking in foreign language)
00:02:52,00:02:53,- I think that was the chicken.
00:02:53,00:02:55,"- That was the chicken, was that the chicken?"
00:02:55,00:02:56,"- So Popeye the sailor man,"
00:02:56,00:03:00,"and he was a cartoon back in the early 1900s,"
00:03:00,00:03:01,and when he originally--
00:03:01,00:03:03,"- And also beyond, if you're remembering Popeye,"
00:03:03,00:03:06,"and thinking, ""Shit, am I that old?"""
00:03:06,00:03:10,He lasted even beyond the early 1900s.
00:03:10,00:03:12,"- I don't know if he's still on TV, he might be,"
00:03:12,00:03:15,"but we all still know him, he's such an iconic character,"
00:03:15,00:03:17,"and obviously he derived all of his powers from spinach,"
00:03:17,00:03:19,but when the comic strip that he first appeared in
00:03:19,00:03:21,"was happening, he wasn't a main character,"
00:03:21,00:03:23,he was this sort of peripheral character
00:03:23,00:03:25,who was introduced to the series.
00:03:25,00:03:29,And there's an episode where he finds himself
00:03:29,00:03:31,"hired by Olive Oil, who becomes his girlfriend"
00:03:31,00:03:35,"and eventual wife, by her brother who's called Caster Oil,"
00:03:35,00:03:38,"who sails a ship to Dice Island,"
00:03:38,00:03:41,where he intends to make a lot of money in a casino
00:03:41,00:03:43,"by rubbing the head of a lucky hen,"
00:03:43,00:03:46,"and when he gets there, Popeye gets shot by someone."
00:03:46,00:03:48,So the first time we ever see him
00:03:48,00:03:51,"getting supernatural strength is when after he's shot,"
00:03:51,00:03:53,"this little whiffle hen comes by,"
00:03:53,00:03:54,"and he goes, ""Wow, whiffle hen."""
00:03:54,00:03:56,"Don't know how he talks actually, I can't remember."
00:03:56,00:03:57,There's something like that?
00:03:57,00:03:58,- Yeah.
00:03:58,00:03:58,"- Ah, cock, cock, cock."
00:03:58,00:04:01,"And he rubs the hen's head,"
00:04:01,00:04:02,"and then he gets the supernatural power,"
00:04:02,00:04:04,"and he takes out the shooter with some punches,"
00:04:04,00:04:06,and that's the very first moment.
00:04:06,00:04:07,"- It was a comic strip, right?"
00:04:07,00:04:07,"- Yeah, it was a comic strip."
00:04:07,00:04:09,"- So we wouldn't have known how he spoke, I guess."
00:04:09,00:04:12,"It was just, ""Whatever's in your head is how he spoke."""
00:04:12,00:04:13,- That's a very nice thought.
00:04:13,00:04:15,Isn't there an American restaurant called Popeyes?
00:04:15,00:04:16,"- Yeah, yeah, yeah."
00:04:16,00:04:17,- Isn't there a chicken restaurant?
00:04:17,00:04:17,- Oh yeah.
00:04:17,00:04:19,"I go in there, rubbing their chickens."
00:04:19,00:04:22,(laughing)
00:04:22,00:04:23,- You've been told.
00:04:23,00:04:24,"- Spinnich didn't come in until quite a lot later,"
00:04:24,00:04:25,did it?
00:04:25,00:04:26,"- It was a few years later, yeah."
00:04:26,00:04:27,- I think it was 1932.
00:04:27,00:04:28,"- Yeah, yeah."
00:04:28,00:04:29,"- And Popeye, like you say,"
00:04:29,00:04:32,"I think this comic book series started in the teens,"
00:04:32,00:04:34,"the mid teens, 15 or 16,"
00:04:34,00:04:35,but I think Popeye became the main character
00:04:35,00:04:36,in the early 20s.
00:04:36,00:04:39,"So until then, I think he was just relying"
00:04:39,00:04:41,on normal strength.
00:04:41,00:04:42,"- Well, he's very strong."
00:04:42,00:04:43,"I mean, he's very strong normally,"
00:04:43,00:04:45,"but when he has a spirit, he gets extra strong."
00:04:45,00:04:46,"That's the whole point of those forearms, you know."
00:04:46,00:04:47,- Yes.
00:04:47,00:04:48,"- Well, wait a minute,"
00:04:48,00:04:50,because your biceps are what make you strong.
00:04:50,00:04:53,- This has always been the bewildering thing about Popeye.
00:04:53,00:04:55,"- So he's got massive forearms,"
00:04:55,00:04:56,and the muscles in your forearms
00:04:56,00:04:58,are the ones that control your fingers.
00:04:58,00:05:00,So he's just a brilliant pianist.
00:05:00,00:05:01,(laughing)
00:05:01,00:05:03,"- Well, don't do a thumb war with Popeye,"
00:05:03,00:05:05,is what you're saying?
00:05:05,00:05:07,I did not know that Popeye was Jewish.
00:05:07,00:05:08,Is he?
00:05:08,00:05:08,- Popeye was Jewish.
00:05:08,00:05:09,Popeye was Jewish.
00:05:09,00:05:10,So Elsie Seagal was the original cartoonist
00:05:10,00:05:11,who drew Popeye.
00:05:11,00:05:14,"He was Jewish and there was a lot of,"
00:05:14,00:05:17,"there were a lot of sort of very, very subtle Jewish references"
00:05:17,00:05:20,and sort of jokes in the strip.
00:05:20,00:05:23,"Yeah, and to such an extent that in Fascist Italy,"
00:05:23,00:05:25,'cause the cartoon was popular across the world.
00:05:25,00:05:26,"It was so, so popular."
00:05:26,00:05:28,"When it appeared in Fascist Italy,"
00:05:28,00:05:30,"the creator's name, Seagal, was taken off it,"
00:05:30,00:05:33,"because they were pessimistic and so, you know, so, yeah, yeah."
00:05:33,00:05:34,But they still had to have the Popeye.
00:05:34,00:05:36,- Are you saying Popeye the sailor was Jewish
00:05:36,00:05:38,or that Seagal was Jewish?
00:05:38,00:05:40,"- Well, Seagal was Jewish and there are lots of references."
00:05:40,00:05:41,It's a very sort of Jewish inflected
00:05:41,00:05:44,and influenced cartoon.
00:05:44,00:05:47,"There's no actual scene of Popeye, you know,"
00:05:47,00:05:48,having Yom Kippur or whatever.
00:05:48,00:05:51,(laughing)
00:05:51,00:05:52,- That's amazing.
00:05:52,00:05:55,"'Cause weirdly, later on in the Popeye run,"
00:05:55,00:05:57,there was a thing where the original animators
00:05:57,00:06:01,were no longer animating it and it was outsourced
00:06:01,00:06:02,and it was outsourced to Prague
00:06:02,00:06:04,in order for them to make the cartoon.
00:06:04,00:06:05,So there was a whole series
00:06:05,00:06:07,where Tom and Jerry was made in Prague and so on.
00:06:07,00:06:09,And none of the animators out there had seen it.
00:06:09,00:06:11,And this was because there was no money to do it.
00:06:11,00:06:14,"So there was a run of 13 episodes,"
00:06:14,00:06:16,which are often called the worst 13 episodes.
00:06:16,00:06:16,- Of Popeye?
00:06:16,00:06:19,- Of Tom and Jerry because no one had really seen it.
00:06:19,00:06:20,But Popeye was done there as well.
00:06:20,00:06:22,"But the thing was, all of the people,"
00:06:22,00:06:24,"this is a credits thing, who animated in Prague,"
00:06:24,00:06:27,had to have their names changed to American names
00:06:27,00:06:28,because they didn't want audiences
00:06:28,00:06:30,thinking a communist country at the time
00:06:30,00:06:33,was infiltrating communist ideas
00:06:33,00:06:34,into their Popeye and Tom and Jerry cartoon.
00:06:34,00:06:36,"- Also, isn't it landlocked, Chair Republic?"
00:06:36,00:06:39,"So like, how would you have a sailor man there?"
00:06:39,00:06:42,"- Oh, I guess in land waterways, can I?"
00:06:42,00:06:43,- The Danube.
00:06:43,00:06:45,"- The Danube, yeah, canal-based."
00:06:45,00:06:46,"- Popeye, Danube, man."
00:06:46,00:06:47,- Yeah.
00:06:47,00:06:49,"Well, Mongolia has a navy, doesn't it, as well,"
00:06:49,00:06:50,despite being landlocked.
00:06:50,00:06:51,"- It does, yeah."
00:06:51,00:06:52,And Bolivia as well.
00:06:52,00:06:53,"- And Bolivia, yeah."
00:06:53,00:06:56,- Captain Von Trapp is in the sound of music.
00:06:56,00:06:58,"He's a, is he an admiral or something?"
00:06:58,00:07:01,Or a captain in the navy of the landlocked Austria?
00:07:01,00:07:04,- It makes more sense if you're going to have a sailor man
00:07:04,00:07:06,"to have him on a coast, in a coastal country."
00:07:06,00:07:07,- It's weird.
00:07:07,00:07:09,You know how we normally try and blow shit wide open?
00:07:09,00:07:12,We seem to have closed shit wide shut there.
00:07:12,00:07:14,- Yeah.
00:07:14,00:07:15,- I like it.
00:07:15,00:07:16,- That's what we should do.
00:07:16,00:07:17,Closed shit wide shut.
00:07:17,00:07:18,(laughing)
00:07:18,00:07:21,"- Just on chicken rubbing, specifically,"
00:07:21,00:07:24,"there is an Orthodox Jewish ritual called kapparot,"
00:07:24,00:07:26,"where you wave a rooster over someone's head,"
00:07:26,00:07:29,"and you say a particular prayer,"
00:07:29,00:07:30,"and then you slaughter the rooster,"
00:07:30,00:07:32,"and you get the slaughtered rooster to charity,"
00:07:32,00:07:35,and it's an atonement ritual for whoever's having the
00:07:35,00:07:35,chicken waver over there.
00:07:35,00:07:36,"- Do you rub it on their heads,"
00:07:36,00:07:37,or your own head?
00:07:37,00:07:38,- I don't think you rub it specifically.
00:07:38,00:07:40,You just sort of waft it around above them.
00:07:40,00:07:44,"But maybe, maybe the Wiffelhen is a very subtle reference"
00:07:44,00:07:46,to the traditional Jewish kapparot ritual.
00:07:46,00:07:47,"- Yeah, it could be."
00:07:47,00:07:49,- It's almost certainly not.
00:07:49,00:07:52,"- There's also, there was an old English bit of folklore"
00:07:52,00:07:54,where if you wanted to stop your baby
00:07:54,00:07:57,"from getting chicken pox, you would rub it with a chicken."
00:07:57,00:07:58,(laughing)
00:07:58,00:07:59,So it could have been that.
00:07:59,00:08:00,- Right.
00:08:00,00:08:00,- Yeah?
00:08:00,00:08:01,"I'm so glad we're on chicken rubbing stuff,"
00:08:01,00:08:03,'cause I actually did quite a lot of...
00:08:03,00:08:04,"- Chicken rubbing, right."
00:08:04,00:08:06,- I can feel a personal anecdote coming up.
00:08:06,00:08:08,(laughing)
00:08:08,00:08:11,So chickens will sometimes flirt with each other
00:08:11,00:08:15,by rubbing themselves on the ground.
00:08:15,00:08:16,- Okay.
00:08:16,00:08:17,"- So like, yeah, yeah."
00:08:17,00:08:18,"So there's this thing called preening oil,"
00:08:18,00:08:21,which comes out of a kind of gland above the beak.
00:08:21,00:08:23,And it contains lots of information about the birds' genes
00:08:23,00:08:25,"and about it, you know, how suitable it is"
00:08:25,00:08:26,as a mate and things like that.
00:08:26,00:08:29,And so sometimes a cockerel will wipe itself
00:08:29,00:08:30,"on the ground, for example,"
00:08:30,00:08:32,to just show it didn't leave it sent
00:08:32,00:08:33,for a prospective mate.
00:08:33,00:08:35,- Like a genome sequencing act.
00:08:35,00:08:37,It leaves its genome sequence on the ground
00:08:37,00:08:39,"for the male to look at and say,"
00:08:39,00:08:41,"""Oh, you're not prone to sickle cell anemia."
00:08:41,00:08:42,"Thank God."""
00:08:42,00:08:43,(laughing)
00:08:43,00:08:45,"- Yeah, I guess so, yeah."
00:08:45,00:08:47,- The Etruscans used to rub chickens.
00:08:47,00:08:49,"- So glad we're doing all this chicken rubbing stuff,"
00:08:49,00:08:50,'cause this is great.
00:08:50,00:08:51,"Go on, go on."
00:08:51,00:08:53,"- So the Etruscans, and then the Romans after them,"
00:08:53,00:08:55,but they used chickens for divination.
00:08:55,00:08:57,They thought they were kind of quite holy.
00:08:57,00:08:59,"And for good luck, you would get a chicken."
00:08:59,00:09:01,"It was always a dead chicken that you would rub,"
00:09:01,00:09:03,but you would rub it for good luck.
00:09:03,00:09:05,And that's probably where we get the idea
00:09:05,00:09:07,of the wishbone from these guys as well.
00:09:07,00:09:10,"You know, like, if you cook a chicken, you get the bone out."
00:09:10,00:09:13,People used to rub those little bones for luck as well.
00:09:13,00:09:13,- Wow.
00:09:13,00:09:14,- And that's why we do that.
00:09:14,00:09:15,- And now we just snap 'em.
00:09:15,00:09:17,- Now we just snap 'em.
00:09:17,00:09:18,- Rub it too hard.
00:09:18,00:09:21,You don't want that to happen in most rubbing situations.
00:09:21,00:09:22,- So they get snapped.
00:09:22,00:09:24,(laughing)
00:09:24,00:09:26,- The hen in Popeye.
00:09:26,00:09:28,Sorry to stop us from talking about.
00:09:28,00:09:31,I've just got one more chicken rubbing paste.
00:09:31,00:09:31,- Of course you do.
00:09:31,00:09:32,"- Yeah, yeah."
00:09:32,00:09:33,"No, no, please get it out."
00:09:33,00:09:34,I'd hate for the...
00:09:34,00:09:39,- Listener to miss out on your golden research.
00:09:39,00:09:40,"- Appalachian chicken rubbing rituals,"
00:09:40,00:09:42,and I just thought that would be a nice thing.
00:09:42,00:09:45,So there are lots of Kentucky waltz superstitions.
00:09:45,00:09:46,"You know, when you have a waltz."
00:09:46,00:09:47,"- Right, yeah."
00:09:47,00:09:50,- I don't know what Kentucky waltz is though.
00:09:50,00:09:51,"It's deep fried, isn't it?"
00:09:51,00:09:53,(laughing)
00:09:53,00:09:55,- There are so many traditions or superstitions
00:09:55,00:09:56,about what you do with your waltz
00:09:56,00:09:59,to make it disappear in Kentucky specifically.
00:09:59,00:10:01,"Yeah, so, I mean, it's mostly rubbed something on it."
00:10:01,00:10:02,"So, you know, it might be a chicken gizzard"
00:10:02,00:10:03,"or a chicken intestine,"
00:10:03,00:10:05,"but also bacon rind,"
00:10:05,00:10:06,"or beef steak,"
00:10:06,00:10:07,"or one bean,"
00:10:07,00:10:10,or three beans.
00:10:10,00:10:12,- Just don't accidentally rub two beans
00:10:12,00:10:13,"on it, whatever you do."
00:10:13,00:10:14,"- Oh, no, no."
00:10:14,00:10:15,- Then you come out and waltz.
00:10:15,00:10:17,"- You get double waltz, yeah, yeah."
00:10:17,00:10:18,Kill a cat.
00:10:18,00:10:19,That's bad stuff.
00:10:19,00:10:21,"Take it to a graveyard at midnight,"
00:10:21,00:10:23,"and then rub the cat on the waltz,"
00:10:23,00:10:25,and also it gets rid of the waltz.
00:10:25,00:10:27,- It feels like you go with a one bean.
00:10:27,00:10:29,(laughing)
00:10:29,00:10:31,- It's a sort of step change process.
00:10:31,00:10:32,"You know, you try one bean out of three beans,"
00:10:32,00:10:34,then you kill a cat and take it to a graveyard.
00:10:34,00:10:36,(laughing)
