start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,"Hey everyone, welcome to this week's episode of Fish."
00:00:03,00:00:07,"Before we get going, I just want to let you know that we have a very exciting guest on"
00:00:07,00:00:12,"this week, Andy unfortunately was away and is actually furious he was away because he"
00:00:12,00:00:16,missed out on the absolute tornado of comedy that is Reese Darby.
00:00:16,00:00:21,You probably know Reese for his roles as Murray the manager on Flight of the Concords or as
00:00:21,00:00:26,Nigel Billingsley from the Jumanji movies or perhaps you listen to his absolutely brilliant
00:00:26,00:00:31,podcast about the mysteries of the universe called the cryptid factor which he hosts with
00:00:31,00:00:34,his buddies Buttons and a doofus called Dan.
00:00:34,00:00:39,But what you may not have seen if you live in the UK is Reese playing his greatest role
00:00:39,00:00:44,"yet, Steed Bonnet, Gentleman Pirate in the sitcom Our Flag Means Death."
00:00:44,00:00:48,"This is such a great series, it came out last year on HBO Max but it's only just come to"
00:00:48,00:00:55,the UK on BBC2 and it's all about the real life story of Steed Bonnet who decided to give
00:00:55,00:00:59,up his entire life and become a Gentleman Pirate of the Seas.
00:00:59,00:01:05,He befriends Blackbeard who's played by the absolute genius comedy director Tycho Waititi
00:01:05,00:01:11,and you can watch it now in the UK on BBC2 every Wednesday at 10pm or if you're impatient
00:01:11,00:01:17,like me just head straight to BBC iPlayer and you can watch the entire series in one bingy
00:01:17,00:01:18,go.
00:01:18,00:01:22,"Anyway, it was so great having Reese back on the show you can find the previous episode"
00:01:22,00:01:26,in the Fish Archives if you want to hear his first time here with us and he wasn't on
00:01:26,00:01:30,that show either poor guy can't get a break but we hope you enjoy it and then make sure
00:01:30,00:01:51,to watch Our Flag Means Death immediately afterwards.
00:01:51,00:01:56,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast this"
00:01:56,00:02:00,week coming to you from four mysterious locations around the globe.
00:02:00,00:02:05,"My name is Dan Schreiber, I am sitting here with James Harkin, Anna Tyshinski and joining"
00:02:05,00:02:10,us once again it is the return of our very special guest Reese Darby and once again we
00:02:10,00:02:14,have gathered around the microphones with our four favourite facts from the last seven
00:02:14,00:02:18,days and in no particular order here we go.
00:02:18,00:02:21,Starting with fact number one and that is Reese.
00:02:21,00:02:29,My fact is that pirate Steed Bonnet invented the idea of walking the plank.
00:02:29,00:02:38,"That's a pretty big invention, I would say in the world of pirating."
00:02:38,00:02:41,"I don't use it in my day to day life, it's pretty niche isn't it?"
00:02:41,00:02:45,"It's putting together two things that already exist, walking and planks, it doesn't come"
00:02:45,00:02:47,"up with anything new there, has he?"
00:02:47,00:02:51,I know but if you're even a child and you dress up as a pirate one of the first things
00:02:51,00:02:56,"you learn in your entire life is that they walk the plank, I mean he is, what a legacy."
00:02:56,00:02:57,That's right.
00:02:57,00:03:00,Is it true though?
00:03:00,00:03:05,"Let's put it this way, it's more of a myth really that he came up with it."
00:03:05,00:03:07,"That's fine, that's what we deal in."
