start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:15,- Hello and welcome to another episode
00:00:15,00:00:19,"of No Such Thing as a Fish, a weekly podcast coming to you"
00:00:19,00:00:21,from the QI offices in Covent Garden.
00:00:21,00:00:22,My name is Dan Shriver.
00:00:22,00:00:25,"I'm sitting here with Anna Tyshinski, Andrew Hunter Murray"
00:00:25,00:00:26,and James Harkin.
00:00:26,00:00:29,"And once again, we have gathered around the microphones"
00:00:29,00:00:32,of our four favorite facts from the last seven days.
00:00:32,00:00:35,"And in no particular order, here we go."
00:00:35,00:00:38,"Starting with fact number one, and that is my fact."
00:00:38,00:00:41,My fact this week is that to combat people sleeping
00:00:41,00:00:45,"during church, priests used to employ a sluggered waker"
00:00:45,00:00:48,who would walk around the congregation poking people awake
00:00:48,00:00:51,with a very long stick.
00:00:51,00:00:52,- Brilliant.
00:00:52,00:00:53,"- Yeah, this is an amazing thing."
00:00:53,00:00:55,"I was reading-- - Fancy that job, Andy?"
00:00:55,00:00:56,- I think it sounds quite fun.
00:00:56,00:00:57,"- Yeah, it does, doesn't it?"
00:00:57,00:00:58,"- You wouldn't make many friends,"
00:00:58,00:01:00,but you're not in the business to make friends.
00:01:00,00:01:01,- Oh no.
00:01:01,00:01:02,"- You're in the business to keep people awake,"
00:01:02,00:01:02,listening to the sermon.
00:01:02,00:01:03,- Exactly.
00:01:03,00:01:05,"I reckon you'd be great at it, yeah."
00:01:05,00:01:06,- Why?
00:01:06,00:01:07,- You've just got authority about you
00:01:07,00:01:09,and we all respect you so much.
00:01:09,00:01:11,"- When you put it like that, I suppose,"
00:01:11,00:01:13,"yeah, I would be a prettiest."
00:01:13,00:01:14,You think I like correcting people
00:01:14,00:01:17,for minor errors they've made?
00:01:17,00:01:18,"- Yeah, and you really piss people off,"
00:01:18,00:01:19,so it sort of feels--
00:01:19,00:01:21,(all laughing)
00:01:21,00:01:23,"- You're not losing anything, you know, people."
00:01:23,00:01:26,- I've already got zero status in this society.
00:01:26,00:01:27,"- Yeah, the congregation don't like you anyway."
00:01:27,00:01:29,"- I mean, I'm disliked enough that it doesn't matter if I'm,"
00:01:29,00:01:30,yeah.
00:01:30,00:01:32,"- And you always walk around with a massive stick,"
00:01:32,00:01:34,prod people with it.
00:01:34,00:01:36,"- Actually, that's an even better reason, yeah."
00:01:36,00:01:37,"How long was the stick, do we know?"
00:01:37,00:01:39,"- Well, in some cases, they'd be 10 feet long,"
00:01:39,00:01:41,"because you've got long pews, don't you?"
00:01:41,00:01:43,"Very long pews, so if you've got someone"
00:01:43,00:01:45,"at the end of a pew and you need to reach them,"
00:01:45,00:01:46,you've got your stick needing to--
00:01:46,00:01:47,"- That's the slugger maker saying, isn't it?"
00:01:47,00:01:49,I would touch him with a 10-foot pole.
00:01:49,00:01:52,(all laughing)
00:01:52,00:01:55,- I read about this in a book that I was checking out
00:01:55,00:01:58,"called ""Old Church Life"" by a guy called William Andrews,"
00:01:58,00:02:01,"and it's a very old book, and it's full of really odd,"
00:02:01,00:02:04,quirky little nuggets about the church back in the day.
00:02:04,00:02:08,And so these people would be paid good money to go around.
00:02:08,00:02:08,"- Well, money."
00:02:08,00:02:10,"- Well, but money, yeah, yeah."
00:02:10,00:02:11,- They were paid.
00:02:11,00:02:12,- I think for a lot of--
00:02:12,00:02:12,"- I thought they were the wealthiest,"
00:02:12,00:02:15,"most high status people in society, but yeah."
00:02:15,00:02:17,"- They were, and although some of them were given"
00:02:17,00:02:19,a small amount of land to live on near the church.
00:02:19,00:02:20,- Nice.
00:02:20,00:02:23,"- And in one case, there's a place called Yule Grave"
00:02:23,00:02:25,"in the Midlands, and they had one who was entitled"
00:02:25,00:02:29,"to a hat, as well as the small wage."
00:02:29,00:02:31,"And then one in Wakefield, who also got hats, shoes,"
00:02:31,00:02:35,"and hoses, like that's part of the job."
00:02:35,00:02:37,- They turned sleepfield into Wakefield.
00:02:37,00:02:38,- Brilliant.
00:02:38,00:02:39,- That's what they had on their batch.
00:02:39,00:02:40,(all laughing)
00:02:40,00:02:41,- It is a part-time job.
00:02:41,00:02:43,You wouldn't expect it to pay a full salary.
00:02:43,00:02:45,"It's only when there's a sermon on, isn't it?"
00:02:45,00:02:46,"- Absolutely, yeah."
00:02:46,00:02:48,"And often they did other things, other jobs as well,"
00:02:48,00:02:50,and that was just a bit of it.
00:02:50,00:02:52,"But sometimes women got separate treatment,"
00:02:52,00:02:56,"and nicer treatment, so sometimes they'd have a stick"
00:02:56,00:02:58,with a knob on one end and a little brush on the other.
00:02:58,00:03:00,"And as a woman, you got a little tickle."
00:03:00,00:03:02,"Whereas a man, you got knobs around the face."
00:03:02,00:03:03,(all laughing)
00:03:03,00:03:04,- Everyday sexism.
00:03:04,00:03:06,"- There's a guy called Obadiah Turner,"
00:03:06,00:03:08,who wrote a journal.
00:03:08,00:03:11,"He was from Massachusetts, living around 1640s."
00:03:11,00:03:15,And he in particular had a fox's tail
00:03:15,00:03:17,on one side of his stick.
