start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,"Hi everybody, just before we start this week's show we've got an exciting announcement to make"
00:00:05,00:00:11,"and that is that our half-sister show, our sort of semi-sibling show,"
00:00:11,00:00:17,"the Museum of Curiosity, is coming back! Absolutely, it's a show on BBC Radio 4,"
00:00:17,00:00:25,it takes place on Mondays starting from the 20th of February at 6.30 in the evening and even more
00:00:25,00:00:34,"excitingly our half-podcast sister Anna Tyshinski is starring in this year's series. Yes, that's"
00:00:34,00:00:40,"exactly right. The show is hosted by John Lloyd, the father of QI, it's a sort of fictional museum"
00:00:40,00:00:45,and imaginary museum and every week they have brilliant guests submitting strange and wonderful
00:00:45,00:00:51,and imaginary objects to the museum. John is the director of the museum and Anna this series is
00:00:51,00:00:56,"going to be the curator so that's really exciting. Absolutely, if you love NoSix Things A Fish and"
00:00:56,00:01:02,if you love QI you will absolutely love Museum of Curiosity and just to remind you it's on Monday
00:01:02,00:01:09,"the 20th of February at 6.30 and for the subsequent six weeks. Okay, on with the podcast! On with the show!"
00:01:09,00:01:30,"Hello and welcome to another episode of No Such Thing As A Fish, a weekly podcast coming to you"
00:01:30,00:01:36,"from the QI offices in Covent Garden. My name is Dan Schreiber, I'm sitting here with Anna Tyshinski,"
00:01:36,00:01:40,Andrew Hunter Murray and James Harkin and once again we have gathered around the microphones
00:01:40,00:01:46,with our four favorite facts from the last seven days and in no particular order here we go starting
00:01:46,00:01:54,with fact number one and that is Andy. My fact is that there's a type of moss called political
00:01:54,00:02:02,"moss. Jesus, is there? Yeah, well that's a great question Dan, no there isn't. What? Thank you for"
00:02:02,00:02:06,"bringing it to the show. No wait a minute, your fact is that there isn't a type of moss called"
00:02:06,00:02:11,"political moss. So what this fact is, that phrase ""there's a type of moss called political moss"""
00:02:11,00:02:16,"is something that a listener got in touch with, okay, a listener called Beau Stuckey"
00:02:16,00:02:24,and he had been in touch with chat GPT which is a newish kind of artificial intelligence
00:02:24,00:02:28,conversation bot basically that's one of the most powerful ever created but in fact I think
00:02:28,00:02:31,"might be the most powerful ever created. A time of recording. Yeah, exactly, I mean if you're"
00:02:31,00:02:36,listening to this after the revolution it's the second most powerful ever created and if you're
00:02:36,00:02:41,scurrying through rat holes and you know like eating old packaged food and fleeing the robots
00:02:41,00:02:47,then yeah anyway but chat GPT is currently best in show and he asked chat GPT to come up with an
00:02:47,00:02:52,episode of Fish about that fact of political moss and it came up with I would say a pretty good
00:02:53,00:02:58,transcript. Okay yeah do you think? Yeah well can we can we read the transcript and just see how
00:02:58,00:03:01,it sounds? You've passed them around to all of us so it feels like we've got no choice.
00:03:01,00:03:09,"Okay so everyone has a name here except me, I'm a host I guess. Okay welcome back to the show"
00:03:09,00:03:15,"which we never say. No. Welcome back to the show, I'm your host Dan. With me today we have James,"
00:03:15,00:03:21,Anna and Andy. So Andy what do you have for us today? Well I've got a real doozy. Did you know
00:03:21,00:03:26,there's a type of moss called political moss? Political moss? That sounds like something out of
00:03:26,00:03:32,a dystopian novel. No no no it's a real thing. Apparently it was discovered in the 1800s by a
00:03:32,00:03:38,botanist named William Jackson Hooker and get this it's called political moss because it prefers
