start_hhmmss,end_hhmmss,text
00:00:00,00:00:07,Hi everyone welcome to this week's episode of no such thing as a fish we have another very special guest for you today and
00:00:07,00:00:13,That guest is our very good friend Lucy Porter. You will remember Lucy from previous episodes on fish
00:00:13,00:00:16,I know you'll love her. She's so smart. She's so funny
00:00:16,00:00:20,"In fact, she's got a stand-up show that is touring at this very moment"
00:00:20,00:00:25,Which is called wake up call and really I'll be honest the best way to find out about that is to Google
00:00:26,00:00:30,"Lucy Porter wake up call and you'll find all the dates, but she's doing the whole of the UK"
00:00:30,00:00:36,It's definitely a show that's worth going to see. She also has a podcast called fingers on buzzers
00:00:36,00:00:41,It's all about quizzing and she does that with my very good old friend Jenny Ryan
00:00:41,00:00:49,It's a brilliant podcast so listen to that and she has a radio for stand-up special called Lucy Porter's lucky dip
00:00:49,00:00:52,Which is going out at 11 30 on March the 15th
00:00:52,00:00:59,It'll probably be on the BBC sounds app after that so again Google Lucy Potter's lucky dip and you'll find that and apart from that
00:00:59,00:01:06,Just enjoy the show so nothing more to say apart from on with the podcast on with the show. Oh hi Andy. I've been here the whole time
00:01:21,00:01:29,Hello and welcome to another episode of no such thing as a fish a weekly podcast coming to you from the QI offices in Covent Garden
00:01:29,00:01:34,My name is Dan Schreiber. I am sitting here with Andrew Hunter Murray James Harkin and Lucy Porter
00:01:34,00:01:41,"And once again, we have gathered around the microphones with our four favorite facts from the last seven days and in a particular order here"
00:01:41,00:01:45,We go starting with fact number one and that is my fact
00:01:46,00:01:52,My fact this week is that it took the creator of the Rubik's Cube a month to solve it the first time he tried
00:01:52,00:02:02,It's so crazy you I would have thought after about 20 or 30 days you would just make a new one
00:02:02,00:02:10,So yeah invented 1974 he was a professor and he just had this idea
00:02:10,00:02:16,What if I could make something that was static on the inside but fluid on the outside and that's what gave him the idea and
00:02:16,00:02:22,He had a bash it it's later been worked out quite a famous number if you know Rubik's cubes that 43
00:02:22,00:02:28,Quintillion is the number of permutations that you can make on the Rubik's Cube
00:02:28,00:02:33,"And so luckily he got there within a month. Yeah, it's pretty good. Well, I'll tell you what's weird. His prototype"
00:02:34,00:02:39,Wasn't three by three. His prototype was two by two. So I've got that took him a month
00:02:39,00:02:45,"That's the thing. Well, I'm curious to know if this is the one that took him a month because this is okay"
00:02:45,00:02:48,So Dan's showing us an image and it's like four wooden blocks
00:02:48,00:02:53,That I've got various colors and numbers on it and they're held together almost by bits of wire
00:02:53,00:03:00,"Yeah, there's a wire meshing inside and he took a month to do a Rubik's Cube"
00:03:00,00:03:07,"Yeah, that one's piss easy. Yeah, it's clever enough to make that you're clever enough to solve it. Yes"
00:03:07,00:03:11,"You can do a Rubik's Cube, James. I can I think you can Lucy"
00:03:11,00:03:14,"Well, I am yeah, my children obsessed with them"
00:03:14,00:03:17,"We've got hundreds in the house and all those weird one, you know"
00:03:17,00:03:22,"There's like weird different shaped ones and mirror ones where there's absolutely, you know"
00:03:22,00:03:27,Colors on it and stuff. So this is a long way of me saying I should be
00:03:28,00:03:30,And I have at one point
00:03:30,00:03:37,That one's tough because it's got like Dan's mixing up one from the Transport Museum
00:03:37,00:03:39,I'd rather do the one with the colors
00:03:39,00:03:44,But the other thing is about the Rubik's Cube is that I find that when you're under pressure
00:03:44,00:03:48,"It's almost impossible. Yes, because you do it kind of with muscle memory"
00:03:48,00:03:52,"Yes, and then as soon as you start thinking about it, you can't really do it at all"
00:03:52,00:03:52,Yeah
00:03:52,00:03:57,I made a terrible decision when because I did learn to do it when my kids got into it and then I
00:03:57,00:04:02,"Decided we were doing a live podcast recording of fingers on buzzers and I said, oh, I tell you what'll be fun"
00:04:02,00:04:07,"I'll solve a Rubik's Cube while we do this round, and it took about 15 minutes"
00:04:07,00:04:13,Is there an algorithm basically? It's like a set pattern of moves that will help you work on the side you're working on
00:04:13,00:04:15,"So layers, that's the key"
00:04:15,00:04:16,"Yeah, exactly so"
00:04:16,00:04:19,"It's layers not sides, so you can see at the moment that I've done the bottom layer"
00:04:19,00:04:20,Right
00:04:20,00:04:21,Or the top layer
00:04:21,00:04:23,"And then you do the middle one, then you do the top one"
00:04:23,00:04:27,Remember when we went on only connect and they asked you for facts about yourself
00:04:27,00:04:30,And my fact was that I could do a Rubik's Cube in less than a minute
00:04:30,00:04:36,And the team that we were playing with apparently one of them said that he could do three Rubik's Cubes in 30 seconds
00:04:36,00:04:39,They decided they weren't going to use that fact
00:04:39,00:04:42,Made you look pretty foolish
00:04:42,00:04:49,"But it's huge, the speed cubing because we had to get a timer so that we could record my kids' times"
00:04:49,00:04:53,"And also my kids said ""Oh, can we have some Cubelube?"""
00:04:53,00:04:56,"And that's the moment that I was like ""I'm sorry"""
00:04:56,00:04:58,As a mother you've got to worry
00:04:58,00:04:59,Couldn't we have some Cubelube?
00:04:59,00:05:02,Is there a brand? Is it a specifically sold lube?
00:05:02,00:05:05,"There is one of the best Cubelube, we didn't get good Cubelube"
00:05:05,00:05:06,It's called Cubelube
00:05:06,00:05:08,"Yeah, we got dodgy Cubelube"
00:05:08,00:05:10,"And it's allowed as well, it's allowed in competition"
00:05:10,00:05:13,"It's legit, it's like chalk on your hands if you're an athlete"
00:05:13,00:05:14,Yes
00:05:14,00:05:18,"Well there's just a piece about the, you know, there are so many cubes, the world, there we go"
00:05:18,00:05:21,"But listen, the change has just completed the rubies"
00:05:21,00:05:23,That's why I've been silent for the last three minutes
00:05:23,00:05:26,But by the time I've edited this it'll be about twenty seconds
00:05:26,00:05:34,"And it just listed the GAN 356 iCarry, the MoU RS3M Maglev, the GAN 11M Pro"
00:05:34,00:05:37,"And it's all, there's kind of FIFA of cubing"
00:05:37,00:05:39,The World Cube Association
00:05:39,00:05:41,Are they corrupt?
00:05:41,00:05:44,"They're hugely corrupt, millions and millions of dollars change hands"
00:05:45,00:05:51,"So 1981, the top selling book in America was a book that was called The Simple Solution to Rubik's Cube"
00:05:51,00:05:55,It sold six million copies and it was the number one book of the year
00:05:55,00:05:58,"It was massive, a guy called James G. Norris, he was a professor"
00:05:58,00:06:01,He did it as a pamphlet for his university and then someone saw it
00:06:01,00:06:04,Said can you expand that into a like sixty four page book
00:06:04,00:06:08,"So it wasn't that big, it was double the expansion of the pamphlet"
00:06:08,00:06:17,And so he published it and in it he gives categories of what you're labeled as as a cuber if you manage to do it in certain times
00:06:17,00:06:21,"So this is 1981, twenty minutes, if you did it in that time you were a whiz"
00:06:21,00:06:23,"Ten minutes, you were a speed demon"
00:06:23,00:06:25,"Five minutes, you were an expert"
00:06:25,00:06:28,"And three minutes, you were an emcee, the master of the cube"
00:06:28,00:06:29,"Oh that's what I am then, I can tell you"
00:06:29,00:06:30,"Yeah, you're a master of the cube"
00:06:30,00:06:33,Well in the 80s you were a famous person
00:06:33,00:06:36,It's actually been updated since 2013
00:06:36,00:06:37,You're now adult
00:06:37,00:06:39,"Yeah, unfortunately"
00:06:39,00:06:42,"Well you James, if you take longer than sixty seconds"
00:06:42,00:06:45,"I do, I take probably about a minute and a half first"
00:06:45,00:06:48,"Okay, I'm afraid you don't even qualify as a whiz at this point"
00:06:48,00:06:51,Whereas a whiz was twenty minutes it's now sixty seconds
00:06:51,00:06:54,Speed demon has gone from ten minutes to forty seconds
00:06:54,00:06:55,Oh my god
00:06:55,00:06:58,An expert has gone from five minutes to fifteen to twenty five seconds
00:06:58,00:07:01,And the master of the cube which is now called world champion
00:07:01,00:07:03,From three minutes to three to five seconds
00:07:03,00:07:05,That's amazing the difference isn't it
00:07:05,00:07:08,I can't even pick it up within three seconds
00:07:08,00:07:10,My old arthritic fingers
00:07:10,00:07:13,Because I remember the original crates in the 80s
00:07:13,00:07:15,I'm old enough for that
00:07:15,00:07:19,But it was one of those things that boys would learn to do
00:07:19,00:07:21,And this is a terrible sexist generalisation
00:07:21,00:07:24,But it did tend to be boys would learn to do it thinking it would really impress the girls
00:07:24,00:07:27,And all girls just went meh
00:07:27,00:07:30,I found that I've never ever pressed a girl with a Rubik's cube
00:07:30,00:07:34,I impressed the QI's accountant once
00:07:34,00:07:36,With a few Rubik's cube tricks
00:07:36,00:07:38,But he wasn't my type
00:07:38,00:07:40,I did because I brought mine in today
00:07:40,00:07:42,So I did sit on the tube doing it
00:07:42,00:07:45,And people don't look at you with admiration
00:07:45,00:07:46,I'll be honest
00:07:46,00:07:47,Really?
00:07:47,00:07:49,It's pity
00:07:49,00:07:52,"No honey, honey, we'll just have to get up at the next stop"
00:07:52,00:07:55,Is she gonna do it?
00:07:55,00:07:58,The craze just is unbelievable
00:07:58,00:07:59,The 80s craze
00:07:59,00:08:01,So it was the UK toy of the year in 1980
00:08:01,00:08:03,And then again in 1981
00:08:03,00:08:05,As if they just thought
00:08:05,00:08:07,We're gonna give it to the cube again
00:08:07,00:08:10,"So Dan, you were mentioning the books that sold out very well"
00:08:10,00:08:12,So at one point in 1982
00:08:12,00:08:15,I think it was four or five different books on the New York Times bestsellers list
00:08:15,00:08:17,For Rubik's cube books
00:08:17,00:08:20,There was a boy called Patrick Bossert
00:08:20,00:08:22,Who was 13 years old
00:08:22,00:08:24,And wrote a book called You Can Do the Cube
00:08:24,00:08:26,And sold nearly a million copies of it
00:08:26,00:08:29,He was the youngest ever author on the New York Times bestseller list
00:08:29,00:08:31,"It kind of came from nowhere, right?"
00:08:31,00:08:33,"Like Dan says, it was invented in 1974"
00:08:33,00:08:35,And this was 1980
00:08:35,00:08:37,In 1981 it was absolutely huge
00:08:37,00:08:39,I looked on the newspaper archives
00:08:39,00:08:40,And the first mention of it
00:08:40,00:08:42,It doesn't even call it the Rubik's cube
00:08:42,00:08:44,It calls it the Hungarian magic cube
00:08:44,00:08:46,This was in 1979
00:08:46,00:08:48,This was in The Observer
00:08:48,00:08:51,And they said that at first most people tried to take the cube apart
00:08:51,00:08:53,But that is not the object
00:08:53,00:08:56,And it said if you even get one face done
00:08:56,00:08:58,Of the cube in 20 minutes
00:08:58,00:08:59,Then you've done well
00:08:59,00:09:01,"And it says, but there are several people"
00:09:01,00:09:03,"Brackets, well at least three"
00:09:03,00:09:06,That are able to solve the cube in less than five minutes
00:09:06,00:09:10,"Dan, you mentioned that there are 43 quintillion different states"
00:09:10,00:09:12,That you can have
00:09:12,00:09:15,"The newspaper said, and this was in 1979"
00:09:15,00:09:17,At one per microsecond
00:09:17,00:09:20,"A computer would take around 3,000 million years"
00:09:20,00:09:22,Just to count up the number of states
00:09:22,00:09:25,And in 2022
00:09:25,00:09:28,We got the first ever quintillion per second computer
00:09:28,00:09:31,So today a computer could reach it in just under a minute
00:09:31,00:09:33,I think what's extraordinary
00:09:33,00:09:35,The numbers are so bamboozlingly big
00:09:35,00:09:38,I remember reading an interview with Erno Rubik
00:09:38,00:09:41,Where he was talking about the fact that he'd invented
00:09:41,00:09:43,More kinds of Rubik's cubes now
00:09:43,00:09:45,There was a Snake Rubik's cube that he'd invented
00:09:45,00:09:47,Did you buy that Lucy?
00:09:47,00:09:48,I did have it
00:09:48,00:09:51,"Rubik's snake, which sounds a bit dodgy now"
00:09:51,00:09:54,Why did they call it the Snake and not the Rubik's tube?
00:09:54,00:09:56,"Sorry, very nice"
00:09:56,00:10:00,But he said that and this one has potentially even more permutations
00:10:00,00:10:02,And the guy writing the article just went
00:10:02,00:10:06,"""Yeah, once you've hit 43 quintillion, I'm not impressed anymore"""
00:10:06,00:10:09,"But what's interesting, so very randomly"
00:10:09,00:10:12,Day before yesterday I bumped into
00:10:12,00:10:15,A Rubik's cube Guinness world record holder
00:10:15,00:10:17,He's a guy called George
00:10:17,00:10:19,"He holds two records, one which he's just done"
00:10:19,00:10:21,Which I'm not allowed to reveal
00:10:21,00:10:23,"I know, of course that"
00:10:23,00:10:26,"Rubik's cube Goss, I'll tell you guys after the show"
00:10:26,00:10:29,The other one is that he has the most Rubik's cubes
00:10:29,00:10:32,Solved while riding on a skateboard
00:10:32,00:10:34,"For, I think, like an hour or something"
00:10:34,00:10:37,He did like 500 of them just going around a skate park
00:10:37,00:10:39,"Quick question, Dan"
00:10:39,00:10:42,Did he have on him a bag of 500 Rubik's cubes
00:10:42,00:10:45,Which he then had to get out of the skateboard?
00:10:45,00:10:47,"Yeah, yeah, yeah"
00:10:47,00:10:49,"It wasn't like Santa, yeah"
00:10:49,00:10:52,What he was was he had people stationed around the skate park
00:10:52,00:10:54,So he'd hand the solved one to the person
00:10:54,00:10:56,They would mix it back up and he'd grab a new one
00:10:56,00:10:58,As he was travelling around
00:10:58,00:11:00,So they mixed them back up again and so he used the same one
00:11:00,00:11:02,It feels kind of pointless
00:11:02,00:11:04,"It's like a punishment for the gods, actually"
00:11:04,00:11:06,"It is, it is, it is"
00:11:06,00:11:08,So he demonstrated one thing I found amazing
00:11:08,00:11:10,Which is to do with the bamboozling numbers
00:11:10,00:11:12,If I took this right now and I mixed this up
00:11:12,00:11:14,To give to him to solve
00:11:14,00:11:16,Whatever I've just done here
00:11:16,00:11:18,Is a combination that he will have never seen
00:11:18,00:11:20,In his life
00:11:20,00:11:22,The combination is unique because of the 43 quintillion
00:11:22,00:11:24,I just spent 2 and a half minutes in
00:11:24,00:11:30,I think what's extraordinary
00:11:30,00:11:32,Like when it started getting big
00:11:32,00:11:34,There was a big concern that is this thing solvable
00:11:34,00:11:36,So there was a world fair that he was taken to
00:11:36,00:11:38,And he's not a particular
00:11:38,00:11:40,He's quite a philosophical guy
00:11:40,00:11:42,He's quite sort of very serious
00:11:42,00:11:44,And he wasn't the best ambassador of what this item was
00:11:44,00:11:46,But they needed him there
00:11:46,00:11:48,To prove it could be solved
00:11:48,00:11:50,"Otherwise it was the Americans, wasn't it?"
00:11:50,00:11:52,"Yeah, they got sent to an American toy company"
00:11:52,00:11:54,And they thought this is a good toy
00:11:54,00:11:56,But it probably can't actually be done
00:11:56,00:11:58,And I think they sent an executive to Budapest
00:11:58,00:12:00,To meet Rubik
00:12:00,00:12:02,"If you can solve this, we'll make it"
00:12:02,00:12:04,We'll manufacture it and we'll distribute it
00:12:04,00:12:06,And then they sold 150 million in those 3 years
00:12:06,00:12:08,But they sold it thanks to the most famous
00:12:08,00:12:10,Hungarian at the time
00:12:10,00:12:12,So Rubik obviously couldn't really do all the press and stuff
00:12:12,00:12:14,Such a great question
00:12:14,00:12:16,I'm going chajagaboor
00:12:16,00:12:18,Was it?
00:12:18,00:12:20,"Absolutely, chajagaboor"
